,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,607,1623426427802,-1,-1,-1
1,591,1623426427802,-1,-1,-1
2,703,1623426427802,-1,-1,-1
3,719,1623426427802,-1,-1,-1
4,703,1623426427802,-1,-1,-1
5,719,1623426427802,-1,-1,-1
6,679,1623426427802,-1,-1,-1
7,727,1623426427802,-1,-1,-1
8,711,1623426427802,-1,-1,-1
9,647,1623426428307,-1,-1,-1
10,591,1623426428307,-1,-1,-1
11,687,1623426428307,-1,-1,-1
12,727,1623426428801,-1,-1,-1
13,767,1623426428801,-1,-1,-1
14,759,1623426429853,-1,-1,-1
15,719,1623426430817,-1,-1,-1
16,655,1623426431779,-1,-1,-1
17,503,1623426431779,-1,-1,-1
18,927,1623426432777,-1,-1,-1
19,599,1623426433777,-1,-1,-1
20,935,1623426434779,-1,-1,-1
21,815,1623426434779,-1,-1,-1
22,647,1623426441778,-1,-1,-1
23,631,1623426442784,-1,-1,-1
24,623,1623426444785,-1,-1,-1
25,639,1623426445778,-1,-1,-1
26,455,1623426447821,-1,-1,-1
27,751,1623426452784,-1,-1,-1
28,783,1623426453778,-1,-1,-1
29,671,1623426454779,-1,-1,-1
30,719,1623426457780,-1,-1,-1
31,631,1623426459778,-1,-1,-1
32,607,1623426460781,-1,-1,-1
33,519,1623426460781,-1,-1,-1
34,663,1623426461784,-1,-1,-1
35,663,1623426462781,-1,-1,-1
36,615,1623426462782,-1,-1,-1
37,767,1623426463818,-1,-1,-1
38,823,1623426465778,-1,-1,-1
39,767,1623426465778,-1,-1,-1
40,679,1623426466784,-1,-1,-1
41,719,1623426467784,-1,-1,-1
42,727,1623426468780,-1,-1,-1
43,719,1623426468780,-1,-1,-1
44,655,1623426469821,-1,-1,-1
45,471,1623426475782,-1,-1,-1
46,575,1623426479784,-1,-1,-1
47,551,1623426480824,-1,-1,-1
48,655,1623426480824,-1,-1,-1
49,679,1623426481784,-1,-1,-1
50,519,1623426481784,-1,-1,-1
51,767,1623426484784,-1,-1,-1
52,647,1623426487784,-1,-1,-1
53,543,1623426491824,-1,-1,-1
54,599,1623426492783,-1,-1,-1
55,599,1623426492783,-1,-1,-1
56,655,1623426493783,-1,-1,-1
57,679,1623426494782,-1,-1,-1
58,663,1623426494782,-1,-1,-1
59,679,1623426495785,-1,-1,-1
60,695,1623426496825,-1,-1,-1
61,719,1623426496825,-1,-1,-1
62,727,1623426497785,-1,-1,-1
63,679,1623426498778,-1,-1,-1
64,839,1623426499784,-1,-1,-1
65,695,1623426499784,-1,-1,-1
66,679,1623426500784,-1,-1,-1
67,647,1623426501778,-1,-1,-1
68,647,1623426501778,-1,-1,-1
69,671,1623426502779,-1,-1,-1
70,671,1623426503784,-1,-1,-1
71,679,1623426503784,-1,-1,-1
72,719,1623426504780,-1,-1,-1
73,695,1623426505866,-1,-1,-1
74,711,1623426506785,-1,-1,-1
75,783,1623426508785,-1,-1,-1
76,679,1623426514784,-1,-1,-1
77,591,1623426515782,-1,-1,-1
78,679,1623426515782,-1,-1,-1
79,743,1623426521781,-1,-1,-1
80,735,1623426522786,-1,-1,-1
81,783,1623426522786,-1,-1,-1
82,703,1623426523784,-1,-1,-1
83,839,1623426524783,-1,-1,-1
84,767,1623426527784,-1,-1,-1
85,599,1623426532781,-1,-1,-1
86,711,1623426533781,-1,-1,-1
87,631,1623426538780,-1,-1,-1
88,631,1623426538780,-1,-1,-1
89,599,1623426539783,-1,-1,-1
90,647,1623426540782,-1,-1,-1
91,815,1623426547785,-1,-1,-1
92,671,1623426547785,-1,-1,-1
93,583,1623426551784,-1,-1,-1
94,511,1623426552785,-1,-1,-1
95,663,1623426553777,-1,-1,-1
96,767,1623426557780,-1,-1,-1
97,863,1623426558784,-1,-1,-1
98,831,1623426558784,-1,-1,-1
99,799,1623426559778,-1,-1,-1
100,759,1623426560779,-1,-1,-1
101,767,1623426561779,-1,-1,-1
102,799,1623426574778,-1,-1,-1
103,463,1623426575782,-1,-1,-1
104,623,1623426579779,-1,-1,-1
105,615,1623426580777,-1,-1,-1
106,463,1623426580778,-1,-1,-1
107,599,1623426582784,-1,-1,-1
108,599,1623426583778,-1,-1,-1
109,615,1623426584782,-1,-1,-1
110,607,1623426584782,-1,-1,-1
111,591,1623426585779,-1,-1,-1
112,599,1623426604787,-1,-1,-1
113,439,1623426612779,-1,-1,-1
114,671,1623426614781,-1,-1,-1
115,599,1623426615780,-1,-1,-1
116,607,1623426616782,-1,-1,-1
117,631,1623426616782,-1,-1,-1
118,591,1623426617785,-1,-1,-1
119,607,1623426617785,-1,-1,-1
120,623,1623426618780,-1,-1,-1
121,791,1623426624785,-1,-1,-1
122,767,1623426625785,-1,-1,-1
123,759,1623426626783,-1,-1,-1
124,663,1623426629817,-1,-1,-1
125,647,1623426630789,-1,-1,-1
126,671,1623426631782,-1,-1,-1
127,631,1623426631782,-1,-1,-1
128,647,1623426632780,-1,-1,-1
129,671,1623426633779,-1,-1,-1
130,671,1623426633779,-1,-1,-1
131,687,1623426634778,-1,-1,-1
132,719,1623426635784,-1,-1,-1
133,727,1623426635785,-1,-1,-1
