,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,671,1626069459190,-1,-1,-1
1,695,1626069459191,-1,-1,-1
2,615,1626069459191,-1,-1,-1
3,751,1626069459191,-1,-1,-1
4,679,1626069459191,-1,-1,-1
5,679,1626069459191,-1,-1,-1
6,695,1626069459191,-1,-1,-1
7,703,1626069459191,-1,-1,-1
8,719,1626069459191,-1,-1,-1
9,735,1626069459670,-1,-1,-1
10,575,1626069459670,-1,-1,-1
11,791,1626069459670,-1,-1,-1
12,775,1626069460181,-1,-1,-1
13,687,1626069460181,-1,-1,-1
14,703,1626069461169,-1,-1,-1
15,567,1626069462189,-1,-1,-1
16,687,1626069464170,-1,-1,-1
17,711,1626069465190,-1,-1,-1
18,719,1626069467177,-1,-1,-1
19,671,1626069467177,-1,-1,-1
20,663,1626069468190,-1,-1,-1
21,727,1626069469182,-1,-1,-1
22,767,1626069470183,-1,-1,-1
23,823,1626069472210,-1,-1,-1
24,823,1626069473173,-1,-1,-1
25,879,1626069474190,-1,-1,-1
26,807,1626069476173,-1,-1,-1
27,799,1626069477190,-1,-1,-1
28,799,1626069478195,-1,-1,-1
29,791,1626069479171,-1,-1,-1
30,791,1626069480190,-1,-1,-1
31,791,1626069480190,-1,-1,-1
32,791,1626069481180,-1,-1,-1
33,791,1626069482185,-1,-1,-1
34,743,1626069483190,-1,-1,-1
35,743,1626069485175,-1,-1,-1
36,783,1626069486190,-1,-1,-1
37,743,1626069486190,-1,-1,-1
38,767,1626069489191,-1,-1,-1
39,759,1626069490181,-1,-1,-1
40,743,1626069492160,-1,-1,-1
41,695,1626069494170,-1,-1,-1
42,671,1626069495170,-1,-1,-1
43,679,1626069495170,-1,-1,-1
44,703,1626069496181,-1,-1,-1
45,711,1626069497171,-1,-1,-1
46,783,1626069498160,-1,-1,-1
47,783,1626069498160,-1,-1,-1
48,895,1626069499181,-1,-1,-1
49,879,1626069500171,-1,-1,-1
50,879,1626069501176,-1,-1,-1
51,871,1626069502181,-1,-1,-1
52,903,1626069503172,-1,-1,-1
53,767,1626069505181,-1,-1,-1
54,807,1626069506171,-1,-1,-1
55,751,1626069507170,-1,-1,-1
56,743,1626069508181,-1,-1,-1
57,775,1626069508181,-1,-1,-1
58,791,1626069509172,-1,-1,-1
59,799,1626069510162,-1,-1,-1
60,791,1626069511182,-1,-1,-1
61,807,1626069512172,-1,-1,-1
62,751,1626069512172,-1,-1,-1
63,743,1626069513169,-1,-1,-1
64,799,1626069514181,-1,-1,-1
65,743,1626069515171,-1,-1,-1
66,807,1626069515171,-1,-1,-1
67,823,1626069516162,-1,-1,-1
68,799,1626069517181,-1,-1,-1
69,631,1626069518171,-1,-1,-1
70,983,1626069519179,-1,-1,-1
71,735,1626069519179,-1,-1,-1
72,831,1626069520186,-1,-1,-1
73,735,1626069521171,-1,-1,-1
74,807,1626069522192,-1,-1,-1
75,711,1626069522192,-1,-1,-1
76,807,1626069523182,-1,-1,-1
77,727,1626069524183,-1,-1,-1
78,807,1626069525176,-1,-1,-1
79,799,1626069526182,-1,-1,-1
80,799,1626069528176,-1,-1,-1
81,655,1626069528176,-1,-1,-1
82,791,1626069529183,-1,-1,-1
83,783,1626069530181,-1,-1,-1
84,823,1626069531163,-1,-1,-1
85,887,1626069532183,-1,-1,-1
86,975,1626069536178,-1,-1,-1
87,807,1626069537163,-1,-1,-1
88,799,1626069538182,-1,-1,-1
89,807,1626069539173,-1,-1,-1
90,751,1626069539173,-1,-1,-1
91,711,1626069540163,-1,-1,-1
92,863,1626069541183,-1,-1,-1
93,839,1626069542173,-1,-1,-1
94,767,1626069543163,-1,-1,-1
95,823,1626069544183,-1,-1,-1
96,815,1626069544183,-1,-1,-1
97,679,1626069545173,-1,-1,-1
98,1007,1626069546162,-1,-1,-1
99,807,1626069547183,-1,-1,-1
