,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,895,1622013509533,-1,-1,-1
1,559,1622013510532,-1,-1,-1
2,703,1622013517534,-1,-1,-1
3,823,1622013521530,-1,-1,-1
4,471,1622013522531,-1,-1,-1
5,743,1622013523537,-1,-1,-1
6,799,1622013524531,-1,-1,-1
7,807,1622013531532,-1,-1,-1
8,783,1622013531532,-1,-1,-1
9,815,1622013532536,-1,-1,-1
10,823,1622013533533,-1,-1,-1
11,783,1622013534529,-1,-1,-1
12,791,1622013535533,-1,-1,-1
13,751,1622013535533,-1,-1,-1
14,735,1622013536572,-1,-1,-1
15,799,1622013537528,-1,-1,-1
16,671,1622013538531,-1,-1,-1
17,783,1622013538531,-1,-1,-1
18,815,1622013539534,-1,-1,-1
19,783,1622013540534,-1,-1,-1
20,775,1622013541530,-1,-1,-1
21,807,1622013542532,-1,-1,-1
22,703,1622013546532,-1,-1,-1
23,759,1622013547529,-1,-1,-1
24,759,1622013548533,-1,-1,-1
25,727,1622013548533,-1,-1,-1
26,719,1622013553531,-1,-1,-1
27,727,1622013554533,-1,-1,-1
28,767,1622013555529,-1,-1,-1
29,767,1622013559535,-1,-1,-1
30,743,1622013559535,-1,-1,-1
31,759,1622013560532,-1,-1,-1
32,703,1622013563529,-1,-1,-1
33,799,1622013564525,-1,-1,-1
34,631,1622013565527,-1,-1,-1
35,551,1622013567528,-1,-1,-1
36,951,1622013568536,-1,-1,-1
37,959,1622013572538,-1,-1,-1
38,655,1622013576538,-1,-1,-1
39,791,1622013577539,-1,-1,-1
40,711,1622013577539,-1,-1,-1
41,711,1622013578531,-1,-1,-1
42,719,1622013579538,-1,-1,-1
43,767,1622013579538,-1,-1,-1
44,759,1622013580537,-1,-1,-1
45,791,1622013581543,-1,-1,-1
46,655,1622013585579,-1,-1,-1
47,831,1622013585579,-1,-1,-1
48,703,1622013588539,-1,-1,-1
49,775,1622013588539,-1,-1,-1
50,751,1622013591541,-1,-1,-1
51,1000,1622013592539,-1,-1,-1
52,751,1622013594539,-1,-1,-1
53,711,1622013594539,-1,-1,-1
54,991,1622013595532,-1,-1,-1
55,663,1622013597539,-1,-1,-1
56,959,1622013598538,-1,-1,-1
57,623,1622013602581,-1,-1,-1
58,719,1622013603535,-1,-1,-1
59,719,1622013604539,-1,-1,-1
60,655,1622013604539,-1,-1,-1
61,695,1622013605538,-1,-1,-1
62,679,1622013606541,-1,-1,-1
63,711,1622013608542,-1,-1,-1
64,807,1622013616539,-1,-1,-1
65,943,1622013617568,-1,-1,-1
66,743,1622013620541,-1,-1,-1
67,783,1622013620541,-1,-1,-1
68,807,1622013621537,-1,-1,-1
69,1055,1622013624575,-1,-1,-1
70,559,1622013625533,-1,-1,-1
71,543,1622013626537,-1,-1,-1
72,1000,1622013627536,-1,-1,-1
73,607,1622013628538,-1,-1,-1
74,599,1622013628538,-1,-1,-1
75,695,1622013630542,-1,-1,-1
76,615,1622013631539,-1,-1,-1
77,791,1622013632541,-1,-1,-1
78,639,1622013632541,-1,-1,-1
79,455,1622013633540,-1,-1,-1
80,703,1622013634541,-1,-1,-1
81,631,1622013635576,-1,-1,-1
82,743,1622013642580,-1,-1,-1
83,607,1622013647541,-1,-1,-1
84,679,1622013648541,-1,-1,-1
85,687,1622013648541,-1,-1,-1
86,647,1622013652542,-1,-1,-1
87,591,1622013661540,-1,-1,-1
88,815,1622013663543,-1,-1,-1
89,807,1622013669535,-1,-1,-1
90,607,1622013670542,-1,-1,-1
91,719,1622013671535,-1,-1,-1
92,759,1622013677542,-1,-1,-1
93,695,1622013679584,-1,-1,-1
94,543,1622013679584,-1,-1,-1
95,487,1622013685499,-1,-1,-1
96,431,1622013700504,-1,-1,-1
97,703,1622013703538,-1,-1,-1
98,599,1622013704581,-1,-1,-1
99,479,1622013704581,-1,-1,-1
100,399,1622013705535,-1,-1,-1
101,751,1622013706503,-1,-1,-1
102,719,1622013710503,-1,-1,-1
103,495,1622013711543,-1,-1,-1
104,527,1622013713503,-1,-1,-1
105,655,1622013713503,-1,-1,-1
106,639,1622013714582,-1,-1,-1
107,647,1622013715492,-1,-1,-1
108,591,1622013715492,-1,-1,-1
109,671,1622013716497,-1,-1,-1
110,511,1622013731576,-1,-1,-1
111,711,1622013731576,-1,-1,-1
112,487,1622013736580,-1,-1,-1
113,455,1622013736580,-1,-1,-1
114,607,1622013747491,-1,-1,-1
115,583,1622013752535,-1,-1,-1
116,479,1622013756506,-1,-1,-1
117,455,1622013757506,-1,-1,-1
118,623,1622013757506,-1,-1,-1
119,655,1622013760505,-1,-1,-1
120,399,1622013762543,-1,-1,-1
121,447,1622013764584,-1,-1,-1
122,551,1622013773506,-1,-1,-1
123,687,1622013776505,-1,-1,-1
124,639,1622013777580,-1,-1,-1
125,727,1622013790588,-1,-1,-1
126,663,1622013791496,-1,-1,-1
127,687,1622013795504,-1,-1,-1
128,823,1622013800507,-1,-1,-1
129,479,1622013800507,-1,-1,-1
130,799,1622013807506,-1,-1,-1
131,847,1622013809587,-1,-1,-1
132,1055,1622013812583,-1,-1,-1
133,599,1622013813507,-1,-1,-1
134,1000,1622013815588,-1,-1,-1
135,639,1622013816504,-1,-1,-1
136,503,1622013817506,-1,-1,-1
137,847,1622013817506,-1,-1,-1
138,679,1622013818583,-1,-1,-1
139,839,1622013824588,-1,-1,-1
140,663,1622013828584,-1,-1,-1
141,815,1622013830497,-1,-1,-1
142,679,1622013836505,-1,-1,-1
143,847,1622013837586,-1,-1,-1
144,655,1622013840544,-1,-1,-1
145,671,1622013843583,-1,-1,-1
146,831,1622013844543,-1,-1,-1
147,799,1622013847576,-1,-1,-1
148,591,1622013848546,-1,-1,-1
149,759,1622013851586,-1,-1,-1
150,847,1622013853583,-1,-1,-1
151,767,1622013856542,-1,-1,-1
152,639,1622013857506,-1,-1,-1
153,719,1622013857506,-1,-1,-1
154,791,1622013863507,-1,-1,-1
155,567,1622013864505,-1,-1,-1
156,759,1622013865587,-1,-1,-1
157,583,1622013865587,-1,-1,-1
158,591,1622013866501,-1,-1,-1
159,719,1622013870504,-1,-1,-1
160,495,1622013870504,-1,-1,-1
161,751,1622013871503,-1,-1,-1
162,623,1622013874500,-1,-1,-1
163,551,1622013875586,-1,-1,-1
164,543,1622013875586,-1,-1,-1
165,647,1622013878586,-1,-1,-1
166,719,1622013882505,-1,-1,-1
167,823,1622013884585,-1,-1,-1
168,631,1622013892507,-1,-1,-1
169,623,1622013892507,-1,-1,-1
170,695,1622013893586,-1,-1,-1
171,415,1622013894548,-1,-1,-1
172,775,1622013898504,-1,-1,-1
173,487,1622013899505,-1,-1,-1
174,551,1622013899505,-1,-1,-1
175,487,1622013900585,-1,-1,-1
176,535,1622013900585,-1,-1,-1
177,727,1622013902514,-1,-1,-1
178,543,1622013902514,-1,-1,-1
179,591,1622013908507,-1,-1,-1
180,503,1622013908507,-1,-1,-1
181,735,1622013909586,-1,-1,-1
182,567,1622013912582,-1,-1,-1
183,623,1622013914504,-1,-1,-1
184,631,1622013916543,-1,-1,-1
185,695,1622013916543,-1,-1,-1
186,575,1622013919585,-1,-1,-1
187,783,1622013922582,-1,-1,-1
188,511,1622013922582,-1,-1,-1
189,559,1622013924502,-1,-1,-1
190,703,1622013926508,-1,-1,-1
191,703,1622013929508,-1,-1,-1
192,687,1622013929508,-1,-1,-1
193,711,1622013935544,-1,-1,-1
194,655,1622013935544,-1,-1,-1
195,679,1622013936504,-1,-1,-1
196,623,1622013937507,-1,-1,-1
197,711,1622013937507,-1,-1,-1
198,655,1622013938589,-1,-1,-1
199,655,1622013939506,-1,-1,-1
