,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,639,1624414773724,-1,-1,-1
1,591,1624414773724,-1,-1,-1
2,567,1624414777684,-1,-1,-1
3,631,1624414777684,-1,-1,-1
4,647,1624414788695,-1,-1,-1
5,623,1624414788696,-1,-1,-1
6,623,1624414809696,-1,-1,-1
7,679,1624414811705,-1,-1,-1
8,1887,1624414814705,-1,-1,-1
9,3343,1624414817735,-1,-1,-1
10,847,1624414818725,-1,-1,-1
11,4991,1624414823704,-1,-1,-1
12,5119,1624414830692,-1,-1,-1
13,591,1624414832705,-1,-1,-1
14,735,1624414833692,-1,-1,-1
15,567,1624414833692,-1,-1,-1
16,839,1624414834681,-1,-1,-1
17,599,1624414835702,-1,-1,-1
18,487,1624414835702,-1,-1,-1
19,6855,1624414842694,-1,-1,-1
20,639,1624414843685,-1,-1,-1
21,815,1624414843685,-1,-1,-1
22,54655,1624414898705,-1,-1,-1
23,831,1624414901705,-1,-1,-1
24,567,1624414901705,-1,-1,-1
25,823,1624414902695,-1,-1,-1
26,607,1624414903685,-1,-1,-1
27,655,1624414908695,-1,-1,-1
28,655,1624414952675,-1,-1,-1
29,847,1624414955675,-1,-1,-1
30,631,1624414976675,-1,-1,-1
31,847,1624414977699,-1,-1,-1
32,663,1624415140685,-1,-1,-1
33,29015,1624415209655,-1,-1,-1
34,559,1624415210675,-1,-1,-1
35,647,1624415210675,-1,-1,-1
36,607,1624415309675,-1,-1,-1
37,623,1624415309675,-1,-1,-1
38,9663,1624415330646,-1,-1,-1
39,823,1624415358666,-1,-1,-1
40,695,1624415399645,-1,-1,-1
41,13783,1624415413685,-1,-1,-1
