,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,863,1613925889931,-1,-1,-1
1,743,1613925890921,-1,-1,-1
2,663,1613925900940,-1,-1,-1
3,487,1613925901931,-1,-1,-1
4,591,1613925913932,-1,-1,-1
5,847,1613925914919,-1,-1,-1
6,583,1613925914919,-1,-1,-1
7,895,1613925915939,-1,-1,-1
8,775,1613925918939,-1,-1,-1
9,463,1613925919929,-1,-1,-1
10,839,1613925921939,-1,-1,-1
11,783,1613925924940,-1,-1,-1
12,863,1613925925929,-1,-1,-1
13,583,1613925926919,-1,-1,-1
14,935,1613925927939,-1,-1,-1
15,655,1613925927939,-1,-1,-1
16,951,1613925928931,-1,-1,-1
17,831,1613925930940,-1,-1,-1
18,615,1613925931929,-1,-1,-1
19,815,1613925934931,-1,-1,-1
20,799,1613925935922,-1,-1,-1
21,559,1613925935922,-1,-1,-1
22,543,1613925936940,-1,-1,-1
23,711,1613925937931,-1,-1,-1
24,615,1613925937931,-1,-1,-1
25,839,1613925938920,-1,-1,-1
26,743,1613925939941,-1,-1,-1
27,551,1613925939941,-1,-1,-1
28,807,1613925942941,-1,-1,-1
29,807,1613925943931,-1,-1,-1
30,791,1613925944920,-1,-1,-1
31,815,1613925944920,-1,-1,-1
32,639,1613925945971,-1,-1,-1
33,1000,1613925946929,-1,-1,-1
34,711,1613925947920,-1,-1,-1
35,1023,1613925948942,-1,-1,-1
36,575,1613925948942,-1,-1,-1
37,711,1613925974983,-1,-1,-1
38,655,1613925980981,-1,-1,-1
39,671,1613925981970,-1,-1,-1
40,671,1613925981970,-1,-1,-1
41,631,1613925982989,-1,-1,-1
42,655,1613925983920,-1,-1,-1
43,687,1613925983920,-1,-1,-1
44,687,1613925985003,-1,-1,-1
45,687,1613925986110,-1,-1,-1
46,671,1613925986110,-1,-1,-1
47,695,1613925986981,-1,-1,-1
48,695,1613925987972,-1,-1,-1
49,719,1613925987972,-1,-1,-1
50,679,1613925988960,-1,-1,-1
51,703,1613925989981,-1,-1,-1
52,695,1613925989981,-1,-1,-1
53,703,1613925990970,-1,-1,-1
54,679,1613925992080,-1,-1,-1
55,703,1613925992981,-1,-1,-1
56,711,1613925992981,-1,-1,-1
57,711,1613925993970,-1,-1,-1
58,703,1613925994961,-1,-1,-1
59,719,1613925994961,-1,-1,-1
60,751,1613925995951,-1,-1,-1
61,735,1613925996970,-1,-1,-1
62,743,1613925997962,-1,-1,-1
63,711,1613925999941,-1,-1,-1
64,703,1613926000933,-1,-1,-1
65,703,1613926000933,-1,-1,-1
66,719,1613926001981,-1,-1,-1
67,615,1613926002971,-1,-1,-1
68,599,1613926013922,-1,-1,-1
69,607,1613926014940,-1,-1,-1
70,735,1613926019920,-1,-1,-1
71,647,1613926020941,-1,-1,-1
72,535,1613926020941,-1,-1,-1
73,687,1613926025921,-1,-1,-1
74,679,1613926027931,-1,-1,-1
75,671,1613926028950,-1,-1,-1
76,679,1613926028951,-1,-1,-1
77,703,1613926029941,-1,-1,-1
78,735,1613926030930,-1,-1,-1
79,839,1613926035941,-1,-1,-1
80,839,1613926038940,-1,-1,-1
81,511,1613926041940,-1,-1,-1
82,807,1613926045932,-1,-1,-1
83,831,1613926046920,-1,-1,-1
84,775,1613926049919,-1,-1,-1
85,831,1613926069930,-1,-1,-1
86,799,1613926070920,-1,-1,-1
87,871,1613926071909,-1,-1,-1
88,719,1613926072929,-1,-1,-1
89,847,1613926073919,-1,-1,-1
90,815,1613926074909,-1,-1,-1
91,639,1613926074909,-1,-1,-1
92,991,1613926075930,-1,-1,-1
93,959,1613926076920,-1,-1,-1
94,823,1613926077911,-1,-1,-1
95,823,1613926079920,-1,-1,-1
96,831,1613926080910,-1,-1,-1
97,847,1613926084930,-1,-1,-1
98,807,1613926088920,-1,-1,-1
99,807,1613926089910,-1,-1,-1
100,863,1613926090930,-1,-1,-1
101,839,1613926091920,-1,-1,-1
102,807,1613926092910,-1,-1,-1
103,871,1613926093940,-1,-1,-1
104,1039,1613926094949,-1,-1,-1
105,623,1613926094949,-1,-1,-1
106,887,1613926097920,-1,-1,-1
107,855,1613926098910,-1,-1,-1
108,823,1613926098910,-1,-1,-1
109,855,1613926099934,-1,-1,-1
110,919,1613926100920,-1,-1,-1
111,879,1613926101999,-1,-1,-1
112,895,1613926102929,-1,-1,-1
113,847,1613926103919,-1,-1,-1
114,847,1613926104915,-1,-1,-1
115,815,1613926104916,-1,-1,-1
116,823,1613926105931,-1,-1,-1
117,839,1613926106920,-1,-1,-1
118,903,1613926107911,-1,-1,-1
119,791,1613926108930,-1,-1,-1
120,903,1613926109920,-1,-1,-1
121,671,1613926111931,-1,-1,-1
122,727,1613926115923,-1,-1,-1
123,839,1613926122910,-1,-1,-1
124,823,1613926130921,-1,-1,-1
125,767,1613926131910,-1,-1,-1
126,679,1613926133920,-1,-1,-1
127,871,1613926136922,-1,-1,-1
128,887,1613926137910,-1,-1,-1
129,871,1613926138931,-1,-1,-1
130,831,1613926139919,-1,-1,-1
131,1111,1613926145921,-1,-1,-1
132,887,1613926146909,-1,-1,-1
133,887,1613926147930,-1,-1,-1
134,847,1613926150930,-1,-1,-1
135,831,1613926151921,-1,-1,-1
136,775,1613926151921,-1,-1,-1
137,823,1613926156930,-1,-1,-1
138,831,1613926157921,-1,-1,-1
139,807,1613926158910,-1,-1,-1
140,807,1613926159963,-1,-1,-1
