,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1392,1622125600886,-1,-1,-1
1,558,1622125600886,-1,-1,-1
2,1330,1622125601873,-1,-1,-1
3,403,1622125602833,-1,-1,-1
4,548,1622125602833,-1,-1,-1
5,484,1622125603824,-1,-1,-1
6,1494,1622125605775,-1,-1,-1
7,1172,1622125606765,-1,-1,-1
8,576,1622125606765,-1,-1,-1
9,712,1622125607757,-1,-1,-1
10,625,1622125608715,-1,-1,-1
11,844,1622125609705,-1,-1,-1
12,587,1622125609705,-1,-1,-1
13,685,1622125610668,-1,-1,-1
14,595,1622125610668,-1,-1,-1
15,558,1622125611655,-1,-1,-1
16,597,1622125612647,-1,-1,-1
17,630,1622125612648,-1,-1,-1
18,1194,1622125613603,-1,-1,-1
19,741,1622125615552,-1,-1,-1
20,1193,1622125615552,-1,-1,-1
21,524,1622125616545,-1,-1,-1
22,528,1622125616545,-1,-1,-1
23,606,1622125617535,-1,-1,-1
24,532,1622125618495,-1,-1,-1
25,506,1622125619485,-1,-1,-1
26,1258,1622125619485,-1,-1,-1
27,1096,1622125621435,-1,-1,-1
28,472,1622125621435,-1,-1,-1
29,503,1622125622425,-1,-1,-1
30,313,1622125622425,-1,-1,-1
31,758,1622125623384,-1,-1,-1
32,793,1622125624375,-1,-1,-1
33,648,1622125624375,-1,-1,-1
34,655,1622125625395,-1,-1,-1
35,757,1622125626325,-1,-1,-1
36,674,1622125626325,-1,-1,-1
37,422,1622125627315,-1,-1,-1
38,720,1622125627315,-1,-1,-1
39,1068,1622125629265,-1,-1,-1
40,420,1622125629265,-1,-1,-1
41,304,1622125629265,-1,-1,-1
42,279,1622125630255,-1,-1,-1
43,713,1622125630255,-1,-1,-1
44,826,1622125631245,-1,-1,-1
45,572,1622125632205,-1,-1,-1
46,871,1622125633195,-1,-1,-1
47,796,1622125634156,-1,-1,-1
48,851,1622125634156,-1,-1,-1
49,1323,1622125636137,-1,-1,-1
50,1207,1622125637095,-1,-1,-1
51,819,1622125638085,-1,-1,-1
52,1144,1622125639075,-1,-1,-1
53,1148,1622125640036,-1,-1,-1
54,1255,1622125641025,-1,-1,-1
55,763,1622125641985,-1,-1,-1
56,663,1622125642977,-1,-1,-1
57,1399,1622125643967,-1,-1,-1
58,854,1622125644925,-1,-1,-1
59,1046,1622125645915,-1,-1,-1
60,570,1622125646906,-1,-1,-1
61,545,1622125646906,-1,-1,-1
62,558,1622125647863,-1,-1,-1
63,583,1622125648855,-1,-1,-1
64,559,1622125648855,-1,-1,-1
65,552,1622125649814,-1,-1,-1
66,572,1622125649815,-1,-1,-1
67,571,1622125650805,-1,-1,-1
68,623,1622125650805,-1,-1,-1
69,723,1622125651797,-1,-1,-1
70,433,1622125652755,-1,-1,-1
71,365,1622125652755,-1,-1,-1
72,465,1622125652755,-1,-1,-1
73,670,1622125653745,-1,-1,-1
74,315,1622125653745,-1,-1,-1
75,536,1622125654736,-1,-1,-1
76,342,1622125654736,-1,-1,-1
77,602,1622125655695,-1,-1,-1
78,527,1622125655695,-1,-1,-1
79,640,1622125656685,-1,-1,-1
80,307,1622125657645,-1,-1,-1
81,890,1622125657645,-1,-1,-1
82,1073,1622125659625,-1,-1,-1
83,451,1622125659625,-1,-1,-1
84,730,1622125660586,-1,-1,-1
85,739,1622125661575,-1,-1,-1
86,509,1622125661575,-1,-1,-1
87,534,1622125662565,-1,-1,-1
88,869,1622125662565,-1,-1,-1
89,366,1622125663525,-1,-1,-1
90,615,1622125664517,-1,-1,-1
91,1755,1622125665475,-1,-1,-1
92,451,1622125666464,-1,-1,-1
93,531,1622125666464,-1,-1,-1
94,532,1622125667455,-1,-1,-1
95,476,1622125668417,-1,-1,-1
96,1121,1622125668417,-1,-1,-1
97,603,1622125669405,-1,-1,-1
98,551,1622125670395,-1,-1,-1
99,597,1622125670395,-1,-1,-1
100,570,1622125671354,-1,-1,-1
101,584,1622125671354,-1,-1,-1
102,684,1622125673306,-1,-1,-1
103,1135,1622125673306,-1,-1,-1
104,742,1622125674295,-1,-1,-1
105,1079,1622125675284,-1,-1,-1
106,700,1622125676245,-1,-1,-1
107,1049,1622125677235,-1,-1,-1
108,422,1622125677235,-1,-1,-1
109,659,1622125678195,-1,-1,-1
110,1197,1622125679185,-1,-1,-1
111,647,1622125680173,-1,-1,-1
112,518,1622125680173,-1,-1,-1
113,565,1622125681135,-1,-1,-1
114,639,1622125682126,-1,-1,-1
115,384,1622125682126,-1,-1,-1
116,582,1622125683114,-1,-1,-1
117,740,1622125683114,-1,-1,-1
118,533,1622125684075,-1,-1,-1
119,483,1622125684075,-1,-1,-1
120,351,1622125685065,-1,-1,-1
121,1315,1622125686055,-1,-1,-1
122,621,1622125687016,-1,-1,-1
123,561,1622125687016,-1,-1,-1
124,434,1622125688005,-1,-1,-1
125,985,1622125688965,-1,-1,-1
126,388,1622125688965,-1,-1,-1
127,561,1622125689953,-1,-1,-1
128,406,1622125689953,-1,-1,-1
129,1188,1622125690945,-1,-1,-1
130,1214,1622125692893,-1,-1,-1
131,672,1622125692893,-1,-1,-1
132,599,1622125693884,-1,-1,-1
133,509,1622125694845,-1,-1,-1
134,976,1622125695835,-1,-1,-1
135,488,1622125695835,-1,-1,-1
136,1570,1622125697784,-1,-1,-1
137,1320,1622125698778,-1,-1,-1
138,486,1622125699736,-1,-1,-1
139,1036,1622125700728,-1,-1,-1
140,479,1622125700728,-1,-1,-1
141,571,1622125701687,-1,-1,-1
142,502,1622125701687,-1,-1,-1
143,977,1622125702675,-1,-1,-1
144,610,1622125703672,-1,-1,-1
145,425,1622125703672,-1,-1,-1
146,566,1622125704625,-1,-1,-1
147,421,1622125704625,-1,-1,-1
148,817,1622125705613,-1,-1,-1
149,623,1622125706606,-1,-1,-1
150,957,1622125707564,-1,-1,-1
151,590,1622125707564,-1,-1,-1
152,1583,1622125709516,-1,-1,-1
153,1544,1622125711496,-1,-1,-1
154,544,1622125711497,-1,-1,-1
155,617,1622125712455,-1,-1,-1
156,693,1622125712455,-1,-1,-1
157,722,1622125713445,-1,-1,-1
158,1103,1622125714406,-1,-1,-1
159,1080,1622125715426,-1,-1,-1
160,757,1622125716384,-1,-1,-1
161,925,1622125718333,-1,-1,-1
162,1307,1622125718333,-1,-1,-1
163,875,1622125719296,-1,-1,-1
164,896,1622125720287,-1,-1,-1
165,636,1622125721279,-1,-1,-1
166,569,1622125721279,-1,-1,-1
167,500,1622125722233,-1,-1,-1
168,742,1622125723228,-1,-1,-1
169,393,1622125723228,-1,-1,-1
170,601,1622125724212,-1,-1,-1
171,882,1622125725174,-1,-1,-1
172,777,1622125725174,-1,-1,-1
173,726,1622125726166,-1,-1,-1
174,745,1622125727124,-1,-1,-1
175,1755,1622125729104,-1,-1,-1
176,1152,1622125730064,-1,-1,-1
177,1111,1622125731060,-1,-1,-1
178,1856,1622125733006,-1,-1,-1
179,751,1622125733993,-1,-1,-1
180,564,1622125733993,-1,-1,-1
181,837,1622125734953,-1,-1,-1
182,1050,1622125735943,-1,-1,-1
183,470,1622125736933,-1,-1,-1
184,688,1622125736933,-1,-1,-1
185,950,1622125738884,-1,-1,-1
186,700,1622125738884,-1,-1,-1
187,1255,1622125739873,-1,-1,-1
188,843,1622125740833,-1,-1,-1
189,734,1622125741826,-1,-1,-1
190,630,1622125742784,-1,-1,-1
191,540,1622125742784,-1,-1,-1
192,841,1622125743775,-1,-1,-1
193,560,1622125744765,-1,-1,-1
194,853,1622125744765,-1,-1,-1
195,563,1622125745725,-1,-1,-1
196,543,1622125746714,-1,-1,-1
197,905,1622125747704,-1,-1,-1
198,597,1622125747704,-1,-1,-1
199,1367,1622125749655,-1,-1,-1
200,800,1622125749656,-1,-1,-1
201,1235,1622125751604,-1,-1,-1
202,1310,1622125753590,-1,-1,-1
203,1689,1622125754543,-1,-1,-1
204,919,1622125755522,-1,-1,-1
205,638,1622125755523,-1,-1,-1
206,498,1622125756511,-1,-1,-1
207,757,1622125757512,-1,-1,-1
208,1154,1622125758448,-1,-1,-1
209,310,1622125758448,-1,-1,-1
210,516,1622125759433,-1,-1,-1
211,888,1622125760393,-1,-1,-1
212,1479,1622125761407,-1,-1,-1
213,562,1622125762372,-1,-1,-1
214,997,1622125763335,-1,-1,-1
215,1592,1622125764358,-1,-1,-1
216,613,1622125765342,-1,-1,-1
217,597,1622125765342,-1,-1,-1
218,1516,1622125767263,-1,-1,-1
219,549,1622125768372,-1,-1,-1
220,967,1622125769243,-1,-1,-1
221,726,1622125769243,-1,-1,-1
222,543,1622125770206,-1,-1,-1
223,689,1622125771174,-1,-1,-1
224,559,1622125771174,-1,-1,-1
225,766,1622125772190,-1,-1,-1
226,818,1622125773132,-1,-1,-1
227,526,1622125774195,-1,-1,-1
228,1225,1622125775094,-1,-1,-1
229,652,1622125775094,-1,-1,-1
230,684,1622125776064,-1,-1,-1
231,659,1622125777057,-1,-1,-1
232,653,1622125777057,-1,-1,-1
233,582,1622125778007,-1,-1,-1
