,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,1460,1623246630507,-1,-1,-1
1,593,1623246631496,-1,-1,-1
2,734,1623246632497,-1,-1,-1
3,570,1623246632497,-1,-1,-1
4,656,1623246633498,-1,-1,-1
5,578,1623246634501,-1,-1,-1
6,656,1623246634501,-1,-1,-1
7,585,1623246635502,-1,-1,-1
8,671,1623246636506,-1,-1,-1
9,796,1623246636506,-1,-1,-1
10,789,1623246637505,-1,-1,-1
11,781,1623246638497,-1,-1,-1
12,500,1623246639505,-1,-1,-1
13,742,1623246639505,-1,-1,-1
14,570,1623246640502,-1,-1,-1
15,531,1623246640502,-1,-1,-1
16,898,1623246641597,-1,-1,-1
17,601,1623246644598,-1,-1,-1
18,742,1623246646597,-1,-1,-1
19,523,1623246647497,-1,-1,-1
20,562,1623246648495,-1,-1,-1
21,593,1623246648495,-1,-1,-1
22,562,1623246649499,-1,-1,-1
23,632,1623246649499,-1,-1,-1
24,601,1623246650504,-1,-1,-1
25,695,1623246651594,-1,-1,-1
26,609,1623246653497,-1,-1,-1
27,656,1623246653497,-1,-1,-1
28,601,1623246654494,-1,-1,-1
29,648,1623246655504,-1,-1,-1
30,617,1623246655504,-1,-1,-1
31,562,1623246656494,-1,-1,-1
32,695,1623246656494,-1,-1,-1
33,593,1623246657506,-1,-1,-1
34,617,1623246658503,-1,-1,-1
35,609,1623246658506,-1,-1,-1
36,593,1623246659601,-1,-1,-1
37,570,1623246660601,-1,-1,-1
38,609,1623246661601,-1,-1,-1
39,570,1623246663501,-1,-1,-1
40,484,1623246664505,-1,-1,-1
41,578,1623246664506,-1,-1,-1
42,500,1623246665801,-1,-1,-1
43,570,1623246665801,-1,-1,-1
44,460,1623246666598,-1,-1,-1
45,656,1623246666598,-1,-1,-1
46,656,1623246667599,-1,-1,-1
47,539,1623246668499,-1,-1,-1
48,554,1623246668499,-1,-1,-1
49,679,1623246669503,-1,-1,-1
50,601,1623246669503,-1,-1,-1
51,578,1623246670503,-1,-1,-1
52,585,1623246672503,-1,-1,-1
53,656,1623246672799,-1,-1,-1
54,515,1623246672800,-1,-1,-1
55,554,1623246674503,-1,-1,-1
56,429,1623246674504,-1,-1,-1
57,554,1623246675597,-1,-1,-1
58,539,1623246676701,-1,-1,-1
59,539,1623246678506,-1,-1,-1
