,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,623,1623758560395,-1,-1,-1
1,623,1623758560395,-1,-1,-1
2,615,1623758561413,-1,-1,-1
3,559,1623758561413,-1,-1,-1
4,727,1623758563390,-1,-1,-1
5,615,1623758565402,-1,-1,-1
6,567,1623758568400,-1,-1,-1
7,591,1623758568400,-1,-1,-1
8,591,1623758569391,-1,-1,-1
9,591,1623758569391,-1,-1,-1
10,615,1623758570381,-1,-1,-1
11,623,1623758571401,-1,-1,-1
12,599,1623758571401,-1,-1,-1
13,623,1623758572387,-1,-1,-1
14,631,1623758572387,-1,-1,-1
15,639,1623758573382,-1,-1,-1
16,607,1623758574402,-1,-1,-1
17,631,1623758574402,-1,-1,-1
18,655,1623758587426,-1,-1,-1
19,639,1623758587426,-1,-1,-1
20,647,1623758588394,-1,-1,-1
21,647,1623758589416,-1,-1,-1
22,647,1623758589416,-1,-1,-1
23,639,1623758590391,-1,-1,-1
24,647,1623758590391,-1,-1,-1
25,615,1623758591376,-1,-1,-1
26,639,1623758592398,-1,-1,-1
27,615,1623758592398,-1,-1,-1
28,615,1623758593386,-1,-1,-1
29,631,1623758594378,-1,-1,-1
30,591,1623758594378,-1,-1,-1
31,615,1623758595397,-1,-1,-1
32,615,1623758595397,-1,-1,-1
33,639,1623758596385,-1,-1,-1
34,615,1623758597427,-1,-1,-1
35,647,1623758597428,-1,-1,-1
36,679,1623758598397,-1,-1,-1
37,663,1623758599388,-1,-1,-1
38,639,1623758599388,-1,-1,-1
39,663,1623758600377,-1,-1,-1
40,647,1623758601402,-1,-1,-1
41,695,1623758603377,-1,-1,-1
42,623,1623758603377,-1,-1,-1
43,671,1623758604398,-1,-1,-1
44,631,1623758604398,-1,-1,-1
45,663,1623758605387,-1,-1,-1
46,631,1623758606375,-1,-1,-1
47,647,1623758606375,-1,-1,-1
48,663,1623758607395,-1,-1,-1
49,639,1623758608386,-1,-1,-1
50,631,1623758608386,-1,-1,-1
51,647,1623758609376,-1,-1,-1
52,687,1623758610428,-1,-1,-1
53,647,1623758610428,-1,-1,-1
54,623,1623758611386,-1,-1,-1
55,671,1623758612381,-1,-1,-1
56,671,1623758612381,-1,-1,-1
57,663,1623758613402,-1,-1,-1
58,647,1623758614388,-1,-1,-1
59,703,1623758614388,-1,-1,-1
60,615,1623758615381,-1,-1,-1
61,639,1623758616400,-1,-1,-1
62,663,1623758616401,-1,-1,-1
63,671,1623758617391,-1,-1,-1
64,647,1623758618381,-1,-1,-1
65,687,1623758618381,-1,-1,-1
66,687,1623758619399,-1,-1,-1
67,623,1623758620421,-1,-1,-1
68,663,1623758620421,-1,-1,-1
69,703,1623758621381,-1,-1,-1
70,647,1623758622400,-1,-1,-1
71,623,1623758622400,-1,-1,-1
72,647,1623758623390,-1,-1,-1
