,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,609,1623422650600,-1,-1,-1
1,609,1623422650600,-1,-1,-1
2,632,1623422651499,-1,-1,-1
3,632,1623422652502,-1,-1,-1
4,656,1623422652502,-1,-1,-1
5,656,1623422653705,-1,-1,-1
6,664,1623422654501,-1,-1,-1
7,671,1623422654501,-1,-1,-1
8,671,1623422655501,-1,-1,-1
9,656,1623422656502,-1,-1,-1
10,640,1623422656502,-1,-1,-1
11,640,1623422657502,-1,-1,-1
12,640,1623422658505,-1,-1,-1
13,648,1623422658505,-1,-1,-1
14,656,1623422659500,-1,-1,-1
15,664,1623422660500,-1,-1,-1
16,703,1623422660500,-1,-1,-1
17,710,1623422661506,-1,-1,-1
18,703,1623422662500,-1,-1,-1
19,695,1623422663502,-1,-1,-1
20,703,1623422663502,-1,-1,-1
21,679,1623422664502,-1,-1,-1
22,671,1623422665523,-1,-1,-1
23,671,1623422665523,-1,-1,-1
24,679,1623422666509,-1,-1,-1
25,687,1623422667507,-1,-1,-1
26,687,1623422667507,-1,-1,-1
27,679,1623422668508,-1,-1,-1
28,679,1623422669506,-1,-1,-1
29,695,1623422670701,-1,-1,-1
30,695,1623422670701,-1,-1,-1
31,710,1623422671507,-1,-1,-1
32,718,1623422672502,-1,-1,-1
33,710,1623422672503,-1,-1,-1
34,710,1623422673508,-1,-1,-1
35,703,1623422674508,-1,-1,-1
36,625,1623422675601,-1,-1,-1
37,726,1623422675601,-1,-1,-1
38,625,1623422677507,-1,-1,-1
39,671,1623422678507,-1,-1,-1
40,726,1623422679508,-1,-1,-1
41,718,1623422679508,-1,-1,-1
42,671,1623422680509,-1,-1,-1
43,804,1623422681510,-1,-1,-1
44,734,1623422682500,-1,-1,-1
45,687,1623422682500,-1,-1,-1
46,687,1623422683510,-1,-1,-1
47,632,1623422684506,-1,-1,-1
48,656,1623422684506,-1,-1,-1
49,703,1623422685501,-1,-1,-1
50,632,1623422686608,-1,-1,-1
51,648,1623422686608,-1,-1,-1
52,632,1623422687607,-1,-1,-1
53,648,1623422688507,-1,-1,-1
54,734,1623422688507,-1,-1,-1
55,734,1623422689606,-1,-1,-1
56,718,1623422690608,-1,-1,-1
57,757,1623422691606,-1,-1,-1
