	RR	Timestamp	SensorContact	errorEstimate	blockerBit		54,10%
0	623	1,62541E+12	-1	-1	-1		
1	743	1,62541E+12	-1	-1	-1	1021	
2	607	1,62541E+12	-1	-1	-1	0	
3	727	1,62541E+12	-1	-1	-1	3029	
4	775	1,62541E+12	-1	-1	-1	3962	
5	655	1,62541E+12	-1	-1	-1	3000	
6	695	1,62541E+12	-1	-1	-1	12000	
7	735	1,62541E+12	-1	-1	-1	3030	
8	767	1,62541E+12	-1	-1	-1	0	
9	783	1,62541E+12	-1	-1	-1	958	
10	463	1,62541E+12	-1	-1	-1	1020	
11	751	1,62541E+12	-1	-1	-1	1981	
12	727	1,62541E+12	-1	-1	-1	1020	
13	735	1,62541E+12	-1	-1	-1	1982	
14	695	1,62541E+12	-1	-1	-1	1019	
15	751	1,62541E+12	-1	-1	-1	991	
16	807	1,62541E+12	-1	-1	-1	0	
17	727	1,62541E+12	-1	-1	-1	988	
18	815	1,62541E+12	-1	-1	-1	2040	
19	647	1,62541E+12	-1	-1	-1	991	
20	903	1,62541E+12	-1	-1	-1	989	
21	783	1,62541E+12	-1	-1	-1	1980	
22	607	1,62541E+12	-1	-1	-1	1022	
23	671	1,62541E+12	-1	-1	-1	989	
24	735	1,62541E+12	-1	-1	-1	6992	
25	751	1,62541E+12	-1	-1	-1	0	
26	775	1,62541E+12	-1	-1	-1	988	
27	735	1,62541E+12	-1	-1	-1	1020	
28	703	1,62541E+12	-1	-1	-1	1979	
29	727	1,62541E+12	-1	-1	-1	1020	
30	751	1,62541E+12	-1	-1	-1	991	
31	807	1,62541E+12	-1	-1	-1	0	
32	719	1,62541E+12	-1	-1	-1	991	
33	751	1,62541E+12	-1	-1	-1	1020	
34	743	1,62541E+12	-1	-1	-1	988	
35	759	1,62541E+12	-1	-1	-1	0	
36	743	1,62541E+12	-1	-1	-1	991	
37	743	1,62541E+12	-1	-1	-1	1021	
38	783	1,62541E+12	-1	-1	-1	989	
39	727	1,62541E+12	-1	-1	-1	0	
40	735	1,62541E+12	-1	-1	-1	989	
41	775	1,62541E+12	-1	-1	-1	1021	
42	735	1,62541E+12	-1	-1	-1	991	
43	751	1,62541E+12	-1	-1	-1	0	
44	735	1,62541E+12	-1	-1	-1	989	
45	543	1,62541E+12	-1	-1	-1	2011	
46	695	1,62541E+12	-1	-1	-1	0	
47	527	1,62541E+12	-1	-1	-1	3989	
48	695	1,62541E+12	-1	-1	-1	1021	
49	831	1,62541E+12	-1	-1	-1	3988	
50	703	1,62541E+12	-1	-1	-1	991	
51	711	1,62541E+12	-1	-1	-1	1022	
52	727	1,62541E+12	-1	-1	-1	1	
53	751	1,62541E+12	-1	-1	-1	987	
54	775	1,62541E+12	-1	-1	-1	990	
55	679	1,62541E+12	-1	-1	-1	1021	
56	751	1,62541E+12	-1	-1	-1	0	
