,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,329,1622614587889,-1,-1,-1
1,837,1622614588878,-1,-1,-1
2,1037,1622614589867,-1,-1,-1
3,434,1622614590827,-1,-1,-1
4,1282,1622614591819,-1,-1,-1
5,1552,1622614592806,-1,-1,-1
6,793,1622614593767,-1,-1,-1
7,369,1622614593767,-1,-1,-1
8,659,1622614594758,-1,-1,-1
9,927,1622614595750,-1,-1,-1
10,595,1622614596707,-1,-1,-1
11,578,1622614596707,-1,-1,-1
12,776,1622614597702,-1,-1,-1
13,517,1622614598686,-1,-1,-1
14,446,1622614598686,-1,-1,-1
15,500,1622614599648,-1,-1,-1
16,581,1622614599648,-1,-1,-1
17,454,1622614600639,-1,-1,-1
18,643,1622614600639,-1,-1,-1
19,310,1622614601599,-1,-1,-1
20,464,1622614601599,-1,-1,-1
21,423,1622614602588,-1,-1,-1
22,572,1622614602588,-1,-1,-1
23,542,1622614603577,-1,-1,-1
24,641,1622614603577,-1,-1,-1
25,614,1622614604539,-1,-1,-1
26,604,1622614605526,-1,-1,-1
27,314,1622614605526,-1,-1,-1
28,804,1622614606517,-1,-1,-1
29,1177,1622614607476,-1,-1,-1
30,379,1622614607476,-1,-1,-1
31,742,1622614608470,-1,-1,-1
32,520,1622614609459,-1,-1,-1
33,415,1622614609459,-1,-1,-1
34,547,1622614610418,-1,-1,-1
35,515,1622614610419,-1,-1,-1
36,468,1622614611409,-1,-1,-1
37,322,1622614611409,-1,-1,-1
38,378,1622614611409,-1,-1,-1
39,1165,1622614612370,-1,-1,-1
40,495,1622614613359,-1,-1,-1
41,471,1622614613360,-1,-1,-1
42,493,1622614614348,-1,-1,-1
43,460,1622614614348,-1,-1,-1
44,488,1622614615308,-1,-1,-1
45,486,1622614615308,-1,-1,-1
46,694,1622614616297,-1,-1,-1
47,1195,1622614617287,-1,-1,-1
48,464,1622614618251,-1,-1,-1
49,689,1622614619240,-1,-1,-1
50,737,1622614619240,-1,-1,-1
51,707,1622614620197,-1,-1,-1
52,432,1622614620197,-1,-1,-1
53,578,1622614621196,-1,-1,-1
54,428,1622614621196,-1,-1,-1
55,583,1622614622216,-1,-1,-1
56,762,1622614623138,-1,-1,-1
57,637,1622614624128,-1,-1,-1
58,734,1622614624128,-1,-1,-1
59,540,1622614625089,-1,-1,-1
60,500,1622614625089,-1,-1,-1
61,401,1622614626087,-1,-1,-1
62,324,1622614626087,-1,-1,-1
63,1097,1622614627069,-1,-1,-1
64,1376,1622614629018,-1,-1,-1
65,639,1622614629018,-1,-1,-1
66,464,1622614629980,-1,-1,-1
67,450,1622614629980,-1,-1,-1
68,862,1622614630968,-1,-1,-1
69,768,1622614631928,-1,-1,-1
70,461,1622614632918,-1,-1,-1
71,606,1622614632918,-1,-1,-1
72,796,1622614633909,-1,-1,-1
73,491,1622614633909,-1,-1,-1
74,1492,1622614635855,-1,-1,-1
75,731,1622614636816,-1,-1,-1
76,1330,1622614637808,-1,-1,-1
77,1489,1622614639759,-1,-1,-1
78,1097,1622614640748,-1,-1,-1
79,612,1622614640748,-1,-1,-1
80,476,1622614641749,-1,-1,-1
81,1036,1622614642701,-1,-1,-1
82,383,1622614642701,-1,-1,-1
83,471,1622614643701,-1,-1,-1
84,602,1622614643701,-1,-1,-1
85,1032,1622614644651,-1,-1,-1
86,586,1622614645637,-1,-1,-1
87,505,1622614645637,-1,-1,-1
88,563,1622614646601,-1,-1,-1
89,1020,1622614647599,-1,-1,-1
90,555,1622614648579,-1,-1,-1
91,385,1622614648579,-1,-1,-1
92,662,1622614649548,-1,-1,-1
93,492,1622614649548,-1,-1,-1
94,452,1622614650529,-1,-1,-1
95,445,1622614650529,-1,-1,-1
96,801,1622614651518,-1,-1,-1
97,566,1622614652478,-1,-1,-1
98,967,1622614652478,-1,-1,-1
99,542,1622614653470,-1,-1,-1
100,422,1622614653470,-1,-1,-1
101,293,1622614654428,-1,-1,-1
102,367,1622614654428,-1,-1,-1
103,363,1622614654428,-1,-1,-1
104,974,1622614656418,-1,-1,-1
105,698,1622614656418,-1,-1,-1
106,1305,1622614658368,-1,-1,-1
107,1326,1622614660318,-1,-1,-1
108,1137,1622614660318,-1,-1,-1
109,406,1622614660318,-1,-1,-1
110,650,1622614661299,-1,-1,-1
111,385,1622614662268,-1,-1,-1
112,507,1622614662268,-1,-1,-1
113,586,1622614663248,-1,-1,-1
114,1325,1622614664239,-1,-1,-1
115,1102,1622614665198,-1,-1,-1
116,609,1622614666189,-1,-1,-1
117,580,1622614667176,-1,-1,-1
118,1426,1622614668138,-1,-1,-1
119,536,1622614669127,-1,-1,-1
120,740,1622614669127,-1,-1,-1
121,1157,1622614670088,-1,-1,-1
122,731,1622614671078,-1,-1,-1
123,803,1622614672069,-1,-1,-1
124,575,1622614672069,-1,-1,-1
125,494,1622614673030,-1,-1,-1
126,567,1622614674018,-1,-1,-1
127,1004,1622614674980,-1,-1,-1
128,349,1622614674980,-1,-1,-1
129,530,1622614674980,-1,-1,-1
130,993,1622614676967,-1,-1,-1
131,1106,1622614677947,-1,-1,-1
132,623,1622614677947,-1,-1,-1
133,381,1622614678917,-1,-1,-1
134,742,1622614678918,-1,-1,-1
135,553,1622614679898,-1,-1,-1
136,540,1622614680870,-1,-1,-1
137,357,1622614680870,-1,-1,-1
138,812,1622614681848,-1,-1,-1
139,1250,1622614682838,-1,-1,-1
140,573,1622614683796,-1,-1,-1
141,716,1622614683796,-1,-1,-1
142,844,1622614684787,-1,-1,-1
143,1204,1622614686739,-1,-1,-1
144,791,1622614686739,-1,-1,-1
145,532,1622614687728,-1,-1,-1
146,689,1622614687728,-1,-1,-1
147,734,1622614688688,-1,-1,-1
148,944,1622614689680,-1,-1,-1
149,476,1622614690638,-1,-1,-1
150,628,1622614690638,-1,-1,-1
151,792,1622614691628,-1,-1,-1
152,594,1622614692618,-1,-1,-1
153,590,1622614692618,-1,-1,-1
154,667,1622614693578,-1,-1,-1
155,726,1622614694567,-1,-1,-1
156,659,1622614695567,-1,-1,-1
157,632,1622614695567,-1,-1,-1
158,577,1622614696520,-1,-1,-1
159,483,1622614696520,-1,-1,-1
160,711,1622614697518,-1,-1,-1
161,454,1622614698470,-1,-1,-1
162,630,1622614698470,-1,-1,-1
163,1027,1622614699467,-1,-1,-1
164,697,1622614700448,-1,-1,-1
165,1073,1622614701408,-1,-1,-1
166,643,1622614702398,-1,-1,-1
167,600,1622614702398,-1,-1,-1
168,475,1622614703391,-1,-1,-1
169,983,1622614704348,-1,-1,-1
170,878,1622614705338,-1,-1,-1
171,623,1622614705338,-1,-1,-1
172,699,1622614706330,-1,-1,-1
173,687,1622614707288,-1,-1,-1
174,638,1622614707288,-1,-1,-1
175,373,1622614708279,-1,-1,-1
176,609,1622614708279,-1,-1,-1
177,410,1622614709237,-1,-1,-1
178,929,1622614710230,-1,-1,-1
179,378,1622614710230,-1,-1,-1
180,623,1622614711230,-1,-1,-1
181,544,1622614711230,-1,-1,-1
182,559,1622614712179,-1,-1,-1
183,1246,1622614713179,-1,-1,-1
184,1140,1622614714130,-1,-1,-1
185,801,1622614715119,-1,-1,-1
186,352,1622614715119,-1,-1,-1
187,457,1622614716111,-1,-1,-1
188,343,1622614716111,-1,-1,-1
189,406,1622614717069,-1,-1,-1
190,477,1622614717069,-1,-1,-1
191,377,1622614718061,-1,-1,-1
192,725,1622614718061,-1,-1,-1
193,611,1622614719022,-1,-1,-1
194,460,1622614719022,-1,-1,-1
195,561,1622614720011,-1,-1,-1
196,579,1622614721008,-1,-1,-1
197,636,1622614721008,-1,-1,-1
198,339,1622614721961,-1,-1,-1
199,620,1622614721961,-1,-1,-1
200,595,1622614722960,-1,-1,-1
201,748,1622614723911,-1,-1,-1
202,898,1622614724909,-1,-1,-1
203,357,1622614724909,-1,-1,-1
204,825,1622614725861,-1,-1,-1
205,598,1622614725861,-1,-1,-1
206,692,1622614726862,-1,-1,-1
207,886,1622614727839,-1,-1,-1
208,618,1622614728810,-1,-1,-1
209,683,1622614728810,-1,-1,-1
210,812,1622614729828,-1,-1,-1
211,434,1622614729828,-1,-1,-1
212,858,1622614730779,-1,-1,-1
213,808,1622614731740,-1,-1,-1
214,449,1622614732740,-1,-1,-1
215,1575,1622614734686,-1,-1,-1
216,963,1622614734686,-1,-1,-1
217,385,1622614735700,-1,-1,-1
218,562,1622614735700,-1,-1,-1
219,731,1622614736637,-1,-1,-1
220,846,1622614737619,-1,-1,-1
221,1427,1622614738610,-1,-1,-1
222,493,1622614739568,-1,-1,-1
223,360,1622614739568,-1,-1,-1
224,880,1622614740560,-1,-1,-1
225,586,1622614741549,-1,-1,-1
226,714,1622614741549,-1,-1,-1
227,543,1622614742510,-1,-1,-1
228,373,1622614742510,-1,-1,-1
229,396,1622614743500,-1,-1,-1
230,837,1622614744489,-1,-1,-1
231,849,1622614745447,-1,-1,-1
232,965,1622614746439,-1,-1,-1
233,535,1622614746439,-1,-1,-1
234,860,1622614747399,-1,-1,-1
235,759,1622614748391,-1,-1,-1
236,1634,1622614749387,-1,-1,-1
237,465,1622614750339,-1,-1,-1
238,703,1622614751337,-1,-1,-1
239,949,1622614752320,-1,-1,-1
240,438,1622614752320,-1,-1,-1
241,596,1622614753287,-1,-1,-1
242,1000,1622614754270,-1,-1,-1
243,686,1622614754270,-1,-1,-1
244,351,1622614755235,-1,-1,-1
245,1002,1622614756245,-1,-1,-1
246,1554,1622614757212,-1,-1,-1
247,397,1622614758171,-1,-1,-1
248,652,1622614758171,-1,-1,-1
249,412,1622614759163,-1,-1,-1
250,557,1622614760162,-1,-1,-1
251,1026,1622614761109,-1,-1,-1
252,1209,1622614762099,-1,-1,-1
253,655,1622614762099,-1,-1,-1
254,519,1622614763059,-1,-1,-1
255,808,1622614764054,-1,-1,-1
256,1007,1622614765039,-1,-1,-1
257,465,1622614765039,-1,-1,-1
258,1160,1622614766990,-1,-1,-1
259,585,1622614766990,-1,-1,-1
260,1463,1622614768940,-1,-1,-1
261,544,1622614768940,-1,-1,-1
262,952,1622614769930,-1,-1,-1
263,956,1622614770891,-1,-1,-1
264,502,1622614771882,-1,-1,-1
265,658,1622614771882,-1,-1,-1
266,762,1622614772870,-1,-1,-1
267,882,1622614773828,-1,-1,-1
268,648,1622614774818,-1,-1,-1
269,517,1622614774818,-1,-1,-1
270,934,1622614775781,-1,-1,-1
271,637,1622614776769,-1,-1,-1
272,1125,1622614777761,-1,-1,-1
273,958,1622614778736,-1,-1,-1
274,712,1622614779708,-1,-1,-1
275,536,1622614779708,-1,-1,-1
276,422,1622614780699,-1,-1,-1
277,585,1622614780699,-1,-1,-1
278,694,1622614781658,-1,-1,-1
279,362,1622614781658,-1,-1,-1
280,964,1622614782649,-1,-1,-1
281,609,1622614783611,-1,-1,-1
282,872,1622614784599,-1,-1,-1
283,685,1622614784599,-1,-1,-1
284,1009,1622614785590,-1,-1,-1
285,486,1622614786550,-1,-1,-1
286,680,1622614787541,-1,-1,-1
287,472,1622614787541,-1,-1,-1
288,561,1622614788498,-1,-1,-1
289,938,1622614789491,-1,-1,-1
290,1226,1622614790479,-1,-1,-1
291,1030,1622614791439,-1,-1,-1
292,580,1622614792429,-1,-1,-1
293,598,1622614792429,-1,-1,-1
294,547,1622614793394,-1,-1,-1
295,581,1622614794379,-1,-1,-1
296,1142,1622614795371,-1,-1,-1
297,688,1622614795371,-1,-1,-1
298,572,1622614796344,-1,-1,-1
299,512,1622614796344,-1,-1,-1
300,488,1622614797322,-1,-1,-1
301,606,1622614798308,-1,-1,-1
302,1691,1622614799272,-1,-1,-1
303,501,1622614800258,-1,-1,-1
304,469,1622614800258,-1,-1,-1
305,591,1622614801249,-1,-1,-1
306,1016,1622614802208,-1,-1,-1
307,320,1622614802208,-1,-1,-1
308,1128,1622614803199,-1,-1,-1
309,1289,1622614805162,-1,-1,-1
310,638,1622614805163,-1,-1,-1
311,537,1622614806148,-1,-1,-1
312,633,1622614806148,-1,-1,-1
313,580,1622614807099,-1,-1,-1
314,445,1622614808092,-1,-1,-1
315,562,1622614808092,-1,-1,-1
316,615,1622614809078,-1,-1,-1
317,477,1622614809078,-1,-1,-1
318,491,1622614810040,-1,-1,-1
319,959,1622614811028,-1,-1,-1
320,666,1622614811028,-1,-1,-1
321,741,1622614811989,-1,-1,-1
322,546,1622614812979,-1,-1,-1
323,379,1622614812979,-1,-1,-1
324,635,1622614813970,-1,-1,-1
325,687,1622614813970,-1,-1,-1
326,458,1622614814936,-1,-1,-1
327,780,1622614815930,-1,-1,-1
328,617,1622614815930,-1,-1,-1
329,930,1622614816878,-1,-1,-1
330,818,1622614817870,-1,-1,-1
331,1210,1622614818860,-1,-1,-1
332,430,1622614819817,-1,-1,-1
333,811,1622614820812,-1,-1,-1
334,921,1622614821769,-1,-1,-1
335,403,1622614821769,-1,-1,-1
336,540,1622614822758,-1,-1,-1
337,618,1622614822758,-1,-1,-1
338,493,1622614823750,-1,-1,-1
339,590,1622614824707,-1,-1,-1
340,1560,1622614825699,-1,-1,-1
341,1001,1622614826698,-1,-1,-1
342,734,1622614827649,-1,-1,-1
343,779,1622614827649,-1,-1,-1
344,601,1622614828643,-1,-1,-1
345,701,1622614829630,-1,-1,-1
346,1368,1622614830592,-1,-1,-1
347,1411,1622614832539,-1,-1,-1
348,1227,1622614833528,-1,-1,-1
349,504,1622614834519,-1,-1,-1
350,697,1622614834519,-1,-1,-1
351,481,1622614835481,-1,-1,-1
352,526,1622614835481,-1,-1,-1
353,536,1622614836471,-1,-1,-1
354,652,1622614837430,-1,-1,-1
355,1170,1622614838420,-1,-1,-1
356,1159,1622614839407,-1,-1,-1
357,673,1622614839407,-1,-1,-1
358,556,1622614840375,-1,-1,-1
359,585,1622614841358,-1,-1,-1
360,546,1622614841358,-1,-1,-1
361,384,1622614842319,-1,-1,-1
362,633,1622614842319,-1,-1,-1
363,463,1622614843309,-1,-1,-1
364,569,1622614844299,-1,-1,-1
365,1883,1622614845259,-1,-1,-1
366,1088,1622614846251,-1,-1,-1
367,503,1622614847238,-1,-1,-1
368,501,1622614848201,-1,-1,-1
369,1210,1622614849193,-1,-1,-1
370,1371,1622614850158,-1,-1,-1
371,1420,1622614852104,-1,-1,-1
372,812,1622614852104,-1,-1,-1
373,1060,1622614853089,-1,-1,-1
374,734,1622614854079,-1,-1,-1
375,434,1622614855038,-1,-1,-1
376,1321,1622614856029,-1,-1,-1
377,485,1622614856989,-1,-1,-1
378,1168,1622614857989,-1,-1,-1
379,625,1622614857989,-1,-1,-1
380,408,1622614858941,-1,-1,-1
381,907,1622614859929,-1,-1,-1
382,1338,1622614860919,-1,-1,-1
383,919,1622614861878,-1,-1,-1
384,870,1622614862868,-1,-1,-1
385,857,1622614863858,-1,-1,-1
386,923,1622614864820,-1,-1,-1
387,709,1622614864820,-1,-1,-1
388,626,1622614865809,-1,-1,-1
389,2108,1622614867758,-1,-1,-1
390,1340,1622614869708,-1,-1,-1
391,1995,1622614871688,-1,-1,-1
392,1352,1622614872653,-1,-1,-1
393,699,1622614873637,-1,-1,-1
394,758,1622614874597,-1,-1,-1
395,1293,1622614875589,-1,-1,-1
396,782,1622614876580,-1,-1,-1
397,879,1622614876580,-1,-1,-1
398,922,1622614877541,-1,-1,-1
399,697,1622614878529,-1,-1,-1
400,438,1622614878529,-1,-1,-1
401,589,1622614879508,-1,-1,-1
402,425,1622614880477,-1,-1,-1
403,606,1622614880477,-1,-1,-1
404,509,1622614881468,-1,-1,-1
405,1559,1622614882431,-1,-1,-1
406,588,1622614883418,-1,-1,-1
407,848,1622614884379,-1,-1,-1
408,909,1622614885368,-1,-1,-1
409,559,1622614885368,-1,-1,-1
410,587,1622614886365,-1,-1,-1
411,562,1622614886365,-1,-1,-1
412,718,1622614887318,-1,-1,-1
413,852,1622614888307,-1,-1,-1
414,686,1622614889301,-1,-1,-1
415,1332,1622614890265,-1,-1,-1
416,802,1622614891248,-1,-1,-1
417,566,1622614892209,-1,-1,-1
418,759,1622614892209,-1,-1,-1
419,944,1622614894189,-1,-1,-1
420,1473,1622614895166,-1,-1,-1
421,646,1622614895166,-1,-1,-1
422,717,1622614896144,-1,-1,-1
423,1363,1622614898088,-1,-1,-1
424,1109,1622614899081,-1,-1,-1
425,888,1622614900038,-1,-1,-1
426,906,1622614901029,-1,-1,-1
427,603,1622614901029,-1,-1,-1
428,479,1622614901989,-1,-1,-1
429,639,1622614901989,-1,-1,-1
430,663,1622614902978,-1,-1,-1
431,625,1622614903969,-1,-1,-1
432,1103,1622614904930,-1,-1,-1
433,822,1622614905922,-1,-1,-1
434,512,1622614905922,-1,-1,-1
435,893,1622614906880,-1,-1,-1
436,1377,1622614908876,-1,-1,-1
437,902,1622614908876,-1,-1,-1
438,384,1622614909819,-1,-1,-1
439,708,1622614910818,-1,-1,-1
440,1308,1622614911769,-1,-1,-1
441,857,1622614912759,-1,-1,-1
442,483,1622614912759,-1,-1,-1
443,993,1622614913718,-1,-1,-1
444,627,1622614914710,-1,-1,-1
445,725,1622614915746,-1,-1,-1
446,1016,1622614916660,-1,-1,-1
447,485,1622614917653,-1,-1,-1
448,764,1622614917653,-1,-1,-1
449,778,1622614918609,-1,-1,-1
450,319,1622614918609,-1,-1,-1
451,405,1622614919599,-1,-1,-1
452,409,1622614919599,-1,-1,-1
453,623,1622614920590,-1,-1,-1
454,1221,1622614921581,-1,-1,-1
455,1070,1622614922539,-1,-1,-1
456,722,1622614923529,-1,-1,-1
457,504,1622614923529,-1,-1,-1
458,564,1622614924487,-1,-1,-1
459,496,1622614924487,-1,-1,-1
460,492,1622614925484,-1,-1,-1
461,391,1622614925484,-1,-1,-1
462,731,1622614926438,-1,-1,-1
463,462,1622614926438,-1,-1,-1
464,621,1622614927430,-1,-1,-1
465,728,1622614928417,-1,-1,-1
466,635,1622614928417,-1,-1,-1
467,732,1622614929379,-1,-1,-1
468,758,1622614930367,-1,-1,-1
469,608,1622614930367,-1,-1,-1
470,920,1622614932317,-1,-1,-1
471,710,1622614932317,-1,-1,-1
472,772,1622614933329,-1,-1,-1
473,487,1622614934271,-1,-1,-1
474,300,1622614934271,-1,-1,-1
475,860,1622614935266,-1,-1,-1
476,283,1622614935266,-1,-1,-1
477,513,1622614936249,-1,-1,-1
478,481,1622614936249,-1,-1,-1
479,1072,1622614937208,-1,-1,-1
480,1128,1622614938207,-1,-1,-1
481,708,1622614939167,-1,-1,-1
482,1279,1622614940153,-1,-1,-1
483,378,1622614941139,-1,-1,-1
484,352,1622614941139,-1,-1,-1
485,817,1622614942103,-1,-1,-1
486,557,1622614943092,-1,-1,-1
487,801,1622614943092,-1,-1,-1
488,704,1622614944078,-1,-1,-1
489,569,1622614944078,-1,-1,-1
490,338,1622614945056,-1,-1,-1
491,805,1622614946030,-1,-1,-1
492,1489,1622614946989,-1,-1,-1
493,507,1622614947980,-1,-1,-1
494,921,1622614948971,-1,-1,-1
495,737,1622614949929,-1,-1,-1
496,746,1622614949929,-1,-1,-1
497,824,1622614950919,-1,-1,-1
498,620,1622614951911,-1,-1,-1
499,423,1622614951911,-1,-1,-1
500,1000,1622614952869,-1,-1,-1
501,799,1622614953862,-1,-1,-1
502,748,1622614954819,-1,-1,-1
503,522,1622614955809,-1,-1,-1
504,802,1622614955809,-1,-1,-1
505,1103,1622614956797,-1,-1,-1
506,464,1622614957761,-1,-1,-1
507,416,1622614957761,-1,-1,-1
508,1035,1622614958761,-1,-1,-1
509,527,1622614959740,-1,-1,-1
510,607,1622614959740,-1,-1,-1
511,808,1622614960704,-1,-1,-1
512,694,1622614961688,-1,-1,-1
513,1000,1622614962651,-1,-1,-1
514,1560,1622614964629,-1,-1,-1
515,1268,1622614965589,-1,-1,-1
516,865,1622614966579,-1,-1,-1
517,1465,1622614967571,-1,-1,-1
518,1297,1622614969520,-1,-1,-1
519,667,1622614969520,-1,-1,-1
520,1344,1622614971471,-1,-1,-1
521,1144,1622614972460,-1,-1,-1
522,686,1622614973422,-1,-1,-1
523,522,1622614973422,-1,-1,-1
524,1105,1622614974408,-1,-1,-1
525,889,1622614975398,-1,-1,-1
526,1399,1622614977349,-1,-1,-1
527,1369,1622614978340,-1,-1,-1
528,399,1622614978340,-1,-1,-1
529,956,1622614979299,-1,-1,-1
530,561,1622614980291,-1,-1,-1
531,783,1622614981250,-1,-1,-1
532,1187,1622614982240,-1,-1,-1
533,1116,1622614983265,-1,-1,-1
534,1378,1622614985178,-1,-1,-1
535,1184,1622614986140,-1,-1,-1
536,1151,1622614987131,-1,-1,-1
537,1263,1622614988123,-1,-1,-1
538,855,1622614989081,-1,-1,-1
539,780,1622614990070,-1,-1,-1
540,578,1622614991033,-1,-1,-1
541,550,1622614991033,-1,-1,-1
542,433,1622614992020,-1,-1,-1
543,898,1622614992020,-1,-1,-1
544,522,1622614993009,-1,-1,-1
545,994,1622614993970,-1,-1,-1
546,746,1622614994959,-1,-1,-1
547,336,1622614994959,-1,-1,-1
548,517,1622614994959,-1,-1,-1
549,778,1622614995919,-1,-1,-1
550,473,1622614996910,-1,-1,-1
551,523,1622614996910,-1,-1,-1
552,615,1622614997902,-1,-1,-1
553,672,1622614998865,-1,-1,-1
