,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,789,1622399360808,-1,-1,-1
1,445,1622399360818,-1,-1,-1
2,463,1622399361808,-1,-1,-1
3,730,1622399361818,-1,-1,-1
4,803,1622399362908,-1,-1,-1
5,828,1622399363908,-1,-1,-1
6,818,1622399364908,-1,-1,-1
7,835,1622399365908,-1,-1,-1
8,835,1622399366808,-1,-1,-1
9,810,1622399366818,-1,-1,-1
10,834,1622399367658,-1,-1,-1
11,820,1622399368658,-1,-1,-1
12,845,1622399369658,-1,-1,-1
13,826,1622399370658,-1,-1,-1
14,830,1622399371658,-1,-1,-1
15,828,1622399372558,-1,-1,-1
16,802,1622399372568,-1,-1,-1
17,811,1622399373658,-1,-1,-1
18,1127,1622399374658,-1,-1,-1
19,472,1622399375658,-1,-1,-1
20,864,1622399376558,-1,-1,-1
21,732,1622399376568,-1,-1,-1
22,810,1622399377658,-1,-1,-1
23,774,1622399378658,-1,-1,-1
24,808,1622399379408,-1,-1,-1
25,795,1622399380408,-1,-1,-1
26,792,1622399381308,-1,-1,-1
27,797,1622399381318,-1,-1,-1
28,777,1622399382408,-1,-1,-1
29,802,1622399383408,-1,-1,-1
30,802,1622399384408,-1,-1,-1
31,853,1622399385408,-1,-1,-1
32,862,1622399386308,-1,-1,-1
33,850,1622399386318,-1,-1,-1
34,865,1622399387408,-1,-1,-1
35,866,1622399388408,-1,-1,-1
36,871,1622399389408,-1,-1,-1
37,853,1622399390158,-1,-1,-1
38,879,1622399391158,-1,-1,-1
39,837,1622399392158,-1,-1,-1
40,824,1622399393158,-1,-1,-1
41,814,1622399394580,-1,-1,-1
42,813,1622399394680,-1,-1,-1
43,788,1622399395159,-1,-1,-1
44,801,1622399396158,-1,-1,-1
45,791,1622399397158,-1,-1,-1
46,794,1622399398580,-1,-1,-1
47,805,1622399398680,-1,-1,-1
48,800,1622399399158,-1,-1,-1
49,786,1622399400158,-1,-1,-1
50,791,1622399401158,-1,-1,-1
51,802,1622399401908,-1,-1,-1
52,805,1622399402908,-1,-1,-1
