,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,287,1627138768734,-1,-1,-1
1,335,1627138768734,-1,-1,-1
2,239,1627138768734,-1,-1,-1
3,351,1627138769731,-1,-1,-1
4,455,1627138769732,-1,-1,-1
5,303,1627138770754,-1,-1,-1
6,359,1627138770754,-1,-1,-1
7,383,1627138771738,-1,-1,-1
8,287,1627138771738,-1,-1,-1
9,239,1627138771738,-1,-1,-1
10,255,1627138772738,-1,-1,-1
11,263,1627138772738,-1,-1,-1
12,295,1627138773739,-1,-1,-1
13,471,1627138773739,-1,-1,-1
14,279,1627138773739,-1,-1,-1
15,295,1627138774738,-1,-1,-1
16,407,1627138775740,-1,-1,-1
17,303,1627138776778,-1,-1,-1
18,335,1627138777739,-1,-1,-1
19,391,1627138777739,-1,-1,-1
20,255,1627138777739,-1,-1,-1
21,303,1627138778738,-1,-1,-1
22,271,1627138778738,-1,-1,-1
23,455,1627138780778,-1,-1,-1
24,287,1627138780779,-1,-1,-1
25,279,1627138781741,-1,-1,-1
26,255,1627138781741,-1,-1,-1
27,415,1627138782739,-1,-1,-1
28,503,1627138783783,-1,-1,-1
29,431,1627138783784,-1,-1,-1
30,327,1627138785743,-1,-1,-1
31,423,1627138785743,-1,-1,-1
32,327,1627138787780,-1,-1,-1
33,303,1627138787780,-1,-1,-1
34,319,1627138788739,-1,-1,-1
35,295,1627138789740,-1,-1,-1
36,327,1627138789741,-1,-1,-1
37,271,1627138789742,-1,-1,-1
38,255,1627138789743,-1,-1,-1
39,447,1627138791738,-1,-1,-1
40,391,1627138791738,-1,-1,-1
41,351,1627138792737,-1,-1,-1
42,367,1627138792737,-1,-1,-1
43,415,1627138793739,-1,-1,-1
44,399,1627138794738,-1,-1,-1
45,255,1627138794738,-1,-1,-1
46,279,1627138797777,-1,-1,-1
47,359,1627138797777,-1,-1,-1
48,519,1627138798739,-1,-1,-1
49,503,1627138798739,-1,-1,-1
50,415,1627138799779,-1,-1,-1
51,519,1627138799779,-1,-1,-1
52,527,1627138800738,-1,-1,-1
53,335,1627138800738,-1,-1,-1
54,263,1627138800738,-1,-1,-1
55,319,1627138801738,-1,-1,-1
56,295,1627138802738,-1,-1,-1
57,439,1627138802738,-1,-1,-1
58,367,1627138802738,-1,-1,-1
59,511,1627138803737,-1,-1,-1
60,383,1627138803737,-1,-1,-1
