,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,375,1619502003540,-1,-1,-1
1,806,1619502003540,-1,-1,-1
2,618,1619502003540,-1,-1,-1
3,608,1619502003540,-1,-1,-1
4,603,1619502003540,-1,-1,-1
5,629,1619502004499,-1,-1,-1
6,626,1619502005489,-1,-1,-1
7,622,1619502005489,-1,-1,-1
8,658,1619502006479,-1,-1,-1
9,632,1619502007440,-1,-1,-1
10,649,1619502007440,-1,-1,-1
11,713,1619502008429,-1,-1,-1
12,920,1619502009390,-1,-1,-1
13,1607,1619502011370,-1,-1,-1
14,1348,1619502012330,-1,-1,-1
15,539,1619502013320,-1,-1,-1
16,1482,1619502014310,-1,-1,-1
17,706,1619502015271,-1,-1,-1
18,654,1619502015271,-1,-1,-1
19,1103,1619502017220,-1,-1,-1
20,1178,1619502018209,-1,-1,-1
21,439,1619502018209,-1,-1,-1
22,661,1619502019201,-1,-1,-1
23,690,1619502020159,-1,-1,-1
24,703,1619502020159,-1,-1,-1
25,684,1619502021149,-1,-1,-1
26,671,1619502022142,-1,-1,-1
27,694,1619502022142,-1,-1,-1
28,738,1619502023100,-1,-1,-1
29,664,1619502024090,-1,-1,-1
30,1348,1619502025049,-1,-1,-1
31,750,1619502026040,-1,-1,-1
32,736,1619502027029,-1,-1,-1
33,718,1619502027029,-1,-1,-1
34,714,1619502027992,-1,-1,-1
35,724,1619502028980,-1,-1,-1
36,745,1619502029971,-1,-1,-1
37,1009,1619502030930,-1,-1,-1
38,990,1619502031921,-1,-1,-1
39,963,1619502032912,-1,-1,-1
40,636,1619502032912,-1,-1,-1
41,714,1619502033870,-1,-1,-1
42,694,1619502034860,-1,-1,-1
43,778,1619502035818,-1,-1,-1
44,626,1619502035818,-1,-1,-1
45,631,1619502036811,-1,-1,-1
46,597,1619502037800,-1,-1,-1
47,657,1619502037800,-1,-1,-1
48,636,1619502038760,-1,-1,-1
49,732,1619502039749,-1,-1,-1
50,1239,1619502040709,-1,-1,-1
51,1215,1619502041701,-1,-1,-1
52,468,1619502042690,-1,-1,-1
53,1053,1619502043650,-1,-1,-1
54,917,1619502044640,-1,-1,-1
55,795,1619502044640,-1,-1,-1
56,718,1619502045600,-1,-1,-1
57,702,1619502046591,-1,-1,-1
58,729,1619502047580,-1,-1,-1
59,761,1619502047580,-1,-1,-1
60,882,1619502048539,-1,-1,-1
61,636,1619502049530,-1,-1,-1
62,704,1619502050522,-1,-1,-1
63,745,1619502050522,-1,-1,-1
64,745,1619502051480,-1,-1,-1
65,730,1619502052469,-1,-1,-1
66,743,1619502053459,-1,-1,-1
67,714,1619502053459,-1,-1,-1
68,754,1619502054422,-1,-1,-1
69,781,1619502055410,-1,-1,-1
70,755,1619502056370,-1,-1,-1
71,719,1619502057360,-1,-1,-1
72,780,1619502057360,-1,-1,-1
73,727,1619502058319,-1,-1,-1
74,825,1619502059310,-1,-1,-1
75,762,1619502060300,-1,-1,-1
76,720,1619502060300,-1,-1,-1
77,801,1619502061291,-1,-1,-1
78,771,1619502062252,-1,-1,-1
79,758,1619502063242,-1,-1,-1
80,767,1619502064201,-1,-1,-1
81,763,1619502064201,-1,-1,-1
82,772,1619502065191,-1,-1,-1
83,764,1619502066181,-1,-1,-1
84,815,1619502067140,-1,-1,-1
85,785,1619502068130,-1,-1,-1
86,766,1619502068130,-1,-1,-1
87,771,1619502069091,-1,-1,-1
88,755,1619502070081,-1,-1,-1
89,768,1619502071073,-1,-1,-1
90,728,1619502071073,-1,-1,-1
91,741,1619502072032,-1,-1,-1
92,781,1619502073024,-1,-1,-1
93,737,1619502074011,-1,-1,-1
94,852,1619502074972,-1,-1,-1
95,673,1619502074972,-1,-1,-1
96,742,1619502075960,-1,-1,-1
97,772,1619502076922,-1,-1,-1
98,783,1619502077913,-1,-1,-1
99,735,1619502077913,-1,-1,-1
100,808,1619502078900,-1,-1,-1
101,745,1619502079862,-1,-1,-1
102,754,1619502080851,-1,-1,-1
103,812,1619502081813,-1,-1,-1
104,718,1619502081813,-1,-1,-1
105,744,1619502082801,-1,-1,-1
106,806,1619502083790,-1,-1,-1
107,821,1619502084751,-1,-1,-1
108,806,1619502085741,-1,-1,-1
109,812,1619502085741,-1,-1,-1
110,850,1619502086732,-1,-1,-1
111,823,1619502087692,-1,-1,-1
112,887,1619502088683,-1,-1,-1
113,783,1619502089671,-1,-1,-1
114,565,1619502089671,-1,-1,-1
115,916,1619502090634,-1,-1,-1
116,731,1619502091621,-1,-1,-1
117,836,1619502092612,-1,-1,-1
118,768,1619502093571,-1,-1,-1
119,748,1619502094561,-1,-1,-1
120,755,1619502094561,-1,-1,-1
121,788,1619502095523,-1,-1,-1
122,1524,1619502097501,-1,-1,-1
123,818,1619502098461,-1,-1,-1
124,836,1619502098461,-1,-1,-1
125,798,1619502099453,-1,-1,-1
126,776,1619502100411,-1,-1,-1
127,790,1619502101402,-1,-1,-1
128,828,1619502102391,-1,-1,-1
129,771,1619502102391,-1,-1,-1
130,779,1619502103352,-1,-1,-1
131,800,1619502104344,-1,-1,-1
132,783,1619502105332,-1,-1,-1
133,776,1619502106292,-1,-1,-1
134,759,1619502106292,-1,-1,-1
135,791,1619502107282,-1,-1,-1
136,879,1619502108243,-1,-1,-1
137,861,1619502109232,-1,-1,-1
138,882,1619502110221,-1,-1,-1
139,872,1619502111181,-1,-1,-1
140,787,1619502112172,-1,-1,-1
141,757,1619502112172,-1,-1,-1
142,777,1619502113161,-1,-1,-1
143,910,1619502114121,-1,-1,-1
144,697,1619502115112,-1,-1,-1
145,1142,1619502116101,-1,-1,-1
146,538,1619502117062,-1,-1,-1
147,709,1619502117062,-1,-1,-1
148,807,1619502118053,-1,-1,-1
149,926,1619502119011,-1,-1,-1
150,976,1619502120000,-1,-1,-1
151,338,1619502120000,-1,-1,-1
152,422,1619502120961,-1,-1,-1
153,868,1619502121951,-1,-1,-1
154,650,1619502121952,-1,-1,-1
155,520,1619502122942,-1,-1,-1
156,1197,1619502123903,-1,-1,-1
157,846,1619502124892,-1,-1,-1
158,809,1619502125882,-1,-1,-1
159,795,1619502126841,-1,-1,-1
160,829,1619502126841,-1,-1,-1
161,831,1619502127832,-1,-1,-1
162,901,1619502128823,-1,-1,-1
163,900,1619502129781,-1,-1,-1
164,837,1619502130771,-1,-1,-1
165,844,1619502131732,-1,-1,-1
166,889,1619502132723,-1,-1,-1
167,771,1619502133712,-1,-1,-1
168,797,1619502133712,-1,-1,-1
169,834,1619502134672,-1,-1,-1
170,801,1619502135661,-1,-1,-1
171,831,1619502136622,-1,-1,-1
172,826,1619502137614,-1,-1,-1
173,901,1619502138602,-1,-1,-1
174,1539,1619502139562,-1,-1,-1
175,876,1619502140551,-1,-1,-1
176,802,1619502141543,-1,-1,-1
177,825,1619502142502,-1,-1,-1
178,804,1619502143492,-1,-1,-1
179,802,1619502144453,-1,-1,-1
180,796,1619502144453,-1,-1,-1
181,815,1619502145442,-1,-1,-1
182,822,1619502146432,-1,-1,-1
183,814,1619502147392,-1,-1,-1
184,826,1619502148383,-1,-1,-1
185,811,1619502149342,-1,-1,-1
186,868,1619502149342,-1,-1,-1
187,722,1619502150334,-1,-1,-1
188,830,1619502151323,-1,-1,-1
189,837,1619502152283,-1,-1,-1
190,1017,1619502153285,-1,-1,-1
191,561,1619502153285,-1,-1,-1
192,850,1619502155223,-1,-1,-1
193,1563,1619502156212,-1,-1,-1
194,856,1619502157173,-1,-1,-1
195,756,1619502158162,-1,-1,-1
196,878,1619502158162,-1,-1,-1
197,828,1619502159153,-1,-1,-1
198,868,1619502160116,-1,-1,-1
199,746,1619502161104,-1,-1,-1
200,793,1619502162093,-1,-1,-1
201,773,1619502163052,-1,-1,-1
202,814,1619502163053,-1,-1,-1
203,762,1619502164043,-1,-1,-1
204,784,1619502165003,-1,-1,-1
205,789,1619502165994,-1,-1,-1
206,913,1619502166984,-1,-1,-1
207,832,1619502167943,-1,-1,-1
208,766,1619502167943,-1,-1,-1
209,814,1619502168933,-1,-1,-1
210,792,1619502169893,-1,-1,-1
211,718,1619502170885,-1,-1,-1
212,751,1619502171844,-1,-1,-1
213,675,1619502171844,-1,-1,-1
214,761,1619502172833,-1,-1,-1
215,740,1619502173823,-1,-1,-1
216,381,1619502173823,-1,-1,-1
217,939,1619502174785,-1,-1,-1
218,885,1619502175774,-1,-1,-1
219,758,1619502176733,-1,-1,-1
220,736,1619502177723,-1,-1,-1
221,1534,1619502178714,-1,-1,-1
222,818,1619502179676,-1,-1,-1
223,752,1619502180665,-1,-1,-1
224,724,1619502180665,-1,-1,-1
225,802,1619502181654,-1,-1,-1
226,671,1619502182614,-1,-1,-1
227,758,1619502183605,-1,-1,-1
228,737,1619502183605,-1,-1,-1
229,832,1619502184595,-1,-1,-1
230,829,1619502185554,-1,-1,-1
231,880,1619502186544,-1,-1,-1
232,849,1619502187504,-1,-1,-1
233,789,1619502188495,-1,-1,-1
234,777,1619502189484,-1,-1,-1
235,979,1619502190444,-1,-1,-1
236,1783,1619502191433,-1,-1,-1
237,473,1619502192395,-1,-1,-1
238,1262,1619502193384,-1,-1,-1
239,1192,1619502194375,-1,-1,-1
240,1200,1619502196325,-1,-1,-1
241,702,1619502196325,-1,-1,-1
242,806,1619502197285,-1,-1,-1
243,816,1619502198274,-1,-1,-1
244,819,1619502199266,-1,-1,-1
245,830,1619502200224,-1,-1,-1
246,776,1619502200224,-1,-1,-1
247,852,1619502202175,-1,-1,-1
248,1550,1619502203165,-1,-1,-1
249,785,1619502204155,-1,-1,-1
250,717,1619502204155,-1,-1,-1
251,616,1619502205115,-1,-1,-1
252,772,1619502206106,-1,-1,-1
253,736,1619502207065,-1,-1,-1
254,776,1619502207065,-1,-1,-1
255,758,1619502208055,-1,-1,-1
256,839,1619502209045,-1,-1,-1
257,824,1619502210006,-1,-1,-1
258,496,1619502210006,-1,-1,-1
259,388,1619502210995,-1,-1,-1
260,989,1619502211955,-1,-1,-1
261,484,1619502211955,-1,-1,-1
262,775,1619502212945,-1,-1,-1
263,799,1619502213935,-1,-1,-1
264,826,1619502214895,-1,-1,-1
265,828,1619502215885,-1,-1,-1
266,764,1619502215885,-1,-1,-1
267,773,1619502216845,-1,-1,-1
268,728,1619502217835,-1,-1,-1
269,791,1619502218827,-1,-1,-1
270,730,1619502219787,-1,-1,-1
271,840,1619502219787,-1,-1,-1
272,806,1619502220775,-1,-1,-1
273,835,1619502221766,-1,-1,-1
274,863,1619502222727,-1,-1,-1
275,846,1619502223717,-1,-1,-1
276,820,1619502224706,-1,-1,-1
277,881,1619502225666,-1,-1,-1
278,1656,1619502226657,-1,-1,-1
279,790,1619502227647,-1,-1,-1
280,813,1619502228607,-1,-1,-1
281,737,1619502229596,-1,-1,-1
282,746,1619502229596,-1,-1,-1
283,733,1619502230556,-1,-1,-1
284,773,1619502231546,-1,-1,-1
285,814,1619502232536,-1,-1,-1
286,765,1619502233497,-1,-1,-1
287,821,1619502233497,-1,-1,-1
288,774,1619502234487,-1,-1,-1
289,791,1619502235447,-1,-1,-1
290,762,1619502236436,-1,-1,-1
291,789,1619502237428,-1,-1,-1
292,806,1619502237428,-1,-1,-1
293,833,1619502238387,-1,-1,-1
294,774,1619502239376,-1,-1,-1
295,760,1619502240367,-1,-1,-1
296,796,1619502241326,-1,-1,-1
297,788,1619502241326,-1,-1,-1
298,755,1619502242316,-1,-1,-1
299,802,1619502243277,-1,-1,-1
300,803,1619502244267,-1,-1,-1
301,844,1619502245275,-1,-1,-1
302,822,1619502246216,-1,-1,-1
303,819,1619502246216,-1,-1,-1
304,757,1619502247208,-1,-1,-1
305,825,1619502248167,-1,-1,-1
306,736,1619502249157,-1,-1,-1
307,765,1619502250147,-1,-1,-1
308,738,1619502250147,-1,-1,-1
309,834,1619502251107,-1,-1,-1
310,816,1619502252098,-1,-1,-1
311,845,1619502253057,-1,-1,-1
312,843,1619502254050,-1,-1,-1
313,817,1619502255037,-1,-1,-1
314,783,1619502255037,-1,-1,-1
315,772,1619502255999,-1,-1,-1
316,758,1619502256987,-1,-1,-1
317,800,1619502257948,-1,-1,-1
318,791,1619502258937,-1,-1,-1
319,790,1619502258937,-1,-1,-1
320,798,1619502259928,-1,-1,-1
321,788,1619502260888,-1,-1,-1
322,770,1619502261877,-1,-1,-1
323,799,1619502262837,-1,-1,-1
324,764,1619502262837,-1,-1,-1
325,788,1619502263828,-1,-1,-1
326,762,1619502264818,-1,-1,-1
327,774,1619502265777,-1,-1,-1
328,771,1619502266768,-1,-1,-1
329,867,1619502266768,-1,-1,-1
330,762,1619502267729,-1,-1,-1
331,827,1619502268718,-1,-1,-1
332,856,1619502269709,-1,-1,-1
333,854,1619502270668,-1,-1,-1
334,815,1619502271678,-1,-1,-1
335,837,1619502272618,-1,-1,-1
336,843,1619502272618,-1,-1,-1
337,786,1619502273608,-1,-1,-1
338,813,1619502274598,-1,-1,-1
339,811,1619502275558,-1,-1,-1
340,781,1619502276549,-1,-1,-1
341,783,1619502276549,-1,-1,-1
342,824,1619502277538,-1,-1,-1
343,783,1619502278498,-1,-1,-1
344,742,1619502279489,-1,-1,-1
345,734,1619502280483,-1,-1,-1
346,789,1619502280483,-1,-1,-1
347,726,1619502281439,-1,-1,-1
348,724,1619502282429,-1,-1,-1
349,763,1619502283389,-1,-1,-1
350,784,1619502284380,-1,-1,-1
351,796,1619502284380,-1,-1,-1
352,786,1619502285371,-1,-1,-1
353,774,1619502286329,-1,-1,-1
354,759,1619502287319,-1,-1,-1
355,891,1619502288281,-1,-1,-1
356,730,1619502288282,-1,-1,-1
357,728,1619502289279,-1,-1,-1
358,856,1619502290259,-1,-1,-1
359,770,1619502291219,-1,-1,-1
360,827,1619502292210,-1,-1,-1
361,745,1619502292210,-1,-1,-1
362,854,1619502293169,-1,-1,-1
363,1412,1619502295149,-1,-1,-1
364,765,1619502296109,-1,-1,-1
365,1063,1619502297101,-1,-1,-1
366,804,1619502297101,-1,-1,-1
367,770,1619502298075,-1,-1,-1
368,812,1619502299050,-1,-1,-1
369,753,1619502300039,-1,-1,-1
370,913,1619502301030,-1,-1,-1
371,2108,1619502302980,-1,-1,-1
372,944,1619502303970,-1,-1,-1
373,1572,1619502304930,-1,-1,-1
374,822,1619502305921,-1,-1,-1
375,835,1619502306910,-1,-1,-1
376,365,1619502306910,-1,-1,-1
377,744,1619502307870,-1,-1,-1
378,509,1619502308861,-1,-1,-1
379,932,1619502309851,-1,-1,-1
380,416,1619502309851,-1,-1,-1
381,578,1619502310810,-1,-1,-1
382,375,1619502310810,-1,-1,-1
383,1510,1619502312762,-1,-1,-1
384,806,1619502313751,-1,-1,-1
385,789,1619502313751,-1,-1,-1
386,763,1619502314741,-1,-1,-1
387,754,1619502315700,-1,-1,-1
388,743,1619502316692,-1,-1,-1
389,771,1619502316692,-1,-1,-1
390,743,1619502317651,-1,-1,-1
391,721,1619502318642,-1,-1,-1
392,762,1619502319631,-1,-1,-1
393,811,1619502320591,-1,-1,-1
394,889,1619502320591,-1,-1,-1
395,894,1619502321583,-1,-1,-1
396,907,1619502322541,-1,-1,-1
397,836,1619502323531,-1,-1,-1
398,850,1619502324521,-1,-1,-1
399,757,1619502325482,-1,-1,-1
400,790,1619502326471,-1,-1,-1
401,819,1619502327432,-1,-1,-1
402,717,1619502327432,-1,-1,-1
403,746,1619502328421,-1,-1,-1
404,757,1619502329411,-1,-1,-1
405,826,1619502330372,-1,-1,-1
406,835,1619502330372,-1,-1,-1
407,942,1619502331362,-1,-1,-1
408,996,1619502332351,-1,-1,-1
409,1023,1619502333311,-1,-1,-1
410,965,1619502334302,-1,-1,-1
411,984,1619502335302,-1,-1,-1
