,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,719,1627578612301,-1,-1,-1
1,783,1627578613289,-1,-1,-1
2,831,1627578614280,-1,-1,-1
3,687,1627578615298,-1,-1,-1
4,647,1627578616289,-1,-1,-1
5,919,1627578616289,-1,-1,-1
6,599,1627578617280,-1,-1,-1
7,799,1627578618301,-1,-1,-1
8,607,1627578618301,-1,-1,-1
9,799,1627578621327,-1,-1,-1
10,943,1627578626279,-1,-1,-1
11,791,1627578632278,-1,-1,-1
12,671,1627578632279,-1,-1,-1
13,623,1627578633298,-1,-1,-1
14,615,1627578633298,-1,-1,-1
15,639,1627578635338,-1,-1,-1
16,695,1627578636298,-1,-1,-1
17,551,1627578637289,-1,-1,-1
18,647,1627578637289,-1,-1,-1
19,543,1627578638278,-1,-1,-1
20,647,1627578638278,-1,-1,-1
21,655,1627578643288,-1,-1,-1
22,519,1627578644278,-1,-1,-1
23,519,1627578651297,-1,-1,-1
24,679,1627578653278,-1,-1,-1
25,695,1627578654326,-1,-1,-1
26,695,1627578654326,-1,-1,-1
27,639,1627578655288,-1,-1,-1
28,695,1627578656277,-1,-1,-1
29,631,1627578656277,-1,-1,-1
30,735,1627578657297,-1,-1,-1
31,575,1627578658286,-1,-1,-1
32,623,1627578658286,-1,-1,-1
33,655,1627578659277,-1,-1,-1
34,655,1627578660296,-1,-1,-1
35,615,1627578660296,-1,-1,-1
36,687,1627578661286,-1,-1,-1
37,687,1627578662277,-1,-1,-1
38,671,1627578662277,-1,-1,-1
39,871,1627578664286,-1,-1,-1
40,679,1627578665277,-1,-1,-1
41,687,1627578666296,-1,-1,-1
42,687,1627578666296,-1,-1,-1
43,519,1627578667286,-1,-1,-1
44,815,1627578668278,-1,-1,-1
45,695,1627578668278,-1,-1,-1
46,791,1627578669295,-1,-1,-1
47,695,1627578671276,-1,-1,-1
48,519,1627578672295,-1,-1,-1
49,847,1627578672295,-1,-1,-1
50,735,1627578673285,-1,-1,-1
51,727,1627578674275,-1,-1,-1
52,759,1627578675294,-1,-1,-1
53,487,1627578675294,-1,-1,-1
54,719,1627578677275,-1,-1,-1
55,679,1627578678297,-1,-1,-1
56,831,1627578680275,-1,-1,-1
57,831,1627578684295,-1,-1,-1
58,439,1627578686275,-1,-1,-1
59,663,1627578687325,-1,-1,-1
60,591,1627578687325,-1,-1,-1
61,575,1627578688285,-1,-1,-1
62,479,1627578693295,-1,-1,-1
63,727,1627578694285,-1,-1,-1
64,495,1627578694286,-1,-1,-1
65,671,1627578701272,-1,-1,-1
66,695,1627578701272,-1,-1,-1
67,655,1627578702294,-1,-1,-1
68,703,1627578703284,-1,-1,-1
69,663,1627578703284,-1,-1,-1
