,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,743,1624332708292,-1,-1,-1
1,791,1624332708292,-1,-1,-1
2,631,1624332709295,-1,-1,-1
3,719,1624332718299,-1,-1,-1
4,735,1624332718299,-1,-1,-1
5,551,1624332719306,-1,-1,-1
6,503,1624332725305,-1,-1,-1
7,615,1624332733305,-1,-1,-1
8,711,1624332736297,-1,-1,-1
9,767,1624332737334,-1,-1,-1
10,423,1624332740309,-1,-1,-1
11,599,1624332747320,-1,-1,-1
12,511,1624332760298,-1,-1,-1
13,535,1624332764302,-1,-1,-1
14,791,1624332764302,-1,-1,-1
15,919,1624332766340,-1,-1,-1
16,671,1624332771640,-1,-1,-1
17,663,1624332775661,-1,-1,-1
18,775,1624332780643,-1,-1,-1
19,743,1624332780643,-1,-1,-1
20,2759,1624332790644,-1,-1,-1
21,767,1624332791670,-1,-1,-1
22,631,1624332807709,-1,-1,-1
23,919,1624332807709,-1,-1,-1
24,647,1624332810640,-1,-1,-1
25,607,1624332811639,-1,-1,-1
26,575,1624332817680,-1,-1,-1
27,551,1624332821646,-1,-1,-1
28,511,1624332822696,-1,-1,-1
29,759,1624332826633,-1,-1,-1
30,567,1624332834640,-1,-1,-1
31,631,1624332835693,-1,-1,-1
32,887,1624332837680,-1,-1,-1
33,655,1624332837680,-1,-1,-1
34,743,1624332839705,-1,-1,-1
35,735,1624332840704,-1,-1,-1
36,639,1624332841697,-1,-1,-1
37,735,1624332844643,-1,-1,-1
38,527,1624332844643,-1,-1,-1
39,543,1624332849649,-1,-1,-1
40,503,1624332854648,-1,-1,-1
41,839,1624332855643,-1,-1,-1
42,695,1624332856638,-1,-1,-1
43,887,1624332860652,-1,-1,-1
44,671,1624332866640,-1,-1,-1
45,623,1624332870627,-1,-1,-1
46,839,1624332871672,-1,-1,-1
47,919,1624332872700,-1,-1,-1
48,671,1624332872700,-1,-1,-1
49,559,1624332877666,-1,-1,-1
50,703,1624332883645,-1,-1,-1
51,735,1624332884641,-1,-1,-1
52,799,1624332889630,-1,-1,-1
53,503,1624332889630,-1,-1,-1
54,471,1624332890638,-1,-1,-1
55,879,1624332898662,-1,-1,-1
56,671,1624332898663,-1,-1,-1
57,871,1624332902620,-1,-1,-1
58,911,1624332905696,-1,-1,-1
59,623,1624332906637,-1,-1,-1
60,799,1624332906637,-1,-1,-1
61,663,1624332910628,-1,-1,-1
62,671,1624332910628,-1,-1,-1
63,679,1624332911629,-1,-1,-1
64,751,1624332912631,-1,-1,-1
65,807,1624332914670,-1,-1,-1
66,559,1624332915643,-1,-1,-1
67,439,1624332922623,-1,-1,-1
68,703,1624332925672,-1,-1,-1
69,527,1624332935650,-1,-1,-1
70,719,1624332936649,-1,-1,-1
71,663,1624332938639,-1,-1,-1
72,799,1624332946620,-1,-1,-1
73,727,1624332947673,-1,-1,-1
74,679,1624332952663,-1,-1,-1
75,551,1624332962687,-1,-1,-1
76,623,1624332962687,-1,-1,-1
77,655,1624332963640,-1,-1,-1
78,503,1624332963640,-1,-1,-1
79,711,1624332964627,-1,-1,-1
80,663,1624332965629,-1,-1,-1
81,2743,1624332973683,-1,-1,-1
82,567,1624332973683,-1,-1,-1
83,711,1624332981692,-1,-1,-1
84,703,1624332983636,-1,-1,-1
85,663,1624332989646,-1,-1,-1
86,647,1624332998647,-1,-1,-1
87,575,1624332999647,-1,-1,-1
88,527,1624333002640,-1,-1,-1
89,823,1624333004637,-1,-1,-1
90,855,1624333006678,-1,-1,-1
91,719,1624333007626,-1,-1,-1
92,551,1624333008624,-1,-1,-1
93,751,1624333008624,-1,-1,-1
94,911,1624333024665,-1,-1,-1
95,575,1624333024665,-1,-1,-1
96,575,1624333025632,-1,-1,-1
97,559,1624333027629,-1,-1,-1
98,607,1624333028629,-1,-1,-1
99,751,1624333029650,-1,-1,-1
100,607,1624333039628,-1,-1,-1
101,519,1624333042668,-1,-1,-1
102,599,1624333044636,-1,-1,-1
103,711,1624333046635,-1,-1,-1
104,535,1624333047634,-1,-1,-1
105,767,1624333048630,-1,-1,-1
106,655,1624333051620,-1,-1,-1
107,487,1624333052670,-1,-1,-1
108,783,1624333052670,-1,-1,-1
109,623,1624333053666,-1,-1,-1
110,687,1624333054668,-1,-1,-1
111,639,1624333054668,-1,-1,-1
112,591,1624333055692,-1,-1,-1
113,647,1624333055692,-1,-1,-1
114,599,1624333056636,-1,-1,-1
115,711,1624333057665,-1,-1,-1
116,679,1624333057665,-1,-1,-1
117,687,1624333058631,-1,-1,-1
118,711,1624333059630,-1,-1,-1
119,743,1624333060626,-1,-1,-1
120,735,1624333060626,-1,-1,-1
121,751,1624333061622,-1,-1,-1
122,735,1624333062645,-1,-1,-1
123,767,1624333063676,-1,-1,-1
124,759,1624333063676,-1,-1,-1
125,703,1624333064615,-1,-1,-1
126,719,1624333065644,-1,-1,-1
127,679,1624333065645,-1,-1,-1
128,607,1624333069630,-1,-1,-1
129,791,1624333070620,-1,-1,-1
130,895,1624333072620,-1,-1,-1
131,759,1624333072620,-1,-1,-1
132,703,1624333079637,-1,-1,-1
133,623,1624333086660,-1,-1,-1
134,687,1624333089632,-1,-1,-1
135,679,1624333089633,-1,-1,-1
136,759,1624333095618,-1,-1,-1
137,743,1624333100629,-1,-1,-1
138,687,1624333103620,-1,-1,-1
139,679,1624333105612,-1,-1,-1
140,671,1624333106670,-1,-1,-1
141,575,1624333123652,-1,-1,-1
142,935,1624333124649,-1,-1,-1
143,671,1624333126615,-1,-1,-1
144,823,1624333128620,-1,-1,-1
145,839,1624333140609,-1,-1,-1
146,815,1624333149616,-1,-1,-1
147,575,1624333150607,-1,-1,-1
148,815,1624333155626,-1,-1,-1
149,583,1624333155626,-1,-1,-1
150,751,1624333156623,-1,-1,-1
151,895,1624333157651,-1,-1,-1
152,687,1624333158643,-1,-1,-1
153,743,1624333158643,-1,-1,-1
154,527,1624333159649,-1,-1,-1
155,583,1624333159649,-1,-1,-1
156,991,1624333160612,-1,-1,-1
157,495,1624333161607,-1,-1,-1
158,1031,1624333163623,-1,-1,-1
159,623,1624333164629,-1,-1,-1
160,711,1624333165625,-1,-1,-1
161,663,1624333165625,-1,-1,-1
162,1031,1624333169618,-1,-1,-1
163,775,1624333177620,-1,-1,-1
164,503,1624333180642,-1,-1,-1
165,943,1624333189616,-1,-1,-1
166,767,1624333192607,-1,-1,-1
167,623,1624333194603,-1,-1,-1
168,703,1624333195630,-1,-1,-1
169,647,1624333196655,-1,-1,-1
170,895,1624333197625,-1,-1,-1
171,679,1624333197625,-1,-1,-1
172,703,1624333198658,-1,-1,-1
173,647,1624333199617,-1,-1,-1
174,655,1624333201611,-1,-1,-1
175,559,1624333201611,-1,-1,-1
176,495,1624333202610,-1,-1,-1
177,799,1624333203633,-1,-1,-1
178,703,1624333205602,-1,-1,-1
179,663,1624333205602,-1,-1,-1
180,607,1624333207625,-1,-1,-1
181,719,1624333210619,-1,-1,-1
182,679,1624333215601,-1,-1,-1
183,679,1624333219625,-1,-1,-1
184,783,1624333222613,-1,-1,-1
185,519,1624333222613,-1,-1,-1
186,839,1624333223668,-1,-1,-1
187,495,1624333223668,-1,-1,-1
188,855,1624333224662,-1,-1,-1
189,767,1624333225602,-1,-1,-1
190,911,1624333230621,-1,-1,-1
191,759,1624333231615,-1,-1,-1
192,543,1624333231616,-1,-1,-1
193,839,1624333233610,-1,-1,-1
194,783,1624333236605,-1,-1,-1
195,679,1624333245606,-1,-1,-1
196,631,1624333245606,-1,-1,-1
197,847,1624333246605,-1,-1,-1
198,815,1624333258604,-1,-1,-1
199,871,1624333259600,-1,-1,-1
200,511,1624333260597,-1,-1,-1
201,623,1624333262623,-1,-1,-1
202,647,1624333263615,-1,-1,-1
203,671,1624333264614,-1,-1,-1
204,615,1624333268601,-1,-1,-1
205,831,1624333269600,-1,-1,-1
206,655,1624333269600,-1,-1,-1
207,799,1624333275613,-1,-1,-1
208,639,1624333276607,-1,-1,-1
209,791,1624333276607,-1,-1,-1
210,639,1624333277659,-1,-1,-1
211,903,1624333278606,-1,-1,-1
212,519,1624333279602,-1,-1,-1
213,503,1624333282677,-1,-1,-1
214,839,1624333283687,-1,-1,-1
215,823,1624333286656,-1,-1,-1
216,815,1624333287607,-1,-1,-1
217,727,1624333289605,-1,-1,-1
218,623,1624333296636,-1,-1,-1
219,735,1624333299605,-1,-1,-1
220,743,1624333300628,-1,-1,-1
221,679,1624333300628,-1,-1,-1
222,727,1624333301649,-1,-1,-1
223,583,1624333302594,-1,-1,-1
224,783,1624333302594,-1,-1,-1
225,687,1624333303589,-1,-1,-1
226,791,1624333304613,-1,-1,-1
227,663,1624333305643,-1,-1,-1
228,719,1624333309603,-1,-1,-1
229,903,1624333310601,-1,-1,-1
230,607,1624333311601,-1,-1,-1
231,703,1624333312628,-1,-1,-1
232,847,1624333312628,-1,-1,-1
233,615,1624333313598,-1,-1,-1
234,839,1624333315650,-1,-1,-1
235,575,1624333316619,-1,-1,-1
236,895,1624333317614,-1,-1,-1
237,695,1624333317615,-1,-1,-1
238,695,1624333320658,-1,-1,-1
239,719,1624333320658,-1,-1,-1
240,671,1624333321657,-1,-1,-1
241,607,1624333323625,-1,-1,-1
242,511,1624333324594,-1,-1,-1
243,663,1624333325619,-1,-1,-1
244,695,1624333326616,-1,-1,-1
245,711,1624333327642,-1,-1,-1
246,679,1624333327642,-1,-1,-1
247,639,1624333328609,-1,-1,-1
248,599,1624333330608,-1,-1,-1
249,751,1624333333654,-1,-1,-1
250,807,1624333335595,-1,-1,-1
251,647,1624333337669,-1,-1,-1
252,783,1624333341604,-1,-1,-1
253,839,1624333344597,-1,-1,-1
254,631,1624333345614,-1,-1,-1
255,687,1624333346587,-1,-1,-1
256,759,1624333346587,-1,-1,-1
257,663,1624333348665,-1,-1,-1
258,615,1624333349608,-1,-1,-1
259,727,1624333355590,-1,-1,-1
260,775,1624333356645,-1,-1,-1
261,567,1624333356645,-1,-1,-1
262,927,1624333368610,-1,-1,-1
263,1055,1624333369614,-1,-1,-1
264,719,1624333375622,-1,-1,-1
265,1015,1624333383655,-1,-1,-1
266,711,1624333386599,-1,-1,-1
267,687,1624333386599,-1,-1,-1
268,695,1624333387596,-1,-1,-1
269,631,1624333394630,-1,-1,-1
270,823,1624333396597,-1,-1,-1
271,879,1624333405628,-1,-1,-1
272,695,1624333408653,-1,-1,-1
273,695,1624333409592,-1,-1,-1
274,759,1624333409592,-1,-1,-1
275,655,1624333410585,-1,-1,-1
276,791,1624333411613,-1,-1,-1
277,703,1624333412583,-1,-1,-1
278,583,1624333415654,-1,-1,-1
279,519,1624333420595,-1,-1,-1
280,887,1624333421641,-1,-1,-1
281,719,1624333421641,-1,-1,-1
282,503,1624333434582,-1,-1,-1
283,983,1624333438627,-1,-1,-1
284,1007,1624333439623,-1,-1,-1
285,607,1624333441617,-1,-1,-1
286,911,1624333442587,-1,-1,-1
287,1000,1624333443583,-1,-1,-1
288,1167,1624333459626,-1,-1,-1
289,863,1624333461595,-1,-1,-1
290,687,1624333462592,-1,-1,-1
291,1215,1624333463594,-1,-1,-1
292,839,1624333473591,-1,-1,-1
293,1263,1624333474615,-1,-1,-1
294,1471,1624333476644,-1,-1,-1
295,783,1624333483590,-1,-1,-1
296,735,1624333487638,-1,-1,-1
297,1383,1624333489659,-1,-1,-1
298,1311,1624333490602,-1,-1,-1
299,1271,1624333491648,-1,-1,-1
300,919,1624333492646,-1,-1,-1
301,1375,1624333496642,-1,-1,-1
302,1431,1624333503592,-1,-1,-1
303,911,1624333506585,-1,-1,-1
304,1287,1624333509580,-1,-1,-1
305,1063,1624333510627,-1,-1,-1
306,1095,1624333511655,-1,-1,-1
307,759,1624333512595,-1,-1,-1
308,743,1624333515614,-1,-1,-1
309,1103,1624333516614,-1,-1,-1
310,959,1624333517582,-1,-1,-1
311,687,1624333519584,-1,-1,-1
312,1023,1624333523602,-1,-1,-1
313,727,1624333523602,-1,-1,-1
314,599,1624333524597,-1,-1,-1
315,703,1624333525595,-1,-1,-1
316,711,1624333525595,-1,-1,-1
317,639,1624333526591,-1,-1,-1
318,711,1624333527581,-1,-1,-1
319,751,1624333528582,-1,-1,-1
320,615,1624333528582,-1,-1,-1
321,719,1624333529633,-1,-1,-1
322,631,1624333529633,-1,-1,-1
323,927,1624333545594,-1,-1,-1
324,1127,1624333549670,-1,-1,-1
325,959,1624333550608,-1,-1,-1
326,1383,1624333558595,-1,-1,-1
327,1343,1624333562609,-1,-1,-1
328,807,1624333562609,-1,-1,-1
329,1175,1624333564596,-1,-1,-1
330,1135,1624333565609,-1,-1,-1
331,1623,1624333569621,-1,-1,-1
332,1639,1624333570633,-1,-1,-1
333,1415,1624333572581,-1,-1,-1
334,1463,1624333573593,-1,-1,-1
335,1343,1624333577605,-1,-1,-1
336,743,1624333591630,-1,-1,-1
337,1247,1624333593619,-1,-1,-1
338,975,1624333594601,-1,-1,-1
339,879,1624333598609,-1,-1,-1
340,1191,1624333599657,-1,-1,-1
341,671,1624333605585,-1,-1,-1
342,751,1624333607720,-1,-1,-1
343,799,1624333621629,-1,-1,-1
344,639,1624333622604,-1,-1,-1
345,687,1624333624595,-1,-1,-1
346,631,1624333624595,-1,-1,-1
347,927,1624333625643,-1,-1,-1
348,703,1624333627595,-1,-1,-1
349,631,1624333639668,-1,-1,-1
350,639,1624333644662,-1,-1,-1
351,799,1624333645671,-1,-1,-1
352,719,1624333645671,-1,-1,-1
353,575,1624333646606,-1,-1,-1
354,679,1624333651595,-1,-1,-1
355,863,1624333653619,-1,-1,-1
356,815,1624333660670,-1,-1,-1
357,575,1624333670570,-1,-1,-1
358,767,1624333672670,-1,-1,-1
359,775,1624333673617,-1,-1,-1
360,655,1624333673617,-1,-1,-1
361,463,1624333675674,-1,-1,-1
362,655,1624333678595,-1,-1,-1
363,679,1624333679616,-1,-1,-1
364,703,1624333680621,-1,-1,-1
365,743,1624333680621,-1,-1,-1
366,655,1624333681639,-1,-1,-1
367,511,1624333682570,-1,-1,-1
368,895,1624333682570,-1,-1,-1
369,807,1624333683696,-1,-1,-1
370,663,1624333687634,-1,-1,-1
371,807,1624333689618,-1,-1,-1
372,583,1624333690595,-1,-1,-1
373,823,1624333690595,-1,-1,-1
374,751,1624333691567,-1,-1,-1
375,775,1624333695582,-1,-1,-1
376,607,1624333697569,-1,-1,-1
377,711,1624333698660,-1,-1,-1
378,743,1624333701580,-1,-1,-1
379,607,1624333702596,-1,-1,-1
380,615,1624333707658,-1,-1,-1
381,671,1624333709570,-1,-1,-1
382,719,1624333712648,-1,-1,-1
383,863,1624333717630,-1,-1,-1
384,671,1624333719655,-1,-1,-1
385,719,1624333722582,-1,-1,-1
386,735,1624333724570,-1,-1,-1
387,711,1624333727606,-1,-1,-1
388,647,1624333729596,-1,-1,-1
389,695,1624333729596,-1,-1,-1
390,695,1624333730607,-1,-1,-1
391,567,1624333732595,-1,-1,-1
392,719,1624333733610,-1,-1,-1
393,543,1624333736571,-1,-1,-1
394,767,1624333737583,-1,-1,-1
395,583,1624333738593,-1,-1,-1
396,831,1624333739609,-1,-1,-1
397,687,1624333740584,-1,-1,-1
398,727,1624333741632,-1,-1,-1
399,759,1624333742571,-1,-1,-1
400,655,1624333742571,-1,-1,-1
401,471,1624333743619,-1,-1,-1
402,639,1624333745573,-1,-1,-1
403,847,1624333746618,-1,-1,-1
404,871,1624333748569,-1,-1,-1
405,911,1624333749591,-1,-1,-1
406,519,1624333749591,-1,-1,-1
407,895,1624333750596,-1,-1,-1
408,879,1624333754567,-1,-1,-1
409,655,1624333754567,-1,-1,-1
410,879,1624333758580,-1,-1,-1
