,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,695,1627304831347,-1,-1,-1
1,695,1627304831347,-1,-1,-1
2,695,1627304831347,-1,-1,-1
3,703,1627304831347,-1,-1,-1
4,687,1627304831347,-1,-1,-1
5,703,1627304831347,-1,-1,-1
6,679,1627304831347,-1,-1,-1
7,687,1627304831347,-1,-1,-1
8,711,1627304831347,-1,-1,-1
9,687,1627304831900,-1,-1,-1
10,695,1627304831900,-1,-1,-1
11,703,1627304831900,-1,-1,-1
12,711,1627304832843,-1,-1,-1
13,719,1627304832843,-1,-1,-1
14,695,1627304833842,-1,-1,-1
15,751,1627304834820,-1,-1,-1
16,727,1627304834820,-1,-1,-1
17,727,1627304835858,-1,-1,-1
18,711,1627304836822,-1,-1,-1
19,567,1627304838827,-1,-1,-1
20,655,1627304840828,-1,-1,-1
21,639,1627304841816,-1,-1,-1
22,631,1627304841816,-1,-1,-1
23,711,1627304842829,-1,-1,-1
24,807,1627304843842,-1,-1,-1
25,775,1627304844835,-1,-1,-1
26,839,1627304844836,-1,-1,-1
27,719,1627304845825,-1,-1,-1
28,727,1627304846813,-1,-1,-1
29,647,1627304847826,-1,-1,-1
30,599,1627304847826,-1,-1,-1
31,719,1627304848813,-1,-1,-1
32,631,1627304849826,-1,-1,-1
33,519,1627304850816,-1,-1,-1
34,623,1627304854821,-1,-1,-1
35,687,1627304855813,-1,-1,-1
36,623,1627304856832,-1,-1,-1
37,575,1627304856833,-1,-1,-1
38,623,1627304857819,-1,-1,-1
39,671,1627304857819,-1,-1,-1
40,775,1627304861819,-1,-1,-1
41,895,1627304865846,-1,-1,-1
42,855,1627304866836,-1,-1,-1
43,807,1627304867804,-1,-1,-1
44,735,1627304867804,-1,-1,-1
45,711,1627304868819,-1,-1,-1
46,623,1627304869814,-1,-1,-1
47,687,1627304871809,-1,-1,-1
48,695,1627304872820,-1,-1,-1
49,735,1627304872820,-1,-1,-1
50,743,1627304873810,-1,-1,-1
51,743,1627304874833,-1,-1,-1
52,687,1627304875816,-1,-1,-1
53,703,1627304875816,-1,-1,-1
54,695,1627304876830,-1,-1,-1
55,735,1627304877821,-1,-1,-1
56,711,1627304877821,-1,-1,-1
57,791,1627304878805,-1,-1,-1
58,839,1627304879817,-1,-1,-1
59,839,1627304880810,-1,-1,-1
60,839,1627304881826,-1,-1,-1
61,791,1627304881826,-1,-1,-1
62,511,1627304882838,-1,-1,-1
63,791,1627304886846,-1,-1,-1
64,735,1627304887812,-1,-1,-1
65,799,1627304888826,-1,-1,-1
66,695,1627304888826,-1,-1,-1
67,719,1627304889816,-1,-1,-1
68,559,1627304890821,-1,-1,-1
69,927,1627304891811,-1,-1,-1
70,719,1627304891811,-1,-1,-1
71,735,1627304892825,-1,-1,-1
72,575,1627304893818,-1,-1,-1
73,839,1627304893818,-1,-1,-1
74,695,1627304894809,-1,-1,-1
75,695,1627304895817,-1,-1,-1
76,719,1627304896806,-1,-1,-1
77,647,1627304896806,-1,-1,-1
78,671,1627304897864,-1,-1,-1
79,679,1627304898816,-1,-1,-1
80,695,1627304898816,-1,-1,-1
81,679,1627304899821,-1,-1,-1
82,695,1627304900821,-1,-1,-1
83,679,1627304900821,-1,-1,-1
84,719,1627304901824,-1,-1,-1
85,695,1627304902813,-1,-1,-1
86,687,1627304902813,-1,-1,-1
87,703,1627304903825,-1,-1,-1
88,719,1627304904825,-1,-1,-1
89,687,1627304905815,-1,-1,-1
90,671,1627304905815,-1,-1,-1
91,687,1627304906826,-1,-1,-1
92,679,1627304907814,-1,-1,-1
93,679,1627304907814,-1,-1,-1
94,663,1627304908820,-1,-1,-1
95,655,1627304909811,-1,-1,-1
96,695,1627304909811,-1,-1,-1
97,623,1627304910826,-1,-1,-1
98,711,1627304911813,-1,-1,-1
99,647,1627304911813,-1,-1,-1
100,647,1627304912803,-1,-1,-1
101,607,1627304913815,-1,-1,-1
102,615,1627304913815,-1,-1,-1
103,647,1627304914805,-1,-1,-1
104,599,1627304914805,-1,-1,-1
105,631,1627304915840,-1,-1,-1
106,655,1627304916810,-1,-1,-1
107,687,1627304916810,-1,-1,-1
108,687,1627304917853,-1,-1,-1
109,719,1627304918820,-1,-1,-1
110,711,1627304919830,-1,-1,-1
111,711,1627304919830,-1,-1,-1
112,719,1627304920812,-1,-1,-1
113,735,1627304921802,-1,-1,-1
114,767,1627304921802,-1,-1,-1
115,759,1627304922816,-1,-1,-1
116,743,1627304923830,-1,-1,-1
117,735,1627304924820,-1,-1,-1
118,823,1627304926820,-1,-1,-1
119,751,1627304927810,-1,-1,-1
120,671,1627304927810,-1,-1,-1
121,679,1627304928831,-1,-1,-1
122,703,1627304929822,-1,-1,-1
123,719,1627304929822,-1,-1,-1
124,751,1627304930803,-1,-1,-1
125,743,1627304931821,-1,-1,-1
126,743,1627304932827,-1,-1,-1
127,743,1627304932827,-1,-1,-1
128,695,1627304933818,-1,-1,-1
129,711,1627304934813,-1,-1,-1
130,671,1627304934813,-1,-1,-1
131,719,1627304935825,-1,-1,-1
132,759,1627304937830,-1,-1,-1
133,679,1627304938813,-1,-1,-1
134,743,1627304939802,-1,-1,-1
135,727,1627304940824,-1,-1,-1
136,647,1627304940824,-1,-1,-1
137,735,1627304941810,-1,-1,-1
138,671,1627304942834,-1,-1,-1
139,655,1627304942834,-1,-1,-1
140,671,1627304943813,-1,-1,-1
141,647,1627304944820,-1,-1,-1
142,687,1627304944820,-1,-1,-1
143,671,1627304945841,-1,-1,-1
144,679,1627304946831,-1,-1,-1
145,671,1627304946831,-1,-1,-1
146,679,1627304947820,-1,-1,-1
147,695,1627304948808,-1,-1,-1
148,695,1627304948808,-1,-1,-1
149,759,1627304949819,-1,-1,-1
150,687,1627304950805,-1,-1,-1
151,671,1627304950805,-1,-1,-1
152,671,1627304951818,-1,-1,-1
153,647,1627304952811,-1,-1,-1
154,631,1627304952811,-1,-1,-1
155,655,1627304953830,-1,-1,-1
156,623,1627304954813,-1,-1,-1
157,647,1627304954813,-1,-1,-1
158,647,1627304955829,-1,-1,-1
159,703,1627304956812,-1,-1,-1
160,807,1627304957802,-1,-1,-1
161,831,1627304957802,-1,-1,-1
162,815,1627304958822,-1,-1,-1
163,767,1627304959812,-1,-1,-1
164,711,1627304960827,-1,-1,-1
165,687,1627304960827,-1,-1,-1
166,631,1627304961814,-1,-1,-1
167,615,1627304962820,-1,-1,-1
168,615,1627304962820,-1,-1,-1
169,671,1627304965840,-1,-1,-1
170,687,1627304965841,-1,-1,-1
171,751,1627304966805,-1,-1,-1
172,807,1627304967817,-1,-1,-1
173,855,1627304968805,-1,-1,-1
174,847,1627304969817,-1,-1,-1
175,807,1627304970813,-1,-1,-1
176,815,1627304970813,-1,-1,-1
177,751,1627304971802,-1,-1,-1
178,719,1627304972859,-1,-1,-1
179,727,1627304973805,-1,-1,-1
180,695,1627304973805,-1,-1,-1
181,679,1627304974812,-1,-1,-1
182,711,1627304975803,-1,-1,-1
183,719,1627304975803,-1,-1,-1
184,743,1627304976821,-1,-1,-1
185,743,1627304977811,-1,-1,-1
186,743,1627304978848,-1,-1,-1
187,759,1627304978848,-1,-1,-1
188,791,1627304979816,-1,-1,-1
189,751,1627304980800,-1,-1,-1
190,719,1627304981832,-1,-1,-1
191,727,1627304981832,-1,-1,-1
192,775,1627304982828,-1,-1,-1
193,751,1627304983814,-1,-1,-1
194,751,1627304984807,-1,-1,-1
195,767,1627304984807,-1,-1,-1
196,735,1627304985821,-1,-1,-1
197,727,1627304986805,-1,-1,-1
198,719,1627304987818,-1,-1,-1
199,727,1627304987818,-1,-1,-1
200,735,1627304988814,-1,-1,-1
201,735,1627304989803,-1,-1,-1
202,719,1627304989803,-1,-1,-1
203,711,1627304990813,-1,-1,-1
204,719,1627304991803,-1,-1,-1
205,711,1627304992812,-1,-1,-1
206,703,1627304992812,-1,-1,-1
207,687,1627304993803,-1,-1,-1
208,687,1627304994821,-1,-1,-1
209,687,1627304994821,-1,-1,-1
210,671,1627304995813,-1,-1,-1
211,671,1627304996823,-1,-1,-1
212,679,1627304996823,-1,-1,-1
213,711,1627304997810,-1,-1,-1
214,727,1627304998820,-1,-1,-1
215,711,1627304999810,-1,-1,-1
216,687,1627304999810,-1,-1,-1
217,687,1627305000807,-1,-1,-1
218,671,1627305001836,-1,-1,-1
219,687,1627305001836,-1,-1,-1
220,679,1627305002807,-1,-1,-1
221,663,1627305003817,-1,-1,-1
222,679,1627305003817,-1,-1,-1
223,663,1627305004827,-1,-1,-1
224,679,1627305005817,-1,-1,-1
225,663,1627305005817,-1,-1,-1
226,687,1627305006807,-1,-1,-1
227,687,1627305007800,-1,-1,-1
228,663,1627305007800,-1,-1,-1
229,703,1627305008816,-1,-1,-1
230,687,1627305009802,-1,-1,-1
231,687,1627305009802,-1,-1,-1
232,671,1627305010812,-1,-1,-1
233,687,1627305011802,-1,-1,-1
234,679,1627305011802,-1,-1,-1
235,679,1627305012815,-1,-1,-1
236,663,1627305013805,-1,-1,-1
237,615,1627305013805,-1,-1,-1
238,655,1627305014845,-1,-1,-1
239,679,1627305015835,-1,-1,-1
240,679,1627305015835,-1,-1,-1
241,711,1627305016797,-1,-1,-1
242,679,1627305017810,-1,-1,-1
243,663,1627305018801,-1,-1,-1
244,655,1627305018801,-1,-1,-1
245,631,1627305019821,-1,-1,-1
246,607,1627305019821,-1,-1,-1
247,615,1627305020802,-1,-1,-1
248,623,1627305021816,-1,-1,-1
249,631,1627305021816,-1,-1,-1
250,647,1627305022805,-1,-1,-1
251,639,1627305023818,-1,-1,-1
252,639,1627305023818,-1,-1,-1
253,639,1627305024812,-1,-1,-1
254,663,1627305025802,-1,-1,-1
255,655,1627305025802,-1,-1,-1
256,655,1627305026817,-1,-1,-1
257,631,1627305026817,-1,-1,-1
258,647,1627305027825,-1,-1,-1
259,623,1627305028813,-1,-1,-1
