,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,943,1623407873910,-1,-1,-1
1,975,1623407874859,-1,-1,-1
2,1015,1623407875873,-1,-1,-1
3,1039,1623407876849,-1,-1,-1
4,967,1623407877858,-1,-1,-1
5,1039,1623407878872,-1,-1,-1
6,1031,1623407879922,-1,-1,-1
7,983,1623407880858,-1,-1,-1
8,991,1623407881883,-1,-1,-1
9,1079,1623407883098,-1,-1,-1
10,1031,1623407883894,-1,-1,-1
11,1063,1623407885848,-1,-1,-1
12,1000,1623407886858,-1,-1,-1
13,1047,1623407887874,-1,-1,-1
14,1023,1623407888844,-1,-1,-1
15,1007,1623407891847,-1,-1,-1
16,799,1623407891847,-1,-1,-1
17,975,1623407892860,-1,-1,-1
18,719,1623407893875,-1,-1,-1
19,583,1623407894848,-1,-1,-1
20,799,1623407896873,-1,-1,-1
21,855,1623407897850,-1,-1,-1
22,775,1623407898860,-1,-1,-1
23,991,1623407905834,-1,-1,-1
24,1015,1623407906846,-1,-1,-1
25,1111,1623407909847,-1,-1,-1
26,983,1623407910858,-1,-1,-1
27,935,1623407910858,-1,-1,-1
28,951,1623407911834,-1,-1,-1
29,895,1623407912846,-1,-1,-1
30,927,1623407913861,-1,-1,-1
31,959,1623407914834,-1,-1,-1
32,887,1623407915846,-1,-1,-1
33,903,1623407916859,-1,-1,-1
34,927,1623407917836,-1,-1,-1
35,951,1623407918847,-1,-1,-1
36,919,1623407919860,-1,-1,-1
37,839,1623407920835,-1,-1,-1
38,799,1623407920835,-1,-1,-1
39,911,1623407923833,-1,-1,-1
40,879,1623407924921,-1,-1,-1
41,943,1623407925859,-1,-1,-1
42,919,1623407926846,-1,-1,-1
43,927,1623407927848,-1,-1,-1
44,935,1623407928859,-1,-1,-1
45,927,1623407929835,-1,-1,-1
46,863,1623407930846,-1,-1,-1
47,911,1623407931859,-1,-1,-1
48,919,1623407931859,-1,-1,-1
49,959,1623407932835,-1,-1,-1
50,951,1623407933848,-1,-1,-1
51,967,1623407934861,-1,-1,-1
52,1007,1623407935837,-1,-1,-1
53,951,1623407936850,-1,-1,-1
54,1047,1623407937863,-1,-1,-1
55,887,1623407938838,-1,-1,-1
56,879,1623407939847,-1,-1,-1
57,967,1623407940899,-1,-1,-1
58,895,1623407941833,-1,-1,-1
59,943,1623407942849,-1,-1,-1
60,895,1623407945847,-1,-1,-1
61,935,1623407947837,-1,-1,-1
62,623,1623407950838,-1,-1,-1
63,967,1623407951847,-1,-1,-1
64,951,1623407952859,-1,-1,-1
65,975,1623407953835,-1,-1,-1
66,943,1623407954850,-1,-1,-1
67,887,1623407955858,-1,-1,-1
68,935,1623407956835,-1,-1,-1
69,895,1623407957846,-1,-1,-1
70,839,1623407958858,-1,-1,-1
71,815,1623407958858,-1,-1,-1
72,855,1623407959836,-1,-1,-1
73,903,1623407960847,-1,-1,-1
74,959,1623407961858,-1,-1,-1
