,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,975,1623056125132,-1,-1,-1
1,975,1623056125132,-1,-1,-1
2,959,1623056126143,-1,-1,-1
3,1039,1623056127114,-1,-1,-1
4,1103,1623056128123,-1,-1,-1
5,1111,1623056129138,-1,-1,-1
6,1071,1623056130124,-1,-1,-1
7,991,1623056131138,-1,-1,-1
8,1079,1623056132130,-1,-1,-1
9,1127,1623056133119,-1,-1,-1
10,1135,1623056138117,-1,-1,-1
11,1175,1623056139126,-1,-1,-1
12,1071,1623056140116,-1,-1,-1
13,1111,1623056141113,-1,-1,-1
14,1151,1623056142118,-1,-1,-1
15,1143,1623056144122,-1,-1,-1
16,1079,1623056145116,-1,-1,-1
17,1143,1623056146125,-1,-1,-1
18,1175,1623056147118,-1,-1,-1
19,1047,1623056148126,-1,-1,-1
20,1119,1623056149118,-1,-1,-1
21,1167,1623056150153,-1,-1,-1
22,1079,1623056151144,-1,-1,-1
23,1135,1623056153144,-1,-1,-1
24,1159,1623056154134,-1,-1,-1
25,1039,1623056155150,-1,-1,-1
26,1079,1623056156114,-1,-1,-1
27,1103,1623056157125,-1,-1,-1
28,1055,1623056158120,-1,-1,-1
29,1135,1623056159129,-1,-1,-1
30,1135,1623056160111,-1,-1,-1
31,1063,1623056161126,-1,-1,-1
32,1191,1623056163114,-1,-1,-1
33,1223,1623056164125,-1,-1,-1
34,1127,1623056165122,-1,-1,-1
35,1159,1623056166173,-1,-1,-1
36,1191,1623056167136,-1,-1,-1
37,1135,1623056168176,-1,-1,-1
38,879,1623056172111,-1,-1,-1
39,1023,1623056173147,-1,-1,-1
40,959,1623056174115,-1,-1,-1
41,1367,1623056175126,-1,-1,-1
42,1327,1623056177111,-1,-1,-1
43,1151,1623056178119,-1,-1,-1
44,1239,1623056179111,-1,-1,-1
45,1255,1623056180121,-1,-1,-1
46,1135,1623056182124,-1,-1,-1
47,1319,1623056189122,-1,-1,-1
48,975,1623056125132,-1,-1,-1
49,959,1623056126143,-1,-1,-1
50,1039,1623056127114,-1,-1,-1
51,1103,1623056128123,-1,-1,-1
52,1111,1623056129138,-1,-1,-1
53,1071,1623056130124,-1,-1,-1
54,991,1623056131138,-1,-1,-1
55,1079,1623056132130,-1,-1,-1
56,1127,1623056133119,-1,-1,-1
57,1135,1623056138117,-1,-1,-1
58,1175,1623056139126,-1,-1,-1
59,1071,1623056140116,-1,-1,-1
60,1111,1623056141113,-1,-1,-1
61,1151,1623056142118,-1,-1,-1
62,1143,1623056144122,-1,-1,-1
63,1079,1623056145116,-1,-1,-1
64,1143,1623056146125,-1,-1,-1
65,1175,1623056147118,-1,-1,-1
66,1047,1623056148126,-1,-1,-1
67,1119,1623056149118,-1,-1,-1
68,1167,1623056150153,-1,-1,-1
69,1079,1623056151144,-1,-1,-1
70,1135,1623056153144,-1,-1,-1
71,1159,1623056154134,-1,-1,-1
72,1039,1623056155150,-1,-1,-1
73,1079,1623056156114,-1,-1,-1
74,1103,1623056157125,-1,-1,-1
75,1055,1623056158120,-1,-1,-1
76,1135,1623056159129,-1,-1,-1
77,1135,1623056160111,-1,-1,-1
78,1063,1623056161126,-1,-1,-1
79,1191,1623056163114,-1,-1,-1
80,1223,1623056164125,-1,-1,-1
81,1127,1623056165122,-1,-1,-1
82,1159,1623056166173,-1,-1,-1
83,1191,1623056167136,-1,-1,-1
84,1135,1623056168176,-1,-1,-1
85,879,1623056172111,-1,-1,-1
86,1023,1623056173147,-1,-1,-1
87,959,1623056174115,-1,-1,-1
88,1367,1623056175126,-1,-1,-1
89,1327,1623056177111,-1,-1,-1
90,1151,1623056178119,-1,-1,-1
91,1239,1623056179111,-1,-1,-1
92,1255,1623056180121,-1,-1,-1
93,1135,1623056182124,-1,-1,-1
94,1319,1623056189122,-1,-1,-1
95,1335,1623056190112,-1,-1,-1
96,1295,1623056192115,-1,-1,-1
97,1191,1623056193129,-1,-1,-1
98,1199,1623056194119,-1,-1,-1
99,1215,1623056195108,-1,-1,-1
100,1223,1623056196145,-1,-1,-1
101,1239,1623056198122,-1,-1,-1
102,1111,1623056199112,-1,-1,-1
103,1223,1623056200146,-1,-1,-1
104,1231,1623056201115,-1,-1,-1
105,1231,1623056202082,-1,-1,-1
106,1223,1623056204111,-1,-1,-1
107,1239,1623056207124,-1,-1,-1
108,1343,1623056209145,-1,-1,-1
109,1207,1623056211152,-1,-1,-1
110,887,1623056216149,-1,-1,-1
111,1079,1623056217177,-1,-1,-1
112,1263,1623056218122,-1,-1,-1
113,1271,1623056220124,-1,-1,-1
114,1231,1623056221139,-1,-1,-1
115,1103,1623056222131,-1,-1,-1
116,1143,1623056223126,-1,-1,-1
117,1223,1623056224134,-1,-1,-1
118,1279,1623056226134,-1,-1,-1
119,1271,1623056227123,-1,-1,-1
120,1311,1623056228136,-1,-1,-1
121,1183,1623056230116,-1,-1,-1
122,1175,1623056231178,-1,-1,-1
123,1279,1623056232145,-1,-1,-1
124,1303,1623056233179,-1,-1,-1
125,1207,1623056234169,-1,-1,-1
126,1215,1623056236170,-1,-1,-1
127,1287,1623056237165,-1,-1,-1
128,1287,1623056238128,-1,-1,-1
129,1143,1623056239117,-1,-1,-1
130,1183,1623056241166,-1,-1,-1
131,1239,1623056242157,-1,-1,-1
132,1175,1623056243122,-1,-1,-1
133,1159,1623056244151,-1,-1,-1
134,1247,1623056245143,-1,-1,-1
135,1191,1623056249111,-1,-1,-1
136,1191,1623056250142,-1,-1,-1
137,975,1623056125132,-1,-1,-1
138,959,1623056126143,-1,-1,-1
139,1039,1623056127114,-1,-1,-1
140,1103,1623056128123,-1,-1,-1
141,1111,1623056129138,-1,-1,-1
142,1071,1623056130124,-1,-1,-1
143,991,1623056131138,-1,-1,-1
144,1079,1623056132130,-1,-1,-1
145,1127,1623056133119,-1,-1,-1
146,1135,1623056138117,-1,-1,-1
147,1175,1623056139126,-1,-1,-1
148,1071,1623056140116,-1,-1,-1
149,1111,1623056141113,-1,-1,-1
150,1151,1623056142118,-1,-1,-1
151,1143,1623056144122,-1,-1,-1
152,1079,1623056145116,-1,-1,-1
153,1143,1623056146125,-1,-1,-1
154,1175,1623056147118,-1,-1,-1
155,1047,1623056148126,-1,-1,-1
156,1119,1623056149118,-1,-1,-1
157,1167,1623056150153,-1,-1,-1
158,1079,1623056151144,-1,-1,-1
159,1135,1623056153144,-1,-1,-1
160,1159,1623056154134,-1,-1,-1
161,1039,1623056155150,-1,-1,-1
162,1079,1623056156114,-1,-1,-1
163,1103,1623056157125,-1,-1,-1
164,1055,1623056158120,-1,-1,-1
165,1135,1623056159129,-1,-1,-1
166,1135,1623056160111,-1,-1,-1
167,1063,1623056161126,-1,-1,-1
168,1191,1623056163114,-1,-1,-1
169,1223,1623056164125,-1,-1,-1
170,1127,1623056165122,-1,-1,-1
171,1159,1623056166173,-1,-1,-1
172,1191,1623056167136,-1,-1,-1
173,1135,1623056168176,-1,-1,-1
174,879,1623056172111,-1,-1,-1
175,1023,1623056173147,-1,-1,-1
176,959,1623056174115,-1,-1,-1
177,1367,1623056175126,-1,-1,-1
178,1327,1623056177111,-1,-1,-1
179,1151,1623056178119,-1,-1,-1
180,1239,1623056179111,-1,-1,-1
181,1255,1623056180121,-1,-1,-1
182,1135,1623056182124,-1,-1,-1
183,1319,1623056189122,-1,-1,-1
184,1335,1623056190112,-1,-1,-1
185,1295,1623056192115,-1,-1,-1
186,1191,1623056193129,-1,-1,-1
187,1199,1623056194119,-1,-1,-1
188,1215,1623056195108,-1,-1,-1
189,1223,1623056196145,-1,-1,-1
190,1239,1623056198122,-1,-1,-1
191,1111,1623056199112,-1,-1,-1
192,1223,1623056200146,-1,-1,-1
193,1231,1623056201115,-1,-1,-1
194,1231,1623056202082,-1,-1,-1
195,1223,1623056204111,-1,-1,-1
196,1239,1623056207124,-1,-1,-1
197,1343,1623056209145,-1,-1,-1
198,1207,1623056211152,-1,-1,-1
199,887,1623056216149,-1,-1,-1
200,1079,1623056217177,-1,-1,-1
201,1263,1623056218122,-1,-1,-1
202,1271,1623056220124,-1,-1,-1
203,1231,1623056221139,-1,-1,-1
204,1103,1623056222131,-1,-1,-1
205,1143,1623056223126,-1,-1,-1
206,1223,1623056224134,-1,-1,-1
207,1279,1623056226134,-1,-1,-1
208,1271,1623056227123,-1,-1,-1
209,1311,1623056228136,-1,-1,-1
210,1183,1623056230116,-1,-1,-1
211,1175,1623056231178,-1,-1,-1
212,1279,1623056232145,-1,-1,-1
213,1303,1623056233179,-1,-1,-1
214,1207,1623056234169,-1,-1,-1
215,1215,1623056236170,-1,-1,-1
216,1287,1623056237165,-1,-1,-1
217,1287,1623056238128,-1,-1,-1
218,1143,1623056239117,-1,-1,-1
219,1183,1623056241166,-1,-1,-1
220,1239,1623056242157,-1,-1,-1
221,1175,1623056243122,-1,-1,-1
222,1159,1623056244151,-1,-1,-1
223,1247,1623056245143,-1,-1,-1
224,1191,1623056249111,-1,-1,-1
225,1191,1623056250142,-1,-1,-1
226,1103,1623056251110,-1,-1,-1
227,1175,1623056252145,-1,-1,-1
228,1287,1623056254148,-1,-1,-1
229,1167,1623056255136,-1,-1,-1
230,1175,1623056256105,-1,-1,-1
231,1199,1623056257139,-1,-1,-1
232,1103,1623056258104,-1,-1,-1
233,1175,1623056259143,-1,-1,-1
234,1199,1623056261145,-1,-1,-1
235,1087,1623056262134,-1,-1,-1
236,1143,1623056263081,-1,-1,-1
237,1159,1623056264116,-1,-1,-1
