,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,632,1623251230847,-1,-1,-1
1,640,1623251230847,-1,-1,-1
2,640,1623251231899,-1,-1,-1
3,640,1623251232843,-1,-1,-1
4,648,1623251232843,-1,-1,-1
5,617,1623251233847,-1,-1,-1
6,664,1623251234845,-1,-1,-1
7,593,1623251234845,-1,-1,-1
8,648,1623251235850,-1,-1,-1
9,656,1623251236846,-1,-1,-1
10,609,1623251236846,-1,-1,-1
11,648,1623251237845,-1,-1,-1
12,546,1623251237845,-1,-1,-1
13,640,1623251238846,-1,-1,-1
14,578,1623251239848,-1,-1,-1
15,585,1623251239848,-1,-1,-1
16,585,1623251240847,-1,-1,-1
17,578,1623251241846,-1,-1,-1
18,585,1623251241846,-1,-1,-1
19,585,1623251242847,-1,-1,-1
20,593,1623251242847,-1,-1,-1
21,593,1623251244046,-1,-1,-1
22,617,1623251244848,-1,-1,-1
23,609,1623251244848,-1,-1,-1
24,625,1623251245846,-1,-1,-1
25,625,1623251245846,-1,-1,-1
26,625,1623251246846,-1,-1,-1
27,617,1623251247846,-1,-1,-1
28,609,1623251247846,-1,-1,-1
29,609,1623251248846,-1,-1,-1
30,632,1623251249846,-1,-1,-1
31,671,1623251249846,-1,-1,-1
32,687,1623251250846,-1,-1,-1
33,695,1623251251846,-1,-1,-1
34,695,1623251251846,-1,-1,-1
35,703,1623251252847,-1,-1,-1
36,695,1623251253846,-1,-1,-1
37,671,1623251254847,-1,-1,-1
38,648,1623251254847,-1,-1,-1
39,640,1623251255846,-1,-1,-1
40,625,1623251256847,-1,-1,-1
41,632,1623251256847,-1,-1,-1
42,632,1623251257846,-1,-1,-1
43,640,1623251257846,-1,-1,-1
44,640,1623251258847,-1,-1,-1
45,625,1623251259848,-1,-1,-1
46,648,1623251259848,-1,-1,-1
47,664,1623251260850,-1,-1,-1
48,656,1623251261847,-1,-1,-1
49,664,1623251261847,-1,-1,-1
50,664,1623251262843,-1,-1,-1
51,664,1623251263947,-1,-1,-1
52,640,1623251264845,-1,-1,-1
53,625,1623251264845,-1,-1,-1
54,625,1623251265846,-1,-1,-1
55,609,1623251265846,-1,-1,-1
56,609,1623251266847,-1,-1,-1
57,617,1623251267846,-1,-1,-1
58,640,1623251267846,-1,-1,-1
59,671,1623251268846,-1,-1,-1
60,710,1623251269848,-1,-1,-1
61,726,1623251269848,-1,-1,-1
62,757,1623251270843,-1,-1,-1
63,726,1623251271847,-1,-1,-1
64,710,1623251272947,-1,-1,-1
65,710,1623251272947,-1,-1,-1
66,687,1623251273845,-1,-1,-1
67,671,1623251274946,-1,-1,-1
68,664,1623251275845,-1,-1,-1
69,664,1623251275846,-1,-1,-1
70,656,1623251276946,-1,-1,-1
71,664,1623251277945,-1,-1,-1
72,664,1623251277945,-1,-1,-1
73,656,1623251278846,-1,-1,-1
74,664,1623251279946,-1,-1,-1
75,664,1623251279946,-1,-1,-1
76,671,1623251280947,-1,-1,-1
77,671,1623251282046,-1,-1,-1
78,664,1623251282046,-1,-1,-1
79,664,1623251282947,-1,-1,-1
80,656,1623251283946,-1,-1,-1
81,656,1623251283946,-1,-1,-1
82,648,1623251284946,-1,-1,-1
83,648,1623251285947,-1,-1,-1
84,648,1623251285947,-1,-1,-1
85,648,1623251287046,-1,-1,-1
86,656,1623251287947,-1,-1,-1
87,648,1623251287947,-1,-1,-1
88,656,1623251288940,-1,-1,-1
89,648,1623251289944,-1,-1,-1
90,664,1623251289944,-1,-1,-1
91,664,1623251290945,-1,-1,-1
92,656,1623251292051,-1,-1,-1
93,648,1623251292051,-1,-1,-1
94,656,1623251292944,-1,-1,-1
95,648,1623251293945,-1,-1,-1
96,640,1623251293945,-1,-1,-1
97,632,1623251294946,-1,-1,-1
98,640,1623251295947,-1,-1,-1
99,632,1623251295947,-1,-1,-1
100,632,1623251296946,-1,-1,-1
101,625,1623251297946,-1,-1,-1
102,640,1623251297946,-1,-1,-1
103,625,1623251298939,-1,-1,-1
104,632,1623251299947,-1,-1,-1
105,632,1623251299947,-1,-1,-1
106,632,1623251300948,-1,-1,-1
107,640,1623251301945,-1,-1,-1
108,640,1623251301946,-1,-1,-1
109,648,1623251303046,-1,-1,-1
110,648,1623251303046,-1,-1,-1
111,648,1623251303944,-1,-1,-1
112,632,1623251304946,-1,-1,-1
113,640,1623251304946,-1,-1,-1
114,632,1623251305946,-1,-1,-1
115,625,1623251306945,-1,-1,-1
116,625,1623251306945,-1,-1,-1
117,640,1623251307946,-1,-1,-1
118,632,1623251308945,-1,-1,-1
119,632,1623251308945,-1,-1,-1
120,632,1623251309946,-1,-1,-1
121,640,1623251310945,-1,-1,-1
122,640,1623251310945,-1,-1,-1
123,632,1623251311945,-1,-1,-1
124,625,1623251312945,-1,-1,-1
125,640,1623251312945,-1,-1,-1
126,632,1623251313943,-1,-1,-1
127,625,1623251314945,-1,-1,-1
128,648,1623251314945,-1,-1,-1
129,617,1623251315946,-1,-1,-1
130,710,1623251316945,-1,-1,-1
131,625,1623251316945,-1,-1,-1
132,679,1623251317945,-1,-1,-1
133,679,1623251318947,-1,-1,-1
134,679,1623251318947,-1,-1,-1
135,648,1623251320047,-1,-1,-1
136,648,1623251320943,-1,-1,-1
137,625,1623251320943,-1,-1,-1
138,625,1623251321945,-1,-1,-1
139,632,1623251322946,-1,-1,-1
140,625,1623251322946,-1,-1,-1
141,617,1623251323946,-1,-1,-1
142,632,1623251323946,-1,-1,-1
143,617,1623251324945,-1,-1,-1
144,632,1623251325947,-1,-1,-1
145,609,1623251325947,-1,-1,-1
146,593,1623251326945,-1,-1,-1
147,703,1623251327945,-1,-1,-1
148,539,1623251327946,-1,-1,-1
149,648,1623251328946,-1,-1,-1
150,593,1623251329947,-1,-1,-1
151,601,1623251329947,-1,-1,-1
152,609,1623251330946,-1,-1,-1
153,601,1623251330946,-1,-1,-1
154,609,1623251331947,-1,-1,-1
155,593,1623251332946,-1,-1,-1
156,601,1623251332947,-1,-1,-1
157,601,1623251333946,-1,-1,-1
158,601,1623251333946,-1,-1,-1
159,601,1623251334938,-1,-1,-1
160,609,1623251336047,-1,-1,-1
161,609,1623251336047,-1,-1,-1
162,617,1623251336947,-1,-1,-1
163,609,1623251337945,-1,-1,-1
164,617,1623251337945,-1,-1,-1
165,609,1623251338946,-1,-1,-1
166,625,1623251338946,-1,-1,-1
167,632,1623251339946,-1,-1,-1
168,656,1623251340944,-1,-1,-1
169,664,1623251340944,-1,-1,-1
170,679,1623251341946,-1,-1,-1
171,671,1623251342937,-1,-1,-1
172,664,1623251343942,-1,-1,-1
173,656,1623251343942,-1,-1,-1
174,648,1623251344944,-1,-1,-1
175,640,1623251345946,-1,-1,-1
176,632,1623251345946,-1,-1,-1
177,625,1623251346947,-1,-1,-1
178,609,1623251346947,-1,-1,-1
179,601,1623251347938,-1,-1,-1
180,585,1623251348938,-1,-1,-1
181,601,1623251348938,-1,-1,-1
182,601,1623251349945,-1,-1,-1
183,617,1623251350941,-1,-1,-1
184,632,1623251350941,-1,-1,-1
185,656,1623251351946,-1,-1,-1
186,695,1623251353040,-1,-1,-1
187,703,1623251353040,-1,-1,-1
188,710,1623251353938,-1,-1,-1
189,695,1623251354946,-1,-1,-1
190,679,1623251354946,-1,-1,-1
191,679,1623251355946,-1,-1,-1
192,671,1623251356943,-1,-1,-1
193,656,1623251356943,-1,-1,-1
194,640,1623251357940,-1,-1,-1
195,640,1623251358947,-1,-1,-1
196,632,1623251358947,-1,-1,-1
197,625,1623251359942,-1,-1,-1
198,625,1623251360947,-1,-1,-1
199,617,1623251360947,-1,-1,-1
200,617,1623251362046,-1,-1,-1
201,609,1623251362946,-1,-1,-1
202,609,1623251362946,-1,-1,-1
203,593,1623251363946,-1,-1,-1
204,601,1623251363946,-1,-1,-1
205,578,1623251364941,-1,-1,-1
206,593,1623251365946,-1,-1,-1
207,617,1623251365946,-1,-1,-1
208,632,1623251366945,-1,-1,-1
209,648,1623251367946,-1,-1,-1
210,671,1623251367946,-1,-1,-1
211,679,1623251368946,-1,-1,-1
212,679,1623251370046,-1,-1,-1
213,679,1623251370046,-1,-1,-1
214,671,1623251370946,-1,-1,-1
215,656,1623251371946,-1,-1,-1
216,656,1623251371946,-1,-1,-1
217,648,1623251372943,-1,-1,-1
218,632,1623251373943,-1,-1,-1
219,632,1623251373943,-1,-1,-1
220,625,1623251374944,-1,-1,-1
221,640,1623251375945,-1,-1,-1
222,632,1623251375945,-1,-1,-1
223,625,1623251377040,-1,-1,-1
224,632,1623251377940,-1,-1,-1
225,640,1623251377940,-1,-1,-1
226,640,1623251378941,-1,-1,-1
227,625,1623251379945,-1,-1,-1
228,625,1623251379945,-1,-1,-1
229,625,1623251380944,-1,-1,-1
230,632,1623251380944,-1,-1,-1
231,632,1623251381945,-1,-1,-1
232,656,1623251382945,-1,-1,-1
233,648,1623251382945,-1,-1,-1
234,648,1623251383938,-1,-1,-1
235,656,1623251384940,-1,-1,-1
236,640,1623251384940,-1,-1,-1
237,640,1623251386044,-1,-1,-1
238,632,1623251386946,-1,-1,-1
239,648,1623251386946,-1,-1,-1
240,625,1623251388046,-1,-1,-1
241,625,1623251388944,-1,-1,-1
242,632,1623251388944,-1,-1,-1
243,625,1623251390044,-1,-1,-1
244,625,1623251390945,-1,-1,-1
245,625,1623251390945,-1,-1,-1
246,640,1623251391945,-1,-1,-1
247,609,1623251392939,-1,-1,-1
248,617,1623251392939,-1,-1,-1
249,617,1623251393947,-1,-1,-1
250,609,1623251393947,-1,-1,-1
251,617,1623251394945,-1,-1,-1
252,625,1623251395944,-1,-1,-1
253,632,1623251395944,-1,-1,-1
254,640,1623251396944,-1,-1,-1
255,656,1623251397947,-1,-1,-1
256,632,1623251397947,-1,-1,-1
257,648,1623251398945,-1,-1,-1
258,640,1623251400044,-1,-1,-1
259,640,1623251400044,-1,-1,-1
260,632,1623251401041,-1,-1,-1
261,609,1623251402039,-1,-1,-1
262,632,1623251402039,-1,-1,-1
263,632,1623251403046,-1,-1,-1
264,648,1623251404037,-1,-1,-1
265,687,1623251404037,-1,-1,-1
266,703,1623251405045,-1,-1,-1
267,703,1623251406045,-1,-1,-1
268,710,1623251406045,-1,-1,-1
269,695,1623251407042,-1,-1,-1
270,695,1623251408046,-1,-1,-1
271,671,1623251409037,-1,-1,-1
272,648,1623251409037,-1,-1,-1
273,656,1623251410145,-1,-1,-1
274,648,1623251411146,-1,-1,-1
275,625,1623251411146,-1,-1,-1
276,617,1623251412046,-1,-1,-1
277,640,1623251412046,-1,-1,-1
278,632,1623251413043,-1,-1,-1
279,640,1623251414039,-1,-1,-1
280,640,1623251414039,-1,-1,-1
281,664,1623251415047,-1,-1,-1
282,671,1623251416045,-1,-1,-1
283,671,1623251416045,-1,-1,-1
284,664,1623251417046,-1,-1,-1
285,679,1623251418045,-1,-1,-1
286,640,1623251418045,-1,-1,-1
287,648,1623251419039,-1,-1,-1
288,640,1623251420038,-1,-1,-1
289,632,1623251420038,-1,-1,-1
290,640,1623251421045,-1,-1,-1
291,625,1623251422046,-1,-1,-1
292,640,1623251422046,-1,-1,-1
293,632,1623251423338,-1,-1,-1
294,656,1623251424041,-1,-1,-1
295,656,1623251424041,-1,-1,-1
296,664,1623251425040,-1,-1,-1
297,648,1623251426040,-1,-1,-1
298,664,1623251426040,-1,-1,-1
299,671,1623251427038,-1,-1,-1
300,664,1623251428040,-1,-1,-1
301,625,1623251428040,-1,-1,-1
302,664,1623251429142,-1,-1,-1
303,664,1623251430039,-1,-1,-1
304,632,1623251430039,-1,-1,-1
305,632,1623251431039,-1,-1,-1
306,632,1623251432046,-1,-1,-1
307,632,1623251432046,-1,-1,-1
308,640,1623251433038,-1,-1,-1
309,617,1623251434045,-1,-1,-1
310,656,1623251434045,-1,-1,-1
311,625,1623251435044,-1,-1,-1
312,648,1623251436043,-1,-1,-1
313,640,1623251436043,-1,-1,-1
314,648,1623251437038,-1,-1,-1
315,648,1623251438046,-1,-1,-1
316,625,1623251438046,-1,-1,-1
317,640,1623251439046,-1,-1,-1
318,640,1623251440045,-1,-1,-1
319,648,1623251440045,-1,-1,-1
320,664,1623251441045,-1,-1,-1
321,625,1623251442046,-1,-1,-1
322,671,1623251442046,-1,-1,-1
