,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,423,1623305137118,-1,-1,-1
1,575,1623305137118,-1,-1,-1
2,495,1623305138655,-1,-1,-1
3,399,1623305139719,-1,-1,-1
4,631,1623305141640,-1,-1,-1
5,311,1623305141640,-1,-1,-1
6,519,1623305146623,-1,-1,-1
7,463,1623305147637,-1,-1,-1
8,615,1623305149625,-1,-1,-1
9,487,1623305156636,-1,-1,-1
10,591,1623305156636,-1,-1,-1
11,295,1623305157646,-1,-1,-1
12,351,1623305159675,-1,-1,-1
13,631,1623305163609,-1,-1,-1
14,375,1623305163609,-1,-1,-1
15,455,1623305167619,-1,-1,-1
16,319,1623305167620,-1,-1,-1
17,391,1623305172614,-1,-1,-1
18,431,1623305176625,-1,-1,-1
19,359,1623305178614,-1,-1,-1
20,495,1623305187613,-1,-1,-1
21,431,1623305188624,-1,-1,-1
22,511,1623305188625,-1,-1,-1
23,575,1623305189634,-1,-1,-1
24,567,1623305190604,-1,-1,-1
25,655,1623305190604,-1,-1,-1
26,327,1623305191621,-1,-1,-1
27,495,1623305200627,-1,-1,-1
28,495,1623305200627,-1,-1,-1
29,527,1623305201643,-1,-1,-1
30,399,1623305201644,-1,-1,-1
31,471,1623305202640,-1,-1,-1
32,535,1623305215626,-1,-1,-1
33,439,1623305224662,-1,-1,-1
34,583,1623305226612,-1,-1,-1
35,527,1623305239624,-1,-1,-1
36,463,1623305239624,-1,-1,-1
37,535,1623305247604,-1,-1,-1
38,439,1623305247604,-1,-1,-1
39,495,1623305248620,-1,-1,-1
40,343,1623305253610,-1,-1,-1
41,503,1623305257619,-1,-1,-1
42,527,1623305257619,-1,-1,-1
43,495,1623305258667,-1,-1,-1
44,463,1623305258667,-1,-1,-1
45,487,1623305259678,-1,-1,-1
46,455,1623305259678,-1,-1,-1
47,351,1623305259678,-1,-1,-1
48,583,1623305261637,-1,-1,-1
49,535,1623305261637,-1,-1,-1
50,471,1623305263621,-1,-1,-1
51,519,1623305266622,-1,-1,-1
52,663,1623305267632,-1,-1,-1
53,487,1623305267632,-1,-1,-1
54,559,1623305274609,-1,-1,-1
55,527,1623305277605,-1,-1,-1
56,695,1623305280602,-1,-1,-1
57,503,1623305281619,-1,-1,-1
58,575,1623305282671,-1,-1,-1
59,559,1623305282671,-1,-1,-1
60,471,1623305283607,-1,-1,-1
61,695,1623305284625,-1,-1,-1
62,623,1623305285635,-1,-1,-1
63,479,1623305285635,-1,-1,-1
64,559,1623305286614,-1,-1,-1
65,671,1623305292606,-1,-1,-1
66,599,1623305292606,-1,-1,-1
67,487,1623305295611,-1,-1,-1
68,487,1623305296625,-1,-1,-1
69,343,1623305296625,-1,-1,-1
70,623,1623305297632,-1,-1,-1
71,463,1623305298606,-1,-1,-1
72,487,1623305298607,-1,-1,-1
73,431,1623305299620,-1,-1,-1
74,535,1623305299620,-1,-1,-1
75,519,1623305300598,-1,-1,-1
76,519,1623305300598,-1,-1,-1
77,527,1623305301609,-1,-1,-1
78,559,1623305301609,-1,-1,-1
79,391,1623305302620,-1,-1,-1
80,551,1623305304607,-1,-1,-1
81,471,1623305304607,-1,-1,-1
82,615,1623305308624,-1,-1,-1
83,543,1623305311621,-1,-1,-1
84,567,1623305312594,-1,-1,-1
85,575,1623305313604,-1,-1,-1
86,527,1623305314693,-1,-1,-1
87,535,1623305314693,-1,-1,-1
88,583,1623305315599,-1,-1,-1
89,567,1623305315599,-1,-1,-1
