,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,511,1623764718829,-1,-1,-1
1,575,1623764719812,-1,-1,-1
2,535,1623764719812,-1,-1,-1
3,615,1623764720802,-1,-1,-1
4,607,1623764722811,-1,-1,-1
5,567,1623764724791,-1,-1,-1
6,535,1623764725812,-1,-1,-1
7,535,1623764725812,-1,-1,-1
8,551,1623764726802,-1,-1,-1
9,527,1623764726802,-1,-1,-1
10,519,1623764727792,-1,-1,-1
11,511,1623764727792,-1,-1,-1
12,599,1623764728813,-1,-1,-1
13,535,1623764728813,-1,-1,-1
14,535,1623764729799,-1,-1,-1
15,599,1623764729799,-1,-1,-1
16,551,1623764730792,-1,-1,-1
17,439,1623764730792,-1,-1,-1
18,607,1623764732802,-1,-1,-1
19,591,1623764733791,-1,-1,-1
20,607,1623764734812,-1,-1,-1
21,647,1623764734812,-1,-1,-1
22,583,1623764735832,-1,-1,-1
23,567,1623764735832,-1,-1,-1
24,599,1623764736821,-1,-1,-1
25,551,1623764739791,-1,-1,-1
26,567,1623764739791,-1,-1,-1
27,647,1623764748797,-1,-1,-1
28,575,1623764748798,-1,-1,-1
29,487,1623764750803,-1,-1,-1
30,535,1623764751792,-1,-1,-1
31,527,1623764754791,-1,-1,-1
32,583,1623764754791,-1,-1,-1
33,559,1623764755782,-1,-1,-1
34,567,1623764755782,-1,-1,-1
35,551,1623764756802,-1,-1,-1
36,599,1623764757789,-1,-1,-1
37,535,1623764757789,-1,-1,-1
38,631,1623764759801,-1,-1,-1
39,607,1623764760792,-1,-1,-1
40,479,1623764760792,-1,-1,-1
41,591,1623764761783,-1,-1,-1
42,527,1623764761783,-1,-1,-1
43,615,1623764762803,-1,-1,-1
44,591,1623764762803,-1,-1,-1
45,503,1623764763791,-1,-1,-1
46,631,1623764764781,-1,-1,-1
47,535,1623764764781,-1,-1,-1
48,599,1623764765799,-1,-1,-1
49,583,1623764765800,-1,-1,-1
50,599,1623764766791,-1,-1,-1
51,583,1623764766792,-1,-1,-1
52,567,1623764767781,-1,-1,-1
53,559,1623764768829,-1,-1,-1
54,567,1623764768829,-1,-1,-1
55,503,1623764772790,-1,-1,-1
56,575,1623764774801,-1,-1,-1
57,623,1623764775793,-1,-1,-1
58,575,1623764776781,-1,-1,-1
59,583,1623764776781,-1,-1,-1
60,607,1623764777802,-1,-1,-1
61,591,1623764777802,-1,-1,-1
62,535,1623764778790,-1,-1,-1
63,631,1623764779782,-1,-1,-1
64,575,1623764779782,-1,-1,-1
65,615,1623764781791,-1,-1,-1
66,631,1623764782780,-1,-1,-1
67,623,1623764782780,-1,-1,-1
68,607,1623764783801,-1,-1,-1
69,615,1623764783802,-1,-1,-1
70,623,1623764784790,-1,-1,-1
71,631,1623764785780,-1,-1,-1
72,631,1623764785781,-1,-1,-1
73,607,1623764786801,-1,-1,-1
74,631,1623764787791,-1,-1,-1
75,607,1623764787791,-1,-1,-1
76,607,1623764788781,-1,-1,-1
