,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,815,1626338891450,-1,-1,-1
1,839,1626338891450,-1,-1,-1
2,863,1626338891878,-1,-1,-1
3,831,1626338892879,-1,-1,-1
4,879,1626338895869,-1,-1,-1
5,911,1626338896869,-1,-1,-1
6,807,1626338898869,-1,-1,-1
7,767,1626338899869,-1,-1,-1
8,959,1626338900911,-1,-1,-1
9,879,1626338903910,-1,-1,-1
10,583,1626338905870,-1,-1,-1
11,743,1626338906911,-1,-1,-1
12,655,1626338907870,-1,-1,-1
13,631,1626338907870,-1,-1,-1
14,799,1626338909911,-1,-1,-1
15,887,1626338910910,-1,-1,-1
16,871,1626338911871,-1,-1,-1
17,735,1626338912911,-1,-1,-1
18,751,1626338912911,-1,-1,-1
19,807,1626338913870,-1,-1,-1
20,687,1626338914870,-1,-1,-1
21,799,1626338915909,-1,-1,-1
22,839,1626338915909,-1,-1,-1
23,815,1626338916871,-1,-1,-1
24,583,1626338917871,-1,-1,-1
25,783,1626338919870,-1,-1,-1
26,719,1626338920871,-1,-1,-1
27,839,1626338921910,-1,-1,-1
28,815,1626338922873,-1,-1,-1
29,775,1626338923871,-1,-1,-1
30,879,1626338923871,-1,-1,-1
31,655,1626338924950,-1,-1,-1
32,679,1626338925911,-1,-1,-1
33,1039,1626338926870,-1,-1,-1
34,567,1626338928871,-1,-1,-1
35,575,1626338933909,-1,-1,-1
36,807,1626338935869,-1,-1,-1
37,911,1626338939909,-1,-1,-1
38,695,1626338940870,-1,-1,-1
39,687,1626338940870,-1,-1,-1
40,631,1626338946870,-1,-1,-1
41,503,1626338946870,-1,-1,-1
42,839,1626338952871,-1,-1,-1
43,767,1626338953873,-1,-1,-1
44,847,1626338956870,-1,-1,-1
45,815,1626338956870,-1,-1,-1
46,719,1626338959950,-1,-1,-1
47,767,1626338959950,-1,-1,-1
48,871,1626338960910,-1,-1,-1
49,767,1626338961870,-1,-1,-1
50,799,1626338962870,-1,-1,-1
51,855,1626338963912,-1,-1,-1
52,639,1626338963913,-1,-1,-1
53,887,1626338964870,-1,-1,-1
54,535,1626338966910,-1,-1,-1
55,711,1626338969911,-1,-1,-1
56,663,1626338970870,-1,-1,-1
57,751,1626338970871,-1,-1,-1
58,791,1626338971870,-1,-1,-1
59,831,1626338972910,-1,-1,-1
60,823,1626338973870,-1,-1,-1
61,879,1626338974870,-1,-1,-1
62,831,1626338975910,-1,-1,-1
63,855,1626338975910,-1,-1,-1
64,567,1626338976910,-1,-1,-1
65,831,1626338981910,-1,-1,-1
66,767,1626338982871,-1,-1,-1
67,1039,1626338983870,-1,-1,-1
68,783,1626338985869,-1,-1,-1
69,927,1626338986870,-1,-1,-1
70,1000,1626338989869,-1,-1,-1
71,863,1626338991870,-1,-1,-1
72,727,1626338992951,-1,-1,-1
73,799,1626338993910,-1,-1,-1
74,815,1626338994872,-1,-1,-1
75,735,1626338994872,-1,-1,-1
76,799,1626338995871,-1,-1,-1
77,631,1626338996911,-1,-1,-1
78,959,1626338997870,-1,-1,-1
79,863,1626338998871,-1,-1,-1
80,767,1626339000871,-1,-1,-1
81,831,1626339001870,-1,-1,-1
82,775,1626339002911,-1,-1,-1
83,783,1626339002912,-1,-1,-1
84,919,1626339003871,-1,-1,-1
85,687,1626339004871,-1,-1,-1
86,743,1626339005912,-1,-1,-1
87,639,1626339005912,-1,-1,-1
88,759,1626339006870,-1,-1,-1
89,559,1626339007870,-1,-1,-1
90,839,1626339010871,-1,-1,-1
91,591,1626339015869,-1,-1,-1
92,623,1626339016870,-1,-1,-1
93,583,1626339016870,-1,-1,-1
94,703,1626339017911,-1,-1,-1
95,807,1626339018871,-1,-1,-1
96,919,1626339019870,-1,-1,-1
97,751,1626339019870,-1,-1,-1
98,879,1626339021870,-1,-1,-1
99,791,1626339022871,-1,-1,-1
100,783,1626339023911,-1,-1,-1
101,615,1626339028870,-1,-1,-1
102,815,1626339029919,-1,-1,-1
103,863,1626339030870,-1,-1,-1
104,807,1626339030870,-1,-1,-1
105,823,1626339031871,-1,-1,-1
106,823,1626339032911,-1,-1,-1
107,815,1626339033870,-1,-1,-1
108,839,1626339034870,-1,-1,-1
109,623,1626339034870,-1,-1,-1
110,783,1626339037870,-1,-1,-1
111,919,1626339041911,-1,-1,-1
112,879,1626339042914,-1,-1,-1
113,863,1626339044916,-1,-1,-1
114,839,1626339046871,-1,-1,-1
115,735,1626339048871,-1,-1,-1
116,783,1626339051871,-1,-1,-1
117,775,1626339061872,-1,-1,-1
118,991,1626339062911,-1,-1,-1
119,687,1626339062911,-1,-1,-1
120,1023,1626339069871,-1,-1,-1
121,735,1626339071910,-1,-1,-1
122,975,1626339072871,-1,-1,-1
123,943,1626339074911,-1,-1,-1
124,871,1626339075871,-1,-1,-1
125,639,1626339076871,-1,-1,-1
126,1055,1626339077912,-1,-1,-1
127,671,1626339078870,-1,-1,-1
128,847,1626339079871,-1,-1,-1
129,767,1626339079871,-1,-1,-1
130,543,1626339086911,-1,-1,-1
131,855,1626339095911,-1,-1,-1
132,879,1626339096870,-1,-1,-1
133,831,1626339096870,-1,-1,-1
134,871,1626339097871,-1,-1,-1
135,799,1626339098911,-1,-1,-1
136,807,1626339099870,-1,-1,-1
137,783,1626339100871,-1,-1,-1
138,799,1626339100871,-1,-1,-1
139,655,1626339101910,-1,-1,-1
140,719,1626339105871,-1,-1,-1
141,671,1626339106871,-1,-1,-1
142,727,1626339106871,-1,-1,-1
143,855,1626339107912,-1,-1,-1
144,775,1626339108871,-1,-1,-1
145,759,1626339109871,-1,-1,-1
146,655,1626339113912,-1,-1,-1
147,535,1626339113912,-1,-1,-1
148,951,1626339114870,-1,-1,-1
149,615,1626339115871,-1,-1,-1
150,823,1626339116912,-1,-1,-1
151,583,1626339116912,-1,-1,-1
152,615,1626339117872,-1,-1,-1
153,959,1626339138873,-1,-1,-1
