,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,599,1623264614293,-1,-1,-1
1,673,1623264614293,-1,-1,-1
2,627,1623264614293,-1,-1,-1
3,627,1623264614293,-1,-1,-1
4,628,1623264614293,-1,-1,-1
5,614,1623264615292,-1,-1,-1
6,817,1623264615292,-1,-1,-1
7,1062,1623264616243,-1,-1,-1
8,534,1623264617243,-1,-1,-1
9,675,1623264618247,-1,-1,-1
10,651,1623264618247,-1,-1,-1
11,707,1623264619191,-1,-1,-1
12,716,1623264620197,-1,-1,-1
13,617,1623264621152,-1,-1,-1
14,1203,1623264622142,-1,-1,-1
15,757,1623264622142,-1,-1,-1
16,549,1623264623094,-1,-1,-1
17,1119,1623264625093,-1,-1,-1
18,1455,1623264626043,-1,-1,-1
19,729,1623264627040,-1,-1,-1
20,620,1623264627040,-1,-1,-1
21,1166,1623264628992,-1,-1,-1
22,1323,1623264629955,-1,-1,-1
23,636,1623264629955,-1,-1,-1
24,1027,1623264631952,-1,-1,-1
25,978,1623264631952,-1,-1,-1
26,608,1623264632900,-1,-1,-1
27,962,1623264633893,-1,-1,-1
28,1175,1623264634843,-1,-1,-1
29,1130,1623264635841,-1,-1,-1
30,795,1623264636798,-1,-1,-1
31,724,1623264637797,-1,-1,-1
32,525,1623264638796,-1,-1,-1
33,1086,1623264638796,-1,-1,-1
34,774,1623264639751,-1,-1,-1
35,710,1623264640742,-1,-1,-1
36,929,1623264642699,-1,-1,-1
37,1322,1623264642699,-1,-1,-1
38,598,1623264643649,-1,-1,-1
39,579,1623264643649,-1,-1,-1
40,534,1623264644701,-1,-1,-1
41,552,1623264645648,-1,-1,-1
42,759,1623264645648,-1,-1,-1
43,682,1623264646598,-1,-1,-1
44,676,1623264647599,-1,-1,-1
45,695,1623264648552,-1,-1,-1
46,691,1623264648552,-1,-1,-1
47,722,1623264649542,-1,-1,-1
48,663,1623264650500,-1,-1,-1
49,750,1623264650500,-1,-1,-1
50,715,1623264651497,-1,-1,-1
51,788,1623264652499,-1,-1,-1
52,604,1623264653444,-1,-1,-1
53,695,1623264653444,-1,-1,-1
54,667,1623264654448,-1,-1,-1
55,677,1623264655393,-1,-1,-1
56,628,1623264655394,-1,-1,-1
57,721,1623264656397,-1,-1,-1
58,606,1623264657347,-1,-1,-1
59,649,1623264657347,-1,-1,-1
60,748,1623264658399,-1,-1,-1
61,719,1623264659344,-1,-1,-1
62,708,1623264660291,-1,-1,-1
63,727,1623264660291,-1,-1,-1
64,437,1623264661298,-1,-1,-1
65,1019,1623264662248,-1,-1,-1
66,554,1623264662248,-1,-1,-1
67,625,1623264663248,-1,-1,-1
68,1005,1623264664300,-1,-1,-1
69,918,1623264665194,-1,-1,-1
70,797,1623264666194,-1,-1,-1
71,648,1623264666194,-1,-1,-1
72,502,1623264667149,-1,-1,-1
73,1655,1623264669193,-1,-1,-1
74,971,1623264670093,-1,-1,-1
75,396,1623264670093,-1,-1,-1
76,616,1623264671091,-1,-1,-1
77,518,1623264671091,-1,-1,-1
78,560,1623264672047,-1,-1,-1
79,560,1623264672047,-1,-1,-1
80,614,1623264673041,-1,-1,-1
81,564,1623264673041,-1,-1,-1
82,503,1623264673993,-1,-1,-1
83,637,1623264674995,-1,-1,-1
84,1202,1623264676001,-1,-1,-1
85,1014,1623264676941,-1,-1,-1
86,844,1623264677895,-1,-1,-1
87,616,1623264677895,-1,-1,-1
88,579,1623264678891,-1,-1,-1
89,587,1623264679892,-1,-1,-1
90,981,1623264680846,-1,-1,-1
91,931,1623264681851,-1,-1,-1
92,755,1623264682795,-1,-1,-1
93,637,1623264682795,-1,-1,-1
94,639,1623264683792,-1,-1,-1
95,695,1623264683792,-1,-1,-1
96,739,1623264684741,-1,-1,-1
97,718,1623264685747,-1,-1,-1
98,745,1623264686695,-1,-1,-1
99,705,1623264686695,-1,-1,-1
100,711,1623264687692,-1,-1,-1
101,697,1623264688691,-1,-1,-1
102,718,1623264689642,-1,-1,-1
103,672,1623264689642,-1,-1,-1
104,676,1623264690645,-1,-1,-1
105,659,1623264691591,-1,-1,-1
106,728,1623264691591,-1,-1,-1
107,620,1623264692597,-1,-1,-1
108,675,1623264693592,-1,-1,-1
109,638,1623264693592,-1,-1,-1
110,646,1623264694551,-1,-1,-1
111,634,1623264695542,-1,-1,-1
112,675,1623264695542,-1,-1,-1
113,688,1623264696496,-1,-1,-1
114,722,1623264697497,-1,-1,-1
115,702,1623264697497,-1,-1,-1
116,728,1623264698447,-1,-1,-1
117,762,1623264699448,-1,-1,-1
118,724,1623264700443,-1,-1,-1
119,704,1623264700443,-1,-1,-1
120,636,1623264701395,-1,-1,-1
121,722,1623264702395,-1,-1,-1
122,680,1623264703349,-1,-1,-1
123,682,1623264703349,-1,-1,-1
124,648,1623264704348,-1,-1,-1
125,689,1623264705300,-1,-1,-1
126,704,1623264705300,-1,-1,-1
127,753,1623264706299,-1,-1,-1
128,735,1623264707298,-1,-1,-1
129,745,1623264708250,-1,-1,-1
130,734,1623264708250,-1,-1,-1
131,738,1623264709248,-1,-1,-1
132,717,1623264710192,-1,-1,-1
133,704,1623264711194,-1,-1,-1
134,682,1623264711194,-1,-1,-1
135,672,1623264712147,-1,-1,-1
136,647,1623264713148,-1,-1,-1
137,661,1623264713148,-1,-1,-1
138,681,1623264714199,-1,-1,-1
139,638,1623264715095,-1,-1,-1
140,598,1623264715095,-1,-1,-1
141,654,1623264716095,-1,-1,-1
142,642,1623264717041,-1,-1,-1
143,645,1623264717041,-1,-1,-1
144,668,1623264718041,-1,-1,-1
145,824,1623264718994,-1,-1,-1
146,1235,1623264719993,-1,-1,-1
147,485,1623264720997,-1,-1,-1
148,655,1623264720997,-1,-1,-1
149,625,1623264721957,-1,-1,-1
150,630,1623264722942,-1,-1,-1
151,604,1623264722942,-1,-1,-1
152,654,1623264723951,-1,-1,-1
153,615,1623264723951,-1,-1,-1
154,640,1623264724898,-1,-1,-1
155,663,1623264725898,-1,-1,-1
156,656,1623264725899,-1,-1,-1
157,622,1623264726848,-1,-1,-1
158,655,1623264727850,-1,-1,-1
159,614,1623264727850,-1,-1,-1
160,645,1623264728799,-1,-1,-1
161,644,1623264729792,-1,-1,-1
162,696,1623264729792,-1,-1,-1
163,765,1623264730745,-1,-1,-1
164,762,1623264731744,-1,-1,-1
165,751,1623264732750,-1,-1,-1
166,722,1623264732750,-1,-1,-1
167,719,1623264733696,-1,-1,-1
168,707,1623264734696,-1,-1,-1
169,675,1623264735644,-1,-1,-1
170,673,1623264735644,-1,-1,-1
171,666,1623264736646,-1,-1,-1
172,651,1623264737694,-1,-1,-1
173,639,1623264737694,-1,-1,-1
174,643,1623264738595,-1,-1,-1
175,626,1623264739640,-1,-1,-1
176,623,1623264739640,-1,-1,-1
177,630,1623264740547,-1,-1,-1
178,639,1623264740547,-1,-1,-1
179,641,1623264741554,-1,-1,-1
180,656,1623264742495,-1,-1,-1
181,656,1623264742495,-1,-1,-1
182,653,1623264743491,-1,-1,-1
183,659,1623264744493,-1,-1,-1
184,661,1623264745441,-1,-1,-1
185,666,1623264745441,-1,-1,-1
186,666,1623264746450,-1,-1,-1
187,675,1623264747449,-1,-1,-1
188,675,1623264747449,-1,-1,-1
189,651,1623264748394,-1,-1,-1
190,657,1623264749345,-1,-1,-1
191,646,1623264749345,-1,-1,-1
192,633,1623264750342,-1,-1,-1
193,645,1623264751391,-1,-1,-1
194,609,1623264751391,-1,-1,-1
195,620,1623264752303,-1,-1,-1
196,608,1623264752303,-1,-1,-1
197,622,1623264753291,-1,-1,-1
198,604,1623264754248,-1,-1,-1
