,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,648,1623070669043,-1,-1,-1
1,670,1623070669043,-1,-1,-1
2,693,1623070669043,-1,-1,-1
3,693,1623070669043,-1,-1,-1
4,739,1623070670045,-1,-1,-1
5,770,1623070671042,-1,-1,-1
6,770,1623070672046,-1,-1,-1
7,785,1623070673042,-1,-1,-1
8,777,1623070673042,-1,-1,-1
9,762,1623070674043,-1,-1,-1
10,739,1623070675049,-1,-1,-1
11,716,1623070676049,-1,-1,-1
12,701,1623070676049,-1,-1,-1
13,701,1623070677042,-1,-1,-1
14,716,1623070678048,-1,-1,-1
15,724,1623070678048,-1,-1,-1
16,701,1623070679044,-1,-1,-1
17,724,1623070680042,-1,-1,-1
18,724,1623070681042,-1,-1,-1
19,716,1623070681042,-1,-1,-1
20,701,1623070682049,-1,-1,-1
21,708,1623070683042,-1,-1,-1
22,716,1623070684051,-1,-1,-1
23,693,1623070684051,-1,-1,-1
24,693,1623070685043,-1,-1,-1
25,701,1623070686094,-1,-1,-1
26,678,1623070686094,-1,-1,-1
27,670,1623070687047,-1,-1,-1
28,663,1623070688093,-1,-1,-1
29,663,1623070688093,-1,-1,-1
30,670,1623070689043,-1,-1,-1
31,708,1623070690049,-1,-1,-1
32,739,1623070691044,-1,-1,-1
33,762,1623070691044,-1,-1,-1
34,785,1623070692052,-1,-1,-1
35,777,1623070693043,-1,-1,-1
36,770,1623070694094,-1,-1,-1
37,777,1623070695166,-1,-1,-1
38,823,1623070695166,-1,-1,-1
39,770,1623070698200,-1,-1,-1
40,777,1623070699098,-1,-1,-1
41,754,1623070699098,-1,-1,-1
42,785,1623070700100,-1,-1,-1
43,762,1623070701093,-1,-1,-1
44,754,1623070702095,-1,-1,-1
45,762,1623070703092,-1,-1,-1
46,754,1623070703092,-1,-1,-1
47,747,1623070704092,-1,-1,-1
48,724,1623070705102,-1,-1,-1
49,754,1623070706097,-1,-1,-1
50,754,1623070706097,-1,-1,-1
51,754,1623070707100,-1,-1,-1
52,754,1623070708100,-1,-1,-1
53,762,1623070709091,-1,-1,-1
54,747,1623070709091,-1,-1,-1
55,724,1623070710092,-1,-1,-1
56,732,1623070711092,-1,-1,-1
57,724,1623070712093,-1,-1,-1
58,716,1623070712093,-1,-1,-1
59,663,1623070717101,-1,-1,-1
60,670,1623070717101,-1,-1,-1
61,670,1623070718093,-1,-1,-1
62,670,1623070719091,-1,-1,-1
63,648,1623070719091,-1,-1,-1
64,648,1623070720093,-1,-1,-1
65,640,1623070721093,-1,-1,-1
66,632,1623070721093,-1,-1,-1
67,632,1623070722098,-1,-1,-1
68,610,1623070723092,-1,-1,-1
69,617,1623070723092,-1,-1,-1
70,625,1623070724092,-1,-1,-1
71,617,1623070725092,-1,-1,-1
72,617,1623070725092,-1,-1,-1
73,632,1623070726103,-1,-1,-1
74,663,1623070727091,-1,-1,-1
75,678,1623070727091,-1,-1,-1
76,693,1623070728143,-1,-1,-1
77,686,1623070729091,-1,-1,-1
78,670,1623070729091,-1,-1,-1
79,670,1623070730091,-1,-1,-1
80,678,1623070731093,-1,-1,-1
81,678,1623070731093,-1,-1,-1
82,686,1623070732096,-1,-1,-1
83,708,1623070733094,-1,-1,-1
84,708,1623070734100,-1,-1,-1
85,693,1623070734100,-1,-1,-1
86,701,1623070735104,-1,-1,-1
87,708,1623070736093,-1,-1,-1
88,732,1623070736093,-1,-1,-1
89,732,1623070737092,-1,-1,-1
90,716,1623070738092,-1,-1,-1
91,724,1623070739091,-1,-1,-1
92,716,1623070739091,-1,-1,-1
93,708,1623070740094,-1,-1,-1
94,693,1623070741091,-1,-1,-1
95,701,1623070742091,-1,-1,-1
96,716,1623070742091,-1,-1,-1
97,716,1623070743092,-1,-1,-1
98,716,1623070744099,-1,-1,-1
99,754,1623070745091,-1,-1,-1
100,792,1623070745091,-1,-1,-1
101,800,1623070746097,-1,-1,-1
102,770,1623070747092,-1,-1,-1
103,762,1623070748092,-1,-1,-1
104,747,1623070749141,-1,-1,-1
105,724,1623070749141,-1,-1,-1
106,732,1623070750098,-1,-1,-1
107,732,1623070751093,-1,-1,-1
108,732,1623070752093,-1,-1,-1
109,732,1623070752093,-1,-1,-1
110,716,1623070753100,-1,-1,-1
111,708,1623070754091,-1,-1,-1
112,724,1623070754091,-1,-1,-1
113,716,1623070755193,-1,-1,-1
114,716,1623070756092,-1,-1,-1
115,716,1623070757092,-1,-1,-1
116,724,1623070757092,-1,-1,-1
117,724,1623070758097,-1,-1,-1
118,724,1623070759141,-1,-1,-1
119,747,1623070760141,-1,-1,-1
120,754,1623070760141,-1,-1,-1
121,739,1623070761141,-1,-1,-1
122,747,1623070762197,-1,-1,-1
123,754,1623070762198,-1,-1,-1
124,739,1623070763151,-1,-1,-1
125,724,1623070764143,-1,-1,-1
126,716,1623070765142,-1,-1,-1
127,708,1623070765142,-1,-1,-1
128,701,1623070766141,-1,-1,-1
129,724,1623070767150,-1,-1,-1
130,716,1623070768198,-1,-1,-1
131,701,1623070768198,-1,-1,-1
132,724,1623070769141,-1,-1,-1
133,732,1623070770151,-1,-1,-1
134,724,1623070771146,-1,-1,-1
135,693,1623070772147,-1,-1,-1
136,716,1623070773148,-1,-1,-1
137,701,1623070774151,-1,-1,-1
138,708,1623070774151,-1,-1,-1
139,686,1623070775149,-1,-1,-1
140,701,1623070776143,-1,-1,-1
141,701,1623070776143,-1,-1,-1
142,708,1623070777143,-1,-1,-1
143,686,1623070778144,-1,-1,-1
144,693,1623070779195,-1,-1,-1
145,693,1623070779195,-1,-1,-1
146,678,1623070780143,-1,-1,-1
147,670,1623070781147,-1,-1,-1
148,670,1623070781147,-1,-1,-1
149,663,1623070782144,-1,-1,-1
150,640,1623070783147,-1,-1,-1
151,632,1623070783147,-1,-1,-1
152,632,1623070784145,-1,-1,-1
153,632,1623070785147,-1,-1,-1
154,648,1623070785147,-1,-1,-1
155,686,1623070786144,-1,-1,-1
156,785,1623070787148,-1,-1,-1
157,838,1623070788142,-1,-1,-1
158,831,1623070788142,-1,-1,-1
159,792,1623070789142,-1,-1,-1
160,747,1623070790142,-1,-1,-1
161,716,1623070791148,-1,-1,-1
162,686,1623070791148,-1,-1,-1
163,663,1623070792150,-1,-1,-1
164,640,1623070793146,-1,-1,-1
165,625,1623070793147,-1,-1,-1
166,610,1623070794150,-1,-1,-1
167,610,1623070795141,-1,-1,-1
168,594,1623070795141,-1,-1,-1
169,632,1623070796142,-1,-1,-1
170,762,1623070797141,-1,-1,-1
171,876,1623070798141,-1,-1,-1
172,1098,1623070799141,-1,-1,-1
173,732,1623070810199,-1,-1,-1
174,732,1623070810199,-1,-1,-1
175,716,1623070810199,-1,-1,-1
176,693,1623070810199,-1,-1,-1
177,678,1623070811147,-1,-1,-1
178,678,1623070812199,-1,-1,-1
179,693,1623070813144,-1,-1,-1
180,708,1623070813144,-1,-1,-1
181,762,1623070821194,-1,-1,-1
182,823,1623070821194,-1,-1,-1
183,655,1623070821194,-1,-1,-1
184,991,1623070821194,-1,-1,-1
185,770,1623070822193,-1,-1,-1
186,732,1623070823249,-1,-1,-1
187,708,1623070823249,-1,-1,-1
188,678,1623070824192,-1,-1,-1
189,663,1623070825248,-1,-1,-1
190,640,1623070825248,-1,-1,-1
191,663,1623070826201,-1,-1,-1
192,640,1623070827198,-1,-1,-1
193,602,1623070827198,-1,-1,-1
194,632,1623070828193,-1,-1,-1
195,617,1623070829193,-1,-1,-1
196,640,1623070829193,-1,-1,-1
197,693,1623070830296,-1,-1,-1
198,747,1623070831191,-1,-1,-1
199,831,1623070832200,-1,-1,-1
200,892,1623070832200,-1,-1,-1
201,892,1623070833202,-1,-1,-1
202,861,1623070834193,-1,-1,-1
203,861,1623070835191,-1,-1,-1
204,831,1623070836199,-1,-1,-1
205,777,1623070837193,-1,-1,-1
206,770,1623070838198,-1,-1,-1
207,777,1623070838198,-1,-1,-1
208,754,1623070845199,-1,-1,-1
209,739,1623070845199,-1,-1,-1
210,777,1623070845199,-1,-1,-1
211,732,1623070845199,-1,-1,-1
212,732,1623070846195,-1,-1,-1
213,762,1623070847199,-1,-1,-1
214,831,1623070848199,-1,-1,-1
215,716,1623070848199,-1,-1,-1
216,823,1623070849197,-1,-1,-1
217,708,1623070850191,-1,-1,-1
218,686,1623070851301,-1,-1,-1
219,648,1623070855191,-1,-1,-1
220,548,1623070855191,-1,-1,-1
221,663,1623070859250,-1,-1,-1
222,640,1623070859250,-1,-1,-1
223,655,1623070859250,-1,-1,-1
224,732,1623070859250,-1,-1,-1
225,823,1623070860191,-1,-1,-1
226,884,1623070860191,-1,-1,-1
227,526,1623070880194,-1,-1,-1
228,708,1623070880194,-1,-1,-1
229,701,1623070880194,-1,-1,-1
230,701,1623070880194,-1,-1,-1
231,678,1623070881300,-1,-1,-1
232,663,1623070882190,-1,-1,-1
233,670,1623070882190,-1,-1,-1
234,678,1623070887195,-1,-1,-1
235,686,1623070888200,-1,-1,-1
236,693,1623070889193,-1,-1,-1
237,724,1623070889193,-1,-1,-1
238,724,1623070890198,-1,-1,-1
239,678,1623070891240,-1,-1,-1
240,678,1623070891240,-1,-1,-1
241,640,1623070892244,-1,-1,-1
242,640,1623070893249,-1,-1,-1
243,648,1623070893249,-1,-1,-1
244,655,1623070894300,-1,-1,-1
245,724,1623070898247,-1,-1,-1
246,716,1623070898247,-1,-1,-1
247,701,1623070898247,-1,-1,-1
248,762,1623070898247,-1,-1,-1
249,785,1623070899246,-1,-1,-1
250,754,1623070900247,-1,-1,-1
251,800,1623070901240,-1,-1,-1
252,823,1623070901240,-1,-1,-1
253,930,1623070925247,-1,-1,-1
254,747,1623070925247,-1,-1,-1
255,732,1623070925247,-1,-1,-1
256,716,1623070925247,-1,-1,-1
257,670,1623070926243,-1,-1,-1
258,663,1623070927245,-1,-1,-1
259,686,1623070927245,-1,-1,-1
260,663,1623070928247,-1,-1,-1
261,693,1623070929247,-1,-1,-1
262,693,1623070930247,-1,-1,-1
263,716,1623070930247,-1,-1,-1
264,708,1623070931245,-1,-1,-1
265,724,1623070932249,-1,-1,-1
266,716,1623070932249,-1,-1,-1
267,724,1623070936248,-1,-1,-1
268,701,1623070936248,-1,-1,-1
269,716,1623070936248,-1,-1,-1
270,693,1623070936248,-1,-1,-1
271,724,1623070937244,-1,-1,-1
272,716,1623070938249,-1,-1,-1
273,739,1623070938249,-1,-1,-1
274,663,1623070939248,-1,-1,-1
275,716,1623070940248,-1,-1,-1
276,708,1623070940248,-1,-1,-1
277,724,1623070941241,-1,-1,-1
278,762,1623070942248,-1,-1,-1
279,762,1623070943248,-1,-1,-1
280,739,1623070944248,-1,-1,-1
281,732,1623070944248,-1,-1,-1
282,670,1623070945244,-1,-1,-1
283,708,1623070946299,-1,-1,-1
284,663,1623070946299,-1,-1,-1
285,655,1623070947298,-1,-1,-1
286,648,1623070948299,-1,-1,-1
287,670,1623070948299,-1,-1,-1
288,655,1623070949298,-1,-1,-1
