	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
0	871	1,62677E+12	-1	-1	-1	
1	695	1,62677E+12	-1	-1	-1	983
2	815	1,62677E+12	-1	-1	-1	3001
3	799	1,62677E+12	-1	-1	-1	989
4	831	1,62677E+12	-1	-1	-1	1021
5	911	1,62677E+12	-1	-1	-1	994
6	807	1,62677E+12	-1	-1	-1	2007
7	815	1,62677E+12	-1	-1	-1	988
8	775	1,62677E+12	-1	-1	-1	990
9	1031	1,62677E+12	-1	-1	-1	1023
10	823	1,62677E+12	-1	-1	-1	1982
11	711	1,62677E+12	-1	-1	-1	2006
12	775	1,62677E+12	-1	-1	-1	2011
13	895	1,62677E+12	-1	-1	-1	990
14	919	1,62677E+12	-1	-1	-1	990
15	799	1,62677E+12	-1	-1	-1	1021
16	823	1,62677E+12	-1	-1	-1	3000
17	919	1,62677E+12	-1	-1	-1	1019
18	983	1,62677E+12	-1	-1	-1	960
19	975	1,62677E+12	-1	-1	-1	3029
20	1055	1,62677E+12	-1	-1	-1	993
21	879	1,62677E+12	-1	-1	-1	988
22	895	1,62677E+12	-1	-1	-1	990
23	1023	1,62677E+12	-1	-1	-1	1020
24	895	1,62677E+12	-1	-1	-1	990
25	847	1,62677E+12	-1	-1	-1	3001
26	1031	1,62677E+12	-1	-1	-1	990
27	887	1,62677E+12	-1	-1	-1	4023
28	1023	1,62677E+12	-1	-1	-1	987
29	983	1,62677E+12	-1	-1	-1	989
30	959	1,62677E+12	-1	-1	-1	1021
31	919	1,62677E+12	-1	-1	-1	990
32	775	1,62677E+12	-1	-1	-1	989
33	1183	1,62677E+12	-1	-1	-1	1020
34	903	1,62677E+12	-1	-1	-1	990
35	783	1,62677E+12	-1	-1	-1	3001
36	887	1,62677E+12	-1	-1	-1	991
37	951	1,62677E+12	-1	-1	-1	1019
38	1111	1,62677E+12	-1	-1	-1	990
39	783	1,62677E+12	-1	-1	-1	0
40	855	1,62677E+12	-1	-1	-1	3000
41	927	1,62677E+12	-1	-1	-1	990
42	791	1,62677E+12	-1	-1	-1	1021
43	831	1,62677E+12	-1	-1	-1	989
44	863	1,62677E+12	-1	-1	-1	1020
45	959	1,62677E+12	-1	-1	-1	991
46	967	1,62677E+12	-1	-1	-1	989
47	687	1,62677E+12	-1	-1	-1	0
48	1000	1,62677E+12	-1	-1	-1	990
49	615	1,62677E+12	-1	-1	-1	1020
50	1031	1,62677E+12	-1	-1	-1	992
51	919	1,62677E+12	-1	-1	-1	990
52	887	1,62677E+12	-1	-1	-1	1018
53	1079	1,62677E+12	-1	-1	-1	990
54	823	1,62677E+12	-1	-1	-1	992
55	671	1,62677E+12	-1	-1	-1	0
56	831	1,62677E+12	-1	-1	-1	1020
57	775	1,62677E+12	-1	-1	-1	989
58	847	1,62677E+12	-1	-1	-1	991
59	823	1,62677E+12	-1	-1	-1	1020
60	903	1,62677E+12	-1	-1	-1	0
61	991	1,62677E+12	-1	-1	-1	990
62	887	1,62677E+12	-1	-1	-1	989
63	815	1,62677E+12	-1	-1	-1	1020
64	687	1,62677E+12	-1	-1	-1	989
65	775	1,62677E+12	-1	-1	-1	992
66	919	1,62677E+12	-1	-1	-1	2008
67	847	1,62677E+12	-1	-1	-1	991
68	863	1,62677E+12	-1	-1	-1	1020
69	823	1,62677E+12	-1	-1	-1	990
70	767	1,62677E+12	-1	-1	-1	0
71	847	1,62677E+12	-1	-1	-1	990
72	775	1,62677E+12	-1	-1	-1	1022
73	903	1,62677E+12	-1	-1	-1	988
74	815	1,62677E+12	-1	-1	-1	990
75	903	1,62677E+12	-1	-1	-1	1020
76	935	1,62677E+12	-1	-1	-1	0
77	903	1,62677E+12	-1	-1	-1	991
78	879	1,62677E+12	-1	-1	-1	989
79	903	1,62677E+12	-1	-1	-1	1025
80	847	1,62677E+12	-1	-1	-1	1020
81	975	1,62677E+12	-1	-1	-1	990
82	951	1,62677E+12	-1	-1	-1	985
83	975	1,62677E+12	-1	-1	-1	991
84	1000	1,62677E+12	-1	-1	-1	991
85	959	1,62677E+12	-1	-1	-1	1019
86	719	1,62677E+12	-1	-1	-1	990
87	1047	1,62677E+12	-1	-1	-1	989
88	863	1,62677E+12	-1	-1	-1	0
89	1071	1,62677E+12	-1	-1	-1	2015
90	831	1,62677E+12	-1	-1	-1	1
91	1231	1,62677E+12	-1	-1	-1	2041
92	1015	1,62677E+12	-1	-1	-1	954
93	1207	1,62677E+12	-1	-1	-1	991
94	687	1,62677E+12	-1	-1	-1	2009
95	743	1,62677E+12	-1	-1	-1	990
96	775	1,62677E+12	-1	-1	-1	1020
97	863	1,62677E+12	-1	-1	-1	990
98	911	1,62677E+12	-1	-1	-1	2010
99	919	1,62677E+12	-1	-1	-1	989
100	895	1,62677E+12	-1	-1	-1	992
101	887	1,62677E+12	-1	-1	-1	3000
102	807	1,62677E+12	-1	-1	-1	1019
103	935	1,62677E+12	-1	-1	-1	0
104	943	1,62677E+12	-1	-1	-1	990
105	975	1,62677E+12	-1	-1	-1	991
106	943	1,62677E+12	-1	-1	-1	990
107	903	1,62677E+12	-1	-1	-1	1021
108	847	1,62677E+12	-1	-1	-1	3029
109	911	1,62677E+12	-1	-1	-1	989
110	943	1,62677E+12	-1	-1	-1	961
111	1007	1,62677E+12	-1	-1	-1	1019
112	927	1,62677E+12	-1	-1	-1	990
113	847	1,62677E+12	-1	-1	-1	0
114	895	1,62677E+12	-1	-1	-1	991
115	823	1,62677E+12	-1	-1	-1	1020
116	823	1,62677E+12	-1	-1	-1	990
117	871	1,62677E+12	-1	-1	-1	990
118	887	1,62677E+12	-1	-1	-1	1019
119	903	1,62677E+12	-1	-1	-1	991
120	951	1,62677E+12	-1	-1	-1	989
121	895	1,62677E+12	-1	-1	-1	0
122	935	1,62677E+12	-1	-1	-1	1020
123	639	1,62677E+12	-1	-1	-1	3990
124	695	1,62677E+12	-1	-1	-1	0
125	935	1,62677E+12	-1	-1	-1	991
126	879	1,62677E+12	-1	-1	-1	6031
127	911	1,62677E+12	-1	-1	-1	990
128	935	1,62677E+12	-1	-1	-1	990
129	799	1,62677E+12	-1	-1	-1	3000
130	871	1,62677E+12	-1	-1	-1	0
131	791	1,62677E+12	-1	-1	-1	3991
132	839	1,62677E+12	-1	-1	-1	1049
133	807	1,62677E+12	-1	-1	-1	0
134	759	1,62677E+12	-1	-1	-1	990
135	575	1,62677E+12	-1	-1	-1	960
136	943	1,62677E+12	-1	-1	-1	1021
137	767	1,62677E+12	-1	-1	-1	0
138	783	1,62677E+12	-1	-1	-1	989
139	775	1,62677E+12	-1	-1	-1	990
140	791	1,62677E+12	-1	-1	-1	1020
141	791	1,62677E+12	-1	-1	-1	990
142	783	1,62677E+12	-1	-1	-1	0
143	631	1,62677E+12	-1	-1	-1	1020
144	967	1,62677E+12	-1	-1	-1	989
145	727	1,62677E+12	-1	-1	-1	990
146	751	1,62677E+12	-1	-1	-1	0
147	815	1,62677E+12	-1	-1	-1	991
148	823	1,62677E+12	-1	-1	-1	1019
149	647	1,62677E+12	-1	-1	-1	992
150	775	1,62677E+12	-1	-1	-1	5010
151	839	1,62677E+12	-1	-1	-1	3000
152	847	1,62677E+12	-1	-1	-1	3000
153	975	1,62677E+12	-1	-1	-1	988
154	1023	1,62677E+12	-1	-1	-1	991
155	1039	1,62677E+12	-1	-1	-1	1022
156	943	1,62677E+12	-1	-1	-1	988
157	943	1,62677E+12	-1	-1	-1	990
158	879	1,62677E+12	-1	-1	-1	1021
159	959	1,62677E+12	-1	-1	-1	990
160	919	1,62677E+12	-1	-1	-1	989
161	1207	1,62677E+12	-1	-1	-1	3001
162	983	1,62677E+12	-1	-1	-1	1020
163	823	1,62677E+12	-1	-1	-1	1981
