,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,599,1627560892409,-1,-1,-1
1,559,1627560892409,-1,-1,-1
2,583,1627560892409,-1,-1,-1
3,551,1627560893397,-1,-1,-1
4,575,1627560893397,-1,-1,-1
5,575,1627560894398,-1,-1,-1
6,575,1627560894398,-1,-1,-1
7,543,1627560895394,-1,-1,-1
8,615,1627560895394,-1,-1,-1
9,567,1627560896442,-1,-1,-1
10,535,1627560897412,-1,-1,-1
11,615,1627560897412,-1,-1,-1
12,583,1627560898412,-1,-1,-1
13,583,1627560898412,-1,-1,-1
14,591,1627560899445,-1,-1,-1
15,567,1627560899445,-1,-1,-1
16,599,1627560900379,-1,-1,-1
17,383,1627560900379,-1,-1,-1
18,719,1627560901378,-1,-1,-1
19,551,1627560903405,-1,-1,-1
20,535,1627560903405,-1,-1,-1
21,575,1627560904395,-1,-1,-1
22,559,1627560905394,-1,-1,-1
23,535,1627560905394,-1,-1,-1
24,583,1627560906446,-1,-1,-1
25,543,1627560906446,-1,-1,-1
26,567,1627560907390,-1,-1,-1
27,559,1627560907390,-1,-1,-1
28,615,1627560908390,-1,-1,-1
29,575,1627560909390,-1,-1,-1
30,591,1627560909390,-1,-1,-1
31,599,1627560910433,-1,-1,-1
32,591,1627560910433,-1,-1,-1
33,591,1627560911382,-1,-1,-1
34,575,1627560911382,-1,-1,-1
35,591,1627560912403,-1,-1,-1
36,567,1627560913400,-1,-1,-1
37,575,1627560913400,-1,-1,-1
38,559,1627560914450,-1,-1,-1
39,567,1627560914450,-1,-1,-1
40,543,1627560915398,-1,-1,-1
41,583,1627560915398,-1,-1,-1
42,551,1627560916396,-1,-1,-1
43,607,1627560917393,-1,-1,-1
44,575,1627560917393,-1,-1,-1
45,583,1627560918394,-1,-1,-1
46,615,1627560918394,-1,-1,-1
47,591,1627560919386,-1,-1,-1
48,583,1627560920385,-1,-1,-1
49,671,1627560920385,-1,-1,-1
50,583,1627560923377,-1,-1,-1
51,591,1627560923378,-1,-1,-1
52,543,1627560924399,-1,-1,-1
53,599,1627560924399,-1,-1,-1
54,535,1627560925399,-1,-1,-1
55,519,1627560925399,-1,-1,-1
56,543,1627560926397,-1,-1,-1
57,567,1627560926397,-1,-1,-1
58,503,1627560927393,-1,-1,-1
59,583,1627560928393,-1,-1,-1
60,519,1627560928393,-1,-1,-1
61,551,1627560929391,-1,-1,-1
62,583,1627560940531,-1,-1,-1
63,591,1627560940531,-1,-1,-1
64,639,1627560940531,-1,-1,-1
65,623,1627560940531,-1,-1,-1
66,575,1627560940531,-1,-1,-1
67,607,1627560940531,-1,-1,-1
68,583,1627560940531,-1,-1,-1
69,575,1627560940531,-1,-1,-1
70,591,1627560940531,-1,-1,-1
71,575,1627560941386,-1,-1,-1
72,559,1627560941386,-1,-1,-1
73,575,1627560942387,-1,-1,-1
74,567,1627560943383,-1,-1,-1
75,655,1627560943384,-1,-1,-1
76,583,1627560944381,-1,-1,-1
77,615,1627560944381,-1,-1,-1
78,543,1627560945374,-1,-1,-1
79,567,1627560946385,-1,-1,-1
80,607,1627560946385,-1,-1,-1
81,543,1627560948404,-1,-1,-1
82,559,1627560948404,-1,-1,-1
83,535,1627560949377,-1,-1,-1
84,567,1627560950399,-1,-1,-1
85,551,1627560950400,-1,-1,-1
86,511,1627560951395,-1,-1,-1
87,551,1627560951395,-1,-1,-1
88,559,1627560952398,-1,-1,-1
89,543,1627560952398,-1,-1,-1
90,583,1627560953411,-1,-1,-1
91,559,1627560953411,-1,-1,-1
92,583,1627560954405,-1,-1,-1
93,591,1627560955405,-1,-1,-1
94,567,1627560955405,-1,-1,-1
95,591,1627560956403,-1,-1,-1
96,615,1627560956404,-1,-1,-1
97,631,1627560957382,-1,-1,-1
98,615,1627560958376,-1,-1,-1
99,599,1627560958376,-1,-1,-1
100,639,1627560959375,-1,-1,-1
101,591,1627560959375,-1,-1,-1
102,599,1627560960390,-1,-1,-1
103,615,1627560961392,-1,-1,-1
104,575,1627560961392,-1,-1,-1
105,583,1627560962393,-1,-1,-1
106,583,1627560962393,-1,-1,-1
107,559,1627560963408,-1,-1,-1
108,631,1627560964405,-1,-1,-1
109,599,1627560968370,-1,-1,-1
110,543,1627560969396,-1,-1,-1
111,711,1627560971392,-1,-1,-1
112,559,1627560971392,-1,-1,-1
113,607,1627560972391,-1,-1,-1
114,559,1627560972391,-1,-1,-1
115,391,1627560974385,-1,-1,-1
116,719,1627560975378,-1,-1,-1
117,567,1627560976378,-1,-1,-1
118,495,1627560977408,-1,-1,-1
119,447,1627560977408,-1,-1,-1
120,567,1627560978399,-1,-1,-1
121,583,1627560978399,-1,-1,-1
122,479,1627560979418,-1,-1,-1
123,607,1627560979418,-1,-1,-1
124,591,1627560980463,-1,-1,-1
125,519,1627560982407,-1,-1,-1
126,487,1627560982407,-1,-1,-1
127,495,1627560983384,-1,-1,-1
128,455,1627560985426,-1,-1,-1
129,455,1627560989413,-1,-1,-1
130,519,1627560990412,-1,-1,-1
131,423,1627560990412,-1,-1,-1
132,607,1627560991479,-1,-1,-1
133,567,1627560991479,-1,-1,-1
134,463,1627560992502,-1,-1,-1
135,599,1627560992502,-1,-1,-1
136,543,1627560993381,-1,-1,-1
137,511,1627560995374,-1,-1,-1
138,519,1627560995374,-1,-1,-1
139,527,1627560996443,-1,-1,-1
140,527,1627560996443,-1,-1,-1
141,519,1627560997612,-1,-1,-1
142,519,1627560997612,-1,-1,-1
143,519,1627560998491,-1,-1,-1
144,551,1627560998491,-1,-1,-1
145,503,1627560999369,-1,-1,-1
146,519,1627560999369,-1,-1,-1
147,503,1627561000531,-1,-1,-1
