,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,783,1623255126601,-1,-1,-1
1,631,1623255126601,-1,-1,-1
2,919,1623255179351,-1,-1,-1
3,775,1623255180310,-1,-1,-1
4,743,1623255180310,-1,-1,-1
5,735,1623255180903,-1,-1,-1
6,815,1623255181299,-1,-1,-1
7,751,1623255181628,-1,-1,-1
8,735,1623255182136,-1,-1,-1
9,783,1623255182136,-1,-1,-1
10,831,1623255182414,-1,-1,-1
11,807,1623255182845,-1,-1,-1
12,839,1623255183019,-1,-1,-1
13,727,1623255183388,-1,-1,-1
14,791,1623255183620,-1,-1,-1
15,959,1623255183774,-1,-1,-1
16,759,1623255183774,-1,-1,-1
17,743,1623255183937,-1,-1,-1
18,831,1623255184106,-1,-1,-1
19,871,1623255184357,-1,-1,-1
20,895,1623255184507,-1,-1,-1
21,911,1623255184668,-1,-1,-1
22,927,1623255184867,-1,-1,-1
23,815,1623255184867,-1,-1,-1
24,855,1623255185075,-1,-1,-1
25,751,1623255185534,-1,-1,-1
26,815,1623255185795,-1,-1,-1
27,759,1623255186099,-1,-1,-1
28,815,1623255186099,-1,-1,-1
29,759,1623255186497,-1,-1,-1
30,847,1623255186897,-1,-1,-1
31,815,1623255187367,-1,-1,-1
32,855,1623255187719,-1,-1,-1
33,863,1623255188204,-1,-1,-1
34,647,1623255188205,-1,-1,-1
35,919,1623255188609,-1,-1,-1
36,751,1623255189474,-1,-1,-1
37,775,1623255189474,-1,-1,-1
38,903,1623255189711,-1,-1,-1
39,967,1623255189925,-1,-1,-1
40,935,1623255190114,-1,-1,-1
41,927,1623255190722,-1,-1,-1
42,807,1623255190912,-1,-1,-1
43,775,1623255190912,-1,-1,-1
44,591,1623255191044,-1,-1,-1
45,863,1623255191176,-1,-1,-1
46,823,1623255191349,-1,-1,-1
47,815,1623255191349,-1,-1,-1
48,807,1623255191513,-1,-1,-1
49,727,1623255191822,-1,-1,-1
50,951,1623255191982,-1,-1,-1
51,983,1623255192701,-1,-1,-1
52,751,1623255192847,-1,-1,-1
53,887,1623255193013,-1,-1,-1
54,815,1623255193383,-1,-1,-1
55,799,1623255193754,-1,-1,-1
56,839,1623255193876,-1,-1,-1
57,879,1623255194035,-1,-1,-1
58,863,1623255194204,-1,-1,-1
59,807,1623255194527,-1,-1,-1
60,735,1623255194685,-1,-1,-1
61,783,1623255194817,-1,-1,-1
62,615,1623255194817,-1,-1,-1
63,719,1623255194967,-1,-1,-1
64,791,1623255195117,-1,-1,-1
65,775,1623255195117,-1,-1,-1
66,567,1623255195280,-1,-1,-1
67,751,1623255195830,-1,-1,-1
68,759,1623255196019,-1,-1,-1
69,735,1623255197005,-1,-1,-1
70,791,1623255198020,-1,-1,-1
71,743,1623255198020,-1,-1,-1
72,727,1623255199009,-1,-1,-1
73,711,1623255201022,-1,-1,-1
74,751,1623255202014,-1,-1,-1
75,751,1623255203003,-1,-1,-1
76,775,1623255203003,-1,-1,-1
77,799,1623255204021,-1,-1,-1
78,815,1623255205014,-1,-1,-1
79,775,1623255206002,-1,-1,-1
80,799,1623255207024,-1,-1,-1
81,791,1623255207024,-1,-1,-1
82,783,1623255208016,-1,-1,-1
83,815,1623255209014,-1,-1,-1
84,735,1623255210052,-1,-1,-1
85,839,1623255211042,-1,-1,-1
86,775,1623255211042,-1,-1,-1
87,815,1623255212002,-1,-1,-1
88,791,1623255213022,-1,-1,-1
89,799,1623255214013,-1,-1,-1
90,727,1623255215010,-1,-1,-1
91,887,1623255215010,-1,-1,-1
92,735,1623255216023,-1,-1,-1
93,743,1623255217023,-1,-1,-1
94,751,1623255218004,-1,-1,-1
95,839,1623255219023,-1,-1,-1
96,911,1623255219023,-1,-1,-1
97,607,1623255220012,-1,-1,-1
98,1047,1623255221008,-1,-1,-1
99,743,1623255222029,-1,-1,-1
100,655,1623255225025,-1,-1,-1
101,1007,1623255226013,-1,-1,-1
102,807,1623255229011,-1,-1,-1
103,911,1623255229011,-1,-1,-1
104,1063,1623255231028,-1,-1,-1
105,575,1623255231028,-1,-1,-1
106,791,1623255232012,-1,-1,-1
107,855,1623255234021,-1,-1,-1
108,815,1623255235012,-1,-1,-1
109,807,1623255238020,-1,-1,-1
110,935,1623255239003,-1,-1,-1
111,879,1623255240022,-1,-1,-1
112,719,1623255240022,-1,-1,-1
113,983,1623255241025,-1,-1,-1
114,727,1623255242006,-1,-1,-1
115,919,1623255243052,-1,-1,-1
116,911,1623255244044,-1,-1,-1
117,823,1623255245004,-1,-1,-1
118,935,1623255246082,-1,-1,-1
119,911,1623255247014,-1,-1,-1
120,919,1623255247014,-1,-1,-1
121,639,1623255248004,-1,-1,-1
122,983,1623255249023,-1,-1,-1
123,775,1623255252029,-1,-1,-1
124,823,1623255252030,-1,-1,-1
125,799,1623255253021,-1,-1,-1
126,871,1623255254003,-1,-1,-1
127,903,1623255255029,-1,-1,-1
128,847,1623255256012,-1,-1,-1
129,911,1623255257005,-1,-1,-1
130,831,1623255258038,-1,-1,-1
131,839,1623255258038,-1,-1,-1
132,735,1623255259012,-1,-1,-1
133,799,1623255260002,-1,-1,-1
134,807,1623255261023,-1,-1,-1
135,871,1623255262013,-1,-1,-1
136,919,1623255263012,-1,-1,-1
137,791,1623255263012,-1,-1,-1
138,895,1623255264021,-1,-1,-1
139,799,1623255265028,-1,-1,-1
140,871,1623255266001,-1,-1,-1
141,831,1623255267029,-1,-1,-1
142,839,1623255268010,-1,-1,-1
143,871,1623255269000,-1,-1,-1
144,807,1623255269027,-1,-1,-1
145,687,1623255270025,-1,-1,-1
146,927,1623255271025,-1,-1,-1
147,831,1623255272003,-1,-1,-1
148,543,1623255274013,-1,-1,-1
149,543,1623255274013,-1,-1,-1
150,815,1623255275003,-1,-1,-1
151,503,1623255277047,-1,-1,-1
152,479,1623255279050,-1,-1,-1
153,767,1623255281150,-1,-1,-1
154,815,1623255282053,-1,-1,-1
155,671,1623255282053,-1,-1,-1
156,823,1623255283023,-1,-1,-1
157,671,1623255284008,-1,-1,-1
158,1000,1623255285138,-1,-1,-1
159,711,1623255285138,-1,-1,-1
