,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,927,1625728743359,-1,-1,-1
1,975,1625728744332,-1,-1,-1
2,1000,1625728745364,-1,-1,-1
3,967,1625728746352,-1,-1,-1
4,967,1625728747368,-1,-1,-1
5,1031,1625728748357,-1,-1,-1
6,975,1625728749370,-1,-1,-1
7,927,1625728750339,-1,-1,-1
8,967,1625728751349,-1,-1,-1
9,943,1625728752385,-1,-1,-1
10,831,1625728753352,-1,-1,-1
11,855,1625728754366,-1,-1,-1
12,951,1625728768349,-1,-1,-1
13,1063,1625728781383,-1,-1,-1
14,1095,1625728782353,-1,-1,-1
15,1095,1625728783366,-1,-1,-1
16,1039,1625728784360,-1,-1,-1
17,975,1625728785397,-1,-1,-1
18,951,1625728786340,-1,-1,-1
19,959,1625728787352,-1,-1,-1
20,919,1625728789360,-1,-1,-1
21,919,1625728790368,-1,-1,-1
22,959,1625728791357,-1,-1,-1
23,911,1625728792348,-1,-1,-1
24,975,1625728793362,-1,-1,-1
25,967,1625728794375,-1,-1,-1
26,1000,1625728795361,-1,-1,-1
27,1000,1625728796359,-1,-1,-1
28,743,1625728797371,-1,-1,-1
29,1135,1625728798333,-1,-1,-1
30,967,1625728799366,-1,-1,-1
31,951,1625728800356,-1,-1,-1
32,927,1625728801391,-1,-1,-1
33,1063,1625728804347,-1,-1,-1
34,959,1625728812350,-1,-1,-1
35,951,1625728813364,-1,-1,-1
36,927,1625728814350,-1,-1,-1
37,895,1625728814350,-1,-1,-1
38,903,1625728815370,-1,-1,-1
39,895,1625728816333,-1,-1,-1
40,887,1625728817372,-1,-1,-1
41,863,1625728818358,-1,-1,-1
42,863,1625728819374,-1,-1,-1
43,863,1625728820365,-1,-1,-1
44,887,1625728821359,-1,-1,-1
45,879,1625728821359,-1,-1,-1
46,855,1625728822365,-1,-1,-1
47,919,1625728823352,-1,-1,-1
48,927,1625728824355,-1,-1,-1
49,919,1625728825352,-1,-1,-1
50,887,1625728826362,-1,-1,-1
51,895,1625728827412,-1,-1,-1
52,887,1625728828320,-1,-1,-1
53,911,1625728829353,-1,-1,-1
54,887,1625728830327,-1,-1,-1
55,887,1625728830327,-1,-1,-1
56,935,1625728831366,-1,-1,-1
57,911,1625728832356,-1,-1,-1
58,911,1625728833365,-1,-1,-1
59,847,1625728834339,-1,-1,-1
60,887,1625728835361,-1,-1,-1
61,887,1625728836352,-1,-1,-1
62,887,1625728837341,-1,-1,-1
63,847,1625728838385,-1,-1,-1
64,879,1625728838385,-1,-1,-1
65,911,1625728839351,-1,-1,-1
66,879,1625728840363,-1,-1,-1
67,863,1625728841362,-1,-1,-1
68,879,1625728842363,-1,-1,-1
69,895,1625728843356,-1,-1,-1
70,695,1625728859357,-1,-1,-1
71,943,1625728867342,-1,-1,-1
72,847,1625728867342,-1,-1,-1
73,943,1625728868383,-1,-1,-1
74,903,1625728869367,-1,-1,-1
75,903,1625728872368,-1,-1,-1
76,959,1625728873346,-1,-1,-1
77,791,1625728874366,-1,-1,-1
