,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,383,1624315667887,-1,-1,-1
1,559,1624315670886,-1,-1,-1
2,583,1624315670886,-1,-1,-1
3,575,1624315673885,-1,-1,-1
4,567,1624315674938,-1,-1,-1
5,631,1624315674941,-1,-1,-1
6,543,1624315675918,-1,-1,-1
7,575,1624315676891,-1,-1,-1
8,743,1624315679920,-1,-1,-1
9,551,1624315679920,-1,-1,-1
10,551,1624315680896,-1,-1,-1
11,575,1624315680896,-1,-1,-1
12,583,1624315681912,-1,-1,-1
13,487,1624315681912,-1,-1,-1
14,543,1624315682885,-1,-1,-1
15,495,1624315682885,-1,-1,-1
16,559,1624315683904,-1,-1,-1
17,663,1624315684919,-1,-1,-1
18,575,1624315685897,-1,-1,-1
19,615,1624315686905,-1,-1,-1
20,687,1624315688884,-1,-1,-1
21,663,1624315688884,-1,-1,-1
22,591,1624315691892,-1,-1,-1
23,599,1624315693880,-1,-1,-1
24,591,1624315694893,-1,-1,-1
25,567,1624315694893,-1,-1,-1
26,623,1624315695901,-1,-1,-1
27,559,1624315696911,-1,-1,-1
28,551,1624315696912,-1,-1,-1
29,663,1624315697883,-1,-1,-1
30,583,1624315697883,-1,-1,-1
31,567,1624315698903,-1,-1,-1
32,599,1624315699872,-1,-1,-1
33,519,1624315699872,-1,-1,-1
34,615,1624315700883,-1,-1,-1
35,527,1624315700883,-1,-1,-1
36,543,1624315701906,-1,-1,-1
37,527,1624315701906,-1,-1,-1
38,591,1624315702879,-1,-1,-1
39,455,1624315702879,-1,-1,-1
40,671,1624315703893,-1,-1,-1
41,591,1624315704905,-1,-1,-1
42,599,1624315704905,-1,-1,-1
43,631,1624315705879,-1,-1,-1
44,607,1624315705879,-1,-1,-1
45,671,1624315706895,-1,-1,-1
46,559,1624315707905,-1,-1,-1
47,631,1624315707905,-1,-1,-1
48,639,1624315708878,-1,-1,-1
49,551,1624315709892,-1,-1,-1
50,639,1624315709892,-1,-1,-1
51,447,1624315711880,-1,-1,-1
52,567,1624315713904,-1,-1,-1
53,639,1624315714879,-1,-1,-1
54,623,1624315714880,-1,-1,-1
55,591,1624315715891,-1,-1,-1
56,607,1624315716907,-1,-1,-1
57,583,1624315722906,-1,-1,-1
58,583,1624315722907,-1,-1,-1
59,559,1624315723874,-1,-1,-1
60,583,1624315723874,-1,-1,-1
61,599,1624315724890,-1,-1,-1
62,583,1624315725897,-1,-1,-1
63,591,1624315725897,-1,-1,-1
64,519,1624315729918,-1,-1,-1
65,511,1624315732878,-1,-1,-1
66,671,1624315732878,-1,-1,-1
67,567,1624315737905,-1,-1,-1
68,583,1624315738881,-1,-1,-1
69,607,1624315740904,-1,-1,-1
70,639,1624315741873,-1,-1,-1
71,647,1624315754894,-1,-1,-1
72,567,1624315754894,-1,-1,-1
73,495,1624315755906,-1,-1,-1
74,623,1624315758907,-1,-1,-1
75,535,1624315759879,-1,-1,-1
76,607,1624315759879,-1,-1,-1
77,615,1624315762918,-1,-1,-1
78,415,1624315762918,-1,-1,-1
79,383,1624315766892,-1,-1,-1
80,599,1624315767904,-1,-1,-1
81,479,1624315767904,-1,-1,-1
82,487,1624315767904,-1,-1,-1
83,423,1624315769932,-1,-1,-1
84,575,1624315774356,-1,-1,-1
85,479,1624315774879,-1,-1,-1
86,631,1624315775890,-1,-1,-1
87,391,1624315775890,-1,-1,-1
88,439,1624315776943,-1,-1,-1
89,391,1624315776945,-1,-1,-1
90,631,1624315777880,-1,-1,-1
91,503,1624315777881,-1,-1,-1
92,527,1624315778892,-1,-1,-1
93,519,1624315778896,-1,-1,-1
94,407,1624315780019,-1,-1,-1
95,655,1624315780881,-1,-1,-1
96,495,1624315780881,-1,-1,-1
97,511,1624315781967,-1,-1,-1
98,591,1624315782943,-1,-1,-1
99,399,1624315783879,-1,-1,-1
100,575,1624315783879,-1,-1,-1
101,463,1624315784930,-1,-1,-1
102,479,1624315787921,-1,-1,-1
103,447,1624315790908,-1,-1,-1
104,487,1624315790908,-1,-1,-1
105,503,1624315791937,-1,-1,-1
106,439,1624315791937,-1,-1,-1
107,519,1624315792948,-1,-1,-1
108,511,1624315792948,-1,-1,-1
109,431,1624315793894,-1,-1,-1
110,423,1624315794906,-1,-1,-1
111,487,1624315794906,-1,-1,-1
112,511,1624315796284,-1,-1,-1
113,471,1624315796285,-1,-1,-1
114,527,1624315797149,-1,-1,-1
115,519,1624315797149,-1,-1,-1
116,503,1624315800071,-1,-1,-1
117,559,1624315801391,-1,-1,-1
118,471,1624315801391,-1,-1,-1
119,575,1624315801497,-1,-1,-1
120,375,1624315801497,-1,-1,-1
