,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,567,1627130124540,-1,-1,-1
1,703,1627130124540,-1,-1,-1
2,807,1627130126544,-1,-1,-1
3,575,1627130128546,-1,-1,-1
4,583,1627130128546,-1,-1,-1
5,583,1627130129560,-1,-1,-1
6,575,1627130129560,-1,-1,-1
7,479,1627130130574,-1,-1,-1
8,639,1627130130574,-1,-1,-1
9,487,1627130131547,-1,-1,-1
10,647,1627130132559,-1,-1,-1
11,383,1627130133573,-1,-1,-1
12,639,1627130134546,-1,-1,-1
13,743,1627130134546,-1,-1,-1
14,671,1627130135598,-1,-1,-1
15,583,1627130137548,-1,-1,-1
16,455,1627130137548,-1,-1,-1
17,631,1627130138562,-1,-1,-1
18,391,1627130138562,-1,-1,-1
19,663,1627130139573,-1,-1,-1
20,671,1627130140548,-1,-1,-1
21,591,1627130141560,-1,-1,-1
22,543,1627130142574,-1,-1,-1
23,559,1627130142574,-1,-1,-1
24,567,1627130143549,-1,-1,-1
25,543,1627130144558,-1,-1,-1
26,575,1627130144558,-1,-1,-1
27,655,1627130145572,-1,-1,-1
28,399,1627130145572,-1,-1,-1
29,463,1627130146547,-1,-1,-1
30,567,1627130147562,-1,-1,-1
31,559,1627130148573,-1,-1,-1
32,583,1627130148573,-1,-1,-1
33,487,1627130149549,-1,-1,-1
34,647,1627130149549,-1,-1,-1
35,407,1627130150563,-1,-1,-1
36,671,1627130151570,-1,-1,-1
37,407,1627130151570,-1,-1,-1
38,639,1627130152550,-1,-1,-1
39,599,1627130153563,-1,-1,-1
40,791,1627130154610,-1,-1,-1
41,559,1627130155550,-1,-1,-1
42,591,1627130156562,-1,-1,-1
43,631,1627130157571,-1,-1,-1
44,503,1627130157571,-1,-1,-1
45,503,1627130162564,-1,-1,-1
46,599,1627130162564,-1,-1,-1
47,631,1627130164548,-1,-1,-1
48,767,1627130166574,-1,-1,-1
49,575,1627130168562,-1,-1,-1
50,543,1627130169574,-1,-1,-1
51,527,1627130169574,-1,-1,-1
52,455,1627130170548,-1,-1,-1
53,623,1627130170548,-1,-1,-1
54,463,1627130171561,-1,-1,-1
55,543,1627130171561,-1,-1,-1
56,767,1627130172535,-1,-1,-1
57,695,1627130173548,-1,-1,-1
58,487,1627130173548,-1,-1,-1
59,695,1627130174562,-1,-1,-1
60,607,1627130175535,-1,-1,-1
61,655,1627130178536,-1,-1,-1
62,599,1627130180636,-1,-1,-1
63,463,1627130180636,-1,-1,-1
64,519,1627130181536,-1,-1,-1
65,615,1627130182551,-1,-1,-1
66,655,1627130184537,-1,-1,-1
67,623,1627130188550,-1,-1,-1
68,591,1627130189562,-1,-1,-1
69,423,1627130189562,-1,-1,-1
70,399,1627130190573,-1,-1,-1
71,591,1627130191551,-1,-1,-1
72,519,1627130192634,-1,-1,-1
73,823,1627130194551,-1,-1,-1
74,623,1627130194551,-1,-1,-1
75,503,1627130195561,-1,-1,-1
76,623,1627130195561,-1,-1,-1
77,455,1627130201558,-1,-1,-1
78,639,1627130203546,-1,-1,-1
79,535,1627130204561,-1,-1,-1
80,663,1627130205536,-1,-1,-1
81,583,1627130205536,-1,-1,-1
82,703,1627130206549,-1,-1,-1
83,623,1627130208536,-1,-1,-1
84,471,1627130208536,-1,-1,-1
85,535,1627130209550,-1,-1,-1
86,655,1627130209550,-1,-1,-1
87,527,1627130210561,-1,-1,-1
88,423,1627130210561,-1,-1,-1
89,591,1627130212551,-1,-1,-1
90,431,1627130212551,-1,-1,-1
91,719,1627130213560,-1,-1,-1
92,407,1627130214535,-1,-1,-1
93,791,1627130215549,-1,-1,-1
94,679,1627130217536,-1,-1,-1
95,431,1627130217537,-1,-1,-1
96,535,1627130220536,-1,-1,-1
97,655,1627130221547,-1,-1,-1
98,615,1627130221547,-1,-1,-1
99,575,1627130223572,-1,-1,-1
100,543,1627130224551,-1,-1,-1
101,631,1627130225560,-1,-1,-1
102,407,1627130225560,-1,-1,-1
103,655,1627130227548,-1,-1,-1
104,575,1627130227548,-1,-1,-1
105,631,1627130228560,-1,-1,-1
106,647,1627130229615,-1,-1,-1
107,551,1627130229615,-1,-1,-1
108,647,1627130232536,-1,-1,-1
109,599,1627130236551,-1,-1,-1
110,535,1627130236551,-1,-1,-1
111,543,1627130237598,-1,-1,-1
112,447,1627130237598,-1,-1,-1
113,671,1627130240559,-1,-1,-1
114,655,1627130243561,-1,-1,-1
115,615,1627130246562,-1,-1,-1
116,567,1627130247534,-1,-1,-1
117,623,1627130253537,-1,-1,-1
118,607,1627130254549,-1,-1,-1
119,599,1627130255562,-1,-1,-1
120,399,1627130255562,-1,-1,-1
121,591,1627130258561,-1,-1,-1
122,551,1627130258561,-1,-1,-1
123,639,1627130259537,-1,-1,-1
124,687,1627130262537,-1,-1,-1
125,559,1627130263550,-1,-1,-1
126,671,1627130263550,-1,-1,-1
127,639,1627130265537,-1,-1,-1
128,439,1627130265537,-1,-1,-1
129,783,1627130266552,-1,-1,-1
130,711,1627130269550,-1,-1,-1
131,439,1627130271538,-1,-1,-1
132,791,1627130272551,-1,-1,-1
133,551,1627130274538,-1,-1,-1
134,591,1627130275551,-1,-1,-1
135,503,1627130275551,-1,-1,-1
136,775,1627130276562,-1,-1,-1
137,479,1627130278550,-1,-1,-1
