,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,767,1622529311851,-1,-1,-1
1,527,1622529316851,-1,-1,-1
2,991,1622529317751,-1,-1,-1
3,711,1622529317761,-1,-1,-1
4,679,1622529321851,-1,-1,-1
5,687,1622529322851,-1,-1,-1
6,911,1622529323851,-1,-1,-1
7,847,1622529324851,-1,-1,-1
8,847,1622529325751,-1,-1,-1
9,815,1622529325761,-1,-1,-1
10,831,1622529326851,-1,-1,-1
11,839,1622529327851,-1,-1,-1
12,767,1622529331851,-1,-1,-1
13,855,1622529332851,-1,-1,-1
14,711,1622529333751,-1,-1,-1
15,783,1622529333761,-1,-1,-1
16,911,1622529334850,-1,-1,-1
17,711,1622529335850,-1,-1,-1
18,671,1622529337850,-1,-1,-1
19,775,1622529338850,-1,-1,-1
20,823,1622529339851,-1,-1,-1
21,807,1622529340751,-1,-1,-1
22,655,1622529340761,-1,-1,-1
23,783,1622529343850,-1,-1,-1
24,799,1622529347750,-1,-1,-1
25,791,1622529347760,-1,-1,-1
26,799,1622529351850,-1,-1,-1
27,615,1622529352850,-1,-1,-1
28,831,1622529353850,-1,-1,-1
29,943,1622529354850,-1,-1,-1
30,751,1622529355750,-1,-1,-1
31,807,1622529355760,-1,-1,-1
32,823,1622529356850,-1,-1,-1
33,823,1622529357850,-1,-1,-1
34,815,1622529358850,-1,-1,-1
35,815,1622529359750,-1,-1,-1
36,791,1622529359760,-1,-1,-1
37,847,1622529360850,-1,-1,-1
38,775,1622529361850,-1,-1,-1
39,815,1622529362890,-1,-1,-1
40,823,1622529363750,-1,-1,-1
41,751,1622529363760,-1,-1,-1
42,743,1622529364850,-1,-1,-1
43,767,1622529365850,-1,-1,-1
44,799,1622529366850,-1,-1,-1
45,799,1622529367750,-1,-1,-1
46,791,1622529367760,-1,-1,-1
47,783,1622529368850,-1,-1,-1
48,807,1622529369850,-1,-1,-1
49,799,1622529370850,-1,-1,-1
50,799,1622529372850,-1,-1,-1
51,791,1622529373850,-1,-1,-1
52,767,1622529374750,-1,-1,-1
53,823,1622529374760,-1,-1,-1
54,743,1622529378790,-1,-1,-1
55,799,1622529378800,-1,-1,-1
56,799,1622529379850,-1,-1,-1
57,831,1622529380850,-1,-1,-1
58,823,1622529381850,-1,-1,-1
59,839,1622529382850,-1,-1,-1
60,815,1622529384850,-1,-1,-1
61,831,1622529385850,-1,-1,-1
62,839,1622529386850,-1,-1,-1
63,831,1622529387850,-1,-1,-1
64,863,1622529388750,-1,-1,-1
65,871,1622529388760,-1,-1,-1
66,823,1622529389849,-1,-1,-1
67,823,1622529390849,-1,-1,-1
68,839,1622529391850,-1,-1,-1
69,799,1622529392849,-1,-1,-1
70,903,1622529393750,-1,-1,-1
71,815,1622529393760,-1,-1,-1
72,751,1622529396849,-1,-1,-1
73,775,1622529398849,-1,-1,-1
74,799,1622529399850,-1,-1,-1
75,791,1622529400849,-1,-1,-1
76,807,1622529401849,-1,-1,-1
77,839,1622529402749,-1,-1,-1
78,759,1622529402759,-1,-1,-1
79,687,1622529403849,-1,-1,-1
80,991,1622529404849,-1,-1,-1
81,919,1622529405849,-1,-1,-1
82,775,1622529406849,-1,-1,-1
83,879,1622529408849,-1,-1,-1
84,831,1622529409849,-1,-1,-1
85,567,1622529411889,-1,-1,-1
86,783,1622529412749,-1,-1,-1
87,623,1622529412759,-1,-1,-1
88,767,1622529413849,-1,-1,-1
89,839,1622529414849,-1,-1,-1
90,807,1622529415849,-1,-1,-1
91,815,1622529416749,-1,-1,-1
92,839,1622529416759,-1,-1,-1
93,831,1622529417849,-1,-1,-1
94,775,1622529418849,-1,-1,-1
95,799,1622529419849,-1,-1,-1
96,807,1622529421849,-1,-1,-1
97,831,1622529422849,-1,-1,-1
98,831,1622529423849,-1,-1,-1
99,855,1622529424849,-1,-1,-1
100,847,1622529425849,-1,-1,-1
101,871,1622529426749,-1,-1,-1
102,887,1622529426759,-1,-1,-1
103,879,1622529427889,-1,-1,-1
104,863,1622529428849,-1,-1,-1
105,871,1622529429849,-1,-1,-1
106,855,1622529430849,-1,-1,-1
107,863,1622529431849,-1,-1,-1
108,855,1622529432849,-1,-1,-1
109,863,1622529433749,-1,-1,-1
110,871,1622529433759,-1,-1,-1
111,863,1622529434849,-1,-1,-1
112,847,1622529435849,-1,-1,-1
113,855,1622529436849,-1,-1,-1
114,871,1622529437849,-1,-1,-1
115,863,1622529438849,-1,-1,-1
116,863,1622529439749,-1,-1,-1
117,839,1622529439759,-1,-1,-1
118,855,1622529440849,-1,-1,-1
119,855,1622529441849,-1,-1,-1
120,895,1622529442849,-1,-1,-1
121,887,1622529443849,-1,-1,-1
122,895,1622529444889,-1,-1,-1
123,903,1622529445848,-1,-1,-1
124,911,1622529446849,-1,-1,-1
125,879,1622529447749,-1,-1,-1
126,879,1622529447759,-1,-1,-1
127,855,1622529448848,-1,-1,-1
128,863,1622529449848,-1,-1,-1
129,855,1622529450848,-1,-1,-1
130,855,1622529451848,-1,-1,-1
131,823,1622529452749,-1,-1,-1
132,823,1622529452759,-1,-1,-1
133,831,1622529453848,-1,-1,-1
134,815,1622529454848,-1,-1,-1
135,823,1622529455848,-1,-1,-1
136,847,1622529456848,-1,-1,-1
137,839,1622529457748,-1,-1,-1
138,823,1622529457758,-1,-1,-1
139,839,1622529458848,-1,-1,-1
140,823,1622529459848,-1,-1,-1
141,807,1622529460888,-1,-1,-1
142,807,1622529461848,-1,-1,-1
143,839,1622529462748,-1,-1,-1
144,847,1622529462758,-1,-1,-1
145,839,1622529463848,-1,-1,-1
146,847,1622529464848,-1,-1,-1
147,847,1622529465848,-1,-1,-1
148,831,1622529466848,-1,-1,-1
149,815,1622529467748,-1,-1,-1
150,831,1622529467758,-1,-1,-1
151,855,1622529468848,-1,-1,-1
152,863,1622529469848,-1,-1,-1
153,839,1622529470848,-1,-1,-1
154,887,1622529471848,-1,-1,-1
155,903,1622529472848,-1,-1,-1
156,887,1622529473848,-1,-1,-1
157,879,1622529474848,-1,-1,-1
158,855,1622529476848,-1,-1,-1
159,871,1622529477888,-1,-1,-1
160,919,1622529478848,-1,-1,-1
161,759,1622529479848,-1,-1,-1
162,847,1622529480748,-1,-1,-1
163,871,1622529480758,-1,-1,-1
164,823,1622529481848,-1,-1,-1
165,823,1622529482848,-1,-1,-1
166,839,1622529483848,-1,-1,-1
167,687,1622529484748,-1,-1,-1
168,887,1622529484758,-1,-1,-1
169,823,1622529485848,-1,-1,-1
170,863,1622529486848,-1,-1,-1
171,831,1622529487848,-1,-1,-1
172,679,1622529489848,-1,-1,-1
173,1007,1622529490848,-1,-1,-1
174,791,1622529491848,-1,-1,-1
175,559,1622529492848,-1,-1,-1
176,1047,1622529493888,-1,-1,-1
177,823,1622529495848,-1,-1,-1
178,783,1622529501847,-1,-1,-1
179,783,1622529502847,-1,-1,-1
180,831,1622529503748,-1,-1,-1
181,831,1622529503758,-1,-1,-1
182,847,1622529504847,-1,-1,-1
183,879,1622529505848,-1,-1,-1
184,831,1622529506847,-1,-1,-1
185,839,1622529508847,-1,-1,-1
186,879,1622529509847,-1,-1,-1
187,799,1622529510887,-1,-1,-1
188,855,1622529511847,-1,-1,-1
189,871,1622529512847,-1,-1,-1
190,871,1622529513847,-1,-1,-1
191,847,1622529514747,-1,-1,-1
192,847,1622529514757,-1,-1,-1
193,855,1622529515847,-1,-1,-1
194,863,1622529516847,-1,-1,-1
195,871,1622529517847,-1,-1,-1
196,839,1622529518847,-1,-1,-1
197,815,1622529519847,-1,-1,-1
198,831,1622529521847,-1,-1,-1
199,895,1622529522847,-1,-1,-1
200,895,1622529523847,-1,-1,-1
201,895,1622529526887,-1,-1,-1
202,887,1622529527747,-1,-1,-1
203,815,1622529527757,-1,-1,-1
204,895,1622529528847,-1,-1,-1
205,807,1622529531847,-1,-1,-1
206,815,1622529532747,-1,-1,-1
207,903,1622529532757,-1,-1,-1
208,815,1622529533847,-1,-1,-1
209,823,1622529534847,-1,-1,-1
210,863,1622529535847,-1,-1,-1
211,863,1622529536847,-1,-1,-1
212,823,1622529537747,-1,-1,-1
213,767,1622529537757,-1,-1,-1
214,847,1622529538847,-1,-1,-1
215,839,1622529539847,-1,-1,-1
216,783,1622529540847,-1,-1,-1
217,847,1622529541847,-1,-1,-1
218,871,1622529542747,-1,-1,-1
219,847,1622529542757,-1,-1,-1
220,823,1622529543847,-1,-1,-1
221,863,1622529544847,-1,-1,-1
222,879,1622529545847,-1,-1,-1
223,855,1622529546847,-1,-1,-1
224,839,1622529547847,-1,-1,-1
225,871,1622529548747,-1,-1,-1
226,839,1622529548757,-1,-1,-1
227,823,1622529549847,-1,-1,-1
228,783,1622529550847,-1,-1,-1
229,855,1622529551847,-1,-1,-1
230,807,1622529552847,-1,-1,-1
231,847,1622529553747,-1,-1,-1
232,855,1622529553757,-1,-1,-1
233,807,1622529554847,-1,-1,-1
234,799,1622529555846,-1,-1,-1
235,831,1622529556847,-1,-1,-1
236,863,1622529557846,-1,-1,-1
237,839,1622529558747,-1,-1,-1
238,855,1622529558757,-1,-1,-1
239,831,1622529559887,-1,-1,-1
240,783,1622529560846,-1,-1,-1
241,855,1622529561846,-1,-1,-1
242,847,1622529562846,-1,-1,-1
243,855,1622529563747,-1,-1,-1
244,863,1622529563757,-1,-1,-1
245,903,1622529564846,-1,-1,-1
246,863,1622529565846,-1,-1,-1
247,863,1622529566846,-1,-1,-1
248,871,1622529567846,-1,-1,-1
249,855,1622529568846,-1,-1,-1
250,839,1622529569846,-1,-1,-1
251,863,1622529570746,-1,-1,-1
252,831,1622529570756,-1,-1,-1
253,847,1622529571846,-1,-1,-1
254,815,1622529572846,-1,-1,-1
255,807,1622529573846,-1,-1,-1
256,831,1622529574846,-1,-1,-1
257,855,1622529575746,-1,-1,-1
258,879,1622529575756,-1,-1,-1
259,807,1622529576846,-1,-1,-1
260,839,1622529577846,-1,-1,-1
261,831,1622529578846,-1,-1,-1
262,855,1622529579846,-1,-1,-1
263,839,1622529580746,-1,-1,-1
264,887,1622529580756,-1,-1,-1
265,887,1622529581846,-1,-1,-1
266,895,1622529582846,-1,-1,-1
267,863,1622529583846,-1,-1,-1
268,879,1622529584846,-1,-1,-1
269,895,1622529585846,-1,-1,-1
270,895,1622529586846,-1,-1,-1
271,855,1622529587746,-1,-1,-1
272,839,1622529587756,-1,-1,-1
273,863,1622529588846,-1,-1,-1
274,839,1622529589846,-1,-1,-1
275,871,1622529590846,-1,-1,-1
276,919,1622529591846,-1,-1,-1
277,919,1622529592886,-1,-1,-1
278,943,1622529593846,-1,-1,-1
279,943,1622529594846,-1,-1,-1
280,959,1622529595846,-1,-1,-1
281,911,1622529596846,-1,-1,-1
282,919,1622529597746,-1,-1,-1
283,895,1622529597756,-1,-1,-1
284,847,1622529598846,-1,-1,-1
285,895,1622529599846,-1,-1,-1
286,855,1622529600846,-1,-1,-1
287,759,1622529601846,-1,-1,-1
288,935,1622529603846,-1,-1,-1
289,791,1622529604846,-1,-1,-1
290,967,1622529605846,-1,-1,-1
291,735,1622529606846,-1,-1,-1
292,791,1622529607746,-1,-1,-1
293,783,1622529607756,-1,-1,-1
294,775,1622529608886,-1,-1,-1
295,863,1622529609846,-1,-1,-1
296,807,1622529610846,-1,-1,-1
297,767,1622529611746,-1,-1,-1
298,831,1622529611756,-1,-1,-1
299,783,1622529612845,-1,-1,-1
300,807,1622529613845,-1,-1,-1
301,815,1622529614846,-1,-1,-1
302,847,1622529615747,-1,-1,-1
303,863,1622529615757,-1,-1,-1
304,839,1622529616847,-1,-1,-1
305,903,1622529617847,-1,-1,-1
306,751,1622529618847,-1,-1,-1
307,831,1622529619846,-1,-1,-1
308,863,1622529620846,-1,-1,-1
309,855,1622529621747,-1,-1,-1
310,839,1622529621757,-1,-1,-1
311,839,1622529622846,-1,-1,-1
312,855,1622529623846,-1,-1,-1
313,831,1622529624846,-1,-1,-1
314,879,1622529625886,-1,-1,-1
315,823,1622529626746,-1,-1,-1
316,799,1622529626756,-1,-1,-1
317,815,1622529627846,-1,-1,-1
318,823,1622529628846,-1,-1,-1
319,831,1622529629846,-1,-1,-1
320,855,1622529630846,-1,-1,-1
321,815,1622529631746,-1,-1,-1
322,823,1622529631757,-1,-1,-1
323,767,1622529632846,-1,-1,-1
324,839,1622529633846,-1,-1,-1
325,839,1622529634846,-1,-1,-1
326,847,1622529635846,-1,-1,-1
327,727,1622529638846,-1,-1,-1
328,791,1622529640846,-1,-1,-1
329,775,1622529641886,-1,-1,-1
330,727,1622529644846,-1,-1,-1
331,623,1622529654746,-1,-1,-1
332,751,1622529654756,-1,-1,-1
333,775,1622529659746,-1,-1,-1
334,791,1622529659756,-1,-1,-1
335,847,1622529660846,-1,-1,-1
336,887,1622529661846,-1,-1,-1
337,791,1622529662846,-1,-1,-1
338,807,1622529663846,-1,-1,-1
339,847,1622529664746,-1,-1,-1
340,855,1622529664756,-1,-1,-1
341,887,1622529665846,-1,-1,-1
342,879,1622529666846,-1,-1,-1
343,887,1622529667846,-1,-1,-1
344,855,1622529668846,-1,-1,-1
345,855,1622529669846,-1,-1,-1
346,823,1622529670845,-1,-1,-1
347,831,1622529671746,-1,-1,-1
348,807,1622529671756,-1,-1,-1
349,807,1622529672845,-1,-1,-1
350,775,1622529673845,-1,-1,-1
