,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,583,1623162594362,-1,-1,-1
1,951,1623162594663,-1,-1,-1
2,863,1623162604665,-1,-1,-1
3,887,1623162605668,-1,-1,-1
4,903,1623162606708,-1,-1,-1
5,895,1623162613668,-1,-1,-1
6,839,1623162614669,-1,-1,-1
7,759,1623162615709,-1,-1,-1
8,719,1623162616668,-1,-1,-1
9,815,1623162616668,-1,-1,-1
10,751,1623162617668,-1,-1,-1
11,823,1623162618708,-1,-1,-1
12,863,1623162620668,-1,-1,-1
13,943,1623162621708,-1,-1,-1
14,887,1623162622668,-1,-1,-1
15,839,1623162623669,-1,-1,-1
16,807,1623162623669,-1,-1,-1
17,727,1623162624708,-1,-1,-1
18,967,1623162625668,-1,-1,-1
19,895,1623162626668,-1,-1,-1
20,831,1623162627708,-1,-1,-1
21,1039,1623162628667,-1,-1,-1
22,927,1623162629668,-1,-1,-1
23,927,1623162630746,-1,-1,-1
24,1015,1623162631707,-1,-1,-1
25,911,1623162632668,-1,-1,-1
26,1015,1623162635668,-1,-1,-1
27,759,1623162636707,-1,-1,-1
28,727,1623162637666,-1,-1,-1
29,791,1623162640667,-1,-1,-1
30,1055,1623162641666,-1,-1,-1
31,1079,1623162642668,-1,-1,-1
32,919,1623162643667,-1,-1,-1
33,991,1623162644667,-1,-1,-1
34,1047,1623162645668,-1,-1,-1
35,887,1623162646667,-1,-1,-1
36,927,1623162646667,-1,-1,-1
37,1039,1623162647667,-1,-1,-1
38,943,1623162648667,-1,-1,-1
39,1063,1623162649667,-1,-1,-1
40,935,1623162652707,-1,-1,-1
41,959,1623162655667,-1,-1,-1
42,903,1623162660668,-1,-1,-1
43,759,1623162660668,-1,-1,-1
44,695,1623162661667,-1,-1,-1
45,935,1623162665667,-1,-1,-1
46,967,1623162669707,-1,-1,-1
47,943,1623162670667,-1,-1,-1
48,927,1623162673667,-1,-1,-1
49,991,1623162677667,-1,-1,-1
50,895,1623162678668,-1,-1,-1
51,1119,1623162681668,-1,-1,-1
52,1191,1623162682667,-1,-1,-1
53,1087,1623162683667,-1,-1,-1
54,975,1623162684708,-1,-1,-1
55,927,1623162685708,-1,-1,-1
56,663,1623162688668,-1,-1,-1
57,711,1623162688668,-1,-1,-1
58,1055,1623162689668,-1,-1,-1
59,919,1623162694668,-1,-1,-1
60,831,1623162695667,-1,-1,-1
61,591,1623162696668,-1,-1,-1
62,919,1623162697667,-1,-1,-1
63,735,1623162699669,-1,-1,-1
64,695,1623162700667,-1,-1,-1
65,855,1623162704668,-1,-1,-1
66,879,1623162705707,-1,-1,-1
67,895,1623162706670,-1,-1,-1
68,743,1623162707668,-1,-1,-1
69,743,1623162710668,-1,-1,-1
70,1063,1623162712667,-1,-1,-1
71,671,1623162717707,-1,-1,-1
72,695,1623162718707,-1,-1,-1
73,967,1623162719667,-1,-1,-1
74,807,1623162720707,-1,-1,-1
75,895,1623162721668,-1,-1,-1
76,887,1623162721668,-1,-1,-1
77,887,1623162722667,-1,-1,-1
78,1007,1623162723668,-1,-1,-1
79,991,1623162724667,-1,-1,-1
80,919,1623162725668,-1,-1,-1
81,879,1623162730668,-1,-1,-1
82,831,1623162733667,-1,-1,-1
83,783,1623162735669,-1,-1,-1
84,807,1623162736669,-1,-1,-1
85,1007,1623162742668,-1,-1,-1
86,951,1623162743667,-1,-1,-1
87,1087,1623162747668,-1,-1,-1
88,1127,1623162749668,-1,-1,-1
89,911,1623162750708,-1,-1,-1
