,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,607,1626872102105,-1,-1,-1
1,583,1626872102105,-1,-1,-1
2,575,1626872102105,-1,-1,-1
3,607,1626872102105,-1,-1,-1
4,615,1626872102105,-1,-1,-1
5,623,1626872102105,-1,-1,-1
6,591,1626872102105,-1,-1,-1
7,607,1626872102105,-1,-1,-1
8,583,1626872102105,-1,-1,-1
9,567,1626872102502,-1,-1,-1
10,575,1626872102502,-1,-1,-1
11,599,1626872102502,-1,-1,-1
12,559,1626872102502,-1,-1,-1
13,583,1626872109433,-1,-1,-1
14,767,1626872113430,-1,-1,-1
15,503,1626872120468,-1,-1,-1
16,751,1626872124427,-1,-1,-1
17,703,1626872127430,-1,-1,-1
18,623,1626872129428,-1,-1,-1
19,847,1626872130427,-1,-1,-1
20,471,1626872130427,-1,-1,-1
21,623,1626872134429,-1,-1,-1
22,455,1626872138434,-1,-1,-1
23,351,1626872139428,-1,-1,-1
24,623,1626872139428,-1,-1,-1
25,503,1626872144430,-1,-1,-1
26,519,1626872149428,-1,-1,-1
27,535,1626872150433,-1,-1,-1
28,423,1626872158427,-1,-1,-1
29,559,1626872158427,-1,-1,-1
30,551,1626872159430,-1,-1,-1
31,431,1626872159430,-1,-1,-1
32,559,1626872160427,-1,-1,-1
33,503,1626872160427,-1,-1,-1
34,519,1626872161427,-1,-1,-1
35,535,1626872161428,-1,-1,-1
36,343,1626872162428,-1,-1,-1
37,399,1626872163428,-1,-1,-1
38,479,1626872163428,-1,-1,-1
39,487,1626872165476,-1,-1,-1
40,607,1626872168547,-1,-1,-1
41,607,1626872169427,-1,-1,-1
42,383,1626872171427,-1,-1,-1
43,535,1626872176428,-1,-1,-1
44,567,1626872177427,-1,-1,-1
45,519,1626872186467,-1,-1,-1
46,559,1626872191427,-1,-1,-1
47,399,1626872193430,-1,-1,-1
48,567,1626872199427,-1,-1,-1
49,591,1626872200433,-1,-1,-1
50,599,1626872204429,-1,-1,-1
51,655,1626872206427,-1,-1,-1
52,647,1626872207429,-1,-1,-1
53,615,1626872208432,-1,-1,-1
54,647,1626872208432,-1,-1,-1
55,439,1626872210430,-1,-1,-1
56,647,1626872211427,-1,-1,-1
57,391,1626872211427,-1,-1,-1
58,503,1626872212427,-1,-1,-1
59,575,1626872214428,-1,-1,-1
60,695,1626872215432,-1,-1,-1
61,647,1626872216427,-1,-1,-1
62,679,1626872216427,-1,-1,-1
63,663,1626872217427,-1,-1,-1
64,655,1626872218469,-1,-1,-1
65,615,1626872221426,-1,-1,-1
66,503,1626872222429,-1,-1,-1
67,711,1626872222429,-1,-1,-1
68,655,1626872223426,-1,-1,-1
69,695,1626872224468,-1,-1,-1
70,703,1626872225427,-1,-1,-1
71,647,1626872225427,-1,-1,-1
72,647,1626872226429,-1,-1,-1
73,687,1626872226429,-1,-1,-1
74,711,1626872227429,-1,-1,-1
75,671,1626872228428,-1,-1,-1
76,647,1626872229428,-1,-1,-1
77,647,1626872229428,-1,-1,-1
78,647,1626872230507,-1,-1,-1
79,791,1626872231428,-1,-1,-1
80,639,1626872231428,-1,-1,-1
81,711,1626872232427,-1,-1,-1
82,607,1626872233426,-1,-1,-1
83,671,1626872233426,-1,-1,-1
84,743,1626872234426,-1,-1,-1
85,615,1626872235426,-1,-1,-1
86,599,1626872235426,-1,-1,-1
87,743,1626872236426,-1,-1,-1
88,567,1626872237430,-1,-1,-1
89,511,1626872237431,-1,-1,-1
90,751,1626872238428,-1,-1,-1
91,623,1626872238428,-1,-1,-1
92,623,1626872239427,-1,-1,-1
93,631,1626872240429,-1,-1,-1
94,647,1626872240429,-1,-1,-1
95,631,1626872241428,-1,-1,-1
96,647,1626872242427,-1,-1,-1
97,663,1626872242428,-1,-1,-1
98,647,1626872243427,-1,-1,-1
99,623,1626872244427,-1,-1,-1
100,647,1626872244427,-1,-1,-1
101,599,1626872245426,-1,-1,-1
102,615,1626872247426,-1,-1,-1
103,583,1626872248426,-1,-1,-1
104,591,1626872249425,-1,-1,-1
105,647,1626872250472,-1,-1,-1
106,631,1626872250472,-1,-1,-1
107,607,1626872251426,-1,-1,-1
108,631,1626872252466,-1,-1,-1
109,623,1626872252466,-1,-1,-1
110,623,1626872253426,-1,-1,-1
111,711,1626872254426,-1,-1,-1
112,647,1626872254426,-1,-1,-1
113,623,1626872255426,-1,-1,-1
114,559,1626872255426,-1,-1,-1
115,687,1626872256466,-1,-1,-1
116,519,1626872257427,-1,-1,-1
117,455,1626872257427,-1,-1,-1
118,631,1626872259425,-1,-1,-1
119,583,1626872259425,-1,-1,-1
120,639,1626872260427,-1,-1,-1
121,567,1626872263427,-1,-1,-1
122,559,1626872264426,-1,-1,-1
123,583,1626872264426,-1,-1,-1
124,607,1626872265426,-1,-1,-1
125,623,1626872266431,-1,-1,-1
126,575,1626872266431,-1,-1,-1
127,567,1626872268426,-1,-1,-1
128,687,1626872269427,-1,-1,-1
129,735,1626872270426,-1,-1,-1
130,735,1626872271433,-1,-1,-1
131,719,1626872271433,-1,-1,-1
132,751,1626872272467,-1,-1,-1
133,719,1626872273427,-1,-1,-1
134,711,1626872283428,-1,-1,-1
135,671,1626872284426,-1,-1,-1
136,639,1626872292466,-1,-1,-1
137,647,1626872293429,-1,-1,-1
138,671,1626872293429,-1,-1,-1
139,647,1626872294426,-1,-1,-1
140,591,1626872295426,-1,-1,-1
141,647,1626872295426,-1,-1,-1
142,631,1626872296426,-1,-1,-1
143,639,1626872296426,-1,-1,-1
144,615,1626872297426,-1,-1,-1
145,583,1626872299425,-1,-1,-1
146,623,1626872302426,-1,-1,-1
147,687,1626872306426,-1,-1,-1
148,631,1626872306426,-1,-1,-1
149,519,1626872307426,-1,-1,-1
150,623,1626872308426,-1,-1,-1
151,591,1626872308426,-1,-1,-1
152,607,1626872309426,-1,-1,-1
153,575,1626872315426,-1,-1,-1
154,663,1626872315426,-1,-1,-1
155,663,1626872322426,-1,-1,-1
156,519,1626872322426,-1,-1,-1
157,551,1626872323428,-1,-1,-1
158,767,1626872329473,-1,-1,-1
159,631,1626872330426,-1,-1,-1
160,735,1626872331427,-1,-1,-1
161,679,1626872331427,-1,-1,-1
162,655,1626872332426,-1,-1,-1
163,615,1626872333429,-1,-1,-1
164,727,1626872333429,-1,-1,-1
165,591,1626872335425,-1,-1,-1
166,599,1626872336427,-1,-1,-1
167,583,1626872336427,-1,-1,-1
168,647,1626872337426,-1,-1,-1
169,623,1626872338426,-1,-1,-1
170,711,1626872343425,-1,-1,-1
171,599,1626872344426,-1,-1,-1
172,711,1626872345425,-1,-1,-1
173,623,1626872345425,-1,-1,-1
174,591,1626872346466,-1,-1,-1
