,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,683,1619160295840,-1,-1,-1
1,856,1619160296785,-1,-1,-1
2,957,1619160297733,-1,-1,-1
3,623,1619160298707,-1,-1,-1
4,629,1619160298707,-1,-1,-1
5,545,1619160299689,-1,-1,-1
6,562,1619160300668,-1,-1,-1
7,1236,1619160301682,-1,-1,-1
8,628,1619160301682,-1,-1,-1
9,958,1619160302661,-1,-1,-1
10,507,1619160303648,-1,-1,-1
11,883,1619160304588,-1,-1,-1
12,2151,1619160306563,-1,-1,-1
13,846,1619160307541,-1,-1,-1
14,657,1619160308523,-1,-1,-1
15,1636,1619160309503,-1,-1,-1
16,755,1619160310482,-1,-1,-1
17,772,1619160311469,-1,-1,-1
18,788,1619160311469,-1,-1,-1
19,727,1619160312435,-1,-1,-1
20,654,1619160313425,-1,-1,-1
21,952,1619160314404,-1,-1,-1
22,743,1619160315453,-1,-1,-1
23,941,1619160316357,-1,-1,-1
24,542,1619160316357,-1,-1,-1
25,674,1619160317339,-1,-1,-1
26,719,1619160317339,-1,-1,-1
27,708,1619160318326,-1,-1,-1
28,728,1619160319309,-1,-1,-1
29,756,1619160320277,-1,-1,-1
30,746,1619160320277,-1,-1,-1
31,770,1619160321269,-1,-1,-1
32,750,1619160322240,-1,-1,-1
33,1539,1619160324206,-1,-1,-1
34,772,1619160324206,-1,-1,-1
35,746,1619160325174,-1,-1,-1
36,735,1619160326164,-1,-1,-1
37,766,1619160327139,-1,-1,-1
38,775,1619160327139,-1,-1,-1
39,767,1619160328082,-1,-1,-1
40,752,1619160329058,-1,-1,-1
41,777,1619160330043,-1,-1,-1
42,759,1619160331022,-1,-1,-1
43,776,1619160331022,-1,-1,-1
44,763,1619160332003,-1,-1,-1
45,790,1619160332980,-1,-1,-1
46,818,1619160333965,-1,-1,-1
47,693,1619160334952,-1,-1,-1
48,729,1619160334952,-1,-1,-1
49,758,1619160335992,-1,-1,-1
50,763,1619160336909,-1,-1,-1
51,769,1619160337889,-1,-1,-1
52,819,1619160337890,-1,-1,-1
53,832,1619160338870,-1,-1,-1
54,800,1619160339849,-1,-1,-1
55,794,1619160340825,-1,-1,-1
56,791,1619160341809,-1,-1,-1
57,790,1619160342792,-1,-1,-1
58,789,1619160342792,-1,-1,-1
59,772,1619160343769,-1,-1,-1
60,772,1619160344745,-1,-1,-1
61,779,1619160345729,-1,-1,-1
