,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,687,1625770028616,-1,-1,-1
1,615,1625770028616,-1,-1,-1
2,535,1625770028616,-1,-1,-1
3,583,1625770028616,-1,-1,-1
4,615,1625770028616,-1,-1,-1
5,735,1625770028616,-1,-1,-1
6,535,1625770028616,-1,-1,-1
7,767,1625770028616,-1,-1,-1
8,439,1625770028616,-1,-1,-1
9,599,1625770029106,-1,-1,-1
10,367,1625770029106,-1,-1,-1
11,455,1625770029106,-1,-1,-1
12,591,1625770031058,-1,-1,-1
13,495,1625770033044,-1,-1,-1
14,671,1625770033044,-1,-1,-1
15,431,1625770035043,-1,-1,-1
16,687,1625770036044,-1,-1,-1
17,663,1625770036044,-1,-1,-1
18,551,1625770039045,-1,-1,-1
19,575,1625770041042,-1,-1,-1
20,695,1625770042043,-1,-1,-1
21,639,1625770042043,-1,-1,-1
22,719,1625770043098,-1,-1,-1
23,679,1625770044051,-1,-1,-1
24,495,1625770044051,-1,-1,-1
25,631,1625770047043,-1,-1,-1
26,871,1625770048042,-1,-1,-1
27,623,1625770049042,-1,-1,-1
28,567,1625770056123,-1,-1,-1
29,487,1625770057043,-1,-1,-1
30,783,1625770059083,-1,-1,-1
31,663,1625770065048,-1,-1,-1
32,631,1625770066044,-1,-1,-1
33,591,1625770066044,-1,-1,-1
34,439,1625770067091,-1,-1,-1
35,519,1625770068050,-1,-1,-1
36,447,1625770069042,-1,-1,-1
37,711,1625770069042,-1,-1,-1
38,751,1625770070048,-1,-1,-1
39,815,1625770071043,-1,-1,-1
40,695,1625770072045,-1,-1,-1
41,855,1625770072045,-1,-1,-1
42,823,1625770073043,-1,-1,-1
43,687,1625770075046,-1,-1,-1
44,639,1625770076041,-1,-1,-1
45,575,1625770077051,-1,-1,-1
46,687,1625770077051,-1,-1,-1
47,663,1625770078051,-1,-1,-1
48,623,1625770079044,-1,-1,-1
49,671,1625770079044,-1,-1,-1
50,431,1625770080043,-1,-1,-1
51,487,1625770082043,-1,-1,-1
52,647,1625770084052,-1,-1,-1
53,623,1625770085047,-1,-1,-1
54,647,1625770085047,-1,-1,-1
55,655,1625770086042,-1,-1,-1
56,719,1625770088043,-1,-1,-1
57,735,1625770089042,-1,-1,-1
58,735,1625770090048,-1,-1,-1
59,759,1625770090049,-1,-1,-1
60,751,1625770091083,-1,-1,-1
