,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,791,1627158877403,-1,-1,-1
1,671,1627158877403,-1,-1,-1
2,671,1627158877403,-1,-1,-1
3,759,1627158877403,-1,-1,-1
4,623,1627158877403,-1,-1,-1
5,751,1627158877403,-1,-1,-1
6,615,1627158877403,-1,-1,-1
7,775,1627158877403,-1,-1,-1
8,647,1627158877403,-1,-1,-1
9,663,1627158877907,-1,-1,-1
10,703,1627158877907,-1,-1,-1
11,711,1627158877907,-1,-1,-1
12,687,1627158877907,-1,-1,-1
13,703,1627158878404,-1,-1,-1
14,711,1627158879402,-1,-1,-1
15,735,1627158879402,-1,-1,-1
16,727,1627158880403,-1,-1,-1
17,727,1627158881389,-1,-1,-1
18,663,1627158882388,-1,-1,-1
19,647,1627158882388,-1,-1,-1
20,655,1627158883389,-1,-1,-1
21,631,1627158884391,-1,-1,-1
22,639,1627158884391,-1,-1,-1
23,663,1627158885428,-1,-1,-1
24,663,1627158886388,-1,-1,-1
25,671,1627158886388,-1,-1,-1
26,695,1627158887387,-1,-1,-1
27,759,1627158888388,-1,-1,-1
28,767,1627158888388,-1,-1,-1
29,799,1627158889386,-1,-1,-1
30,807,1627158890389,-1,-1,-1
31,759,1627158891386,-1,-1,-1
32,735,1627158892387,-1,-1,-1
33,743,1627158892387,-1,-1,-1
34,823,1627158893387,-1,-1,-1
35,671,1627158894391,-1,-1,-1
36,679,1627158897389,-1,-1,-1
37,607,1627158897389,-1,-1,-1
38,679,1627158898390,-1,-1,-1
39,631,1627158899388,-1,-1,-1
40,695,1627158899388,-1,-1,-1
41,735,1627158900387,-1,-1,-1
42,951,1627158901428,-1,-1,-1
43,1000,1627158902389,-1,-1,-1
44,1000,1627158903386,-1,-1,-1
45,751,1627158905429,-1,-1,-1
46,671,1627158906388,-1,-1,-1
47,687,1627158907467,-1,-1,-1
48,687,1627158907467,-1,-1,-1
49,759,1627158908387,-1,-1,-1
50,807,1627158912388,-1,-1,-1
51,815,1627158913398,-1,-1,-1
52,799,1627158914388,-1,-1,-1
53,767,1627158915387,-1,-1,-1
54,735,1627158915387,-1,-1,-1
55,711,1627158916388,-1,-1,-1
56,727,1627158918386,-1,-1,-1
57,719,1627158919387,-1,-1,-1
58,687,1627158928390,-1,-1,-1
59,759,1627158929390,-1,-1,-1
60,671,1627158929390,-1,-1,-1
61,639,1627158930391,-1,-1,-1
62,639,1627158931389,-1,-1,-1
63,671,1627158931389,-1,-1,-1
64,687,1627158932387,-1,-1,-1
65,647,1627158933387,-1,-1,-1
66,663,1627158935389,-1,-1,-1
67,615,1627158937428,-1,-1,-1
68,735,1627158940387,-1,-1,-1
69,767,1627158942388,-1,-1,-1
70,735,1627158943395,-1,-1,-1
71,855,1627158944392,-1,-1,-1
72,671,1627158945391,-1,-1,-1
73,743,1627158946389,-1,-1,-1
74,599,1627158946389,-1,-1,-1
75,871,1627158947392,-1,-1,-1
76,687,1627158948387,-1,-1,-1
77,655,1627158948388,-1,-1,-1
78,671,1627158949389,-1,-1,-1
79,671,1627158950387,-1,-1,-1
80,631,1627158950387,-1,-1,-1
81,687,1627158951388,-1,-1,-1
82,647,1627158952387,-1,-1,-1
83,751,1627158952387,-1,-1,-1
84,695,1627158961386,-1,-1,-1
85,671,1627158962386,-1,-1,-1
86,655,1627158962386,-1,-1,-1
87,663,1627158963386,-1,-1,-1
88,663,1627158964387,-1,-1,-1
89,663,1627158964387,-1,-1,-1
90,719,1627158965386,-1,-1,-1
91,791,1627158966386,-1,-1,-1
92,895,1627158967428,-1,-1,-1
93,903,1627158968389,-1,-1,-1
94,847,1627158968389,-1,-1,-1
95,799,1627158969426,-1,-1,-1
96,783,1627158970386,-1,-1,-1
97,759,1627158971390,-1,-1,-1
98,743,1627158972386,-1,-1,-1
99,703,1627158972387,-1,-1,-1
100,711,1627158973389,-1,-1,-1
101,703,1627158974386,-1,-1,-1
102,679,1627158974386,-1,-1,-1
103,759,1627158975388,-1,-1,-1
104,823,1627158976388,-1,-1,-1
105,799,1627158977425,-1,-1,-1
106,783,1627158977426,-1,-1,-1
107,727,1627158978386,-1,-1,-1
108,687,1627158979387,-1,-1,-1
109,679,1627158980388,-1,-1,-1
110,695,1627158980388,-1,-1,-1
111,711,1627158981386,-1,-1,-1
112,711,1627158982389,-1,-1,-1
113,719,1627158982389,-1,-1,-1
114,671,1627158983428,-1,-1,-1
115,687,1627158984388,-1,-1,-1
116,679,1627158984388,-1,-1,-1
117,687,1627158985389,-1,-1,-1
118,567,1627158986388,-1,-1,-1
119,807,1627158987388,-1,-1,-1
120,727,1627158987389,-1,-1,-1
121,711,1627158988388,-1,-1,-1
122,727,1627158989390,-1,-1,-1
123,743,1627158989390,-1,-1,-1
124,687,1627158990386,-1,-1,-1
125,743,1627158991426,-1,-1,-1
126,719,1627158992389,-1,-1,-1
127,727,1627158992389,-1,-1,-1
128,735,1627158995386,-1,-1,-1
129,719,1627158996426,-1,-1,-1
130,695,1627158998387,-1,-1,-1
131,527,1627158998387,-1,-1,-1
132,759,1627159001224,-1,-1,-1
133,775,1627159001433,-1,-1,-1
134,687,1627159002427,-1,-1,-1
135,775,1627159003395,-1,-1,-1
136,751,1627159003395,-1,-1,-1
137,751,1627159004390,-1,-1,-1
138,735,1627159005387,-1,-1,-1
139,767,1627159009387,-1,-1,-1
140,551,1627159009387,-1,-1,-1
141,879,1627159010508,-1,-1,-1
142,727,1627159011387,-1,-1,-1
143,687,1627159011387,-1,-1,-1
144,703,1627159012387,-1,-1,-1
145,519,1627159013387,-1,-1,-1
146,871,1627159013387,-1,-1,-1
147,791,1627159014386,-1,-1,-1
148,719,1627159015388,-1,-1,-1
149,687,1627159018388,-1,-1,-1
150,663,1627159019387,-1,-1,-1
151,703,1627159020393,-1,-1,-1
152,671,1627159020393,-1,-1,-1
153,623,1627159021467,-1,-1,-1
154,679,1627159022386,-1,-1,-1
155,671,1627159022387,-1,-1,-1
156,727,1627159023387,-1,-1,-1
157,671,1627159024387,-1,-1,-1
158,743,1627159025386,-1,-1,-1
159,695,1627159025386,-1,-1,-1
