,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,503,1623341213202,-1,-1,-1
1,559,1623341213202,-1,-1,-1
2,543,1623341213203,-1,-1,-1
3,567,1623341213203,-1,-1,-1
4,559,1623341213203,-1,-1,-1
5,551,1623341213203,-1,-1,-1
6,559,1623341213203,-1,-1,-1
7,567,1623341213203,-1,-1,-1
8,543,1623341213203,-1,-1,-1
9,591,1623341213701,-1,-1,-1
10,559,1623341213701,-1,-1,-1
11,455,1623341213701,-1,-1,-1
12,543,1623341213701,-1,-1,-1
13,543,1623341214200,-1,-1,-1
14,567,1623341214201,-1,-1,-1
15,567,1623341215209,-1,-1,-1
16,519,1623341216257,-1,-1,-1
17,575,1623341216257,-1,-1,-1
18,495,1623341217186,-1,-1,-1
19,599,1623341217186,-1,-1,-1
20,575,1623341218176,-1,-1,-1
21,575,1623341218177,-1,-1,-1
22,559,1623341220176,-1,-1,-1
23,503,1623341221187,-1,-1,-1
24,519,1623341221187,-1,-1,-1
25,575,1623341222177,-1,-1,-1
26,551,1623341222178,-1,-1,-1
27,535,1623341223167,-1,-1,-1
28,607,1623341223167,-1,-1,-1
29,591,1623341224186,-1,-1,-1
30,495,1623341226185,-1,-1,-1
31,647,1623341226185,-1,-1,-1
32,471,1623341227170,-1,-1,-1
33,751,1623341228160,-1,-1,-1
34,535,1623341228160,-1,-1,-1
35,655,1623341230165,-1,-1,-1
36,591,1623341231176,-1,-1,-1
37,535,1623341231176,-1,-1,-1
38,535,1623341232173,-1,-1,-1
39,543,1623341233179,-1,-1,-1
40,535,1623341233179,-1,-1,-1
41,623,1623341240175,-1,-1,-1
42,647,1623341241165,-1,-1,-1
43,527,1623341241165,-1,-1,-1
44,647,1623341244179,-1,-1,-1
45,615,1623341245169,-1,-1,-1
46,575,1623341245169,-1,-1,-1
47,543,1623341246159,-1,-1,-1
48,407,1623341246159,-1,-1,-1
49,711,1623341247174,-1,-1,-1
50,591,1623341247174,-1,-1,-1
51,559,1623341248164,-1,-1,-1
52,575,1623341249175,-1,-1,-1
53,495,1623341254216,-1,-1,-1
54,575,1623341254216,-1,-1,-1
55,567,1623341255188,-1,-1,-1
56,591,1623341257186,-1,-1,-1
57,519,1623341257186,-1,-1,-1
58,639,1623341258177,-1,-1,-1
59,535,1623341258177,-1,-1,-1
60,599,1623341260182,-1,-1,-1
61,575,1623341261168,-1,-1,-1
62,591,1623341261168,-1,-1,-1
63,583,1623341262203,-1,-1,-1
64,575,1623341262203,-1,-1,-1
65,575,1623341263176,-1,-1,-1
66,591,1623341263177,-1,-1,-1
67,591,1623341264171,-1,-1,-1
68,567,1623341265176,-1,-1,-1
69,599,1623341265176,-1,-1,-1
70,583,1623341266162,-1,-1,-1
71,583,1623341266162,-1,-1,-1
72,583,1623341267174,-1,-1,-1
73,607,1623341268169,-1,-1,-1
74,575,1623341268170,-1,-1,-1
75,615,1623341269178,-1,-1,-1
76,583,1623341269178,-1,-1,-1
77,591,1623341270167,-1,-1,-1
78,607,1623341271180,-1,-1,-1
79,607,1623341271180,-1,-1,-1
80,583,1623341272178,-1,-1,-1
81,599,1623341272178,-1,-1,-1
82,599,1623341273160,-1,-1,-1
83,591,1623341274178,-1,-1,-1
84,583,1623341274178,-1,-1,-1
85,599,1623341275164,-1,-1,-1
86,599,1623341275164,-1,-1,-1
87,583,1623341276174,-1,-1,-1
88,623,1623341277171,-1,-1,-1
89,599,1623341277171,-1,-1,-1
90,607,1623341278181,-1,-1,-1
91,623,1623341278181,-1,-1,-1
92,607,1623341279168,-1,-1,-1
93,607,1623341280202,-1,-1,-1
94,615,1623341280202,-1,-1,-1
95,591,1623341281169,-1,-1,-1
96,591,1623341281169,-1,-1,-1
97,607,1623341282159,-1,-1,-1
98,583,1623341283175,-1,-1,-1
99,583,1623341283176,-1,-1,-1
100,591,1623341284163,-1,-1,-1
101,591,1623341284163,-1,-1,-1
102,583,1623341285179,-1,-1,-1
103,599,1623341286164,-1,-1,-1
104,591,1623341286164,-1,-1,-1
105,575,1623341287155,-1,-1,-1
106,599,1623341287157,-1,-1,-1
107,599,1623341288167,-1,-1,-1
108,575,1623341288167,-1,-1,-1
109,583,1623341289156,-1,-1,-1
110,583,1623341290172,-1,-1,-1
111,639,1623341290172,-1,-1,-1
112,447,1623341291161,-1,-1,-1
113,615,1623341291161,-1,-1,-1
114,495,1623341292175,-1,-1,-1
115,535,1623341295166,-1,-1,-1
116,575,1623341295166,-1,-1,-1
117,695,1623341298158,-1,-1,-1
118,543,1623341306193,-1,-1,-1
119,527,1623341310178,-1,-1,-1
120,631,1623341311169,-1,-1,-1
121,599,1623341311169,-1,-1,-1
122,631,1623341316165,-1,-1,-1
123,575,1623341318166,-1,-1,-1
124,743,1623341322171,-1,-1,-1
125,447,1623341326175,-1,-1,-1
126,623,1623341330177,-1,-1,-1
127,551,1623341330177,-1,-1,-1
128,471,1623341331164,-1,-1,-1
129,527,1623341333176,-1,-1,-1
130,575,1623341333177,-1,-1,-1
131,663,1623341334163,-1,-1,-1
132,559,1623341341156,-1,-1,-1
133,567,1623341341156,-1,-1,-1
134,575,1623341342175,-1,-1,-1
135,607,1623341342175,-1,-1,-1
136,551,1623341343156,-1,-1,-1
137,583,1623341344168,-1,-1,-1
138,367,1623341346198,-1,-1,-1
139,671,1623341347162,-1,-1,-1
140,711,1623341349166,-1,-1,-1
141,591,1623341352204,-1,-1,-1
142,615,1623341353193,-1,-1,-1
143,639,1623341353193,-1,-1,-1
144,695,1623341354163,-1,-1,-1
145,623,1623341355194,-1,-1,-1
146,583,1623341357175,-1,-1,-1
147,671,1623341357176,-1,-1,-1
148,623,1623341358167,-1,-1,-1
149,583,1623341360175,-1,-1,-1
150,567,1623341360175,-1,-1,-1
151,631,1623341361157,-1,-1,-1
152,583,1623341361157,-1,-1,-1
153,583,1623341362171,-1,-1,-1
154,615,1623341363162,-1,-1,-1
155,623,1623341363162,-1,-1,-1
156,607,1623341364175,-1,-1,-1
157,599,1623341365167,-1,-1,-1
158,647,1623341365167,-1,-1,-1
159,615,1623341366177,-1,-1,-1
160,599,1623341366177,-1,-1,-1
161,663,1623341367165,-1,-1,-1
162,623,1623341368156,-1,-1,-1
163,615,1623341368156,-1,-1,-1
164,647,1623341369191,-1,-1,-1
165,655,1623341370183,-1,-1,-1
166,607,1623341370183,-1,-1,-1
167,623,1623341371171,-1,-1,-1
168,647,1623341371171,-1,-1,-1
169,615,1623341372162,-1,-1,-1
170,599,1623341373151,-1,-1,-1
171,639,1623341373151,-1,-1,-1
172,615,1623341374167,-1,-1,-1
173,615,1623341375155,-1,-1,-1
174,623,1623341375155,-1,-1,-1
175,615,1623341376166,-1,-1,-1
176,575,1623341376166,-1,-1,-1
177,639,1623341377158,-1,-1,-1
178,671,1623341378167,-1,-1,-1
179,583,1623341378167,-1,-1,-1
180,663,1623341379159,-1,-1,-1
181,631,1623341380170,-1,-1,-1
182,615,1623341380170,-1,-1,-1
183,631,1623341381431,-1,-1,-1
184,615,1623341381431,-1,-1,-1
185,623,1623341382154,-1,-1,-1
186,639,1623341383163,-1,-1,-1
187,591,1623341383163,-1,-1,-1
188,607,1623341384152,-1,-1,-1
189,631,1623341385165,-1,-1,-1
190,639,1623341385166,-1,-1,-1
191,615,1623341386157,-1,-1,-1
192,655,1623341386157,-1,-1,-1
193,647,1623341387166,-1,-1,-1
194,679,1623341388163,-1,-1,-1
195,671,1623341388163,-1,-1,-1
196,655,1623341389173,-1,-1,-1
197,639,1623341390160,-1,-1,-1
198,671,1623341390160,-1,-1,-1
199,631,1623341391150,-1,-1,-1
200,639,1623341392163,-1,-1,-1
201,623,1623341392163,-1,-1,-1
202,607,1623341393152,-1,-1,-1
203,639,1623341394166,-1,-1,-1
204,623,1623341394166,-1,-1,-1
205,599,1623341395181,-1,-1,-1
206,615,1623341395181,-1,-1,-1
207,615,1623341396170,-1,-1,-1
208,591,1623341397156,-1,-1,-1
209,607,1623341397156,-1,-1,-1
210,647,1623341398192,-1,-1,-1
211,631,1623341398192,-1,-1,-1
212,631,1623341399164,-1,-1,-1
213,655,1623341400161,-1,-1,-1
214,623,1623341400162,-1,-1,-1
215,631,1623341401165,-1,-1,-1
216,599,1623341402155,-1,-1,-1
217,599,1623341402155,-1,-1,-1
218,631,1623341403165,-1,-1,-1
219,607,1623341403165,-1,-1,-1
220,607,1623341404160,-1,-1,-1
221,607,1623341405168,-1,-1,-1
222,591,1623341405168,-1,-1,-1
223,591,1623341406159,-1,-1,-1
224,623,1623341406159,-1,-1,-1
225,607,1623341407172,-1,-1,-1
226,599,1623341408164,-1,-1,-1
227,631,1623341408164,-1,-1,-1
228,663,1623341409195,-1,-1,-1
229,623,1623341410166,-1,-1,-1
230,639,1623341410166,-1,-1,-1
231,671,1623341411173,-1,-1,-1
232,615,1623341412188,-1,-1,-1
233,615,1623341412188,-1,-1,-1
234,639,1623341413160,-1,-1,-1
235,639,1623341413161,-1,-1,-1
236,607,1623341414174,-1,-1,-1
237,615,1623341415158,-1,-1,-1
238,623,1623341415158,-1,-1,-1
239,647,1623341416169,-1,-1,-1
240,647,1623341417160,-1,-1,-1
241,591,1623341417160,-1,-1,-1
242,607,1623341418154,-1,-1,-1
243,631,1623341418154,-1,-1,-1
244,607,1623341419185,-1,-1,-1
245,599,1623341420176,-1,-1,-1
246,615,1623341420176,-1,-1,-1
247,591,1623341421166,-1,-1,-1
248,607,1623341421166,-1,-1,-1
249,591,1623341422158,-1,-1,-1
250,647,1623341423168,-1,-1,-1
251,607,1623341423168,-1,-1,-1
252,615,1623341424156,-1,-1,-1
253,583,1623341428168,-1,-1,-1
254,615,1623341428168,-1,-1,-1
255,631,1623341429156,-1,-1,-1
256,591,1623341429156,-1,-1,-1
257,599,1623341430167,-1,-1,-1
258,623,1623341431156,-1,-1,-1
259,607,1623341431156,-1,-1,-1
260,607,1623341432167,-1,-1,-1
