,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,591,1624945513516,-1,-1,-1
1,527,1624945513516,-1,-1,-1
2,447,1624945513516,-1,-1,-1
3,463,1624945513516,-1,-1,-1
4,503,1624945513516,-1,-1,-1
5,487,1624945513516,-1,-1,-1
6,415,1624945513516,-1,-1,-1
7,543,1624945513516,-1,-1,-1
8,415,1624945513516,-1,-1,-1
9,559,1624945514014,-1,-1,-1
10,583,1624945514014,-1,-1,-1
11,527,1624945514014,-1,-1,-1
12,527,1624945514014,-1,-1,-1
13,439,1624945514972,-1,-1,-1
14,503,1624945514973,-1,-1,-1
15,679,1624945516956,-1,-1,-1
16,551,1624945519956,-1,-1,-1
17,399,1624945521960,-1,-1,-1
18,479,1624945524971,-1,-1,-1
19,527,1624945524971,-1,-1,-1
20,503,1624945525957,-1,-1,-1
21,543,1624945527967,-1,-1,-1
22,575,1624945532959,-1,-1,-1
23,527,1624945542944,-1,-1,-1
24,703,1624945545959,-1,-1,-1
25,487,1624945547974,-1,-1,-1
26,599,1624945550953,-1,-1,-1
27,711,1624945551972,-1,-1,-1
28,607,1624945552954,-1,-1,-1
29,631,1624945553953,-1,-1,-1
30,511,1624945553953,-1,-1,-1
31,575,1624945554956,-1,-1,-1
32,575,1624945555953,-1,-1,-1
33,783,1624945574962,-1,-1,-1
34,479,1624945577952,-1,-1,-1
35,607,1624945581959,-1,-1,-1
36,575,1624945584949,-1,-1,-1
37,559,1624945585961,-1,-1,-1
38,615,1624945585961,-1,-1,-1
39,503,1624945590963,-1,-1,-1
40,503,1624945590963,-1,-1,-1
41,479,1624945598953,-1,-1,-1
42,447,1624945603964,-1,-1,-1
43,751,1624945603964,-1,-1,-1
44,375,1624945604952,-1,-1,-1
45,567,1624945606953,-1,-1,-1
46,663,1624945613952,-1,-1,-1
47,423,1624945615954,-1,-1,-1
48,599,1624945615954,-1,-1,-1
49,559,1624945618946,-1,-1,-1
50,663,1624945618946,-1,-1,-1
51,543,1624945619959,-1,-1,-1
52,567,1624945620951,-1,-1,-1
53,743,1624945622956,-1,-1,-1
54,575,1624945623950,-1,-1,-1
55,591,1624945623950,-1,-1,-1
56,599,1624945624954,-1,-1,-1
57,551,1624945624954,-1,-1,-1
58,591,1624945625950,-1,-1,-1
59,575,1624945626982,-1,-1,-1
60,615,1624945626982,-1,-1,-1
61,631,1624945627954,-1,-1,-1
62,655,1624945627954,-1,-1,-1
63,455,1624945632952,-1,-1,-1
64,551,1624945632952,-1,-1,-1
65,591,1624945637938,-1,-1,-1
66,671,1624945638952,-1,-1,-1
67,527,1624945640955,-1,-1,-1
68,599,1624945641953,-1,-1,-1
69,543,1624945641954,-1,-1,-1
70,575,1624945643971,-1,-1,-1
71,559,1624945645954,-1,-1,-1
72,647,1624945645954,-1,-1,-1
73,655,1624945646971,-1,-1,-1
