,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,727,1627419469860,-1,-1,-1
1,735,1627419472895,-1,-1,-1
2,727,1627419473869,-1,-1,-1
3,727,1627419477846,-1,-1,-1
4,679,1627419478873,-1,-1,-1
5,759,1627419479866,-1,-1,-1
6,695,1627419480840,-1,-1,-1
7,775,1627419480840,-1,-1,-1
8,495,1627419481853,-1,-1,-1
9,871,1627419482867,-1,-1,-1
10,783,1627419483844,-1,-1,-1
11,775,1627419483844,-1,-1,-1
12,847,1627419485868,-1,-1,-1
13,599,1627419490852,-1,-1,-1
14,735,1627419490852,-1,-1,-1
15,695,1627419491828,-1,-1,-1
16,727,1627419492839,-1,-1,-1
17,719,1627419495857,-1,-1,-1
18,743,1627419496864,-1,-1,-1
19,743,1627419497845,-1,-1,-1
20,727,1627419498844,-1,-1,-1
21,767,1627419498844,-1,-1,-1
22,783,1627419499858,-1,-1,-1
23,783,1627419500839,-1,-1,-1
24,799,1627419501857,-1,-1,-1
25,791,1627419502852,-1,-1,-1
26,791,1627419502852,-1,-1,-1
27,775,1627419503867,-1,-1,-1
28,783,1627419504840,-1,-1,-1
29,751,1627419505861,-1,-1,-1
30,783,1627419505862,-1,-1,-1
31,823,1627419506842,-1,-1,-1
32,727,1627419507856,-1,-1,-1
33,791,1627419508871,-1,-1,-1
34,783,1627419509841,-1,-1,-1
35,751,1627419509841,-1,-1,-1
36,799,1627419510857,-1,-1,-1
37,823,1627419511860,-1,-1,-1
38,727,1627419512867,-1,-1,-1
39,783,1627419512867,-1,-1,-1
40,783,1627419513877,-1,-1,-1
41,751,1627419514852,-1,-1,-1
42,759,1627419515841,-1,-1,-1
43,791,1627419516857,-1,-1,-1
44,759,1627419516857,-1,-1,-1
45,767,1627419517898,-1,-1,-1
46,775,1627419518825,-1,-1,-1
47,743,1627419519836,-1,-1,-1
48,767,1627419519836,-1,-1,-1
49,767,1627419520853,-1,-1,-1
50,799,1627419521828,-1,-1,-1
51,759,1627419522840,-1,-1,-1
52,743,1627419522840,-1,-1,-1
53,783,1627419523852,-1,-1,-1
54,783,1627419524827,-1,-1,-1
55,751,1627419525841,-1,-1,-1
