,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,524,1623253329710,-1,-1,-1
1,546,1623253329710,-1,-1,-1
2,508,1623253329710,-1,-1,-1
3,580,1623253329710,-1,-1,-1
4,1191,1623253330709,-1,-1,-1
5,620,1623253330709,-1,-1,-1
6,1201,1623253332665,-1,-1,-1
7,365,1623253332665,-1,-1,-1
8,733,1623253333715,-1,-1,-1
9,955,1623253334611,-1,-1,-1
10,818,1623253334611,-1,-1,-1
11,553,1623253335615,-1,-1,-1
12,528,1623253336562,-1,-1,-1
13,533,1623253336562,-1,-1,-1
14,548,1623253337562,-1,-1,-1
15,528,1623253337562,-1,-1,-1
16,539,1623253338515,-1,-1,-1
17,510,1623253338515,-1,-1,-1
18,575,1623253339518,-1,-1,-1
19,520,1623253339518,-1,-1,-1
20,587,1623253340463,-1,-1,-1
21,568,1623253341466,-1,-1,-1
22,599,1623253341466,-1,-1,-1
23,621,1623253342466,-1,-1,-1
24,603,1623253342466,-1,-1,-1
25,595,1623253343416,-1,-1,-1
26,596,1623253344419,-1,-1,-1
27,594,1623253344419,-1,-1,-1
28,600,1623253345363,-1,-1,-1
29,599,1623253345363,-1,-1,-1
30,665,1623253346466,-1,-1,-1
31,588,1623253347367,-1,-1,-1
32,632,1623253347367,-1,-1,-1
33,617,1623253348315,-1,-1,-1
34,549,1623253349312,-1,-1,-1
35,631,1623253349312,-1,-1,-1
36,541,1623253350309,-1,-1,-1
37,1151,1623253351263,-1,-1,-1
38,662,1623253352209,-1,-1,-1
39,505,1623253352209,-1,-1,-1
40,645,1623253353215,-1,-1,-1
41,1079,1623253354217,-1,-1,-1
42,1125,1623253355166,-1,-1,-1
43,516,1623253356164,-1,-1,-1
44,505,1623253356164,-1,-1,-1
45,534,1623253357111,-1,-1,-1
46,546,1623253357111,-1,-1,-1
47,526,1623253358118,-1,-1,-1
48,532,1623253358118,-1,-1,-1
49,518,1623253359069,-1,-1,-1
50,519,1623253359069,-1,-1,-1
51,1033,1623253361060,-1,-1,-1
52,1019,1623253361060,-1,-1,-1
53,501,1623253362009,-1,-1,-1
54,497,1623253363113,-1,-1,-1
55,544,1623253363114,-1,-1,-1
56,556,1623253363962,-1,-1,-1
57,500,1623253363962,-1,-1,-1
58,542,1623253365010,-1,-1,-1
59,569,1623253365011,-1,-1,-1
60,547,1623253365966,-1,-1,-1
61,1093,1623253366962,-1,-1,-1
62,677,1623253367915,-1,-1,-1
63,1144,1623253368865,-1,-1,-1
64,988,1623253369864,-1,-1,-1
65,571,1623253369864,-1,-1,-1
66,524,1623253370814,-1,-1,-1
67,541,1623253370814,-1,-1,-1
68,440,1623253371811,-1,-1,-1
69,1187,1623253372811,-1,-1,-1
70,552,1623253373765,-1,-1,-1
71,570,1623253373765,-1,-1,-1
72,576,1623253374762,-1,-1,-1
73,489,1623253374762,-1,-1,-1
74,1104,1623253376712,-1,-1,-1
75,774,1623253377661,-1,-1,-1
76,1957,1623253378660,-1,-1,-1
77,288,1623253379763,-1,-1,-1
78,638,1623253379763,-1,-1,-1
79,931,1623253380619,-1,-1,-1
80,494,1623253381611,-1,-1,-1
81,534,1623253381611,-1,-1,-1
82,551,1623253382565,-1,-1,-1
83,679,1623253382565,-1,-1,-1
84,615,1623253383559,-1,-1,-1
85,417,1623253384509,-1,-1,-1
86,472,1623253384509,-1,-1,-1
87,579,1623253385561,-1,-1,-1
88,862,1623253386463,-1,-1,-1
89,981,1623253387510,-1,-1,-1
90,814,1623253387510,-1,-1,-1
91,655,1623253388467,-1,-1,-1
92,656,1623253389410,-1,-1,-1
93,683,1623253389410,-1,-1,-1
94,643,1623253390417,-1,-1,-1
95,651,1623253391368,-1,-1,-1
96,621,1623253391368,-1,-1,-1
97,641,1623253392361,-1,-1,-1
98,647,1623253393309,-1,-1,-1
99,1004,1623253394317,-1,-1,-1
100,853,1623253395268,-1,-1,-1
101,753,1623253395268,-1,-1,-1
102,487,1623253396266,-1,-1,-1
103,615,1623253396266,-1,-1,-1
104,630,1623253397261,-1,-1,-1
105,616,1623253398310,-1,-1,-1
106,614,1623253398310,-1,-1,-1
107,599,1623253399211,-1,-1,-1
108,602,1623253400161,-1,-1,-1
109,672,1623253400161,-1,-1,-1
110,560,1623253401166,-1,-1,-1
111,553,1623253401166,-1,-1,-1
112,693,1623253402166,-1,-1,-1
113,1107,1623253403111,-1,-1,-1
114,664,1623253404116,-1,-1,-1
115,1292,1623253406061,-1,-1,-1
116,1239,1623253407015,-1,-1,-1
117,633,1623253407016,-1,-1,-1
118,560,1623253408012,-1,-1,-1
119,622,1623253408012,-1,-1,-1
120,740,1623253409016,-1,-1,-1
121,562,1623253409965,-1,-1,-1
122,671,1623253409965,-1,-1,-1
123,1267,1623253411910,-1,-1,-1
124,766,1623253412910,-1,-1,-1
125,592,1623253412910,-1,-1,-1
126,607,1623253413864,-1,-1,-1
127,629,1623253413864,-1,-1,-1
128,663,1623253414915,-1,-1,-1
129,571,1623253415867,-1,-1,-1
130,692,1623253415867,-1,-1,-1
131,609,1623253416810,-1,-1,-1
132,669,1623253417815,-1,-1,-1
133,565,1623253417815,-1,-1,-1
134,614,1623253418764,-1,-1,-1
135,567,1623253418764,-1,-1,-1
136,573,1623253419759,-1,-1,-1
137,558,1623253420712,-1,-1,-1
138,605,1623253420712,-1,-1,-1
139,568,1623253421711,-1,-1,-1
140,564,1623253421711,-1,-1,-1
141,616,1623253422710,-1,-1,-1
142,601,1623253423661,-1,-1,-1
143,625,1623253423661,-1,-1,-1
144,632,1623253424662,-1,-1,-1
145,625,1623253425616,-1,-1,-1
146,602,1623253425616,-1,-1,-1
147,610,1623253426712,-1,-1,-1
148,604,1623253426712,-1,-1,-1
149,618,1623253427567,-1,-1,-1
150,617,1623253428564,-1,-1,-1
151,643,1623253428564,-1,-1,-1
152,593,1623253429559,-1,-1,-1
153,563,1623253430614,-1,-1,-1
154,587,1623253430614,-1,-1,-1
155,628,1623253431516,-1,-1,-1
156,558,1623253431516,-1,-1,-1
157,622,1623253432468,-1,-1,-1
158,656,1623253433516,-1,-1,-1
159,663,1623253433516,-1,-1,-1
160,656,1623253434416,-1,-1,-1
161,663,1623253435417,-1,-1,-1
162,655,1623253435417,-1,-1,-1
163,643,1623253436360,-1,-1,-1
164,637,1623253437368,-1,-1,-1
165,628,1623253437368,-1,-1,-1
166,616,1623253438361,-1,-1,-1
167,625,1623253439317,-1,-1,-1
168,610,1623253439317,-1,-1,-1
169,592,1623253440318,-1,-1,-1
170,623,1623253440318,-1,-1,-1
171,684,1623253441264,-1,-1,-1
172,630,1623253442260,-1,-1,-1
173,1186,1623253443218,-1,-1,-1
174,625,1623253444216,-1,-1,-1
175,621,1623253444216,-1,-1,-1
176,643,1623253445160,-1,-1,-1
177,627,1623253446160,-1,-1,-1
178,587,1623253446160,-1,-1,-1
179,604,1623253447162,-1,-1,-1
180,611,1623253447162,-1,-1,-1
181,625,1623253448160,-1,-1,-1
182,596,1623253449112,-1,-1,-1
183,592,1623253449112,-1,-1,-1
184,666,1623253451064,-1,-1,-1
185,1183,1623253451064,-1,-1,-1
186,590,1623253452017,-1,-1,-1
187,777,1623253453009,-1,-1,-1
188,696,1623253453010,-1,-1,-1
189,821,1623253453966,-1,-1,-1
190,519,1623253454966,-1,-1,-1
191,613,1623253454966,-1,-1,-1
192,679,1623253455964,-1,-1,-1
193,485,1623253455964,-1,-1,-1
194,565,1623253456910,-1,-1,-1
195,534,1623253457914,-1,-1,-1
196,669,1623253457914,-1,-1,-1
197,565,1623253458911,-1,-1,-1
198,552,1623253458911,-1,-1,-1
199,567,1623253459860,-1,-1,-1
200,548,1623253459860,-1,-1,-1
201,542,1623253460812,-1,-1,-1
202,1151,1623253461818,-1,-1,-1
203,1147,1623253463759,-1,-1,-1
204,567,1623253463760,-1,-1,-1
205,576,1623253464760,-1,-1,-1
206,654,1623253464760,-1,-1,-1
207,652,1623253465765,-1,-1,-1
208,614,1623253466712,-1,-1,-1
209,613,1623253466712,-1,-1,-1
210,608,1623253467716,-1,-1,-1
211,606,1623253467716,-1,-1,-1
212,591,1623253468667,-1,-1,-1
213,592,1623253469662,-1,-1,-1
214,588,1623253469662,-1,-1,-1
215,577,1623253470616,-1,-1,-1
216,587,1623253470616,-1,-1,-1
217,587,1623253471618,-1,-1,-1
218,575,1623253472667,-1,-1,-1
219,612,1623253472667,-1,-1,-1
220,590,1623253473565,-1,-1,-1
221,591,1623253473565,-1,-1,-1
222,631,1623253474515,-1,-1,-1
223,642,1623253475516,-1,-1,-1
224,551,1623253475516,-1,-1,-1
225,597,1623253476511,-1,-1,-1
226,676,1623253477459,-1,-1,-1
227,596,1623253477459,-1,-1,-1
228,674,1623253478466,-1,-1,-1
229,823,1623253479411,-1,-1,-1
230,717,1623253480411,-1,-1,-1
231,471,1623253480411,-1,-1,-1
232,619,1623253481361,-1,-1,-1
233,505,1623253481361,-1,-1,-1
234,573,1623253482364,-1,-1,-1
235,526,1623253482364,-1,-1,-1
236,533,1623253483362,-1,-1,-1
