,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,791,1627039059156,-1,-1,-1
1,790,1627039059156,-1,-1,-1
2,780,1627039059156,-1,-1,-1
3,782,1627039059156,-1,-1,-1
4,787,1627039059156,-1,-1,-1
5,793,1627039060035,-1,-1,-1
6,759,1627039061056,-1,-1,-1
7,792,1627039061056,-1,-1,-1
8,775,1627039062038,-1,-1,-1
9,779,1627039063851,-1,-1,-1
10,778,1627039064842,-1,-1,-1
11,775,1627039065842,-1,-1,-1
12,780,1627039065842,-1,-1,-1
13,775,1627039066840,-1,-1,-1
14,767,1627039067843,-1,-1,-1
15,747,1627039068842,-1,-1,-1
16,744,1627039068842,-1,-1,-1
17,750,1627039069831,-1,-1,-1
18,754,1627039070830,-1,-1,-1
19,757,1627039071828,-1,-1,-1
20,756,1627039071828,-1,-1,-1
21,748,1627039072831,-1,-1,-1
22,751,1627039073826,-1,-1,-1
23,758,1627039074822,-1,-1,-1
24,540,1627039074822,-1,-1,-1
25,701,1627039075817,-1,-1,-1
26,554,1627039075817,-1,-1,-1
27,863,1627039076816,-1,-1,-1
28,359,1627039077815,-1,-1,-1
29,738,1627039077815,-1,-1,-1
30,750,1627039078811,-1,-1,-1
31,765,1627039079810,-1,-1,-1
32,718,1627039080809,-1,-1,-1
33,727,1627039080809,-1,-1,-1
34,734,1627039081805,-1,-1,-1
35,731,1627039082801,-1,-1,-1
36,734,1627039083799,-1,-1,-1
37,743,1627039083799,-1,-1,-1
38,752,1627039084794,-1,-1,-1
39,765,1627039085795,-1,-1,-1
40,738,1627039086792,-1,-1,-1
41,736,1627039086792,-1,-1,-1
42,744,1627039087787,-1,-1,-1
43,743,1627039088786,-1,-1,-1
44,747,1627039089784,-1,-1,-1
45,767,1627039089784,-1,-1,-1
46,820,1627039090779,-1,-1,-1
47,826,1627039091776,-1,-1,-1
48,815,1627039092775,-1,-1,-1
49,834,1627039093773,-1,-1,-1
50,825,1627039093773,-1,-1,-1
51,791,1627039094771,-1,-1,-1
52,778,1627039095769,-1,-1,-1
53,787,1627039096764,-1,-1,-1
54,774,1627039097766,-1,-1,-1
55,765,1627039097766,-1,-1,-1
56,766,1627039098763,-1,-1,-1
57,778,1627039099764,-1,-1,-1
58,768,1627039100755,-1,-1,-1
59,764,1627039100755,-1,-1,-1
60,811,1627039101755,-1,-1,-1
61,812,1627039102748,-1,-1,-1
62,806,1627039103765,-1,-1,-1
63,863,1627039104745,-1,-1,-1
64,861,1627039105744,-1,-1,-1
65,873,1627039105744,-1,-1,-1
66,827,1627039106740,-1,-1,-1
67,857,1627039107741,-1,-1,-1
68,849,1627039108734,-1,-1,-1
69,800,1627039109739,-1,-1,-1
70,825,1627039110733,-1,-1,-1
71,821,1627039110733,-1,-1,-1
72,805,1627039111729,-1,-1,-1
73,778,1627039112731,-1,-1,-1
74,798,1627039113727,-1,-1,-1
75,782,1627039114723,-1,-1,-1
76,786,1627039114723,-1,-1,-1
77,774,1627039115721,-1,-1,-1
78,764,1627039116721,-1,-1,-1
79,772,1627039117719,-1,-1,-1
80,791,1627039118715,-1,-1,-1
81,801,1627039118715,-1,-1,-1
82,808,1627039119712,-1,-1,-1
83,836,1627039120711,-1,-1,-1
84,846,1627039121707,-1,-1,-1
85,856,1627039122704,-1,-1,-1
86,949,1627039123704,-1,-1,-1
87,902,1627039124698,-1,-1,-1
88,883,1627039124698,-1,-1,-1
89,837,1627039125697,-1,-1,-1
90,833,1627039126694,-1,-1,-1
91,826,1627039127692,-1,-1,-1
92,829,1627039128690,-1,-1,-1
93,793,1627039129688,-1,-1,-1
94,762,1627039129688,-1,-1,-1
95,739,1627039130684,-1,-1,-1
96,712,1627039131681,-1,-1,-1
97,710,1627039131681,-1,-1,-1
98,687,1627039132679,-1,-1,-1
99,677,1627039133677,-1,-1,-1
100,680,1627039134671,-1,-1,-1
101,687,1627039134671,-1,-1,-1
102,672,1627039135673,-1,-1,-1
103,679,1627039136667,-1,-1,-1
104,687,1627039136667,-1,-1,-1
105,716,1627039137667,-1,-1,-1
106,707,1627039138664,-1,-1,-1
107,720,1627039138664,-1,-1,-1
108,722,1627039139661,-1,-1,-1
109,722,1627039140659,-1,-1,-1
110,708,1627039141658,-1,-1,-1
111,712,1627039141659,-1,-1,-1
112,701,1627039142651,-1,-1,-1
113,696,1627039143652,-1,-1,-1
114,702,1627039143652,-1,-1,-1
115,700,1627039144649,-1,-1,-1
116,700,1627039145646,-1,-1,-1
117,709,1627039145646,-1,-1,-1
118,697,1627039146646,-1,-1,-1
119,703,1627039147645,-1,-1,-1
120,691,1627039148639,-1,-1,-1
121,700,1627039148639,-1,-1,-1
122,699,1627039149638,-1,-1,-1
123,705,1627039150634,-1,-1,-1
124,697,1627039150634,-1,-1,-1
125,695,1627039151631,-1,-1,-1
126,712,1627039152627,-1,-1,-1
127,725,1627039153625,-1,-1,-1
128,614,1627039153625,-1,-1,-1
129,859,1627039154621,-1,-1,-1
130,732,1627039155619,-1,-1,-1
131,733,1627039155620,-1,-1,-1
132,721,1627039156622,-1,-1,-1
133,714,1627039157618,-1,-1,-1
134,697,1627039158613,-1,-1,-1
135,688,1627039158613,-1,-1,-1
136,682,1627039159608,-1,-1,-1
137,681,1627039160604,-1,-1,-1
138,664,1627039160604,-1,-1,-1
139,672,1627039161601,-1,-1,-1
140,685,1627039162603,-1,-1,-1
141,701,1627039162603,-1,-1,-1
142,687,1627039163600,-1,-1,-1
143,697,1627039164605,-1,-1,-1
144,707,1627039164606,-1,-1,-1
145,707,1627039165595,-1,-1,-1
146,715,1627039166590,-1,-1,-1
147,724,1627039167592,-1,-1,-1
148,727,1627039167592,-1,-1,-1
149,717,1627039168589,-1,-1,-1
150,719,1627039169586,-1,-1,-1
151,720,1627039169586,-1,-1,-1
152,709,1627039170581,-1,-1,-1
153,690,1627039171581,-1,-1,-1
154,704,1627039172579,-1,-1,-1
155,685,1627039172579,-1,-1,-1
156,674,1627039173575,-1,-1,-1
157,651,1627039174571,-1,-1,-1
158,647,1627039174571,-1,-1,-1
159,650,1627039175570,-1,-1,-1
160,668,1627039176568,-1,-1,-1
161,672,1627039176569,-1,-1,-1
162,683,1627039177566,-1,-1,-1
163,696,1627039178563,-1,-1,-1
164,720,1627039178563,-1,-1,-1
165,696,1627039179559,-1,-1,-1
166,683,1627039180556,-1,-1,-1
167,704,1627039180557,-1,-1,-1
168,690,1627039181554,-1,-1,-1
169,706,1627039182551,-1,-1,-1
170,699,1627039183547,-1,-1,-1
171,697,1627039183547,-1,-1,-1
172,696,1627039184546,-1,-1,-1
173,711,1627039185542,-1,-1,-1
174,692,1627039185542,-1,-1,-1
175,704,1627039186540,-1,-1,-1
176,701,1627039187537,-1,-1,-1
177,699,1627039187537,-1,-1,-1
178,687,1627039188542,-1,-1,-1
179,690,1627039189536,-1,-1,-1
180,686,1627039190535,-1,-1,-1
181,682,1627039190535,-1,-1,-1
182,676,1627039191526,-1,-1,-1
