,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,727,1624948904663,-1,-1,-1
1,599,1624948904663,-1,-1,-1
2,735,1624948915158,-1,-1,-1
3,783,1624948916130,-1,-1,-1
4,911,1624948920147,-1,-1,-1
5,983,1624948927159,-1,-1,-1
6,583,1624948933159,-1,-1,-1
7,703,1624948949137,-1,-1,-1
8,1023,1624948955137,-1,-1,-1
9,551,1624948956148,-1,-1,-1
10,639,1624948956149,-1,-1,-1
11,727,1624948958135,-1,-1,-1
12,719,1624948962147,-1,-1,-1
13,751,1624948963124,-1,-1,-1
14,759,1624948963124,-1,-1,-1
15,807,1624948968147,-1,-1,-1
16,671,1624948975121,-1,-1,-1
17,735,1624948976134,-1,-1,-1
18,639,1624948977149,-1,-1,-1
19,703,1624948980185,-1,-1,-1
20,719,1624948982135,-1,-1,-1
21,703,1624948985137,-1,-1,-1
22,951,1624948987123,-1,-1,-1
23,775,1624948988135,-1,-1,-1
24,583,1624948989148,-1,-1,-1
25,967,1624949004147,-1,-1,-1
26,903,1624949005123,-1,-1,-1
27,799,1624949006135,-1,-1,-1
28,703,1624949011123,-1,-1,-1
29,831,1624949012136,-1,-1,-1
30,911,1624949014124,-1,-1,-1
31,887,1624949020123,-1,-1,-1
32,727,1624949020124,-1,-1,-1
33,751,1624949038124,-1,-1,-1
34,551,1624949038124,-1,-1,-1
35,759,1624949039210,-1,-1,-1
36,719,1624949040186,-1,-1,-1
37,775,1624949053123,-1,-1,-1
38,767,1624949054136,-1,-1,-1
39,655,1624949054136,-1,-1,-1
40,727,1624949055151,-1,-1,-1
41,671,1624949056199,-1,-1,-1
42,687,1624949058149,-1,-1,-1
43,567,1624949058149,-1,-1,-1
44,839,1624949059122,-1,-1,-1
45,695,1624949060136,-1,-1,-1
46,743,1624949062122,-1,-1,-1
47,591,1624949068124,-1,-1,-1
48,791,1624949075138,-1,-1,-1
49,631,1624949081136,-1,-1,-1
50,871,1624949082149,-1,-1,-1
51,839,1624949083124,-1,-1,-1
52,799,1624949084137,-1,-1,-1
53,887,1624949085148,-1,-1,-1
54,919,1624949086124,-1,-1,-1
55,959,1624949096136,-1,-1,-1
56,1191,1624949097148,-1,-1,-1
57,1319,1624949101123,-1,-1,-1
58,1479,1624949111137,-1,-1,-1
59,983,1624949112188,-1,-1,-1
60,1095,1624949127149,-1,-1,-1
61,799,1624949139111,-1,-1,-1
62,775,1624949140126,-1,-1,-1
63,823,1624949141137,-1,-1,-1
64,799,1624949142111,-1,-1,-1
65,727,1624949144137,-1,-1,-1
66,703,1624949148112,-1,-1,-1
67,679,1624949154112,-1,-1,-1
68,599,1624949168137,-1,-1,-1
69,719,1624949170124,-1,-1,-1
70,671,1624949170124,-1,-1,-1
71,759,1624949171139,-1,-1,-1
72,631,1624949173125,-1,-1,-1
73,703,1624949175112,-1,-1,-1
74,639,1624949175113,-1,-1,-1
75,455,1624949176124,-1,-1,-1
76,479,1624949178112,-1,-1,-1
77,607,1624949178112,-1,-1,-1
78,655,1624949179122,-1,-1,-1
79,447,1624949180136,-1,-1,-1
80,655,1624949180136,-1,-1,-1
81,735,1624949181114,-1,-1,-1
82,631,1624949182124,-1,-1,-1
83,671,1624949184112,-1,-1,-1
84,719,1624949187111,-1,-1,-1
85,711,1624949188125,-1,-1,-1
86,839,1624949192139,-1,-1,-1
87,655,1624949198136,-1,-1,-1
88,703,1624949199115,-1,-1,-1
89,695,1624949200128,-1,-1,-1
90,703,1624949206162,-1,-1,-1
91,703,1624949206162,-1,-1,-1
92,607,1624949207138,-1,-1,-1
93,711,1624949209125,-1,-1,-1
94,703,1624949210137,-1,-1,-1
95,631,1624949211110,-1,-1,-1
96,607,1624949213137,-1,-1,-1
97,687,1624949214111,-1,-1,-1
98,887,1624949216173,-1,-1,-1
99,583,1624949216173,-1,-1,-1
100,687,1624949217111,-1,-1,-1
101,783,1624949220112,-1,-1,-1
102,703,1624949222174,-1,-1,-1
103,719,1624949223114,-1,-1,-1
104,503,1624949228138,-1,-1,-1
105,831,1624949229112,-1,-1,-1
106,791,1624949233125,-1,-1,-1
107,639,1624949234137,-1,-1,-1
108,895,1624949235112,-1,-1,-1
109,583,1624949235112,-1,-1,-1
110,791,1624949239162,-1,-1,-1
111,631,1624949240137,-1,-1,-1
112,567,1624949242125,-1,-1,-1
113,743,1624949243175,-1,-1,-1
114,719,1624949247112,-1,-1,-1
115,639,1624949247112,-1,-1,-1
116,599,1624949248127,-1,-1,-1
117,839,1624949249139,-1,-1,-1
118,655,1624949249139,-1,-1,-1
119,767,1624949250111,-1,-1,-1
120,679,1624949253113,-1,-1,-1
121,671,1624949260126,-1,-1,-1
122,591,1624949261138,-1,-1,-1
123,799,1624949261138,-1,-1,-1
124,631,1624949262112,-1,-1,-1
125,607,1624949263124,-1,-1,-1
126,847,1624949263124,-1,-1,-1
127,671,1624949264139,-1,-1,-1
128,727,1624949265113,-1,-1,-1
129,711,1624949266163,-1,-1,-1
130,711,1624949268113,-1,-1,-1
131,703,1624949268113,-1,-1,-1
132,695,1624949269126,-1,-1,-1
133,583,1624949270138,-1,-1,-1
134,831,1624949271114,-1,-1,-1
135,687,1624949271115,-1,-1,-1
136,663,1624949272163,-1,-1,-1
137,719,1624949275164,-1,-1,-1
138,711,1624949276138,-1,-1,-1
139,727,1624949280113,-1,-1,-1
140,655,1624949281126,-1,-1,-1
141,711,1624949282136,-1,-1,-1
142,623,1624949282136,-1,-1,-1
143,799,1624949283115,-1,-1,-1
144,695,1624949287125,-1,-1,-1
145,695,1624949287126,-1,-1,-1
146,663,1624949288100,-1,-1,-1
147,639,1624949290126,-1,-1,-1
148,591,1624949291101,-1,-1,-1
149,591,1624949291101,-1,-1,-1
150,655,1624949309099,-1,-1,-1
151,807,1624949314125,-1,-1,-1
152,655,1624949314125,-1,-1,-1
153,639,1624949320124,-1,-1,-1
154,855,1624949324101,-1,-1,-1
155,823,1624949324101,-1,-1,-1
156,615,1624949325113,-1,-1,-1
157,719,1624949327101,-1,-1,-1
158,551,1624949333100,-1,-1,-1
159,775,1624949333100,-1,-1,-1
160,671,1624949339101,-1,-1,-1
161,639,1624949353127,-1,-1,-1
162,679,1624949356126,-1,-1,-1
163,607,1624949357102,-1,-1,-1
164,727,1624949358111,-1,-1,-1
165,791,1624949358111,-1,-1,-1
166,663,1624949359127,-1,-1,-1
167,639,1624949363100,-1,-1,-1
168,487,1624949364113,-1,-1,-1
169,783,1624949366101,-1,-1,-1
170,847,1624949369102,-1,-1,-1
171,751,1624949370113,-1,-1,-1
172,559,1624949371164,-1,-1,-1
173,927,1624949372100,-1,-1,-1
174,623,1624949372100,-1,-1,-1
175,783,1624949373114,-1,-1,-1
176,711,1624949374126,-1,-1,-1
177,575,1624949377126,-1,-1,-1
178,519,1624949378100,-1,-1,-1
179,727,1624949381102,-1,-1,-1
180,831,1624949383126,-1,-1,-1
181,735,1624949384099,-1,-1,-1
182,863,1624949386125,-1,-1,-1
183,695,1624949387102,-1,-1,-1
184,679,1624949390101,-1,-1,-1
185,767,1624949391115,-1,-1,-1
186,767,1624949391115,-1,-1,-1
187,759,1624949392126,-1,-1,-1
188,759,1624949397114,-1,-1,-1
189,591,1624949404164,-1,-1,-1
190,831,1624949405140,-1,-1,-1
191,535,1624949406114,-1,-1,-1
192,631,1624949406114,-1,-1,-1
193,567,1624949411101,-1,-1,-1
194,479,1624949411101,-1,-1,-1
195,735,1624949412114,-1,-1,-1
196,655,1624949414102,-1,-1,-1
197,663,1624949415114,-1,-1,-1
198,703,1624949416090,-1,-1,-1
199,679,1624949416090,-1,-1,-1
200,543,1624949417101,-1,-1,-1
201,519,1624949419089,-1,-1,-1
202,647,1624949420102,-1,-1,-1
203,567,1624949421152,-1,-1,-1
204,767,1624949421152,-1,-1,-1
205,423,1624949422088,-1,-1,-1
206,735,1624949423103,-1,-1,-1
207,511,1624949424114,-1,-1,-1
208,591,1624949425089,-1,-1,-1
209,511,1624949425089,-1,-1,-1
210,607,1624949426102,-1,-1,-1
211,463,1624949426102,-1,-1,-1
212,639,1624949427115,-1,-1,-1
213,447,1624949427115,-1,-1,-1
214,631,1624949428090,-1,-1,-1
215,415,1624949429101,-1,-1,-1
216,615,1624949430113,-1,-1,-1
217,367,1624949432102,-1,-1,-1
218,367,1624949432102,-1,-1,-1
219,687,1624949433114,-1,-1,-1
220,719,1624949434089,-1,-1,-1
221,567,1624949435105,-1,-1,-1
222,423,1624949436117,-1,-1,-1
223,615,1624949436117,-1,-1,-1
224,599,1624949437090,-1,-1,-1
225,503,1624949437090,-1,-1,-1
226,671,1624949440090,-1,-1,-1
227,399,1624949440090,-1,-1,-1
228,543,1624949441102,-1,-1,-1
229,527,1624949441102,-1,-1,-1
230,471,1624949442114,-1,-1,-1
231,391,1624949442114,-1,-1,-1
232,559,1624949444102,-1,-1,-1
233,407,1624949445119,-1,-1,-1
234,711,1624949445119,-1,-1,-1
235,391,1624949446095,-1,-1,-1
236,599,1624949448111,-1,-1,-1
237,647,1624949449090,-1,-1,-1
238,495,1624949450102,-1,-1,-1
239,367,1624949450102,-1,-1,-1
240,647,1624949451114,-1,-1,-1
241,407,1624949451114,-1,-1,-1
242,351,1624949454151,-1,-1,-1
243,695,1624949455087,-1,-1,-1
244,399,1624949456100,-1,-1,-1
245,567,1624949457115,-1,-1,-1
246,511,1624949457115,-1,-1,-1
247,543,1624949458087,-1,-1,-1
248,495,1624949458087,-1,-1,-1
249,615,1624949459099,-1,-1,-1
250,415,1624949459099,-1,-1,-1
251,591,1624949460116,-1,-1,-1
252,359,1624949462102,-1,-1,-1
253,455,1624949462102,-1,-1,-1
254,591,1624949464088,-1,-1,-1
255,399,1624949464088,-1,-1,-1
256,511,1624949467090,-1,-1,-1
257,407,1624949470089,-1,-1,-1
258,559,1624949471139,-1,-1,-1
259,495,1624949472114,-1,-1,-1
260,591,1624949473091,-1,-1,-1
261,607,1624949476127,-1,-1,-1
262,463,1624949476127,-1,-1,-1
263,367,1624949478115,-1,-1,-1
264,463,1624949481116,-1,-1,-1
265,663,1624949482089,-1,-1,-1
266,399,1624949482089,-1,-1,-1
267,567,1624949483104,-1,-1,-1
268,431,1624949484115,-1,-1,-1
269,511,1624949486177,-1,-1,-1
270,503,1624949490189,-1,-1,-1
271,479,1624949491089,-1,-1,-1
272,447,1624949491089,-1,-1,-1
273,431,1624949492104,-1,-1,-1
274,463,1624949493153,-1,-1,-1
275,439,1624949496115,-1,-1,-1
276,495,1624949496115,-1,-1,-1
277,479,1624949496115,-1,-1,-1
278,463,1624949497090,-1,-1,-1
279,447,1624949497090,-1,-1,-1
280,319,1624949498102,-1,-1,-1
281,511,1624949498102,-1,-1,-1
282,527,1624949499115,-1,-1,-1
283,479,1624949499115,-1,-1,-1
284,487,1624949500090,-1,-1,-1
285,455,1624949500090,-1,-1,-1
286,487,1624949501103,-1,-1,-1
287,495,1624949501103,-1,-1,-1
288,399,1624949502115,-1,-1,-1
289,303,1624949502115,-1,-1,-1
290,599,1624949502115,-1,-1,-1
291,407,1624949503090,-1,-1,-1
292,543,1624949503090,-1,-1,-1
293,447,1624949504139,-1,-1,-1
294,455,1624949504139,-1,-1,-1
295,407,1624949505115,-1,-1,-1
296,311,1624949507101,-1,-1,-1
297,463,1624949508117,-1,-1,-1
298,487,1624949509164,-1,-1,-1
299,519,1624949509164,-1,-1,-1
300,447,1624949509164,-1,-1,-1
301,487,1624949510101,-1,-1,-1
302,455,1624949510101,-1,-1,-1
303,479,1624949512090,-1,-1,-1
304,495,1624949512090,-1,-1,-1
305,407,1624949513179,-1,-1,-1
306,599,1624949513179,-1,-1,-1
307,607,1624949521128,-1,-1,-1
308,423,1624949521128,-1,-1,-1
309,375,1624949523114,-1,-1,-1
310,647,1624949523114,-1,-1,-1
311,471,1624949525102,-1,-1,-1
312,639,1624949526116,-1,-1,-1
313,383,1624949526116,-1,-1,-1
314,575,1624949529115,-1,-1,-1
315,519,1624949531101,-1,-1,-1
316,655,1624949533091,-1,-1,-1
317,551,1624949534103,-1,-1,-1
318,519,1624949536091,-1,-1,-1
319,511,1624949536091,-1,-1,-1
320,575,1624949537140,-1,-1,-1
321,511,1624949538116,-1,-1,-1
322,543,1624949539129,-1,-1,-1
323,543,1624949543102,-1,-1,-1
324,519,1624949544114,-1,-1,-1
325,487,1624949544114,-1,-1,-1
326,439,1624949544114,-1,-1,-1
327,631,1624949545092,-1,-1,-1
328,519,1624949547115,-1,-1,-1
