,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,808,1622642752598,-1,-1,-1
1,814,1622642753593,-1,-1,-1
2,812,1622642754548,-1,-1,-1
3,825,1622642755523,-1,-1,-1
4,806,1622642755523,-1,-1,-1
5,810,1622642756500,-1,-1,-1
6,809,1622642757473,-1,-1,-1
7,814,1622642758497,-1,-1,-1
8,817,1622642759423,-1,-1,-1
9,821,1622642760496,-1,-1,-1
10,825,1622642760496,-1,-1,-1
11,834,1622642761376,-1,-1,-1
12,776,1622642762401,-1,-1,-1
13,864,1622642763324,-1,-1,-1
14,744,1622642764348,-1,-1,-1
15,777,1622642764348,-1,-1,-1
16,765,1622642765324,-1,-1,-1
17,747,1622642766300,-1,-1,-1
18,1514,1622642768348,-1,-1,-1
19,1100,1622642769225,-1,-1,-1
20,446,1622642769225,-1,-1,-1
21,434,1622642769225,-1,-1,-1
22,1013,1622642771172,-1,-1,-1
23,1580,1622642772199,-1,-1,-1
24,770,1622642773272,-1,-1,-1
25,725,1622642774101,-1,-1,-1
26,723,1622642775073,-1,-1,-1
27,686,1622642775073,-1,-1,-1
28,732,1622642776146,-1,-1,-1
29,748,1622642777023,-1,-1,-1
30,712,1622642778046,-1,-1,-1
31,720,1622642778046,-1,-1,-1
32,711,1622642779023,-1,-1,-1
33,740,1622642779995,-1,-1,-1
34,737,1622642780973,-1,-1,-1
35,701,1622642780973,-1,-1,-1
36,689,1622642781954,-1,-1,-1
37,853,1622642782925,-1,-1,-1
38,815,1622642783904,-1,-1,-1
39,801,1622642784931,-1,-1,-1
40,805,1622642784931,-1,-1,-1
41,745,1622642785849,-1,-1,-1
42,858,1622642786821,-1,-1,-1
43,820,1622642787795,-1,-1,-1
44,830,1622642788771,-1,-1,-1
45,836,1622642789845,-1,-1,-1
46,836,1622642789845,-1,-1,-1
47,799,1622642790772,-1,-1,-1
48,821,1622642791698,-1,-1,-1
49,806,1622642792721,-1,-1,-1
50,775,1622642793697,-1,-1,-1
51,788,1622642793697,-1,-1,-1
52,780,1622642794670,-1,-1,-1
53,682,1622642795694,-1,-1,-1
54,334,1622642795694,-1,-1,-1
55,593,1622642796622,-1,-1,-1
56,740,1622642797596,-1,-1,-1
57,763,1622642797596,-1,-1,-1
58,820,1622642798570,-1,-1,-1
59,790,1622642799546,-1,-1,-1
60,785,1622642800520,-1,-1,-1
61,794,1622642801496,-1,-1,-1
62,807,1622642802474,-1,-1,-1
63,1578,1622642803446,-1,-1,-1
64,815,1622642804421,-1,-1,-1
65,1576,1622642806418,-1,-1,-1
66,790,1622642806418,-1,-1,-1
67,808,1622642807393,-1,-1,-1
68,918,1622642808369,-1,-1,-1
69,682,1622642809345,-1,-1,-1
70,804,1622642810319,-1,-1,-1
71,813,1622642811295,-1,-1,-1
72,817,1622642811295,-1,-1,-1
73,838,1622642812270,-1,-1,-1
74,880,1622642813244,-1,-1,-1
75,782,1622642814222,-1,-1,-1
76,809,1622642815194,-1,-1,-1
77,834,1622642816218,-1,-1,-1
78,720,1622642817144,-1,-1,-1
79,1566,1622642818122,-1,-1,-1
80,983,1622642819092,-1,-1,-1
81,797,1622642820118,-1,-1,-1
82,822,1622642821093,-1,-1,-1
83,838,1622642822068,-1,-1,-1
84,830,1622642822068,-1,-1,-1
85,832,1622642823043,-1,-1,-1
86,829,1622642824018,-1,-1,-1
87,820,1622642824993,-1,-1,-1
88,792,1622642825969,-1,-1,-1
89,913,1622642826943,-1,-1,-1
90,708,1622642826943,-1,-1,-1
91,818,1622642827917,-1,-1,-1
92,987,1622642828895,-1,-1,-1
93,1437,1622642830891,-1,-1,-1
94,829,1622642831866,-1,-1,-1
95,817,1622642832840,-1,-1,-1
96,1256,1622642833816,-1,-1,-1
97,1185,1622642834791,-1,-1,-1
98,796,1622642835769,-1,-1,-1
