,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,791,1624251890171,-1,-1,-1
1,535,1624251890171,-1,-1,-1
2,599,1624251891166,-1,-1,-1
3,431,1624251892152,-1,-1,-1
4,671,1624251894119,-1,-1,-1
5,495,1624251894119,-1,-1,-1
6,767,1624251895128,-1,-1,-1
7,655,1624251898144,-1,-1,-1
8,727,1624251898144,-1,-1,-1
9,655,1624251899113,-1,-1,-1
10,519,1624251900129,-1,-1,-1
11,631,1624251910123,-1,-1,-1
12,615,1624251911131,-1,-1,-1
13,687,1624251911131,-1,-1,-1
14,623,1624251912125,-1,-1,-1
15,759,1624251913137,-1,-1,-1
16,719,1624251916124,-1,-1,-1
17,447,1624251919143,-1,-1,-1
18,615,1624251922153,-1,-1,-1
19,767,1624251923148,-1,-1,-1
20,671,1624251924135,-1,-1,-1
21,703,1624251926141,-1,-1,-1
22,487,1624251928138,-1,-1,-1
23,743,1624251929150,-1,-1,-1
24,623,1624251929150,-1,-1,-1
25,671,1624251932119,-1,-1,-1
26,679,1624251933114,-1,-1,-1
27,631,1624251933114,-1,-1,-1
28,695,1624251935114,-1,-1,-1
29,711,1624251936128,-1,-1,-1
30,671,1624251940110,-1,-1,-1
31,639,1624251941119,-1,-1,-1
32,639,1624251941119,-1,-1,-1
33,791,1624251942134,-1,-1,-1
34,543,1624251945154,-1,-1,-1
35,711,1624251950124,-1,-1,-1
36,631,1624251950124,-1,-1,-1
37,903,1624251953115,-1,-1,-1
38,687,1624251954170,-1,-1,-1
39,791,1624251954170,-1,-1,-1
40,695,1624251959173,-1,-1,-1
41,607,1624251965129,-1,-1,-1
42,463,1624251965129,-1,-1,-1
43,679,1624251967108,-1,-1,-1
44,623,1624251967108,-1,-1,-1
45,743,1624251968121,-1,-1,-1
46,719,1624251969110,-1,-1,-1
47,639,1624251969110,-1,-1,-1
48,679,1624251972163,-1,-1,-1
49,759,1624251973139,-1,-1,-1
50,743,1624251974160,-1,-1,-1
51,879,1624251976105,-1,-1,-1
52,855,1624251983144,-1,-1,-1
53,759,1624251984128,-1,-1,-1
54,719,1624251984128,-1,-1,-1
55,679,1624251985112,-1,-1,-1
56,743,1624251986152,-1,-1,-1
57,695,1624251986152,-1,-1,-1
58,743,1624251989114,-1,-1,-1
59,711,1624251990126,-1,-1,-1
60,623,1624251992132,-1,-1,-1
61,631,1624251993124,-1,-1,-1
62,823,1624251994110,-1,-1,-1
63,719,1624251996114,-1,-1,-1
64,615,1624251996114,-1,-1,-1
65,791,1624251997123,-1,-1,-1
66,655,1624251998115,-1,-1,-1
67,743,1624251999147,-1,-1,-1
68,735,1624251999147,-1,-1,-1
69,647,1624252000116,-1,-1,-1
70,607,1624252003113,-1,-1,-1
71,719,1624252003113,-1,-1,-1
