,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,799,1623233412200,-1,-1,-1
1,687,1623233412200,-1,-1,-1
2,671,1623233412200,-1,-1,-1
3,655,1623233412200,-1,-1,-1
4,591,1623233412200,-1,-1,-1
5,655,1623233412200,-1,-1,-1
6,623,1623233412200,-1,-1,-1
7,583,1623233412200,-1,-1,-1
8,631,1623233412201,-1,-1,-1
9,663,1623233412698,-1,-1,-1
10,719,1623233412698,-1,-1,-1
11,583,1623233414701,-1,-1,-1
12,831,1623233416685,-1,-1,-1
13,695,1623233416685,-1,-1,-1
14,839,1623233418692,-1,-1,-1
15,559,1623233419690,-1,-1,-1
16,695,1623233424686,-1,-1,-1
17,743,1623233428689,-1,-1,-1
18,735,1623233432646,-1,-1,-1
19,719,1623233433646,-1,-1,-1
20,727,1623233434646,-1,-1,-1
21,727,1623233434646,-1,-1,-1
22,719,1623233435646,-1,-1,-1
23,703,1623233436646,-1,-1,-1
24,679,1623233436646,-1,-1,-1
25,687,1623233437646,-1,-1,-1
26,679,1623233438646,-1,-1,-1
27,711,1623233438646,-1,-1,-1
28,567,1623233441647,-1,-1,-1
29,583,1623233444647,-1,-1,-1
30,639,1623233445686,-1,-1,-1
31,839,1623233451647,-1,-1,-1
32,671,1623233456646,-1,-1,-1
33,687,1623233458692,-1,-1,-1
34,703,1623233459645,-1,-1,-1
35,759,1623233460645,-1,-1,-1
36,599,1623233460645,-1,-1,-1
37,983,1623233461645,-1,-1,-1
38,743,1623233462647,-1,-1,-1
39,687,1623233464646,-1,-1,-1
40,575,1623233466646,-1,-1,-1
41,807,1623233467646,-1,-1,-1
42,735,1623233468646,-1,-1,-1
43,671,1623233470653,-1,-1,-1
44,791,1623233471646,-1,-1,-1
45,719,1623233471646,-1,-1,-1
46,663,1623233474650,-1,-1,-1
47,727,1623233475653,-1,-1,-1
48,679,1623233476647,-1,-1,-1
49,727,1623233478646,-1,-1,-1
50,719,1623233479646,-1,-1,-1
51,711,1623233479646,-1,-1,-1
52,679,1623233480646,-1,-1,-1
53,719,1623233482646,-1,-1,-1
54,679,1623233483646,-1,-1,-1
55,679,1623233483646,-1,-1,-1
56,735,1623233486646,-1,-1,-1
57,711,1623233486646,-1,-1,-1
58,471,1623233487646,-1,-1,-1
59,887,1623233488650,-1,-1,-1
60,727,1623233488650,-1,-1,-1
61,615,1623233489646,-1,-1,-1
62,719,1623233490646,-1,-1,-1
63,631,1623233490646,-1,-1,-1
64,711,1623233491689,-1,-1,-1
65,671,1623233492646,-1,-1,-1
66,647,1623233492646,-1,-1,-1
67,759,1623233493646,-1,-1,-1
68,687,1623233494646,-1,-1,-1
69,751,1623233496650,-1,-1,-1
70,591,1623233497644,-1,-1,-1
71,735,1623233497644,-1,-1,-1
72,695,1623233498644,-1,-1,-1
73,647,1623233499650,-1,-1,-1
74,663,1623233499650,-1,-1,-1
75,663,1623233500644,-1,-1,-1
76,775,1623233501644,-1,-1,-1
77,743,1623233502644,-1,-1,-1
78,839,1623233502644,-1,-1,-1
79,839,1623233503645,-1,-1,-1
80,775,1623233504653,-1,-1,-1
81,767,1623233505644,-1,-1,-1
82,671,1623233505644,-1,-1,-1
83,687,1623233506644,-1,-1,-1
84,711,1623233507684,-1,-1,-1
85,671,1623233507684,-1,-1,-1
86,703,1623233508644,-1,-1,-1
87,623,1623233512655,-1,-1,-1
88,951,1623233513644,-1,-1,-1
89,727,1623233513644,-1,-1,-1
90,639,1623233515644,-1,-1,-1
91,495,1623233516644,-1,-1,-1
92,615,1623233518649,-1,-1,-1
93,615,1623233519644,-1,-1,-1
94,631,1623233519644,-1,-1,-1
95,615,1623233520650,-1,-1,-1
96,631,1623233520650,-1,-1,-1
97,639,1623233521644,-1,-1,-1
98,623,1623233522644,-1,-1,-1
99,679,1623233522644,-1,-1,-1
100,615,1623233525645,-1,-1,-1
101,775,1623233526644,-1,-1,-1
102,639,1623233527653,-1,-1,-1
103,623,1623233527653,-1,-1,-1
104,727,1623233528659,-1,-1,-1
105,639,1623233529644,-1,-1,-1
106,647,1623233529644,-1,-1,-1
107,607,1623233531646,-1,-1,-1
108,623,1623233532647,-1,-1,-1
109,695,1623233532647,-1,-1,-1
110,615,1623233533644,-1,-1,-1
111,511,1623233534650,-1,-1,-1
112,775,1623233534650,-1,-1,-1
113,687,1623233538644,-1,-1,-1
114,623,1623233540691,-1,-1,-1
115,663,1623233540691,-1,-1,-1
116,663,1623233541649,-1,-1,-1
117,607,1623233542644,-1,-1,-1
118,655,1623233542644,-1,-1,-1
119,663,1623233543644,-1,-1,-1
