,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,933,1627231212052,-1,-1,-1
1,672,1627231212052,-1,-1,-1
2,512,1627231212052,-1,-1,-1
3,644,1627231212052,-1,-1,-1
4,880,1627231213043,-1,-1,-1
5,946,1627231213043,-1,-1,-1
6,750,1627231214002,-1,-1,-1
7,444,1627231214002,-1,-1,-1
8,741,1627231214992,-1,-1,-1
9,504,1627231214992,-1,-1,-1
10,706,1627231215953,-1,-1,-1
11,813,1627231216943,-1,-1,-1
12,415,1627231216943,-1,-1,-1
13,643,1627231217934,-1,-1,-1
14,355,1627231217935,-1,-1,-1
15,602,1627231218895,-1,-1,-1
16,596,1627231219885,-1,-1,-1
17,626,1627231220846,-1,-1,-1
18,415,1627231220846,-1,-1,-1
19,361,1627231220846,-1,-1,-1
20,578,1627231221834,-1,-1,-1
21,564,1627231221834,-1,-1,-1
22,351,1627231222824,-1,-1,-1
23,329,1627231222824,-1,-1,-1
24,906,1627231223784,-1,-1,-1
25,1343,1627231224778,-1,-1,-1
26,898,1627231226722,-1,-1,-1
27,635,1627231226722,-1,-1,-1
28,399,1627231227713,-1,-1,-1
29,858,1627231227713,-1,-1,-1
30,833,1627231228673,-1,-1,-1
31,963,1627231230623,-1,-1,-1
32,1484,1627231231613,-1,-1,-1
33,500,1627231231613,-1,-1,-1
34,551,1627231232604,-1,-1,-1
35,645,1627231232604,-1,-1,-1
36,630,1627231233563,-1,-1,-1
37,417,1627231233563,-1,-1,-1
38,687,1627231234553,-1,-1,-1
39,840,1627231235513,-1,-1,-1
40,426,1627231235513,-1,-1,-1
41,305,1627231236505,-1,-1,-1
42,934,1627231237495,-1,-1,-1
43,628,1627231237495,-1,-1,-1
44,689,1627231238454,-1,-1,-1
45,806,1627231239445,-1,-1,-1
46,640,1627231239445,-1,-1,-1
47,837,1627231241393,-1,-1,-1
48,729,1627231241393,-1,-1,-1
49,711,1627231242385,-1,-1,-1
50,630,1627231242385,-1,-1,-1
51,1425,1627231244334,-1,-1,-1
52,833,1627231245322,-1,-1,-1
53,518,1627231246285,-1,-1,-1
54,1317,1627231247275,-1,-1,-1
55,636,1627231247275,-1,-1,-1
56,824,1627231248233,-1,-1,-1
57,919,1627231249223,-1,-1,-1
58,524,1627231250212,-1,-1,-1
59,595,1627231250212,-1,-1,-1
60,699,1627231251172,-1,-1,-1
61,713,1627231252166,-1,-1,-1
62,774,1627231252166,-1,-1,-1
63,870,1627231253122,-1,-1,-1
64,708,1627231254114,-1,-1,-1
65,675,1627231255103,-1,-1,-1
66,1313,1627231256064,-1,-1,-1
67,694,1627231257056,-1,-1,-1
68,779,1627231257056,-1,-1,-1
69,665,1627231259004,-1,-1,-1
70,1556,1627231259995,-1,-1,-1
71,594,1627231260957,-1,-1,-1
72,921,1627231260957,-1,-1,-1
73,500,1627231261944,-1,-1,-1
74,589,1627231261944,-1,-1,-1
75,774,1627231262934,-1,-1,-1
76,550,1627231263895,-1,-1,-1
77,913,1627231264884,-1,-1,-1
78,530,1627231264884,-1,-1,-1
79,644,1627231265846,-1,-1,-1
80,762,1627231266835,-1,-1,-1
81,691,1627231267824,-1,-1,-1
82,1280,1627231268785,-1,-1,-1
83,1014,1627231269775,-1,-1,-1
84,382,1627231269775,-1,-1,-1
85,346,1627231269775,-1,-1,-1
86,840,1627231270733,-1,-1,-1
87,819,1627231271726,-1,-1,-1
88,631,1627231272717,-1,-1,-1
89,737,1627231273674,-1,-1,-1
90,769,1627231273674,-1,-1,-1
91,885,1627231275663,-1,-1,-1
92,699,1627231275663,-1,-1,-1
93,853,1627231276615,-1,-1,-1
94,914,1627231277606,-1,-1,-1
95,726,1627231278566,-1,-1,-1
96,589,1627231278566,-1,-1,-1
97,621,1627231279557,-1,-1,-1
98,562,1627231279557,-1,-1,-1
99,940,1627231280544,-1,-1,-1
100,889,1627231281507,-1,-1,-1
101,1178,1627231283458,-1,-1,-1
102,762,1627231283458,-1,-1,-1
103,703,1627231284445,-1,-1,-1
104,596,1627231285435,-1,-1,-1
105,707,1627231285435,-1,-1,-1
106,689,1627231286396,-1,-1,-1
107,684,1627231287385,-1,-1,-1
108,770,1627231288374,-1,-1,-1
109,1074,1627231288374,-1,-1,-1
110,659,1627231289333,-1,-1,-1
111,649,1627231290327,-1,-1,-1
112,637,1627231291288,-1,-1,-1
113,699,1627231291288,-1,-1,-1
114,661,1627231292276,-1,-1,-1
115,716,1627231293265,-1,-1,-1
116,704,1627231293265,-1,-1,-1
117,392,1627231294224,-1,-1,-1
118,398,1627231294224,-1,-1,-1
119,418,1627231295213,-1,-1,-1
120,925,1627231296174,-1,-1,-1
121,677,1627231296174,-1,-1,-1
122,684,1627231297167,-1,-1,-1
123,738,1627231298153,-1,-1,-1
124,690,1627231298153,-1,-1,-1
125,670,1627231299113,-1,-1,-1
126,834,1627231300103,-1,-1,-1
127,586,1627231300103,-1,-1,-1
128,398,1627231301093,-1,-1,-1
129,409,1627231301093,-1,-1,-1
130,471,1627231302054,-1,-1,-1
131,701,1627231303045,-1,-1,-1
132,611,1627231303045,-1,-1,-1
133,390,1627231304005,-1,-1,-1
134,631,1627231304005,-1,-1,-1
135,805,1627231304998,-1,-1,-1
136,473,1627231304998,-1,-1,-1
137,686,1627231305985,-1,-1,-1
138,541,1627231306943,-1,-1,-1
139,1440,1627231307933,-1,-1,-1
140,1417,1627231309883,-1,-1,-1
141,574,1627231309883,-1,-1,-1
142,616,1627231310873,-1,-1,-1
143,1803,1627231312823,-1,-1,-1
144,486,1627231312823,-1,-1,-1
145,313,1627231312823,-1,-1,-1
146,570,1627231313814,-1,-1,-1
147,737,1627231314774,-1,-1,-1
148,1362,1627231315765,-1,-1,-1
149,655,1627231316754,-1,-1,-1
150,722,1627231317736,-1,-1,-1
151,676,1627231317736,-1,-1,-1
152,625,1627231318704,-1,-1,-1
153,676,1627231319664,-1,-1,-1
154,687,1627231319664,-1,-1,-1
155,711,1627231320661,-1,-1,-1
156,599,1627231321645,-1,-1,-1
157,674,1627231321645,-1,-1,-1
158,660,1627231322605,-1,-1,-1
159,755,1627231323593,-1,-1,-1
160,679,1627231324584,-1,-1,-1
161,728,1627231324584,-1,-1,-1
162,695,1627231325545,-1,-1,-1
163,775,1627231326537,-1,-1,-1
164,806,1627231327525,-1,-1,-1
165,739,1627231327525,-1,-1,-1
166,728,1627231328483,-1,-1,-1
167,694,1627231329477,-1,-1,-1
168,824,1627231330463,-1,-1,-1
169,486,1627231330463,-1,-1,-1
170,707,1627231331425,-1,-1,-1
171,305,1627231331425,-1,-1,-1
172,564,1627231332414,-1,-1,-1
173,534,1627231332414,-1,-1,-1
174,607,1627231333408,-1,-1,-1
175,864,1627231334364,-1,-1,-1
176,1848,1627231336314,-1,-1,-1
177,858,1627231337305,-1,-1,-1
178,760,1627231337305,-1,-1,-1
179,1020,1627231338293,-1,-1,-1
180,721,1627231339253,-1,-1,-1
181,1345,1627231341232,-1,-1,-1
182,637,1627231341232,-1,-1,-1
183,839,1627231342192,-1,-1,-1
184,574,1627231343183,-1,-1,-1
185,653,1627231343183,-1,-1,-1
186,1089,1627231345132,-1,-1,-1
