,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,799,1626184494005,-1,-1,-1
1,695,1626184494005,-1,-1,-1
2,743,1626184494604,-1,-1,-1
3,831,1626184494604,-1,-1,-1
4,751,1626184495503,-1,-1,-1
5,895,1626184498515,-1,-1,-1
6,903,1626184499516,-1,-1,-1
7,871,1626184500555,-1,-1,-1
8,895,1626184501514,-1,-1,-1
9,591,1626184506556,-1,-1,-1
10,663,1626184507516,-1,-1,-1
11,759,1626184507516,-1,-1,-1
12,1023,1626184508515,-1,-1,-1
13,959,1626184509556,-1,-1,-1
14,871,1626184510515,-1,-1,-1
15,903,1626184511516,-1,-1,-1
16,903,1626184512554,-1,-1,-1
17,959,1626184513515,-1,-1,-1
18,855,1626184514515,-1,-1,-1
19,903,1626184515554,-1,-1,-1
20,719,1626184515554,-1,-1,-1
21,927,1626184516556,-1,-1,-1
22,743,1626184517514,-1,-1,-1
23,719,1626184518554,-1,-1,-1
24,639,1626184518554,-1,-1,-1
25,751,1626184519516,-1,-1,-1
26,735,1626184525516,-1,-1,-1
27,727,1626184528514,-1,-1,-1
28,847,1626184528514,-1,-1,-1
29,879,1626184529515,-1,-1,-1
30,959,1626184530517,-1,-1,-1
31,863,1626184531513,-1,-1,-1
32,743,1626184532514,-1,-1,-1
33,799,1626184533553,-1,-1,-1
34,895,1626184533553,-1,-1,-1
35,719,1626184535516,-1,-1,-1
36,959,1626184537517,-1,-1,-1
37,847,1626184538514,-1,-1,-1
38,887,1626184539510,-1,-1,-1
39,943,1626184540514,-1,-1,-1
40,919,1626184541514,-1,-1,-1
41,743,1626184542515,-1,-1,-1
42,831,1626184543515,-1,-1,-1
43,863,1626184551513,-1,-1,-1
44,559,1626184552513,-1,-1,-1
45,663,1626184554516,-1,-1,-1
46,791,1626184555518,-1,-1,-1
47,671,1626184556517,-1,-1,-1
48,671,1626184556517,-1,-1,-1
49,703,1626184557520,-1,-1,-1
50,791,1626184559513,-1,-1,-1
51,551,1626184560519,-1,-1,-1
52,551,1626184560519,-1,-1,-1
53,823,1626184561512,-1,-1,-1
54,751,1626184564512,-1,-1,-1
55,807,1626184565513,-1,-1,-1
56,695,1626184567513,-1,-1,-1
57,623,1626184567513,-1,-1,-1
58,751,1626184571515,-1,-1,-1
59,791,1626184571515,-1,-1,-1
60,967,1626184572512,-1,-1,-1
61,655,1626184577515,-1,-1,-1
62,815,1626184578516,-1,-1,-1
63,783,1626184579514,-1,-1,-1
64,823,1626184583517,-1,-1,-1
65,783,1626184584520,-1,-1,-1
66,559,1626184584520,-1,-1,-1
67,767,1626184589515,-1,-1,-1
68,631,1626184590515,-1,-1,-1
69,671,1626184595515,-1,-1,-1
70,679,1626184595516,-1,-1,-1
71,711,1626184596516,-1,-1,-1
72,791,1626184597516,-1,-1,-1
73,767,1626184598515,-1,-1,-1
74,703,1626184598515,-1,-1,-1
75,679,1626184599559,-1,-1,-1
76,759,1626184600516,-1,-1,-1
77,695,1626184600516,-1,-1,-1
78,671,1626184601516,-1,-1,-1
79,695,1626184602516,-1,-1,-1
80,703,1626184602517,-1,-1,-1
81,695,1626184603513,-1,-1,-1
82,711,1626184604516,-1,-1,-1
83,751,1626184605518,-1,-1,-1
84,847,1626184605518,-1,-1,-1
85,799,1626184606512,-1,-1,-1
86,503,1626184608513,-1,-1,-1
87,799,1626184609510,-1,-1,-1
88,775,1626184609510,-1,-1,-1
89,751,1626184610516,-1,-1,-1
90,655,1626184611517,-1,-1,-1
91,719,1626184613516,-1,-1,-1
92,767,1626184614513,-1,-1,-1
93,919,1626184615555,-1,-1,-1
94,895,1626184616516,-1,-1,-1
95,551,1626184619513,-1,-1,-1
96,831,1626184621512,-1,-1,-1
97,871,1626184622512,-1,-1,-1
98,871,1626184623514,-1,-1,-1
99,879,1626184624512,-1,-1,-1
100,1000,1626184625513,-1,-1,-1
101,791,1626184626514,-1,-1,-1
102,679,1626184626514,-1,-1,-1
103,719,1626184629514,-1,-1,-1
104,759,1626184630515,-1,-1,-1
105,839,1626184630515,-1,-1,-1
106,887,1626184631516,-1,-1,-1
107,711,1626184634514,-1,-1,-1
108,799,1626184635514,-1,-1,-1
109,847,1626184638510,-1,-1,-1
110,911,1626184639509,-1,-1,-1
111,791,1626184640509,-1,-1,-1
112,935,1626184640509,-1,-1,-1
113,799,1626184647510,-1,-1,-1
114,799,1626184649511,-1,-1,-1
115,783,1626184650511,-1,-1,-1
116,871,1626184651512,-1,-1,-1
117,655,1626184652515,-1,-1,-1
118,847,1626184652515,-1,-1,-1
119,607,1626184655508,-1,-1,-1
120,759,1626184661513,-1,-1,-1
121,783,1626184662514,-1,-1,-1
122,927,1626184665549,-1,-1,-1
123,559,1626184666510,-1,-1,-1
124,767,1626184668509,-1,-1,-1
125,1031,1626184669515,-1,-1,-1
126,1135,1626184670512,-1,-1,-1
127,815,1626184671511,-1,-1,-1
128,879,1626184672512,-1,-1,-1
129,847,1626184672512,-1,-1,-1
130,799,1626184673511,-1,-1,-1
131,767,1626184677511,-1,-1,-1
132,839,1626184679512,-1,-1,-1
133,807,1626184680512,-1,-1,-1
134,759,1626184681553,-1,-1,-1
135,783,1626184686512,-1,-1,-1
136,799,1626184687508,-1,-1,-1
137,815,1626184691511,-1,-1,-1
138,799,1626184692512,-1,-1,-1
139,783,1626184692512,-1,-1,-1
140,767,1626184693515,-1,-1,-1
141,751,1626184694513,-1,-1,-1
142,911,1626184697509,-1,-1,-1
143,847,1626184703513,-1,-1,-1
144,799,1626184704511,-1,-1,-1
145,1063,1626184705512,-1,-1,-1
146,671,1626184706509,-1,-1,-1
147,695,1626184707507,-1,-1,-1
148,1000,1626184708506,-1,-1,-1
149,831,1626184717509,-1,-1,-1
150,735,1626184718509,-1,-1,-1
151,719,1626184718509,-1,-1,-1
152,1079,1626184719509,-1,-1,-1
153,559,1626184720509,-1,-1,-1
154,751,1626184721508,-1,-1,-1
155,871,1626184722509,-1,-1,-1
156,847,1626184722509,-1,-1,-1
157,727,1626184723507,-1,-1,-1
158,879,1626184724507,-1,-1,-1
159,695,1626184725507,-1,-1,-1
160,535,1626184727509,-1,-1,-1
161,927,1626184728508,-1,-1,-1
162,967,1626184729508,-1,-1,-1
163,799,1626184730509,-1,-1,-1
164,703,1626184730509,-1,-1,-1
165,927,1626184731550,-1,-1,-1
166,815,1626184732509,-1,-1,-1
167,951,1626184733510,-1,-1,-1
168,767,1626184734507,-1,-1,-1
169,847,1626184735509,-1,-1,-1
170,903,1626184736508,-1,-1,-1
171,639,1626184736508,-1,-1,-1
172,1119,1626184737508,-1,-1,-1
173,863,1626184738508,-1,-1,-1
174,911,1626184739503,-1,-1,-1
175,879,1626184742511,-1,-1,-1
176,975,1626184744509,-1,-1,-1
177,751,1626184750504,-1,-1,-1
178,927,1626184750504,-1,-1,-1
179,815,1626184751506,-1,-1,-1
180,631,1626184752506,-1,-1,-1
181,1095,1626184753507,-1,-1,-1
182,719,1626184759507,-1,-1,-1
183,831,1626184760507,-1,-1,-1
184,647,1626184760507,-1,-1,-1
185,967,1626184761505,-1,-1,-1
186,751,1626184764544,-1,-1,-1
187,791,1626184765501,-1,-1,-1
188,551,1626184766502,-1,-1,-1
189,1000,1626184767504,-1,-1,-1
190,775,1626184768504,-1,-1,-1
191,607,1626184768504,-1,-1,-1
192,751,1626184771504,-1,-1,-1
193,695,1626184772505,-1,-1,-1
194,647,1626184773504,-1,-1,-1
195,823,1626184773504,-1,-1,-1
