,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,754,1623253857906,-1,-1,-1
1,708,1623253857907,-1,-1,-1
2,693,1623253857907,-1,-1,-1
3,670,1623253857907,-1,-1,-1
4,693,1623253858884,-1,-1,-1
5,648,1623253862899,-1,-1,-1
6,632,1623253874912,-1,-1,-1
7,625,1623253874913,-1,-1,-1
8,625,1623253874913,-1,-1,-1
9,632,1623253874913,-1,-1,-1
10,678,1623253877926,-1,-1,-1
11,754,1623253878911,-1,-1,-1
12,708,1623253881924,-1,-1,-1
13,701,1623253936958,-1,-1,-1
14,655,1623253936958,-1,-1,-1
15,686,1623253936958,-1,-1,-1
16,648,1623253936958,-1,-1,-1
17,663,1623253937947,-1,-1,-1
18,663,1623253938939,-1,-1,-1
19,648,1623253938939,-1,-1,-1
20,655,1623253939973,-1,-1,-1
21,625,1623253942946,-1,-1,-1
22,594,1623253943978,-1,-1,-1
23,632,1623253945958,-1,-1,-1
24,670,1623253946954,-1,-1,-1
25,648,1623253948977,-1,-1,-1
26,686,1623254036049,-1,-1,-1
27,648,1623254036049,-1,-1,-1
28,556,1623254036049,-1,-1,-1
29,770,1623254036049,-1,-1,-1
30,716,1623254040052,-1,-1,-1
31,701,1623254046038,-1,-1,-1
32,708,1623254046038,-1,-1,-1
33,701,1623254047080,-1,-1,-1
34,747,1623254048072,-1,-1,-1
35,655,1623254075069,-1,-1,-1
36,708,1623254075070,-1,-1,-1
37,678,1623254075070,-1,-1,-1
38,640,1623254075072,-1,-1,-1
39,602,1623254076098,-1,-1,-1
40,579,1623254077089,-1,-1,-1
41,533,1623254081097,-1,-1,-1
42,488,1623254082088,-1,-1,-1
43,846,1623254083080,-1,-1,-1
44,831,1623254084106,-1,-1,-1
45,777,1623254085104,-1,-1,-1
46,724,1623254091091,-1,-1,-1
47,655,1623254092123,-1,-1,-1
48,670,1623254092123,-1,-1,-1
49,663,1623254093112,-1,-1,-1
50,708,1623254113138,-1,-1,-1
51,686,1623254113138,-1,-1,-1
52,663,1623254113138,-1,-1,-1
53,632,1623254113138,-1,-1,-1
54,610,1623254113138,-1,-1,-1
55,594,1623254114123,-1,-1,-1
56,594,1623254115116,-1,-1,-1
57,564,1623254115116,-1,-1,-1
58,548,1623254117138,-1,-1,-1
59,533,1623254117138,-1,-1,-1
60,548,1623254118133,-1,-1,-1
61,541,1623254118133,-1,-1,-1
62,564,1623254119124,-1,-1,-1
63,617,1623254120159,-1,-1,-1
64,686,1623254120160,-1,-1,-1
65,732,1623254121149,-1,-1,-1
66,785,1623254122132,-1,-1,-1
67,808,1623254123128,-1,-1,-1
68,808,1623254124157,-1,-1,-1
69,754,1623254124157,-1,-1,-1
70,762,1623254125147,-1,-1,-1
71,739,1623254126144,-1,-1,-1
72,739,1623254127127,-1,-1,-1
73,686,1623254127127,-1,-1,-1
74,670,1623254128168,-1,-1,-1
75,670,1623254129159,-1,-1,-1
76,663,1623254129159,-1,-1,-1
77,648,1623254130146,-1,-1,-1
78,670,1623254131139,-1,-1,-1
79,670,1623254131139,-1,-1,-1
80,648,1623254132167,-1,-1,-1
81,670,1623254133162,-1,-1,-1
82,670,1623254133163,-1,-1,-1
83,678,1623254134150,-1,-1,-1
84,655,1623254136171,-1,-1,-1
85,625,1623254137162,-1,-1,-1
86,625,1623254138158,-1,-1,-1
87,602,1623254138158,-1,-1,-1
88,610,1623254139148,-1,-1,-1
89,602,1623254139148,-1,-1,-1
90,610,1623254140183,-1,-1,-1
91,617,1623254141171,-1,-1,-1
92,632,1623254141171,-1,-1,-1
93,640,1623254142158,-1,-1,-1
94,693,1623254145177,-1,-1,-1
95,670,1623254146162,-1,-1,-1
96,663,1623254147152,-1,-1,-1
97,625,1623254149183,-1,-1,-1
98,724,1623254236259,-1,-1,-1
99,670,1623254236259,-1,-1,-1
100,625,1623254236259,-1,-1,-1
101,640,1623254236259,-1,-1,-1
102,610,1623254382410,-1,-1,-1
103,632,1623254382410,-1,-1,-1
104,610,1623254382410,-1,-1,-1
105,655,1623254382410,-1,-1,-1
106,678,1623254382410,-1,-1,-1
107,777,1623254383403,-1,-1,-1
108,770,1623254384389,-1,-1,-1
109,632,1623254385424,-1,-1,-1
110,701,1623254412424,-1,-1,-1
111,800,1623254412424,-1,-1,-1
112,625,1623254412424,-1,-1,-1
113,586,1623254412424,-1,-1,-1
114,732,1623254470474,-1,-1,-1
115,686,1623254470474,-1,-1,-1
116,655,1623254470474,-1,-1,-1
117,625,1623254470474,-1,-1,-1
118,610,1623254470475,-1,-1,-1
119,632,1623254472453,-1,-1,-1
120,625,1623254473444,-1,-1,-1
121,648,1623254473444,-1,-1,-1
122,640,1623254474478,-1,-1,-1
123,632,1623254475468,-1,-1,-1
124,602,1623254476460,-1,-1,-1
125,556,1623254479473,-1,-1,-1
126,747,1623254480463,-1,-1,-1
127,724,1623254481455,-1,-1,-1
128,648,1623254483479,-1,-1,-1
129,610,1623254485461,-1,-1,-1
130,564,1623254495494,-1,-1,-1
131,625,1623254495494,-1,-1,-1
132,632,1623254495494,-1,-1,-1
133,610,1623254495494,-1,-1,-1
134,617,1623254496483,-1,-1,-1
135,617,1623254497473,-1,-1,-1
136,610,1623254497473,-1,-1,-1
137,579,1623254499499,-1,-1,-1
138,625,1623254508500,-1,-1,-1
139,632,1623254508500,-1,-1,-1
140,663,1623254508500,-1,-1,-1
141,716,1623254508500,-1,-1,-1
142,747,1623254509488,-1,-1,-1
143,854,1623254510479,-1,-1,-1
144,716,1623254511513,-1,-1,-1
145,663,1623254512504,-1,-1,-1
146,648,1623254512504,-1,-1,-1
147,640,1623254513493,-1,-1,-1
148,632,1623254513493,-1,-1,-1
149,648,1623254514486,-1,-1,-1
150,663,1623254515474,-1,-1,-1
151,655,1623254515474,-1,-1,-1
152,655,1623254516508,-1,-1,-1
153,632,1623254517498,-1,-1,-1
154,640,1623254517498,-1,-1,-1
155,602,1623254519483,-1,-1,-1
156,655,1623254519483,-1,-1,-1
157,648,1623254520513,-1,-1,-1
158,632,1623254521502,-1,-1,-1
159,625,1623254521502,-1,-1,-1
160,610,1623254522494,-1,-1,-1
161,602,1623254523483,-1,-1,-1
162,586,1623254523483,-1,-1,-1
163,579,1623254524474,-1,-1,-1
164,548,1623254525508,-1,-1,-1
165,564,1623254526497,-1,-1,-1
166,571,1623254526498,-1,-1,-1
167,571,1623254527487,-1,-1,-1
168,594,1623254527487,-1,-1,-1
169,625,1623254528477,-1,-1,-1
170,655,1623254529513,-1,-1,-1
171,579,1623254547513,-1,-1,-1
172,754,1623254547513,-1,-1,-1
173,732,1623254547513,-1,-1,-1
174,655,1623254547513,-1,-1,-1
175,625,1623254547513,-1,-1,-1
176,617,1623254548502,-1,-1,-1
177,610,1623254548502,-1,-1,-1
178,640,1623254570507,-1,-1,-1
179,586,1623254570507,-1,-1,-1
180,762,1623254570507,-1,-1,-1
181,739,1623254570507,-1,-1,-1
182,686,1623254575510,-1,-1,-1
183,579,1623254577482,-1,-1,-1
184,502,1623254600477,-1,-1,-1
185,625,1623254600477,-1,-1,-1
186,586,1623254600477,-1,-1,-1
187,617,1623254600477,-1,-1,-1
188,648,1623254666536,-1,-1,-1
189,640,1623254666536,-1,-1,-1
190,632,1623254666536,-1,-1,-1
191,617,1623254666536,-1,-1,-1
192,594,1623254667571,-1,-1,-1
193,655,1623254667572,-1,-1,-1
194,678,1623254718606,-1,-1,-1
195,655,1623254718606,-1,-1,-1
196,632,1623254718607,-1,-1,-1
197,632,1623254718607,-1,-1,-1
198,625,1623254718607,-1,-1,-1
199,625,1623254719591,-1,-1,-1
200,640,1623254720582,-1,-1,-1
201,640,1623254722651,-1,-1,-1
202,655,1623254722651,-1,-1,-1
203,670,1623254723598,-1,-1,-1
204,670,1623254724635,-1,-1,-1
205,586,1623254736603,-1,-1,-1
206,533,1623254736603,-1,-1,-1
207,777,1623254736603,-1,-1,-1
208,876,1623254736603,-1,-1,-1
209,724,1623254755637,-1,-1,-1
210,610,1623254755637,-1,-1,-1
211,625,1623254756627,-1,-1,-1
212,602,1623254756627,-1,-1,-1
213,625,1623254757618,-1,-1,-1
214,655,1623254758651,-1,-1,-1
215,732,1623254758651,-1,-1,-1
216,747,1623254759652,-1,-1,-1
217,762,1623254760632,-1,-1,-1
218,785,1623254761622,-1,-1,-1
219,777,1623254762612,-1,-1,-1
220,815,1623254762612,-1,-1,-1
221,831,1623254763646,-1,-1,-1
222,838,1623254764636,-1,-1,-1
223,815,1623254765626,-1,-1,-1
224,770,1623254766624,-1,-1,-1
225,701,1623254775661,-1,-1,-1
226,708,1623254775661,-1,-1,-1
227,732,1623254775662,-1,-1,-1
228,747,1623254775662,-1,-1,-1
229,739,1623254776650,-1,-1,-1
230,716,1623254776650,-1,-1,-1
231,716,1623254777644,-1,-1,-1
232,708,1623254778632,-1,-1,-1
233,670,1623254779667,-1,-1,-1
234,708,1623254780656,-1,-1,-1
235,693,1623254781653,-1,-1,-1
236,701,1623254781653,-1,-1,-1
237,701,1623254782644,-1,-1,-1
238,693,1623254783676,-1,-1,-1
