,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,647,1624603564860,-1,-1,-1
1,639,1624603564860,-1,-1,-1
2,551,1624603564860,-1,-1,-1
3,383,1624603564860,-1,-1,-1
4,567,1624603564860,-1,-1,-1
5,575,1624603564860,-1,-1,-1
6,559,1624603564860,-1,-1,-1
7,527,1624603564860,-1,-1,-1
8,527,1624603564860,-1,-1,-1
9,567,1624603565358,-1,-1,-1
10,615,1624603565358,-1,-1,-1
11,759,1624603565358,-1,-1,-1
12,711,1624603565358,-1,-1,-1
13,663,1624603566860,-1,-1,-1
14,575,1624603570860,-1,-1,-1
15,543,1624603573836,-1,-1,-1
16,551,1624603573836,-1,-1,-1
17,543,1624603574828,-1,-1,-1
18,591,1624603575819,-1,-1,-1
19,567,1624603575819,-1,-1,-1
20,575,1624603576830,-1,-1,-1
21,607,1624603576830,-1,-1,-1
22,615,1624603577822,-1,-1,-1
23,639,1624603578826,-1,-1,-1
24,639,1624603578826,-1,-1,-1
25,615,1624603579823,-1,-1,-1
26,599,1624603579824,-1,-1,-1
27,623,1624603580859,-1,-1,-1
28,639,1624603581825,-1,-1,-1
29,631,1624603583826,-1,-1,-1
30,583,1624603583826,-1,-1,-1
31,663,1624603584813,-1,-1,-1
32,551,1624603584813,-1,-1,-1
33,567,1624603585828,-1,-1,-1
34,463,1624603590821,-1,-1,-1
35,799,1624603591839,-1,-1,-1
36,735,1624603596848,-1,-1,-1
37,727,1624603597861,-1,-1,-1
38,607,1624603600808,-1,-1,-1
39,535,1624603600808,-1,-1,-1
40,599,1624603604835,-1,-1,-1
41,599,1624603605832,-1,-1,-1
42,583,1624603606815,-1,-1,-1
43,559,1624603606815,-1,-1,-1
44,375,1624603607855,-1,-1,-1
45,591,1624603609814,-1,-1,-1
46,535,1624603610823,-1,-1,-1
47,591,1624603610823,-1,-1,-1
48,543,1624603621830,-1,-1,-1
49,527,1624603622814,-1,-1,-1
50,543,1624603623831,-1,-1,-1
51,535,1624603623832,-1,-1,-1
52,815,1624603626818,-1,-1,-1
53,423,1624603627809,-1,-1,-1
54,495,1624603627809,-1,-1,-1
55,495,1624603629816,-1,-1,-1
56,599,1624603629816,-1,-1,-1
57,559,1624603630826,-1,-1,-1
58,439,1624603632826,-1,-1,-1
59,527,1624603635824,-1,-1,-1
60,463,1624603635825,-1,-1,-1
61,567,1624603638817,-1,-1,-1
62,559,1624603640814,-1,-1,-1
63,479,1624603641831,-1,-1,-1
64,535,1624603641831,-1,-1,-1
65,567,1624603642838,-1,-1,-1
66,583,1624603642838,-1,-1,-1
67,455,1624603643813,-1,-1,-1
68,503,1624603651824,-1,-1,-1
69,479,1624603652814,-1,-1,-1
70,655,1624603653825,-1,-1,-1
71,535,1624603653825,-1,-1,-1
72,559,1624603654817,-1,-1,-1
73,391,1624603655827,-1,-1,-1
74,607,1624603657827,-1,-1,-1
75,647,1624603658820,-1,-1,-1
76,527,1624603659834,-1,-1,-1
77,623,1624603662818,-1,-1,-1
78,623,1624603668826,-1,-1,-1
79,575,1624603670806,-1,-1,-1
80,575,1624603670806,-1,-1,-1
81,623,1624603672811,-1,-1,-1
82,511,1624603672811,-1,-1,-1
83,591,1624603673828,-1,-1,-1
84,639,1624603674811,-1,-1,-1
85,375,1624603674811,-1,-1,-1
86,439,1624603674811,-1,-1,-1
87,679,1624603676813,-1,-1,-1
88,519,1624603677803,-1,-1,-1
89,607,1624603681838,-1,-1,-1
90,647,1624603682827,-1,-1,-1
91,703,1624603683818,-1,-1,-1
92,735,1624603683818,-1,-1,-1
93,479,1624603687817,-1,-1,-1
94,751,1624603688828,-1,-1,-1
95,559,1624603691821,-1,-1,-1
96,623,1624603691821,-1,-1,-1
97,655,1624603692810,-1,-1,-1
98,703,1624603694822,-1,-1,-1
99,623,1624603695803,-1,-1,-1
100,591,1624603695803,-1,-1,-1
101,599,1624603696846,-1,-1,-1
102,599,1624603696846,-1,-1,-1
103,615,1624603697806,-1,-1,-1
104,695,1624603698820,-1,-1,-1
105,719,1624603700825,-1,-1,-1
106,679,1624603701812,-1,-1,-1
107,783,1624603701812,-1,-1,-1
108,695,1624603702853,-1,-1,-1
109,727,1624603703819,-1,-1,-1
110,647,1624603705846,-1,-1,-1
111,591,1624603706807,-1,-1,-1
112,647,1624603707824,-1,-1,-1
113,823,1624603710813,-1,-1,-1
114,743,1624603714823,-1,-1,-1
115,599,1624603716825,-1,-1,-1
116,879,1624603718828,-1,-1,-1
117,567,1624603718828,-1,-1,-1
118,695,1624603719810,-1,-1,-1
119,511,1624603720826,-1,-1,-1
120,895,1624603721823,-1,-1,-1
121,839,1624603723815,-1,-1,-1
122,583,1624603723815,-1,-1,-1
123,631,1624603725824,-1,-1,-1
124,615,1624603726813,-1,-1,-1
125,623,1624603728810,-1,-1,-1
126,671,1624603728810,-1,-1,-1
127,647,1624603729809,-1,-1,-1
128,663,1624603730818,-1,-1,-1
129,687,1624603730818,-1,-1,-1
130,663,1624603731810,-1,-1,-1
131,679,1624603732822,-1,-1,-1
132,679,1624603732822,-1,-1,-1
133,631,1624603733812,-1,-1,-1
134,679,1624603734817,-1,-1,-1
135,599,1624603734817,-1,-1,-1
136,647,1624603735815,-1,-1,-1
137,639,1624603736804,-1,-1,-1
138,567,1624603737818,-1,-1,-1
139,695,1624603738808,-1,-1,-1
140,559,1624603739815,-1,-1,-1
141,711,1624603739815,-1,-1,-1
142,551,1624603740809,-1,-1,-1
143,639,1624603741820,-1,-1,-1
144,663,1624603741820,-1,-1,-1
145,607,1624603742813,-1,-1,-1
146,551,1624603742813,-1,-1,-1
147,551,1624603743818,-1,-1,-1
148,415,1624603743818,-1,-1,-1
149,575,1624603744813,-1,-1,-1
150,655,1624603745873,-1,-1,-1
151,551,1624603747800,-1,-1,-1
152,543,1624603748819,-1,-1,-1
153,615,1624603748819,-1,-1,-1
154,575,1624603749809,-1,-1,-1
155,639,1624603749810,-1,-1,-1
156,647,1624603750822,-1,-1,-1
157,583,1624603751810,-1,-1,-1
158,663,1624603751810,-1,-1,-1
159,735,1624603752818,-1,-1,-1
160,743,1624603753808,-1,-1,-1
161,703,1624603754799,-1,-1,-1
162,703,1624603754799,-1,-1,-1
163,711,1624603755817,-1,-1,-1
164,727,1624603756802,-1,-1,-1
165,703,1624603756802,-1,-1,-1
166,647,1624603757814,-1,-1,-1
167,679,1624603758802,-1,-1,-1
168,575,1624603758802,-1,-1,-1
169,751,1624603759817,-1,-1,-1
170,655,1624603760815,-1,-1,-1
171,567,1624603764810,-1,-1,-1
172,623,1624603767804,-1,-1,-1
173,639,1624603767805,-1,-1,-1
174,687,1624603768816,-1,-1,-1
175,647,1624603768816,-1,-1,-1
176,631,1624603769806,-1,-1,-1
177,599,1624603770823,-1,-1,-1
178,695,1624603770823,-1,-1,-1
179,551,1624603771813,-1,-1,-1
180,591,1624603772797,-1,-1,-1
181,567,1624603772797,-1,-1,-1
182,623,1624603773813,-1,-1,-1
183,495,1624603773813,-1,-1,-1
184,607,1624603774808,-1,-1,-1
185,527,1624603774808,-1,-1,-1
186,687,1624603775822,-1,-1,-1
187,655,1624603776807,-1,-1,-1
188,743,1624603776807,-1,-1,-1
189,735,1624603777846,-1,-1,-1
190,743,1624603780815,-1,-1,-1
191,743,1624603780815,-1,-1,-1
192,639,1624603781808,-1,-1,-1
193,679,1624603782817,-1,-1,-1
194,647,1624603782818,-1,-1,-1
195,607,1624603783800,-1,-1,-1
196,623,1624603783800,-1,-1,-1
197,623,1624603784813,-1,-1,-1
198,591,1624603785802,-1,-1,-1
199,671,1624603785802,-1,-1,-1
200,591,1624603786842,-1,-1,-1
201,551,1624603787807,-1,-1,-1
202,607,1624603788818,-1,-1,-1
203,607,1624603789816,-1,-1,-1
204,543,1624603789816,-1,-1,-1
205,623,1624603790805,-1,-1,-1
206,623,1624603791817,-1,-1,-1
207,679,1624603791817,-1,-1,-1
208,639,1624603792806,-1,-1,-1
209,583,1624603793818,-1,-1,-1
210,615,1624603793818,-1,-1,-1
211,543,1624603794810,-1,-1,-1
212,591,1624603794810,-1,-1,-1
213,639,1624603795824,-1,-1,-1
214,639,1624603796817,-1,-1,-1
215,703,1624603796817,-1,-1,-1
216,719,1624603797846,-1,-1,-1
217,735,1624603798807,-1,-1,-1
218,671,1624603798807,-1,-1,-1
219,695,1624603799806,-1,-1,-1
220,719,1624603801806,-1,-1,-1
221,631,1624603806804,-1,-1,-1
222,607,1624603807810,-1,-1,-1
223,703,1624603807810,-1,-1,-1
224,695,1624603808803,-1,-1,-1
225,567,1624603809840,-1,-1,-1
226,591,1624603809840,-1,-1,-1
227,607,1624603810803,-1,-1,-1
228,575,1624603810803,-1,-1,-1
229,599,1624603811836,-1,-1,-1
230,463,1624603811836,-1,-1,-1
231,607,1624603813792,-1,-1,-1
232,591,1624603813792,-1,-1,-1
233,639,1624603814812,-1,-1,-1
234,567,1624603815799,-1,-1,-1
235,671,1624603815799,-1,-1,-1
236,655,1624603816816,-1,-1,-1
237,591,1624603817808,-1,-1,-1
238,743,1624603819802,-1,-1,-1
239,615,1624603822800,-1,-1,-1
240,583,1624603822800,-1,-1,-1
241,583,1624603823811,-1,-1,-1
242,575,1624603823812,-1,-1,-1
243,647,1624603824800,-1,-1,-1
244,607,1624603825813,-1,-1,-1
245,655,1624603825814,-1,-1,-1
246,647,1624603827818,-1,-1,-1
247,639,1624603828806,-1,-1,-1
248,775,1624603829813,-1,-1,-1
249,631,1624603829813,-1,-1,-1
250,711,1624603830802,-1,-1,-1
251,647,1624603831800,-1,-1,-1
252,591,1624603831800,-1,-1,-1
253,663,1624603832810,-1,-1,-1
254,695,1624603833795,-1,-1,-1
255,623,1624603833795,-1,-1,-1
256,655,1624603834807,-1,-1,-1
257,639,1624603835798,-1,-1,-1
258,615,1624603840798,-1,-1,-1
259,655,1624603841827,-1,-1,-1
260,551,1624603841827,-1,-1,-1
261,799,1624603843811,-1,-1,-1
262,767,1624603844801,-1,-1,-1
263,823,1624603845815,-1,-1,-1
264,799,1624603845815,-1,-1,-1
265,751,1624603846825,-1,-1,-1
266,703,1624603847819,-1,-1,-1
267,647,1624603847819,-1,-1,-1
268,687,1624603850812,-1,-1,-1
269,687,1624603850812,-1,-1,-1
270,615,1624603855806,-1,-1,-1
271,687,1624603856818,-1,-1,-1
272,599,1624603857804,-1,-1,-1
273,663,1624603857804,-1,-1,-1
274,575,1624603860804,-1,-1,-1
275,679,1624603863810,-1,-1,-1
276,663,1624603865820,-1,-1,-1
277,535,1624603866805,-1,-1,-1
278,743,1624603866805,-1,-1,-1
279,639,1624603867799,-1,-1,-1
280,775,1624603869801,-1,-1,-1
281,759,1624603870814,-1,-1,-1
282,751,1624603871803,-1,-1,-1
283,631,1624603872819,-1,-1,-1
284,663,1624603872819,-1,-1,-1
285,711,1624603873823,-1,-1,-1
286,663,1624603874820,-1,-1,-1
287,719,1624603877804,-1,-1,-1
288,599,1624603878825,-1,-1,-1
289,703,1624603878825,-1,-1,-1
290,615,1624603879815,-1,-1,-1
291,671,1624603880806,-1,-1,-1
292,671,1624603880806,-1,-1,-1
293,711,1624603881793,-1,-1,-1
294,743,1624603882802,-1,-1,-1
295,839,1624603883794,-1,-1,-1
296,807,1624603883794,-1,-1,-1
297,639,1624603885792,-1,-1,-1
298,687,1624603886813,-1,-1,-1
299,647,1624603887799,-1,-1,-1
300,639,1624603887799,-1,-1,-1
301,703,1624603888808,-1,-1,-1
302,599,1624603889799,-1,-1,-1
303,607,1624603891806,-1,-1,-1
304,519,1624603891806,-1,-1,-1
305,655,1624603892796,-1,-1,-1
306,687,1624603892796,-1,-1,-1
307,631,1624603893809,-1,-1,-1
308,807,1624603894799,-1,-1,-1
309,663,1624603895805,-1,-1,-1
310,711,1624603895805,-1,-1,-1
311,655,1624603896800,-1,-1,-1
312,655,1624603897815,-1,-1,-1
313,607,1624603897815,-1,-1,-1
314,727,1624603898805,-1,-1,-1
315,599,1624603898805,-1,-1,-1
316,567,1624603899787,-1,-1,-1
317,631,1624603900803,-1,-1,-1
318,599,1624603901820,-1,-1,-1
319,631,1624603902809,-1,-1,-1
320,671,1624603903801,-1,-1,-1
321,631,1624603903801,-1,-1,-1
322,663,1624603904806,-1,-1,-1
323,599,1624603905802,-1,-1,-1
324,751,1624603907805,-1,-1,-1
325,735,1624603909807,-1,-1,-1
326,815,1624603910797,-1,-1,-1
327,623,1624603914802,-1,-1,-1
328,615,1624603917793,-1,-1,-1
329,703,1624603918805,-1,-1,-1
330,631,1624603918805,-1,-1,-1
331,655,1624603919796,-1,-1,-1
332,647,1624603919796,-1,-1,-1
333,519,1624603921801,-1,-1,-1
334,735,1624603922813,-1,-1,-1
335,583,1624603923803,-1,-1,-1
336,767,1624603926795,-1,-1,-1
337,727,1624603927829,-1,-1,-1
338,687,1624603927829,-1,-1,-1
339,599,1624603928819,-1,-1,-1
340,639,1624603929810,-1,-1,-1
341,623,1624603929810,-1,-1,-1
342,607,1624603931814,-1,-1,-1
343,567,1624603934797,-1,-1,-1
344,527,1624603936799,-1,-1,-1
345,527,1624603937798,-1,-1,-1
346,703,1624603937798,-1,-1,-1
347,567,1624603938809,-1,-1,-1
348,719,1624603939792,-1,-1,-1
349,783,1624603941796,-1,-1,-1
350,655,1624603942814,-1,-1,-1
351,831,1624603943803,-1,-1,-1
352,791,1624603943803,-1,-1,-1
353,719,1624603944814,-1,-1,-1
354,551,1624603945801,-1,-1,-1
355,871,1624603945801,-1,-1,-1
356,631,1624603946792,-1,-1,-1
357,703,1624603947809,-1,-1,-1
358,703,1624603947809,-1,-1,-1
359,695,1624603948793,-1,-1,-1
360,615,1624603949782,-1,-1,-1
361,679,1624603949783,-1,-1,-1
362,671,1624603950797,-1,-1,-1
363,559,1624603951789,-1,-1,-1
364,727,1624603951789,-1,-1,-1
365,655,1624603952805,-1,-1,-1
366,591,1624603953809,-1,-1,-1
367,599,1624603956809,-1,-1,-1
368,623,1624603958789,-1,-1,-1
369,551,1624603959795,-1,-1,-1
370,615,1624603959795,-1,-1,-1
371,719,1624603960789,-1,-1,-1
372,687,1624603961807,-1,-1,-1
373,751,1624603962794,-1,-1,-1
374,743,1624603962794,-1,-1,-1
375,783,1624603963804,-1,-1,-1
376,727,1624603964797,-1,-1,-1
377,783,1624603965812,-1,-1,-1
378,495,1624603965812,-1,-1,-1
379,695,1624603967812,-1,-1,-1
380,439,1624603967812,-1,-1,-1
381,639,1624603969793,-1,-1,-1
382,703,1624603969793,-1,-1,-1
383,639,1624603970805,-1,-1,-1
384,679,1624603971794,-1,-1,-1
385,767,1624603972805,-1,-1,-1
386,623,1624603972805,-1,-1,-1
387,575,1624603973797,-1,-1,-1
388,639,1624603973797,-1,-1,-1
389,847,1624603974809,-1,-1,-1
390,543,1624603975798,-1,-1,-1
391,599,1624603975798,-1,-1,-1
392,623,1624603976792,-1,-1,-1
393,575,1624603977823,-1,-1,-1
394,687,1624603977823,-1,-1,-1
395,575,1624603978813,-1,-1,-1
396,583,1624603978813,-1,-1,-1
397,599,1624603979799,-1,-1,-1
398,615,1624603980789,-1,-1,-1
399,471,1624603980789,-1,-1,-1
400,591,1624603981806,-1,-1,-1
401,703,1624603982796,-1,-1,-1
402,711,1624603983808,-1,-1,-1
403,615,1624603984799,-1,-1,-1
404,663,1624603987814,-1,-1,-1
405,503,1624603987814,-1,-1,-1
406,615,1624603988804,-1,-1,-1
407,599,1624603990806,-1,-1,-1
408,607,1624603990806,-1,-1,-1
409,431,1624603993792,-1,-1,-1
410,647,1624603995801,-1,-1,-1
411,551,1624603998792,-1,-1,-1
412,703,1624603999803,-1,-1,-1
413,663,1624604000796,-1,-1,-1
414,807,1624604001832,-1,-1,-1
415,703,1624604005791,-1,-1,-1
416,647,1624604007794,-1,-1,-1
417,639,1624604007794,-1,-1,-1
418,591,1624604008781,-1,-1,-1
419,959,1624604009794,-1,-1,-1
420,647,1624604012784,-1,-1,-1
421,679,1624604013796,-1,-1,-1
422,695,1624604013796,-1,-1,-1
423,615,1624604014791,-1,-1,-1
424,919,1624604016789,-1,-1,-1
425,703,1624604019785,-1,-1,-1
426,703,1624604020798,-1,-1,-1
427,679,1624604021786,-1,-1,-1
428,743,1624604023792,-1,-1,-1
429,759,1624604024807,-1,-1,-1
430,703,1624604024807,-1,-1,-1
431,823,1624604025790,-1,-1,-1
432,751,1624604026778,-1,-1,-1
433,871,1624604028786,-1,-1,-1
434,679,1624604029798,-1,-1,-1
435,655,1624604032790,-1,-1,-1
436,551,1624604033827,-1,-1,-1
437,751,1624604034793,-1,-1,-1
438,687,1624604038798,-1,-1,-1
439,599,1624604038798,-1,-1,-1
440,599,1624604039813,-1,-1,-1
441,631,1624604040799,-1,-1,-1
442,623,1624604040799,-1,-1,-1
443,623,1624604041790,-1,-1,-1
444,655,1624604041790,-1,-1,-1
445,631,1624604042798,-1,-1,-1
446,679,1624604043814,-1,-1,-1
447,687,1624604045797,-1,-1,-1
448,607,1624604045797,-1,-1,-1
449,431,1624604047798,-1,-1,-1
450,575,1624604047798,-1,-1,-1
451,663,1624604048789,-1,-1,-1
452,639,1624604050793,-1,-1,-1
453,503,1624604050793,-1,-1,-1
454,687,1624604052794,-1,-1,-1
455,631,1624604053786,-1,-1,-1
456,743,1624604057788,-1,-1,-1
457,615,1624604061791,-1,-1,-1
458,599,1624604062784,-1,-1,-1
459,671,1624604062784,-1,-1,-1
460,567,1624604063797,-1,-1,-1
461,815,1624604064780,-1,-1,-1
462,823,1624604065800,-1,-1,-1
463,831,1624604065800,-1,-1,-1
464,775,1624604066792,-1,-1,-1
465,799,1624604067801,-1,-1,-1
466,679,1624604068790,-1,-1,-1
467,687,1624604068790,-1,-1,-1
468,503,1624604069804,-1,-1,-1
469,799,1624604070796,-1,-1,-1
470,775,1624604071777,-1,-1,-1
471,719,1624604071777,-1,-1,-1
472,783,1624604074792,-1,-1,-1
473,767,1624604075783,-1,-1,-1
474,655,1624604076818,-1,-1,-1
475,703,1624604078804,-1,-1,-1
476,727,1624604079794,-1,-1,-1
477,559,1624604079794,-1,-1,-1
478,847,1624604080784,-1,-1,-1
479,703,1624604081796,-1,-1,-1
480,631,1624604081796,-1,-1,-1
481,631,1624604082810,-1,-1,-1
482,623,1624604083798,-1,-1,-1
483,543,1624604084789,-1,-1,-1
484,767,1624604088794,-1,-1,-1
485,663,1624604089778,-1,-1,-1
486,847,1624604097793,-1,-1,-1
487,863,1624604098784,-1,-1,-1
488,679,1624604099796,-1,-1,-1
489,831,1624604100781,-1,-1,-1
490,535,1624604100781,-1,-1,-1
491,711,1624604102783,-1,-1,-1
492,831,1624604104789,-1,-1,-1
493,615,1624604104789,-1,-1,-1
494,607,1624604105782,-1,-1,-1
495,663,1624604106793,-1,-1,-1
496,687,1624604106793,-1,-1,-1
497,647,1624604107783,-1,-1,-1
498,703,1624604108796,-1,-1,-1
499,759,1624604109786,-1,-1,-1
500,679,1624604112778,-1,-1,-1
501,743,1624604113790,-1,-1,-1
502,583,1624604113791,-1,-1,-1
503,727,1624604116784,-1,-1,-1
504,631,1624604119800,-1,-1,-1
505,887,1624604120787,-1,-1,-1
506,711,1624604121781,-1,-1,-1
507,775,1624604122794,-1,-1,-1
508,743,1624604122794,-1,-1,-1
509,703,1624604126795,-1,-1,-1
510,663,1624604126795,-1,-1,-1
511,687,1624604127786,-1,-1,-1
512,647,1624604128820,-1,-1,-1
513,631,1624604128821,-1,-1,-1
514,607,1624604129789,-1,-1,-1
515,599,1624604130778,-1,-1,-1
516,703,1624604130778,-1,-1,-1
517,631,1624604131790,-1,-1,-1
518,695,1624604132774,-1,-1,-1
519,631,1624604132774,-1,-1,-1
520,751,1624604133792,-1,-1,-1
521,631,1624604134804,-1,-1,-1
522,711,1624604134804,-1,-1,-1
523,599,1624604135797,-1,-1,-1
524,783,1624604136783,-1,-1,-1
525,711,1624604136783,-1,-1,-1
526,631,1624604137799,-1,-1,-1
527,655,1624604138784,-1,-1,-1
528,711,1624604140791,-1,-1,-1
529,695,1624604141780,-1,-1,-1
530,679,1624604141780,-1,-1,-1
531,679,1624604142813,-1,-1,-1
532,679,1624604143802,-1,-1,-1
533,671,1624604143802,-1,-1,-1
