,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,959,1627112658851,-1,-1,-1
1,927,1627112658851,-1,-1,-1
2,831,1627112658851,-1,-1,-1
3,871,1627112659841,-1,-1,-1
4,895,1627112660832,-1,-1,-1
5,927,1627112661857,-1,-1,-1
6,871,1627112662847,-1,-1,-1
7,823,1627112662847,-1,-1,-1
8,863,1627112663837,-1,-1,-1
9,991,1627112664827,-1,-1,-1
10,1119,1627112665847,-1,-1,-1
11,1071,1627112666867,-1,-1,-1
12,1127,1627112673827,-1,-1,-1
13,855,1627112674847,-1,-1,-1
14,1111,1627112676827,-1,-1,-1
15,1087,1627112678836,-1,-1,-1
16,839,1627112681836,-1,-1,-1
17,823,1627112682827,-1,-1,-1
18,935,1627112685825,-1,-1,-1
19,967,1627112686845,-1,-1,-1
20,1039,1627112687836,-1,-1,-1
21,1007,1627112688825,-1,-1,-1
22,919,1627112689845,-1,-1,-1
23,927,1627112690835,-1,-1,-1
24,959,1627112691825,-1,-1,-1
25,967,1627112692845,-1,-1,-1
26,959,1627112693837,-1,-1,-1
27,959,1627112694825,-1,-1,-1
28,927,1627112695845,-1,-1,-1
29,823,1627112695845,-1,-1,-1
30,807,1627112696835,-1,-1,-1
31,831,1627112697825,-1,-1,-1
32,895,1627112698845,-1,-1,-1
33,823,1627112699865,-1,-1,-1
34,887,1627112700856,-1,-1,-1
35,903,1627112702835,-1,-1,-1
36,959,1627112703825,-1,-1,-1
37,991,1627112704847,-1,-1,-1
38,1031,1627112705835,-1,-1,-1
39,1007,1627112709826,-1,-1,-1
40,1015,1627112710845,-1,-1,-1
41,911,1627112711835,-1,-1,-1
42,951,1627112712826,-1,-1,-1
43,1031,1627112713845,-1,-1,-1
44,1023,1627112714836,-1,-1,-1
45,1047,1627112715825,-1,-1,-1
46,1039,1627112716846,-1,-1,-1
47,951,1627112717836,-1,-1,-1
48,983,1627112718826,-1,-1,-1
49,1015,1627112719844,-1,-1,-1
50,1055,1627112720837,-1,-1,-1
51,1079,1627112722845,-1,-1,-1
52,1095,1627112723836,-1,-1,-1
53,983,1627112724825,-1,-1,-1
54,1000,1627112725845,-1,-1,-1
55,1000,1627112726835,-1,-1,-1
56,1039,1627112727825,-1,-1,-1
57,1095,1627112728815,-1,-1,-1
58,1071,1627112729836,-1,-1,-1
59,1015,1627112730825,-1,-1,-1
60,1071,1627112731811,-1,-1,-1
61,1087,1627112732866,-1,-1,-1
62,1063,1627112733856,-1,-1,-1
63,1103,1627112734815,-1,-1,-1
64,1047,1627112735836,-1,-1,-1
65,1071,1627112736827,-1,-1,-1
66,1103,1627112737815,-1,-1,-1
67,1023,1627112738835,-1,-1,-1
68,975,1627112739826,-1,-1,-1
69,1007,1627112740815,-1,-1,-1
70,991,1627112741836,-1,-1,-1
71,935,1627112742826,-1,-1,-1
72,975,1627112743816,-1,-1,-1
73,975,1627112744836,-1,-1,-1
74,967,1627112745826,-1,-1,-1
75,847,1627112746816,-1,-1,-1
76,871,1627112747835,-1,-1,-1
77,919,1627112748826,-1,-1,-1
