,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,535,1627063631414,-1,-1,-1
1,527,1627063632424,-1,-1,-1
2,559,1627063632424,-1,-1,-1
3,439,1627063633438,-1,-1,-1
4,727,1627063633438,-1,-1,-1
5,599,1627063639448,-1,-1,-1
6,527,1627063640461,-1,-1,-1
7,535,1627063640461,-1,-1,-1
8,543,1627063641427,-1,-1,-1
9,527,1627063641428,-1,-1,-1
10,567,1627063642443,-1,-1,-1
11,623,1627063643412,-1,-1,-1
12,599,1627063643412,-1,-1,-1
13,671,1627063648444,-1,-1,-1
14,671,1627063649413,-1,-1,-1
15,679,1627063649413,-1,-1,-1
16,671,1627063650423,-1,-1,-1
17,647,1627063651443,-1,-1,-1
18,655,1627063651443,-1,-1,-1
19,639,1627063652412,-1,-1,-1
20,583,1627063653425,-1,-1,-1
21,767,1627063653425,-1,-1,-1
22,607,1627063654439,-1,-1,-1
23,615,1627063655413,-1,-1,-1
24,607,1627063658421,-1,-1,-1
25,631,1627063658422,-1,-1,-1
26,647,1627063659435,-1,-1,-1
27,671,1627063660436,-1,-1,-1
28,639,1627063660436,-1,-1,-1
29,599,1627063661415,-1,-1,-1
30,615,1627063666443,-1,-1,-1
31,583,1627063666443,-1,-1,-1
32,607,1627063667419,-1,-1,-1
33,591,1627063667419,-1,-1,-1
34,575,1627063668426,-1,-1,-1
35,631,1627063669447,-1,-1,-1
36,591,1627063669447,-1,-1,-1
37,599,1627063670425,-1,-1,-1
38,567,1627063670425,-1,-1,-1
39,615,1627063671435,-1,-1,-1
40,575,1627063672445,-1,-1,-1
41,623,1627063674430,-1,-1,-1
42,551,1627063679415,-1,-1,-1
43,679,1627063690443,-1,-1,-1
44,607,1627063692431,-1,-1,-1
45,719,1627063693442,-1,-1,-1
46,471,1627063700417,-1,-1,-1
47,455,1627063701427,-1,-1,-1
48,607,1627063708442,-1,-1,-1
49,527,1627063712422,-1,-1,-1
50,631,1627063713433,-1,-1,-1
51,503,1627063719435,-1,-1,-1
52,503,1627063722464,-1,-1,-1
53,455,1627063722464,-1,-1,-1
54,439,1627063726442,-1,-1,-1
55,703,1627063727413,-1,-1,-1
56,535,1627063729447,-1,-1,-1
57,623,1627063730421,-1,-1,-1
58,447,1627063730421,-1,-1,-1
59,575,1627063731434,-1,-1,-1
60,551,1627063731434,-1,-1,-1
61,543,1627063732441,-1,-1,-1
62,559,1627063732441,-1,-1,-1
