,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,783,1625585919250,-1,-1,-1
1,711,1625585919250,-1,-1,-1
2,687,1625585920161,-1,-1,-1
3,639,1625585921114,-1,-1,-1
4,583,1625585921114,-1,-1,-1
5,591,1625585922200,-1,-1,-1
6,583,1625585922200,-1,-1,-1
7,631,1625585923155,-1,-1,-1
8,679,1625585924112,-1,-1,-1
9,743,1625585924112,-1,-1,-1
10,791,1625585925196,-1,-1,-1
11,743,1625585926154,-1,-1,-1
12,671,1625585927237,-1,-1,-1
13,671,1625585927238,-1,-1,-1
14,671,1625585928193,-1,-1,-1
15,655,1625585929155,-1,-1,-1
16,655,1625585929155,-1,-1,-1
17,655,1625585930115,-1,-1,-1
18,623,1625585931197,-1,-1,-1
19,607,1625585931197,-1,-1,-1
20,583,1625585933115,-1,-1,-1
21,655,1625585934194,-1,-1,-1
22,639,1625585934194,-1,-1,-1
23,711,1625585935152,-1,-1,-1
24,711,1625585936114,-1,-1,-1
25,695,1625585936114,-1,-1,-1
26,727,1625585937193,-1,-1,-1
27,815,1625585938193,-1,-1,-1
28,855,1625585939112,-1,-1,-1
29,735,1625585940192,-1,-1,-1
30,759,1625585940192,-1,-1,-1
31,663,1625585941156,-1,-1,-1
32,703,1625585942119,-1,-1,-1
33,703,1625585942119,-1,-1,-1
34,647,1625585943194,-1,-1,-1
35,631,1625585944152,-1,-1,-1
36,671,1625585944152,-1,-1,-1
37,679,1625585945113,-1,-1,-1
38,695,1625585946194,-1,-1,-1
39,735,1625585947155,-1,-1,-1
40,775,1625585947155,-1,-1,-1
41,751,1625585948114,-1,-1,-1
42,719,1625585949193,-1,-1,-1
43,679,1625585949193,-1,-1,-1
44,727,1625585950154,-1,-1,-1
45,743,1625585951116,-1,-1,-1
46,743,1625585952197,-1,-1,-1
47,679,1625585952197,-1,-1,-1
48,639,1625585953155,-1,-1,-1
49,647,1625585954115,-1,-1,-1
50,655,1625585954115,-1,-1,-1
51,655,1625585955192,-1,-1,-1
52,655,1625585956154,-1,-1,-1
53,591,1625585956154,-1,-1,-1
54,671,1625585957115,-1,-1,-1
55,663,1625585958195,-1,-1,-1
56,751,1625585958195,-1,-1,-1
57,831,1625585959154,-1,-1,-1
58,831,1625585960113,-1,-1,-1
59,767,1625585961196,-1,-1,-1
60,743,1625585961196,-1,-1,-1
61,751,1625585962163,-1,-1,-1
62,703,1625585963115,-1,-1,-1
63,703,1625585964194,-1,-1,-1
64,711,1625585964194,-1,-1,-1
65,711,1625585965157,-1,-1,-1
66,695,1625585966113,-1,-1,-1
67,783,1625585967195,-1,-1,-1
68,839,1625585967195,-1,-1,-1
69,871,1625585968154,-1,-1,-1
70,727,1625585971152,-1,-1,-1
71,591,1625585973111,-1,-1,-1
72,719,1625585976111,-1,-1,-1
73,663,1625585977160,-1,-1,-1
74,583,1625585978113,-1,-1,-1
75,631,1625585978113,-1,-1,-1
76,607,1625585979116,-1,-1,-1
77,671,1625585979116,-1,-1,-1
78,799,1625585980194,-1,-1,-1
79,855,1625585981163,-1,-1,-1
80,847,1625585982118,-1,-1,-1
81,783,1625585983156,-1,-1,-1
82,695,1625585985114,-1,-1,-1
83,759,1625585986156,-1,-1,-1
84,759,1625585986156,-1,-1,-1
85,719,1625585987116,-1,-1,-1
86,663,1625585988116,-1,-1,-1
87,671,1625585989157,-1,-1,-1
88,607,1625585989157,-1,-1,-1
89,607,1625585990116,-1,-1,-1
90,623,1625585990116,-1,-1,-1
91,663,1625585991115,-1,-1,-1
92,719,1625585992155,-1,-1,-1
93,743,1625585992155,-1,-1,-1
94,727,1625585993160,-1,-1,-1
95,751,1625585994114,-1,-1,-1
96,743,1625585995156,-1,-1,-1
97,727,1625585995156,-1,-1,-1
98,687,1625585996120,-1,-1,-1
99,671,1625585997115,-1,-1,-1
100,663,1625585997115,-1,-1,-1
101,655,1625585998155,-1,-1,-1
102,671,1625585999155,-1,-1,-1
103,647,1625585999155,-1,-1,-1
104,695,1625586000114,-1,-1,-1
105,783,1625586001155,-1,-1,-1
106,767,1625586002155,-1,-1,-1
107,751,1625586002155,-1,-1,-1
108,735,1625586003115,-1,-1,-1
109,671,1625586004157,-1,-1,-1
110,727,1625586005114,-1,-1,-1
111,727,1625586005115,-1,-1,-1
112,711,1625586006116,-1,-1,-1
113,727,1625586007156,-1,-1,-1
114,695,1625586007156,-1,-1,-1
115,703,1625586008115,-1,-1,-1
116,727,1625586009114,-1,-1,-1
117,751,1625586010155,-1,-1,-1
118,855,1625586010155,-1,-1,-1
119,775,1625586011115,-1,-1,-1
120,719,1625586012113,-1,-1,-1
121,823,1625586013196,-1,-1,-1
122,647,1625586013196,-1,-1,-1
123,615,1625586014116,-1,-1,-1
124,623,1625586015113,-1,-1,-1
125,631,1625586015113,-1,-1,-1
126,679,1625586016194,-1,-1,-1
127,751,1625586017115,-1,-1,-1
128,767,1625586018114,-1,-1,-1
129,855,1625586018114,-1,-1,-1
130,863,1625586019157,-1,-1,-1
131,559,1625586021116,-1,-1,-1
132,687,1625586025197,-1,-1,-1
133,639,1625586026116,-1,-1,-1
134,623,1625586026116,-1,-1,-1
135,583,1625586027114,-1,-1,-1
136,767,1625586030115,-1,-1,-1
137,703,1625586031156,-1,-1,-1
138,655,1625586032154,-1,-1,-1
139,623,1625586032154,-1,-1,-1
140,647,1625586033196,-1,-1,-1
141,679,1625586034155,-1,-1,-1
142,743,1625586034155,-1,-1,-1
143,767,1625586035115,-1,-1,-1
144,847,1625586036112,-1,-1,-1
145,855,1625586037156,-1,-1,-1
146,863,1625586038115,-1,-1,-1
