,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,823,1627342502391,-1,-1,-1
1,783,1627342503430,-1,-1,-1
2,815,1627342504385,-1,-1,-1
3,815,1627342504385,-1,-1,-1
4,807,1627342505397,-1,-1,-1
5,807,1627342506407,-1,-1,-1
6,823,1627342507385,-1,-1,-1
7,839,1627342508431,-1,-1,-1
8,791,1627342509448,-1,-1,-1
9,807,1627342509448,-1,-1,-1
10,775,1627342510399,-1,-1,-1
11,799,1627342511491,-1,-1,-1
12,783,1627342512428,-1,-1,-1
13,815,1627342513384,-1,-1,-1
14,775,1627342513384,-1,-1,-1
15,775,1627342514410,-1,-1,-1
16,791,1627342515414,-1,-1,-1
17,663,1627342516388,-1,-1,-1
18,839,1627342516389,-1,-1,-1
19,615,1627342517400,-1,-1,-1
20,919,1627342518375,-1,-1,-1
21,759,1627342519389,-1,-1,-1
22,775,1627342519389,-1,-1,-1
23,735,1627342520399,-1,-1,-1
24,783,1627342521456,-1,-1,-1
25,775,1627342522388,-1,-1,-1
26,791,1627342523404,-1,-1,-1
27,831,1627342523404,-1,-1,-1
28,855,1627342524377,-1,-1,-1
29,815,1627342525388,-1,-1,-1
30,839,1627342526474,-1,-1,-1
31,775,1627342527374,-1,-1,-1
32,863,1627342528390,-1,-1,-1
33,847,1627342528390,-1,-1,-1
34,791,1627342529419,-1,-1,-1
35,807,1627342532404,-1,-1,-1
36,719,1627342534390,-1,-1,-1
37,895,1627342536415,-1,-1,-1
38,807,1627342537387,-1,-1,-1
39,815,1627342538408,-1,-1,-1
40,751,1627342539392,-1,-1,-1
41,799,1627342540480,-1,-1,-1
42,823,1627342540480,-1,-1,-1
43,807,1627342541455,-1,-1,-1
44,727,1627342542394,-1,-1,-1
45,759,1627342544417,-1,-1,-1
46,815,1627342545429,-1,-1,-1
47,735,1627342546386,-1,-1,-1
48,831,1627342547403,-1,-1,-1
49,823,1627342548375,-1,-1,-1
50,863,1627342548375,-1,-1,-1
51,863,1627342549395,-1,-1,-1
52,599,1627342552403,-1,-1,-1
53,847,1627342554395,-1,-1,-1
54,895,1627342554395,-1,-1,-1
55,807,1627342555398,-1,-1,-1
56,799,1627342556400,-1,-1,-1
57,847,1627342557373,-1,-1,-1
58,791,1627342560387,-1,-1,-1
59,871,1627342561470,-1,-1,-1
60,823,1627342562417,-1,-1,-1
61,775,1627342563387,-1,-1,-1
62,895,1627342564387,-1,-1,-1
63,823,1627342564387,-1,-1,-1
64,831,1627342565450,-1,-1,-1
65,775,1627342568400,-1,-1,-1
66,823,1627342570399,-1,-1,-1
67,751,1627342571418,-1,-1,-1
68,871,1627342572385,-1,-1,-1
69,807,1627342573400,-1,-1,-1
70,855,1627342573400,-1,-1,-1
71,823,1627342574403,-1,-1,-1
72,783,1627342575388,-1,-1,-1
73,823,1627342576389,-1,-1,-1
74,847,1627342577399,-1,-1,-1
75,847,1627342578389,-1,-1,-1
76,863,1627342578389,-1,-1,-1
77,799,1627342579395,-1,-1,-1
78,799,1627342580410,-1,-1,-1
79,831,1627342581387,-1,-1,-1
80,1095,1627342586405,-1,-1,-1
81,759,1627342587375,-1,-1,-1
82,887,1627342587376,-1,-1,-1
83,807,1627342588388,-1,-1,-1
84,815,1627342589413,-1,-1,-1
85,807,1627342590392,-1,-1,-1
86,831,1627342591395,-1,-1,-1
87,823,1627342592453,-1,-1,-1
88,847,1627342592453,-1,-1,-1
89,847,1627342593433,-1,-1,-1
90,831,1627342594399,-1,-1,-1
91,855,1627342595406,-1,-1,-1
92,831,1627342596414,-1,-1,-1
93,775,1627342597388,-1,-1,-1
94,847,1627342597388,-1,-1,-1
95,839,1627342598397,-1,-1,-1
96,903,1627342599388,-1,-1,-1
97,855,1627342602389,-1,-1,-1
98,855,1627342603396,-1,-1,-1
99,679,1627342605399,-1,-1,-1
100,1023,1627342606464,-1,-1,-1
101,799,1627342611463,-1,-1,-1
102,775,1627342613417,-1,-1,-1
103,871,1627342614386,-1,-1,-1
