,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,463,1627980963381,-1,-1,-1
1,559,1627980965388,-1,-1,-1
2,423,1627980965388,-1,-1,-1
3,527,1627980967400,-1,-1,-1
4,575,1627980967400,-1,-1,-1
5,527,1627980982401,-1,-1,-1
6,367,1627980983391,-1,-1,-1
7,615,1627980984381,-1,-1,-1
8,703,1627980984381,-1,-1,-1
9,663,1627980985401,-1,-1,-1
10,655,1627980986416,-1,-1,-1
11,679,1627980986416,-1,-1,-1
12,575,1627980987411,-1,-1,-1
13,607,1627980989392,-1,-1,-1
14,567,1627980989393,-1,-1,-1
15,479,1627980991403,-1,-1,-1
16,495,1627980993385,-1,-1,-1
17,583,1627980993385,-1,-1,-1
18,759,1627980994401,-1,-1,-1
19,383,1627980997401,-1,-1,-1
20,423,1627981001393,-1,-1,-1
21,695,1627981002383,-1,-1,-1
22,671,1627981007387,-1,-1,-1
23,703,1627981008381,-1,-1,-1
24,743,1627981009372,-1,-1,-1
25,551,1627981012372,-1,-1,-1
26,559,1627981013391,-1,-1,-1
27,535,1627981013391,-1,-1,-1
28,503,1627981014386,-1,-1,-1
29,551,1627981014387,-1,-1,-1
30,551,1627981015372,-1,-1,-1
31,551,1627981019421,-1,-1,-1
32,647,1627981019422,-1,-1,-1
33,615,1627981020411,-1,-1,-1
34,551,1627981020411,-1,-1,-1
35,575,1627981023378,-1,-1,-1
36,503,1627981025392,-1,-1,-1
37,559,1627981025392,-1,-1,-1
38,535,1627981026377,-1,-1,-1
39,487,1627981032383,-1,-1,-1
40,639,1627981034392,-1,-1,-1
41,687,1627981042373,-1,-1,-1
42,751,1627981052423,-1,-1,-1
43,791,1627981055393,-1,-1,-1
44,687,1627981055393,-1,-1,-1
45,703,1627981056383,-1,-1,-1
46,727,1627981057373,-1,-1,-1
47,623,1627981057373,-1,-1,-1
48,543,1627981058393,-1,-1,-1
49,559,1627981060373,-1,-1,-1
50,863,1627981061393,-1,-1,-1
51,775,1627981061393,-1,-1,-1
52,631,1627981062383,-1,-1,-1
53,655,1627981063373,-1,-1,-1
54,639,1627981063373,-1,-1,-1
55,671,1627981064392,-1,-1,-1
56,631,1627981066368,-1,-1,-1
57,663,1627981066368,-1,-1,-1
58,631,1627981067393,-1,-1,-1
59,535,1627981068383,-1,-1,-1
60,591,1627981071383,-1,-1,-1
61,607,1627981074383,-1,-1,-1
62,543,1627981074383,-1,-1,-1
63,607,1627981076393,-1,-1,-1
64,543,1627981078374,-1,-1,-1
65,511,1627981085424,-1,-1,-1
66,735,1627981089384,-1,-1,-1
67,519,1627981090375,-1,-1,-1
68,591,1627981092384,-1,-1,-1
69,671,1627981098384,-1,-1,-1
70,711,1627981099375,-1,-1,-1
71,655,1627981100395,-1,-1,-1
72,687,1627981100395,-1,-1,-1
73,631,1627981103394,-1,-1,-1
74,615,1627981117373,-1,-1,-1
75,623,1627981118419,-1,-1,-1
76,527,1627981118419,-1,-1,-1
77,567,1627981119385,-1,-1,-1
78,711,1627981122382,-1,-1,-1
79,431,1627981122382,-1,-1,-1
80,671,1627981124395,-1,-1,-1
81,607,1627981125385,-1,-1,-1
82,655,1627981125385,-1,-1,-1
83,607,1627981126375,-1,-1,-1
84,615,1627981127395,-1,-1,-1
85,599,1627981127395,-1,-1,-1
86,591,1627981128385,-1,-1,-1
87,575,1627981128385,-1,-1,-1
88,599,1627981129375,-1,-1,-1
89,591,1627981129375,-1,-1,-1
90,575,1627981130395,-1,-1,-1
91,567,1627981131385,-1,-1,-1
92,575,1627981131385,-1,-1,-1
93,567,1627981132375,-1,-1,-1
94,535,1627981132375,-1,-1,-1
95,583,1627981133395,-1,-1,-1
96,503,1627981133395,-1,-1,-1
97,543,1627981138375,-1,-1,-1
98,519,1627981139395,-1,-1,-1
99,759,1627981143385,-1,-1,-1
100,775,1627981144375,-1,-1,-1
101,535,1627981144375,-1,-1,-1
102,767,1627981145366,-1,-1,-1
103,799,1627981146385,-1,-1,-1
104,583,1627981149385,-1,-1,-1
105,591,1627981153377,-1,-1,-1
106,559,1627981163365,-1,-1,-1
107,743,1627981163365,-1,-1,-1
108,631,1627981166360,-1,-1,-1
109,559,1627981170381,-1,-1,-1
110,615,1627981171372,-1,-1,-1
111,607,1627981174372,-1,-1,-1
112,607,1627981174372,-1,-1,-1
113,631,1627981175364,-1,-1,-1
114,487,1627981175364,-1,-1,-1
115,631,1627981178367,-1,-1,-1
116,567,1627981180376,-1,-1,-1
117,543,1627981181367,-1,-1,-1
118,599,1627981181367,-1,-1,-1
119,583,1627981182386,-1,-1,-1
120,695,1627981188387,-1,-1,-1
121,527,1627981190367,-1,-1,-1
122,647,1627981193367,-1,-1,-1
123,535,1627981194387,-1,-1,-1
124,599,1627981197386,-1,-1,-1
125,559,1627981197386,-1,-1,-1
126,543,1627981198376,-1,-1,-1
127,511,1627981198376,-1,-1,-1
128,511,1627981201407,-1,-1,-1
129,535,1627981202397,-1,-1,-1
130,567,1627981203387,-1,-1,-1
131,567,1627981204377,-1,-1,-1
132,607,1627981206387,-1,-1,-1
133,567,1627981207376,-1,-1,-1
134,559,1627981207376,-1,-1,-1
135,607,1627981208367,-1,-1,-1
136,527,1627981210377,-1,-1,-1
137,487,1627981211367,-1,-1,-1
138,535,1627981211367,-1,-1,-1
139,479,1627981212387,-1,-1,-1
140,527,1627981214367,-1,-1,-1
141,591,1627981214367,-1,-1,-1
142,607,1627981215386,-1,-1,-1
143,671,1627981216377,-1,-1,-1
144,687,1627981216377,-1,-1,-1
145,535,1627981219374,-1,-1,-1
146,663,1627981219374,-1,-1,-1
147,519,1627981220367,-1,-1,-1
148,575,1627981224357,-1,-1,-1
149,527,1627981225376,-1,-1,-1
150,543,1627981226365,-1,-1,-1
151,535,1627981226366,-1,-1,-1
152,519,1627981228377,-1,-1,-1
153,599,1627981228377,-1,-1,-1
154,615,1627981229367,-1,-1,-1
155,791,1627981236385,-1,-1,-1
156,551,1627981238362,-1,-1,-1
157,759,1627981239353,-1,-1,-1
158,599,1627981240378,-1,-1,-1
159,487,1627981242358,-1,-1,-1
160,615,1627981245357,-1,-1,-1
161,559,1627981247368,-1,-1,-1
162,623,1627981258378,-1,-1,-1
163,607,1627981259368,-1,-1,-1
164,543,1627981264378,-1,-1,-1
165,535,1627981265368,-1,-1,-1
166,559,1627981266359,-1,-1,-1
167,567,1627981266359,-1,-1,-1
168,839,1627981267408,-1,-1,-1
169,759,1627981269357,-1,-1,-1
170,551,1627981270378,-1,-1,-1
171,567,1627981271367,-1,-1,-1
172,559,1627981271367,-1,-1,-1
173,535,1627981272359,-1,-1,-1
174,535,1627981272359,-1,-1,-1
175,591,1627981274369,-1,-1,-1
176,479,1627981275359,-1,-1,-1
177,543,1627981280368,-1,-1,-1
178,543,1627981281358,-1,-1,-1
179,503,1627981282379,-1,-1,-1
180,607,1627981286368,-1,-1,-1
181,623,1627981287358,-1,-1,-1
182,615,1627981288378,-1,-1,-1
183,615,1627981288378,-1,-1,-1
184,607,1627981289368,-1,-1,-1
185,575,1627981291379,-1,-1,-1
186,591,1627981291379,-1,-1,-1
187,591,1627981292368,-1,-1,-1
188,575,1627981292368,-1,-1,-1
189,591,1627981293358,-1,-1,-1
190,583,1627981294379,-1,-1,-1
191,583,1627981295369,-1,-1,-1
192,567,1627981296359,-1,-1,-1
193,575,1627981301398,-1,-1,-1
194,559,1627981301398,-1,-1,-1
195,591,1627981302359,-1,-1,-1
196,567,1627981302359,-1,-1,-1
197,575,1627981303379,-1,-1,-1
198,431,1627981303379,-1,-1,-1
199,567,1627981306379,-1,-1,-1
200,583,1627981306379,-1,-1,-1
201,559,1627981307369,-1,-1,-1
202,615,1627981308354,-1,-1,-1
203,559,1627981309379,-1,-1,-1
204,567,1627981310370,-1,-1,-1
205,567,1627981310370,-1,-1,-1
206,551,1627981311359,-1,-1,-1
207,591,1627981312379,-1,-1,-1
208,583,1627981314360,-1,-1,-1
209,567,1627981315378,-1,-1,-1
210,527,1627981315378,-1,-1,-1
211,567,1627981316369,-1,-1,-1
212,575,1627981317360,-1,-1,-1
213,583,1627981317360,-1,-1,-1
214,583,1627981318379,-1,-1,-1
215,551,1627981318379,-1,-1,-1
216,583,1627981319369,-1,-1,-1
217,583,1627981320360,-1,-1,-1
218,567,1627981320360,-1,-1,-1
219,535,1627981321379,-1,-1,-1
220,551,1627981321379,-1,-1,-1
221,519,1627981322369,-1,-1,-1
222,567,1627981322369,-1,-1,-1
223,495,1627981323359,-1,-1,-1
224,495,1627981323359,-1,-1,-1
225,575,1627981324380,-1,-1,-1
226,591,1627981324380,-1,-1,-1
227,599,1627981325370,-1,-1,-1
228,679,1627981326360,-1,-1,-1
229,543,1627981331369,-1,-1,-1
230,559,1627981333410,-1,-1,-1
231,591,1627981333410,-1,-1,-1
232,567,1627981337369,-1,-1,-1
