,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,492,1623394292454,-1,-1,-1
1,515,1623394292455,-1,-1,-1
2,507,1623394293455,-1,-1,-1
3,1281,1623394310454,-1,-1,-1
4,484,1623394310454,-1,-1,-1
5,476,1623394311458,-1,-1,-1
6,460,1623394311458,-1,-1,-1
7,1242,1623394315460,-1,-1,-1
8,640,1623394317561,-1,-1,-1
9,546,1623394319454,-1,-1,-1
10,593,1623394323456,-1,-1,-1
11,578,1623394323456,-1,-1,-1
12,570,1623394324458,-1,-1,-1
13,625,1623394324458,-1,-1,-1
14,539,1623394325459,-1,-1,-1
15,632,1623394326455,-1,-1,-1
16,539,1623394326455,-1,-1,-1
17,664,1623394327454,-1,-1,-1
18,640,1623394329457,-1,-1,-1
19,531,1623394330454,-1,-1,-1
20,531,1623394331455,-1,-1,-1
21,554,1623394339458,-1,-1,-1
22,640,1623394339458,-1,-1,-1
23,648,1623394340455,-1,-1,-1
24,585,1623394341454,-1,-1,-1
25,601,1623394341454,-1,-1,-1
26,703,1623394342454,-1,-1,-1
27,523,1623394343455,-1,-1,-1
28,703,1623394343455,-1,-1,-1
29,562,1623394344456,-1,-1,-1
30,664,1623394344456,-1,-1,-1
31,679,1623394345453,-1,-1,-1
32,632,1623394346454,-1,-1,-1
33,726,1623394347454,-1,-1,-1
34,625,1623394347454,-1,-1,-1
35,695,1623394348455,-1,-1,-1
36,734,1623394349554,-1,-1,-1
37,671,1623394350553,-1,-1,-1
38,515,1623394350553,-1,-1,-1
39,703,1623394351555,-1,-1,-1
40,687,1623394352455,-1,-1,-1
41,671,1623394353553,-1,-1,-1
42,656,1623394353554,-1,-1,-1
43,578,1623394354554,-1,-1,-1
44,671,1623394354554,-1,-1,-1
45,679,1623394355553,-1,-1,-1
46,578,1623394356554,-1,-1,-1
47,601,1623394356554,-1,-1,-1
48,656,1623394357556,-1,-1,-1
49,625,1623394360655,-1,-1,-1
50,687,1623394361654,-1,-1,-1
51,718,1623394362553,-1,-1,-1
52,609,1623394362554,-1,-1,-1
53,484,1623394366553,-1,-1,-1
54,625,1623394366553,-1,-1,-1
55,656,1623394367554,-1,-1,-1
56,656,1623394368553,-1,-1,-1
57,703,1623394368553,-1,-1,-1
58,617,1623394369553,-1,-1,-1
59,671,1623394370553,-1,-1,-1
60,671,1623394370553,-1,-1,-1
61,640,1623394371554,-1,-1,-1
62,640,1623394372554,-1,-1,-1
63,656,1623394372554,-1,-1,-1
64,679,1623394374556,-1,-1,-1
65,664,1623394375554,-1,-1,-1
66,718,1623394376553,-1,-1,-1
67,726,1623394377561,-1,-1,-1
68,695,1623394379561,-1,-1,-1
69,484,1623394383559,-1,-1,-1
70,625,1623394384558,-1,-1,-1
71,492,1623394384558,-1,-1,-1
72,531,1623394385557,-1,-1,-1
73,593,1623394385557,-1,-1,-1
74,531,1623394386560,-1,-1,-1
75,531,1623394386560,-1,-1,-1
76,570,1623394387553,-1,-1,-1
77,570,1623394388555,-1,-1,-1
78,570,1623394388555,-1,-1,-1
79,593,1623394389560,-1,-1,-1
80,726,1623394390558,-1,-1,-1
81,429,1623394392554,-1,-1,-1
82,601,1623394394556,-1,-1,-1
83,695,1623394394556,-1,-1,-1
84,570,1623394396560,-1,-1,-1
85,562,1623394397560,-1,-1,-1
86,671,1623394397560,-1,-1,-1
87,593,1623394398558,-1,-1,-1
88,648,1623394399561,-1,-1,-1
89,648,1623394399561,-1,-1,-1
90,640,1623394400561,-1,-1,-1
91,625,1623394401559,-1,-1,-1
92,601,1623394401559,-1,-1,-1
93,562,1623394402554,-1,-1,-1
94,648,1623394402554,-1,-1,-1
95,664,1623394403560,-1,-1,-1
96,562,1623394404556,-1,-1,-1
97,632,1623394404556,-1,-1,-1
98,671,1623394405557,-1,-1,-1
99,546,1623394406660,-1,-1,-1
