,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,695,1627579717555,-1,-1,-1
1,695,1627579717555,-1,-1,-1
2,679,1627579718053,-1,-1,-1
3,695,1627579718053,-1,-1,-1
4,687,1627579719048,-1,-1,-1
5,599,1627579720010,-1,-1,-1
6,775,1627579720011,-1,-1,-1
7,551,1627579723009,-1,-1,-1
8,719,1627579724022,-1,-1,-1
9,663,1627579724022,-1,-1,-1
10,687,1627579725021,-1,-1,-1
11,767,1627579726055,-1,-1,-1
12,551,1627579726055,-1,-1,-1
13,727,1627579727031,-1,-1,-1
14,647,1627579728008,-1,-1,-1
15,663,1627579728008,-1,-1,-1
16,679,1627579729027,-1,-1,-1
17,671,1627579730028,-1,-1,-1
18,679,1627579730029,-1,-1,-1
19,655,1627579731013,-1,-1,-1
20,671,1627579732027,-1,-1,-1
21,727,1627579733041,-1,-1,-1
22,591,1627579733042,-1,-1,-1
23,759,1627579734001,-1,-1,-1
24,687,1627579735018,-1,-1,-1
25,543,1627579738073,-1,-1,-1
26,583,1627579739041,-1,-1,-1
27,655,1627579740003,-1,-1,-1
28,647,1627579740003,-1,-1,-1
29,567,1627579741012,-1,-1,-1
30,591,1627579741012,-1,-1,-1
31,543,1627579742033,-1,-1,-1
32,583,1627579742033,-1,-1,-1
33,423,1627579746009,-1,-1,-1
34,511,1627579746009,-1,-1,-1
35,591,1627579747034,-1,-1,-1
36,623,1627579748032,-1,-1,-1
37,607,1627579752005,-1,-1,-1
38,527,1627579753022,-1,-1,-1
39,559,1627579753022,-1,-1,-1
40,623,1627579757006,-1,-1,-1
41,471,1627579758060,-1,-1,-1
42,439,1627579758060,-1,-1,-1
43,727,1627579759014,-1,-1,-1
44,655,1627579759987,-1,-1,-1
45,583,1627579759987,-1,-1,-1
46,551,1627579761002,-1,-1,-1
47,631,1627579762036,-1,-1,-1
48,599,1627579765993,-1,-1,-1
49,599,1627579767010,-1,-1,-1
50,527,1627579767010,-1,-1,-1
51,655,1627579769007,-1,-1,-1
52,607,1627579770007,-1,-1,-1
53,679,1627579771061,-1,-1,-1
54,631,1627579771061,-1,-1,-1
55,615,1627579771996,-1,-1,-1
56,687,1627579776004,-1,-1,-1
57,623,1627579777995,-1,-1,-1
58,607,1627579779017,-1,-1,-1
59,663,1627579779017,-1,-1,-1
60,559,1627579780033,-1,-1,-1
61,631,1627579780998,-1,-1,-1
62,615,1627579780998,-1,-1,-1
63,623,1627579783994,-1,-1,-1
64,631,1627579787007,-1,-1,-1
65,607,1627579788049,-1,-1,-1
66,647,1627579788049,-1,-1,-1
67,647,1627579791014,-1,-1,-1
68,687,1627579792037,-1,-1,-1
69,647,1627579793004,-1,-1,-1
70,663,1627579793004,-1,-1,-1
71,639,1627579794021,-1,-1,-1
72,639,1627579795030,-1,-1,-1
73,623,1627579795030,-1,-1,-1
74,631,1627579795993,-1,-1,-1
75,631,1627579797014,-1,-1,-1
76,679,1627579797014,-1,-1,-1
77,623,1627579799005,-1,-1,-1
78,647,1627579800012,-1,-1,-1
79,695,1627579801017,-1,-1,-1
80,655,1627579801017,-1,-1,-1
81,695,1627579801988,-1,-1,-1
82,655,1627579803001,-1,-1,-1
83,647,1627579803001,-1,-1,-1
84,727,1627579804052,-1,-1,-1
85,679,1627579804998,-1,-1,-1
86,871,1627579810031,-1,-1,-1
87,631,1627579810032,-1,-1,-1
88,615,1627579810999,-1,-1,-1
89,631,1627579813012,-1,-1,-1
90,671,1627579813988,-1,-1,-1
91,663,1627579813988,-1,-1,-1
92,503,1627579816989,-1,-1,-1
93,767,1627579818011,-1,-1,-1
94,639,1627579819032,-1,-1,-1
95,615,1627579819032,-1,-1,-1
96,663,1627579819986,-1,-1,-1
97,647,1627579822070,-1,-1,-1
98,663,1627579823007,-1,-1,-1
99,655,1627579823007,-1,-1,-1
100,671,1627579827003,-1,-1,-1
101,551,1627579827004,-1,-1,-1
102,655,1627579828014,-1,-1,-1
103,663,1627579828989,-1,-1,-1
104,599,1627579830012,-1,-1,-1
105,623,1627579831996,-1,-1,-1
106,599,1627579833012,-1,-1,-1
107,623,1627579833012,-1,-1,-1
108,591,1627579834033,-1,-1,-1
109,647,1627579837988,-1,-1,-1
110,591,1627579842011,-1,-1,-1
111,655,1627579843987,-1,-1,-1
112,695,1627579845015,-1,-1,-1
113,591,1627579845016,-1,-1,-1
114,623,1627579853004,-1,-1,-1
115,823,1627579859006,-1,-1,-1
116,639,1627579861031,-1,-1,-1
117,631,1627579861993,-1,-1,-1
118,551,1627579861993,-1,-1,-1
119,655,1627579863002,-1,-1,-1
120,615,1627579865009,-1,-1,-1
121,567,1627579865009,-1,-1,-1
122,639,1627579866023,-1,-1,-1
123,711,1627579867036,-1,-1,-1
124,495,1627579867036,-1,-1,-1
125,607,1627579871030,-1,-1,-1
126,615,1627579872002,-1,-1,-1
127,591,1627579872002,-1,-1,-1
128,599,1627579873016,-1,-1,-1
129,615,1627579873993,-1,-1,-1
130,671,1627579876996,-1,-1,-1
131,607,1627579879029,-1,-1,-1
132,543,1627579879029,-1,-1,-1
133,591,1627579881001,-1,-1,-1
134,575,1627579882015,-1,-1,-1
135,615,1627579882015,-1,-1,-1
136,623,1627579884002,-1,-1,-1
137,615,1627579885022,-1,-1,-1
138,583,1627579885022,-1,-1,-1
139,607,1627579886074,-1,-1,-1
140,559,1627579890017,-1,-1,-1
141,615,1627579891988,-1,-1,-1
142,607,1627579894999,-1,-1,-1
143,583,1627579894999,-1,-1,-1
144,583,1627579896018,-1,-1,-1
145,639,1627579897036,-1,-1,-1
146,591,1627579897036,-1,-1,-1
147,599,1627579897994,-1,-1,-1
148,575,1627579897994,-1,-1,-1
149,631,1627579899018,-1,-1,-1
150,535,1627579900031,-1,-1,-1
151,599,1627579900031,-1,-1,-1
152,559,1627579901008,-1,-1,-1
153,639,1627579901008,-1,-1,-1
154,567,1627579902001,-1,-1,-1
155,567,1627579902001,-1,-1,-1
156,599,1627579903054,-1,-1,-1
157,559,1627579904020,-1,-1,-1
158,559,1627579904020,-1,-1,-1
159,551,1627579905008,-1,-1,-1
160,631,1627579905008,-1,-1,-1
161,631,1627579906017,-1,-1,-1
162,679,1627579908004,-1,-1,-1
163,487,1627579908004,-1,-1,-1
164,551,1627579909032,-1,-1,-1
165,623,1627579912016,-1,-1,-1
166,471,1627579914011,-1,-1,-1
167,655,1627579914012,-1,-1,-1
168,471,1627579915033,-1,-1,-1
169,695,1627579917017,-1,-1,-1
170,535,1627579918069,-1,-1,-1
171,591,1627579920045,-1,-1,-1
172,591,1627579921018,-1,-1,-1
