,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,791,1627282742673,-1,-1,-1
1,839,1627282742673,-1,-1,-1
2,767,1627282742673,-1,-1,-1
3,751,1627282743737,-1,-1,-1
4,1031,1627282745675,-1,-1,-1
5,983,1627282746678,-1,-1,-1
6,935,1627282747702,-1,-1,-1
7,911,1627282748654,-1,-1,-1
8,959,1627282749695,-1,-1,-1
9,1007,1627282750686,-1,-1,-1
10,951,1627282751682,-1,-1,-1
11,919,1627282752680,-1,-1,-1
12,983,1627282753686,-1,-1,-1
13,1095,1627282754659,-1,-1,-1
14,1183,1627282756680,-1,-1,-1
15,679,1627282761681,-1,-1,-1
16,839,1627282763695,-1,-1,-1
17,1047,1627282765691,-1,-1,-1
18,1007,1627282766654,-1,-1,-1
19,1023,1627282767706,-1,-1,-1
20,983,1627282770683,-1,-1,-1
21,1047,1627282771674,-1,-1,-1
22,1039,1627282772657,-1,-1,-1
23,1095,1627282775652,-1,-1,-1
24,1087,1627282776665,-1,-1,-1
25,1103,1627282777680,-1,-1,-1
26,1079,1627282780673,-1,-1,-1
27,1111,1627282782670,-1,-1,-1
28,1127,1627282785691,-1,-1,-1
29,1071,1627282786683,-1,-1,-1
30,1103,1627282787672,-1,-1,-1
31,1143,1627282788673,-1,-1,-1
32,1127,1627282789676,-1,-1,-1
33,1159,1627282790682,-1,-1,-1
34,1159,1627282792696,-1,-1,-1
35,1039,1627282793679,-1,-1,-1
36,1487,1627282794697,-1,-1,-1
37,1543,1627282796648,-1,-1,-1
38,895,1627282797685,-1,-1,-1
39,1007,1627282798672,-1,-1,-1
40,959,1627282799684,-1,-1,-1
41,1031,1627282800667,-1,-1,-1
42,1039,1627282801692,-1,-1,-1
43,1000,1627282802659,-1,-1,-1
44,991,1627282803694,-1,-1,-1
45,1071,1627282804681,-1,-1,-1
46,1095,1627282805670,-1,-1,-1
47,919,1627282806684,-1,-1,-1
48,911,1627282807675,-1,-1,-1
49,919,1627282808663,-1,-1,-1
50,943,1627282808664,-1,-1,-1
51,975,1627282809674,-1,-1,-1
52,1007,1627282810659,-1,-1,-1
53,959,1627282813669,-1,-1,-1
54,967,1627282814639,-1,-1,-1
55,895,1627282815674,-1,-1,-1
56,935,1627282816675,-1,-1,-1
57,1023,1627282817687,-1,-1,-1
58,1079,1627282818675,-1,-1,-1
59,1055,1627282819717,-1,-1,-1
60,1039,1627282820658,-1,-1,-1
61,1023,1627282821684,-1,-1,-1
62,743,1627282822685,-1,-1,-1
63,943,1627282823670,-1,-1,-1
