,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,767,1627403245373,-1,-1,-1
1,767,1627403245373,-1,-1,-1
2,767,1627403245373,-1,-1,-1
3,767,1627403245373,-1,-1,-1
4,799,1627403245373,-1,-1,-1
5,751,1627403245373,-1,-1,-1
6,735,1627403245374,-1,-1,-1
7,791,1627403245374,-1,-1,-1
8,775,1627403245374,-1,-1,-1
9,759,1627403245870,-1,-1,-1
10,783,1627403245870,-1,-1,-1
11,519,1627403246873,-1,-1,-1
12,727,1627403247877,-1,-1,-1
13,703,1627403251867,-1,-1,-1
14,767,1627403253871,-1,-1,-1
15,823,1627403259866,-1,-1,-1
16,871,1627403259866,-1,-1,-1
17,671,1627403262869,-1,-1,-1
18,703,1627403263866,-1,-1,-1
19,519,1627403264868,-1,-1,-1
20,799,1627403266872,-1,-1,-1
21,503,1627403267872,-1,-1,-1
22,479,1627403271874,-1,-1,-1
23,751,1627403272865,-1,-1,-1
24,503,1627403272865,-1,-1,-1
25,879,1627403273905,-1,-1,-1
26,799,1627403276865,-1,-1,-1
27,631,1627403276865,-1,-1,-1
28,823,1627403277871,-1,-1,-1
29,879,1627403281863,-1,-1,-1
30,839,1627403282876,-1,-1,-1
31,751,1627403288874,-1,-1,-1
32,767,1627403289872,-1,-1,-1
33,783,1627403295867,-1,-1,-1
34,1119,1627403296866,-1,-1,-1
35,751,1627403301866,-1,-1,-1
36,743,1627403301866,-1,-1,-1
37,759,1627403302872,-1,-1,-1
38,727,1627403303866,-1,-1,-1
39,711,1627403304866,-1,-1,-1
40,719,1627403304866,-1,-1,-1
41,831,1627403307867,-1,-1,-1
42,639,1627403308871,-1,-1,-1
43,671,1627403309871,-1,-1,-1
44,599,1627403309871,-1,-1,-1
45,719,1627403313993,-1,-1,-1
46,703,1627403319905,-1,-1,-1
47,767,1627403323904,-1,-1,-1
48,647,1627403329871,-1,-1,-1
49,727,1627403333872,-1,-1,-1
50,783,1627403335866,-1,-1,-1
51,647,1627403338870,-1,-1,-1
52,895,1627403343911,-1,-1,-1
53,759,1627403344867,-1,-1,-1
54,663,1627403348872,-1,-1,-1
55,511,1627403349864,-1,-1,-1
56,895,1627403353875,-1,-1,-1
57,687,1627403361946,-1,-1,-1
58,671,1627403361946,-1,-1,-1
59,647,1627403362867,-1,-1,-1
60,679,1627403363871,-1,-1,-1
61,663,1627403363871,-1,-1,-1
62,703,1627403364871,-1,-1,-1
63,727,1627403365864,-1,-1,-1
64,679,1627403365864,-1,-1,-1
65,703,1627403366873,-1,-1,-1
66,791,1627403367864,-1,-1,-1
67,495,1627403372910,-1,-1,-1
68,775,1627403374875,-1,-1,-1
69,823,1627403375911,-1,-1,-1
70,847,1627403375911,-1,-1,-1
71,799,1627403376866,-1,-1,-1
72,583,1627403386866,-1,-1,-1
73,591,1627403396871,-1,-1,-1
74,791,1627403397867,-1,-1,-1
75,551,1627403397868,-1,-1,-1
76,799,1627403407910,-1,-1,-1
77,727,1627403408871,-1,-1,-1
78,703,1627403409871,-1,-1,-1
79,639,1627403409871,-1,-1,-1
80,631,1627403410873,-1,-1,-1
81,863,1627403411872,-1,-1,-1
82,911,1627403418867,-1,-1,-1
83,807,1627403419864,-1,-1,-1
84,703,1627403419864,-1,-1,-1
85,647,1627403420866,-1,-1,-1
86,783,1627403426868,-1,-1,-1
87,663,1627403427866,-1,-1,-1
88,567,1627403427866,-1,-1,-1
89,615,1627403435872,-1,-1,-1
90,679,1627403440871,-1,-1,-1
91,639,1627403445909,-1,-1,-1
92,687,1627403446870,-1,-1,-1
93,719,1627403453906,-1,-1,-1
94,631,1627403464865,-1,-1,-1
95,631,1627403464865,-1,-1,-1
96,607,1627403465867,-1,-1,-1
97,423,1627403467864,-1,-1,-1
98,439,1627403467864,-1,-1,-1
99,455,1627403468871,-1,-1,-1
100,823,1627403469865,-1,-1,-1
101,591,1627403469866,-1,-1,-1
102,663,1627403474868,-1,-1,-1
103,735,1627403476867,-1,-1,-1
104,599,1627403477873,-1,-1,-1
105,919,1627403478906,-1,-1,-1
106,647,1627403480871,-1,-1,-1
107,655,1627403481866,-1,-1,-1
108,703,1627403481866,-1,-1,-1
109,591,1627403482867,-1,-1,-1
110,751,1627403483864,-1,-1,-1
111,559,1627403483864,-1,-1,-1
112,831,1627403484866,-1,-1,-1
113,719,1627403485864,-1,-1,-1
114,823,1627403488870,-1,-1,-1
115,863,1627403488870,-1,-1,-1
116,719,1627403493871,-1,-1,-1
117,687,1627403494866,-1,-1,-1
118,695,1627403495869,-1,-1,-1
119,735,1627403495869,-1,-1,-1
120,727,1627403496864,-1,-1,-1
121,647,1627403497867,-1,-1,-1
122,679,1627403498872,-1,-1,-1
123,767,1627403498872,-1,-1,-1
124,687,1627403499865,-1,-1,-1
125,871,1627403500869,-1,-1,-1
126,871,1627403501866,-1,-1,-1
127,711,1627403506913,-1,-1,-1
128,735,1627403509867,-1,-1,-1
129,839,1627403510868,-1,-1,-1
130,871,1627403510868,-1,-1,-1
131,751,1627403514870,-1,-1,-1
132,727,1627403515870,-1,-1,-1
133,727,1627403516871,-1,-1,-1
134,903,1627403519865,-1,-1,-1
135,655,1627403522943,-1,-1,-1
136,743,1627403527865,-1,-1,-1
137,711,1627403534992,-1,-1,-1
138,735,1627403535910,-1,-1,-1
139,711,1627403536871,-1,-1,-1
140,711,1627403537911,-1,-1,-1
141,719,1627403537911,-1,-1,-1
142,735,1627403538871,-1,-1,-1
143,759,1627403539871,-1,-1,-1
144,759,1627403542870,-1,-1,-1
145,783,1627403543871,-1,-1,-1
146,759,1627403543871,-1,-1,-1
147,511,1627403549871,-1,-1,-1
148,807,1627403552912,-1,-1,-1
149,895,1627403554871,-1,-1,-1
150,647,1627403561871,-1,-1,-1
151,559,1627403563865,-1,-1,-1
152,703,1627403571865,-1,-1,-1
153,703,1627403571865,-1,-1,-1
154,719,1627403572870,-1,-1,-1
155,679,1627403573870,-1,-1,-1
156,727,1627403573870,-1,-1,-1
157,743,1627403574866,-1,-1,-1
158,727,1627403575865,-1,-1,-1
159,759,1627403576870,-1,-1,-1
160,743,1627403576870,-1,-1,-1
161,735,1627403577865,-1,-1,-1
162,743,1627403578868,-1,-1,-1
163,719,1627403579870,-1,-1,-1
164,711,1627403579870,-1,-1,-1
165,743,1627403580864,-1,-1,-1
166,775,1627403581863,-1,-1,-1
167,767,1627403582869,-1,-1,-1
168,775,1627403582869,-1,-1,-1
169,751,1627403583870,-1,-1,-1
170,735,1627403584866,-1,-1,-1
171,759,1627403585870,-1,-1,-1
172,743,1627403585870,-1,-1,-1
173,735,1627403586910,-1,-1,-1
174,751,1627403587863,-1,-1,-1
175,743,1627403588864,-1,-1,-1
176,759,1627403588864,-1,-1,-1
177,751,1627403589869,-1,-1,-1
178,783,1627403590864,-1,-1,-1
179,759,1627403591870,-1,-1,-1
180,767,1627403591870,-1,-1,-1
181,759,1627403592871,-1,-1,-1
182,759,1627403593864,-1,-1,-1
183,759,1627403594864,-1,-1,-1
184,687,1627403594864,-1,-1,-1
185,759,1627403595865,-1,-1,-1
186,719,1627403596865,-1,-1,-1
187,727,1627403597869,-1,-1,-1
188,767,1627403597869,-1,-1,-1
189,751,1627403598832,-1,-1,-1
190,759,1627403599824,-1,-1,-1
191,791,1627403600867,-1,-1,-1
192,751,1627403600867,-1,-1,-1
193,767,1627403601829,-1,-1,-1
194,727,1627403602826,-1,-1,-1
195,727,1627403603830,-1,-1,-1
196,743,1627403603830,-1,-1,-1
197,695,1627403604829,-1,-1,-1
198,775,1627403606824,-1,-1,-1
199,727,1627403607829,-1,-1,-1
200,855,1627403609829,-1,-1,-1
201,759,1627403610826,-1,-1,-1
202,759,1627403611824,-1,-1,-1
203,719,1627403611824,-1,-1,-1
204,767,1627403612825,-1,-1,-1
205,823,1627403613831,-1,-1,-1
206,679,1627403614868,-1,-1,-1
207,727,1627403614868,-1,-1,-1
208,783,1627403615830,-1,-1,-1
209,735,1627403616865,-1,-1,-1
210,751,1627403617825,-1,-1,-1
211,751,1627403617825,-1,-1,-1
212,751,1627403618827,-1,-1,-1
213,743,1627403619831,-1,-1,-1
214,775,1627403620828,-1,-1,-1
215,767,1627403620828,-1,-1,-1
216,767,1627403621828,-1,-1,-1
217,759,1627403622944,-1,-1,-1
218,887,1627403624870,-1,-1,-1
219,807,1627403625828,-1,-1,-1
220,711,1627403626829,-1,-1,-1
221,847,1627403627832,-1,-1,-1
222,775,1627403627832,-1,-1,-1
223,751,1627403628830,-1,-1,-1
224,743,1627403629823,-1,-1,-1
225,703,1627403630826,-1,-1,-1
226,727,1627403630826,-1,-1,-1
227,711,1627403631830,-1,-1,-1
228,727,1627403632832,-1,-1,-1
229,759,1627403633827,-1,-1,-1
230,759,1627403633827,-1,-1,-1
231,743,1627403634828,-1,-1,-1
232,743,1627403635823,-1,-1,-1
233,695,1627403635823,-1,-1,-1
234,735,1627403636831,-1,-1,-1
235,687,1627403637829,-1,-1,-1
236,703,1627403638865,-1,-1,-1
237,711,1627403638865,-1,-1,-1
238,663,1627403639830,-1,-1,-1
239,711,1627403640867,-1,-1,-1
240,703,1627403640867,-1,-1,-1
241,775,1627403641825,-1,-1,-1
242,815,1627403642831,-1,-1,-1
243,791,1627403643828,-1,-1,-1
244,767,1627403644823,-1,-1,-1
245,719,1627403644823,-1,-1,-1
246,735,1627403645829,-1,-1,-1
247,703,1627403646874,-1,-1,-1
248,631,1627403646874,-1,-1,-1
249,655,1627403647824,-1,-1,-1
250,687,1627403648828,-1,-1,-1
251,711,1627403648829,-1,-1,-1
252,783,1627403649831,-1,-1,-1
253,831,1627403650825,-1,-1,-1
254,871,1627403651828,-1,-1,-1
255,807,1627403652824,-1,-1,-1
256,767,1627403652824,-1,-1,-1
257,711,1627403653823,-1,-1,-1
258,743,1627403654827,-1,-1,-1
259,743,1627403655869,-1,-1,-1
260,743,1627403655869,-1,-1,-1
261,775,1627403656828,-1,-1,-1
262,807,1627403657876,-1,-1,-1
263,807,1627403658825,-1,-1,-1
264,855,1627403660828,-1,-1,-1
265,791,1627403661828,-1,-1,-1
266,815,1627403662833,-1,-1,-1
267,719,1627403663830,-1,-1,-1
268,775,1627403663830,-1,-1,-1
269,791,1627403664824,-1,-1,-1
270,775,1627403665824,-1,-1,-1
271,783,1627403666829,-1,-1,-1
272,615,1627403669825,-1,-1,-1
273,599,1627403670829,-1,-1,-1
274,687,1627403670829,-1,-1,-1
275,767,1627403671863,-1,-1,-1
276,751,1627403672908,-1,-1,-1
277,831,1627403673828,-1,-1,-1
278,735,1627403676825,-1,-1,-1
279,735,1627403678869,-1,-1,-1
280,791,1627403680829,-1,-1,-1
281,807,1627403681830,-1,-1,-1
282,735,1627403682824,-1,-1,-1
283,719,1627403683824,-1,-1,-1
284,703,1627403683824,-1,-1,-1
285,735,1627403684823,-1,-1,-1
286,799,1627403685828,-1,-1,-1
287,743,1627403686823,-1,-1,-1
288,711,1627403686823,-1,-1,-1
289,767,1627403687830,-1,-1,-1
