,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,831,1627618900125,-1,-1,-1
1,831,1627618900125,-1,-1,-1
2,903,1627618900125,-1,-1,-1
3,903,1627618900125,-1,-1,-1
4,903,1627618900125,-1,-1,-1
5,879,1627618900125,-1,-1,-1
6,927,1627618900125,-1,-1,-1
7,863,1627618900125,-1,-1,-1
8,879,1627618900125,-1,-1,-1
9,919,1627618900603,-1,-1,-1
10,903,1627618900603,-1,-1,-1
11,935,1627618900603,-1,-1,-1
12,967,1627618901114,-1,-1,-1
13,975,1627618902132,-1,-1,-1
14,943,1627618903128,-1,-1,-1
15,959,1627618904112,-1,-1,-1
16,943,1627618904112,-1,-1,-1
17,887,1627618905132,-1,-1,-1
18,903,1627618906125,-1,-1,-1
19,727,1627618907160,-1,-1,-1
20,855,1627618910112,-1,-1,-1
21,695,1627618910112,-1,-1,-1
22,1063,1627618911161,-1,-1,-1
23,799,1627618915122,-1,-1,-1
24,839,1627618915122,-1,-1,-1
25,863,1627618916111,-1,-1,-1
26,767,1627618919111,-1,-1,-1
27,903,1627618921123,-1,-1,-1
28,895,1627618922112,-1,-1,-1
29,919,1627618923131,-1,-1,-1
30,919,1627618924121,-1,-1,-1
31,943,1627618925111,-1,-1,-1
32,887,1627618926131,-1,-1,-1
33,711,1627618928111,-1,-1,-1
34,1047,1627618929131,-1,-1,-1
35,919,1627618930123,-1,-1,-1
36,919,1627618931111,-1,-1,-1
37,943,1627618934111,-1,-1,-1
38,815,1627618935131,-1,-1,-1
39,871,1627618935131,-1,-1,-1
40,903,1627618936121,-1,-1,-1
41,839,1627618937114,-1,-1,-1
42,799,1627618938153,-1,-1,-1
43,927,1627618939121,-1,-1,-1
44,799,1627618940110,-1,-1,-1
45,1055,1627618943111,-1,-1,-1
46,767,1627618944164,-1,-1,-1
47,887,1627618945151,-1,-1,-1
48,687,1627618946143,-1,-1,-1
49,751,1627618948121,-1,-1,-1
50,759,1627618949110,-1,-1,-1
51,775,1627618950131,-1,-1,-1
52,791,1627618950131,-1,-1,-1
53,751,1627618951120,-1,-1,-1
54,799,1627618952111,-1,-1,-1
55,807,1627618953134,-1,-1,-1
56,839,1627618954120,-1,-1,-1
57,751,1627618957120,-1,-1,-1
58,767,1627618957120,-1,-1,-1
59,815,1627618958111,-1,-1,-1
60,887,1627618959130,-1,-1,-1
61,815,1627618960122,-1,-1,-1
62,775,1627618961110,-1,-1,-1
63,695,1627618961110,-1,-1,-1
