,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,639,1627562454479,-1,-1,-1
1,799,1627562455469,-1,-1,-1
2,759,1627562456487,-1,-1,-1
3,711,1627562457477,-1,-1,-1
4,647,1627562457477,-1,-1,-1
5,807,1627562458470,-1,-1,-1
6,759,1627562459518,-1,-1,-1
7,767,1627562460478,-1,-1,-1
8,759,1627562460478,-1,-1,-1
9,735,1627562461469,-1,-1,-1
10,791,1627562462489,-1,-1,-1
11,559,1627562462489,-1,-1,-1
12,759,1627562465488,-1,-1,-1
13,807,1627562466479,-1,-1,-1
14,959,1627562468490,-1,-1,-1
15,791,1627562469509,-1,-1,-1
16,727,1627562472480,-1,-1,-1
17,727,1627562473470,-1,-1,-1
18,775,1627562474491,-1,-1,-1
19,743,1627562475483,-1,-1,-1
20,735,1627562475484,-1,-1,-1
21,783,1627562476470,-1,-1,-1
22,743,1627562477490,-1,-1,-1
23,735,1627562479470,-1,-1,-1
24,927,1627562482471,-1,-1,-1
25,695,1627562484480,-1,-1,-1
26,871,1627562485470,-1,-1,-1
27,639,1627562485470,-1,-1,-1
28,831,1627562486490,-1,-1,-1
29,687,1627562488469,-1,-1,-1
30,775,1627562494470,-1,-1,-1
31,711,1627562494470,-1,-1,-1
32,639,1627562498490,-1,-1,-1
33,727,1627562504492,-1,-1,-1
34,735,1627562504492,-1,-1,-1
35,815,1627562505481,-1,-1,-1
36,719,1627562506471,-1,-1,-1
37,679,1627562508481,-1,-1,-1
38,759,1627562509503,-1,-1,-1
39,719,1627562509503,-1,-1,-1
40,719,1627562512471,-1,-1,-1
41,775,1627562514480,-1,-1,-1
42,727,1627562515470,-1,-1,-1
43,759,1627562515470,-1,-1,-1
44,791,1627562516491,-1,-1,-1
45,711,1627562517482,-1,-1,-1
46,815,1627562518473,-1,-1,-1
47,759,1627562518473,-1,-1,-1
48,759,1627562521471,-1,-1,-1
49,815,1627562522491,-1,-1,-1
50,751,1627562522491,-1,-1,-1
51,807,1627562523623,-1,-1,-1
52,767,1627562525494,-1,-1,-1
53,751,1627562526481,-1,-1,-1
54,719,1627562530471,-1,-1,-1
55,759,1627562532481,-1,-1,-1
56,727,1627562537490,-1,-1,-1
57,735,1627562540580,-1,-1,-1
58,783,1627562540580,-1,-1,-1
59,831,1627562546523,-1,-1,-1
60,767,1627562549461,-1,-1,-1
61,799,1627562550482,-1,-1,-1
62,767,1627562551472,-1,-1,-1
63,791,1627562552462,-1,-1,-1
64,791,1627562553482,-1,-1,-1
65,775,1627562555461,-1,-1,-1
66,743,1627562555461,-1,-1,-1
67,703,1627562556481,-1,-1,-1
68,719,1627562560471,-1,-1,-1
69,663,1627562560471,-1,-1,-1
70,695,1627562564491,-1,-1,-1
71,823,1627562565482,-1,-1,-1
72,791,1627562566472,-1,-1,-1
73,759,1627562567491,-1,-1,-1
74,727,1627562575502,-1,-1,-1
75,807,1627562576522,-1,-1,-1
76,775,1627562576522,-1,-1,-1
77,655,1627562577512,-1,-1,-1
78,695,1627562579462,-1,-1,-1
79,751,1627562580511,-1,-1,-1
80,671,1627562581473,-1,-1,-1
81,711,1627562581473,-1,-1,-1
82,671,1627562582461,-1,-1,-1
83,687,1627562583511,-1,-1,-1
84,727,1627562584472,-1,-1,-1
85,719,1627562584472,-1,-1,-1
86,703,1627562585461,-1,-1,-1
87,799,1627562586481,-1,-1,-1
88,735,1627562586481,-1,-1,-1
89,735,1627562587473,-1,-1,-1
90,743,1627562588492,-1,-1,-1
91,751,1627562589481,-1,-1,-1
92,807,1627562590473,-1,-1,-1
93,735,1627562590473,-1,-1,-1
94,743,1627562591492,-1,-1,-1
95,767,1627562592481,-1,-1,-1
96,743,1627562593501,-1,-1,-1
97,727,1627562593501,-1,-1,-1
98,719,1627562597462,-1,-1,-1
99,759,1627562598512,-1,-1,-1
100,719,1627562598512,-1,-1,-1
101,743,1627562601511,-1,-1,-1
102,751,1627562605473,-1,-1,-1
103,751,1627562606492,-1,-1,-1
104,735,1627562607511,-1,-1,-1
105,799,1627562607511,-1,-1,-1
106,703,1627562608501,-1,-1,-1
107,767,1627562609492,-1,-1,-1
108,687,1627562611473,-1,-1,-1
109,727,1627562612492,-1,-1,-1
110,711,1627562612492,-1,-1,-1
111,743,1627562613511,-1,-1,-1
112,767,1627562614471,-1,-1,-1
113,815,1627562615461,-1,-1,-1
114,767,1627562616481,-1,-1,-1
115,863,1627562616481,-1,-1,-1
116,823,1627562617472,-1,-1,-1
117,791,1627562618461,-1,-1,-1
118,647,1627562619481,-1,-1,-1
119,647,1627562619481,-1,-1,-1
120,775,1627562621461,-1,-1,-1
121,607,1627562622482,-1,-1,-1
122,671,1627562626501,-1,-1,-1
123,711,1627562627461,-1,-1,-1
124,583,1627562631512,-1,-1,-1
125,831,1627562635471,-1,-1,-1
126,751,1627562635471,-1,-1,-1
127,767,1627562636463,-1,-1,-1
128,759,1627562637481,-1,-1,-1
129,783,1627562639492,-1,-1,-1
130,767,1627562640542,-1,-1,-1
131,799,1627562641501,-1,-1,-1
132,863,1627562642492,-1,-1,-1
133,751,1627562643482,-1,-1,-1
134,791,1627562643482,-1,-1,-1
