,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,559,1620742567930,-1,-1,-1
1,567,1620742567930,-1,-1,-1
2,575,1620742567931,-1,-1,-1
3,607,1620742567931,-1,-1,-1
4,639,1620742567931,-1,-1,-1
5,639,1620742567931,-1,-1,-1
6,639,1620742567931,-1,-1,-1
7,647,1620742567931,-1,-1,-1
8,663,1620742567931,-1,-1,-1
9,663,1620742568379,-1,-1,-1
10,655,1620742568379,-1,-1,-1
11,639,1620742568379,-1,-1,-1
12,655,1620742569378,-1,-1,-1
13,663,1620742569378,-1,-1,-1
14,631,1620742570429,-1,-1,-1
15,623,1620742570430,-1,-1,-1
16,623,1620742571406,-1,-1,-1
17,623,1620742572404,-1,-1,-1
18,599,1620742572404,-1,-1,-1
19,615,1620742573403,-1,-1,-1
20,615,1620742574403,-1,-1,-1
21,631,1620742574403,-1,-1,-1
22,639,1620742575405,-1,-1,-1
23,623,1620742575405,-1,-1,-1
24,615,1620742576445,-1,-1,-1
25,623,1620742577405,-1,-1,-1
26,623,1620742577405,-1,-1,-1
27,631,1620742578404,-1,-1,-1
28,607,1620742579483,-1,-1,-1
29,615,1620742579483,-1,-1,-1
30,623,1620742580406,-1,-1,-1
31,639,1620742580406,-1,-1,-1
32,639,1620742581405,-1,-1,-1
33,623,1620742582404,-1,-1,-1
34,623,1620742582404,-1,-1,-1
35,623,1620742583405,-1,-1,-1
36,647,1620742584405,-1,-1,-1
37,647,1620742584405,-1,-1,-1
38,639,1620742585404,-1,-1,-1
39,639,1620742585404,-1,-1,-1
40,655,1620742586406,-1,-1,-1
41,687,1620742587405,-1,-1,-1
42,671,1620742588447,-1,-1,-1
43,647,1620742588447,-1,-1,-1
44,639,1620742589405,-1,-1,-1
45,631,1620742589405,-1,-1,-1
46,655,1620742590406,-1,-1,-1
47,639,1620742593566,-1,-1,-1
48,679,1620742593566,-1,-1,-1
49,663,1620742594403,-1,-1,-1
50,631,1620742595405,-1,-1,-1
51,735,1620742595405,-1,-1,-1
52,575,1620742598403,-1,-1,-1
53,607,1620742599405,-1,-1,-1
54,495,1620742599405,-1,-1,-1
55,815,1620742600404,-1,-1,-1
56,639,1620742600404,-1,-1,-1
57,575,1620742601405,-1,-1,-1
58,663,1620742606404,-1,-1,-1
59,647,1620742607412,-1,-1,-1
60,687,1620742607412,-1,-1,-1
61,671,1620742608407,-1,-1,-1
62,679,1620742609445,-1,-1,-1
63,407,1620742609445,-1,-1,-1
64,615,1620742612403,-1,-1,-1
65,639,1620742612403,-1,-1,-1
66,623,1620742613406,-1,-1,-1
67,663,1620742614404,-1,-1,-1
68,615,1620742614404,-1,-1,-1
69,631,1620742615405,-1,-1,-1
70,607,1620742616405,-1,-1,-1
71,607,1620742616405,-1,-1,-1
72,591,1620742617405,-1,-1,-1
73,591,1620742617405,-1,-1,-1
74,583,1620742618404,-1,-1,-1
75,583,1620742619406,-1,-1,-1
76,575,1620742619406,-1,-1,-1
77,583,1620742620451,-1,-1,-1
78,575,1620742620451,-1,-1,-1
79,583,1620742621409,-1,-1,-1
80,583,1620742621409,-1,-1,-1
81,607,1620742622411,-1,-1,-1
82,615,1620742623406,-1,-1,-1
83,631,1620742623406,-1,-1,-1
84,631,1620742624412,-1,-1,-1
85,623,1620742625571,-1,-1,-1
86,623,1620742625571,-1,-1,-1
87,631,1620742626411,-1,-1,-1
88,655,1620742626411,-1,-1,-1
89,663,1620742627412,-1,-1,-1
90,647,1620742628410,-1,-1,-1
91,663,1620742628410,-1,-1,-1
92,679,1620742629405,-1,-1,-1
93,695,1620742630406,-1,-1,-1
94,639,1620742630406,-1,-1,-1
95,703,1620742631405,-1,-1,-1
96,591,1620742632412,-1,-1,-1
97,671,1620742632412,-1,-1,-1
98,623,1620742633412,-1,-1,-1
99,631,1620742634404,-1,-1,-1
100,631,1620742634404,-1,-1,-1
101,655,1620742635409,-1,-1,-1
102,663,1620742636445,-1,-1,-1
