,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,736,1623073041904,-1,-1,-1
1,729,1623073041905,-1,-1,-1
2,711,1623073041905,-1,-1,-1
3,709,1623073041905,-1,-1,-1
4,720,1623073042849,-1,-1,-1
5,710,1623073042849,-1,-1,-1
6,1359,1623073044797,-1,-1,-1
7,774,1623073045798,-1,-1,-1
8,744,1623073045799,-1,-1,-1
9,691,1623073046797,-1,-1,-1
10,717,1623073047748,-1,-1,-1
11,680,1623073047748,-1,-1,-1
12,720,1623073048750,-1,-1,-1
13,1487,1623073050705,-1,-1,-1
14,1299,1623073051654,-1,-1,-1
15,645,1623073052654,-1,-1,-1
16,754,1623073052654,-1,-1,-1
17,706,1623073053653,-1,-1,-1
18,735,1623073054604,-1,-1,-1
19,713,1623073055603,-1,-1,-1
20,706,1623073055603,-1,-1,-1
21,700,1623073056553,-1,-1,-1
22,686,1623073057580,-1,-1,-1
23,686,1623073057580,-1,-1,-1
24,691,1623073058502,-1,-1,-1
25,681,1623073059498,-1,-1,-1
26,487,1623073059498,-1,-1,-1
27,559,1623073060504,-1,-1,-1
28,501,1623073060504,-1,-1,-1
29,608,1623073061447,-1,-1,-1
30,657,1623073062453,-1,-1,-1
31,652,1623073062453,-1,-1,-1
32,619,1623073063402,-1,-1,-1
33,1040,1623073064400,-1,-1,-1
34,1989,1623073066403,-1,-1,-1
35,918,1623073067352,-1,-1,-1
36,452,1623073067352,-1,-1,-1
37,379,1623073068298,-1,-1,-1
38,439,1623073068298,-1,-1,-1
39,752,1623073069298,-1,-1,-1
40,418,1623073069298,-1,-1,-1
41,928,1623073071258,-1,-1,-1
42,651,1623073071259,-1,-1,-1
43,647,1623073072202,-1,-1,-1
44,754,1623073073199,-1,-1,-1
45,743,1623073073199,-1,-1,-1
46,817,1623073074247,-1,-1,-1
47,924,1623073075152,-1,-1,-1
48,575,1623073076152,-1,-1,-1
49,562,1623073076152,-1,-1,-1
50,277,1623073077101,-1,-1,-1
51,559,1623073077101,-1,-1,-1
52,277,1623073077101,-1,-1,-1
53,557,1623073078102,-1,-1,-1
54,279,1623073078102,-1,-1,-1
55,278,1623073079053,-1,-1,-1
56,279,1623073079053,-1,-1,-1
57,941,1623073081052,-1,-1,-1
58,1476,1623073081052,-1,-1,-1
59,830,1623073082002,-1,-1,-1
60,820,1623073083052,-1,-1,-1
61,613,1623073083949,-1,-1,-1
62,810,1623073083949,-1,-1,-1
63,314,1623073084949,-1,-1,-1
64,848,1623073085903,-1,-1,-1
65,834,1623073086902,-1,-1,-1
66,924,1623073086902,-1,-1,-1
67,813,1623073087902,-1,-1,-1
68,841,1623073088853,-1,-1,-1
69,761,1623073089851,-1,-1,-1
70,768,1623073090802,-1,-1,-1
71,686,1623073090802,-1,-1,-1
72,773,1623073091803,-1,-1,-1
73,758,1623073092753,-1,-1,-1
74,823,1623073093753,-1,-1,-1
75,796,1623073094753,-1,-1,-1
76,813,1623073095704,-1,-1,-1
77,796,1623073095704,-1,-1,-1
78,812,1623073096703,-1,-1,-1
79,771,1623073097654,-1,-1,-1
80,782,1623073098654,-1,-1,-1
81,772,1623073098654,-1,-1,-1
82,745,1623073099653,-1,-1,-1
83,821,1623073100601,-1,-1,-1
84,877,1623073101604,-1,-1,-1
85,897,1623073102553,-1,-1,-1
86,864,1623073103558,-1,-1,-1
87,898,1623073104604,-1,-1,-1
88,917,1623073105503,-1,-1,-1
89,936,1623073106504,-1,-1,-1
90,879,1623073107452,-1,-1,-1
91,839,1623073107452,-1,-1,-1
92,810,1623073108454,-1,-1,-1
93,805,1623073109400,-1,-1,-1
94,777,1623073110403,-1,-1,-1
95,758,1623073111355,-1,-1,-1
96,491,1623073111355,-1,-1,-1
97,501,1623073112355,-1,-1,-1
98,649,1623073112355,-1,-1,-1
99,601,1623073113405,-1,-1,-1
100,1157,1623073114301,-1,-1,-1
101,502,1623073115303,-1,-1,-1
102,847,1623073115303,-1,-1,-1
103,819,1623073116253,-1,-1,-1
104,972,1623073117254,-1,-1,-1
105,661,1623073118201,-1,-1,-1
106,761,1623073119200,-1,-1,-1
107,707,1623073119200,-1,-1,-1
108,698,1623073120201,-1,-1,-1
109,673,1623073121153,-1,-1,-1
110,666,1623073122153,-1,-1,-1
111,680,1623073122153,-1,-1,-1
112,727,1623073123102,-1,-1,-1
113,787,1623073124099,-1,-1,-1
114,862,1623073125103,-1,-1,-1
115,821,1623073126052,-1,-1,-1
116,908,1623073126052,-1,-1,-1
117,858,1623073127054,-1,-1,-1
118,864,1623073128003,-1,-1,-1
119,790,1623073128998,-1,-1,-1
120,834,1623073129952,-1,-1,-1
121,776,1623073130952,-1,-1,-1
122,738,1623073131920,-1,-1,-1
123,503,1623073131920,-1,-1,-1
124,987,1623073132952,-1,-1,-1
125,762,1623073133925,-1,-1,-1
126,719,1623073133925,-1,-1,-1
127,827,1623073134854,-1,-1,-1
128,775,1623073135854,-1,-1,-1
129,801,1623073136804,-1,-1,-1
130,786,1623073137903,-1,-1,-1
131,769,1623073137903,-1,-1,-1
132,810,1623073138754,-1,-1,-1
133,1101,1623073139753,-1,-1,-1
134,696,1623073140755,-1,-1,-1
135,540,1623073141703,-1,-1,-1
136,753,1623073142703,-1,-1,-1
137,760,1623073142703,-1,-1,-1
138,781,1623073143653,-1,-1,-1
139,792,1623073144699,-1,-1,-1
140,758,1623073145598,-1,-1,-1
141,781,1623073146603,-1,-1,-1
142,797,1623073146603,-1,-1,-1
143,785,1623073147551,-1,-1,-1
144,751,1623073148552,-1,-1,-1
145,755,1623073149553,-1,-1,-1
146,782,1623073149553,-1,-1,-1
147,773,1623073150504,-1,-1,-1
148,661,1623073151500,-1,-1,-1
149,969,1623073152454,-1,-1,-1
150,641,1623073152454,-1,-1,-1
151,748,1623073153454,-1,-1,-1
152,734,1623073154454,-1,-1,-1
153,1427,1623073156403,-1,-1,-1
154,988,1623073157352,-1,-1,-1
155,696,1623073157352,-1,-1,-1
156,657,1623073158354,-1,-1,-1
157,742,1623073159304,-1,-1,-1
158,779,1623073160303,-1,-1,-1
159,731,1623073160303,-1,-1,-1
160,718,1623073161253,-1,-1,-1
161,708,1623073162254,-1,-1,-1
162,714,1623073162254,-1,-1,-1
163,725,1623073163204,-1,-1,-1
164,772,1623073164201,-1,-1,-1
165,836,1623073165223,-1,-1,-1
166,785,1623073166152,-1,-1,-1
167,804,1623073166152,-1,-1,-1
168,771,1623073167150,-1,-1,-1
169,702,1623073168097,-1,-1,-1
170,790,1623073169102,-1,-1,-1
171,1262,1623073170055,-1,-1,-1
172,644,1623073171053,-1,-1,-1
173,704,1623073171053,-1,-1,-1
174,642,1623073172149,-1,-1,-1
175,1322,1623073173001,-1,-1,-1
176,780,1623073173998,-1,-1,-1
177,826,1623073174947,-1,-1,-1
178,1014,1623073175948,-1,-1,-1
179,951,1623073176898,-1,-1,-1
180,982,1623073177897,-1,-1,-1
181,972,1623073178902,-1,-1,-1
182,911,1623073179855,-1,-1,-1
183,900,1623073180854,-1,-1,-1
184,870,1623073181803,-1,-1,-1
185,774,1623073182797,-1,-1,-1
186,864,1623073183801,-1,-1,-1
187,1532,1623073184753,-1,-1,-1
188,793,1623073185749,-1,-1,-1
189,742,1623073186704,-1,-1,-1
190,758,1623073186704,-1,-1,-1
191,789,1623073187699,-1,-1,-1
192,820,1623073188652,-1,-1,-1
193,787,1623073189653,-1,-1,-1
194,806,1623073190654,-1,-1,-1
195,731,1623073190654,-1,-1,-1
196,748,1623073191604,-1,-1,-1
197,725,1623073192604,-1,-1,-1
198,730,1623073193555,-1,-1,-1
199,702,1623073193555,-1,-1,-1
200,700,1623073194553,-1,-1,-1
201,727,1623073195503,-1,-1,-1
202,702,1623073196504,-1,-1,-1
203,741,1623073196504,-1,-1,-1
204,720,1623073197504,-1,-1,-1
205,741,1623073198451,-1,-1,-1
206,725,1623073199453,-1,-1,-1
207,704,1623073199453,-1,-1,-1
208,732,1623073200447,-1,-1,-1
209,807,1623073201404,-1,-1,-1
210,956,1623073202354,-1,-1,-1
211,920,1623073203354,-1,-1,-1
212,893,1623073204354,-1,-1,-1
213,851,1623073205298,-1,-1,-1
214,738,1623073206298,-1,-1,-1
215,897,1623073206299,-1,-1,-1
216,816,1623073207298,-1,-1,-1
217,763,1623073208248,-1,-1,-1
218,789,1623073209198,-1,-1,-1
219,444,1623073209198,-1,-1,-1
220,373,1623073209198,-1,-1,-1
221,687,1623073210202,-1,-1,-1
222,775,1623073211198,-1,-1,-1
223,782,1623073212149,-1,-1,-1
224,776,1623073213155,-1,-1,-1
225,680,1623073213155,-1,-1,-1
226,783,1623073214098,-1,-1,-1
227,780,1623073215103,-1,-1,-1
228,699,1623073216202,-1,-1,-1
229,777,1623073216202,-1,-1,-1
230,394,1623073217052,-1,-1,-1
231,1129,1623073218052,-1,-1,-1
232,758,1623073219001,-1,-1,-1
233,766,1623073219001,-1,-1,-1
234,676,1623073220006,-1,-1,-1
235,1358,1623073220999,-1,-1,-1
236,1356,1623073222954,-1,-1,-1
237,1358,1623073223904,-1,-1,-1
238,1438,1623073225851,-1,-1,-1
239,943,1623073226853,-1,-1,-1
240,489,1623073226854,-1,-1,-1
241,528,1623073227796,-1,-1,-1
242,550,1623073227797,-1,-1,-1
243,652,1623073228802,-1,-1,-1
244,622,1623073229798,-1,-1,-1
245,572,1623073229798,-1,-1,-1
246,630,1623073230758,-1,-1,-1
247,745,1623073231748,-1,-1,-1
248,1135,1623073232705,-1,-1,-1
249,1524,1623073234649,-1,-1,-1
250,1567,1623073235647,-1,-1,-1
251,462,1623073235647,-1,-1,-1
252,683,1623073236654,-1,-1,-1
253,758,1623073237604,-1,-1,-1
254,983,1623073238604,-1,-1,-1
255,963,1623073239553,-1,-1,-1
256,991,1623073240554,-1,-1,-1
257,935,1623073241553,-1,-1,-1
258,878,1623073242502,-1,-1,-1
259,845,1623073243505,-1,-1,-1
260,815,1623073243505,-1,-1,-1
261,813,1623073244454,-1,-1,-1
262,820,1623073245503,-1,-1,-1
263,785,1623073246400,-1,-1,-1
264,784,1623073247400,-1,-1,-1
265,796,1623073248453,-1,-1,-1
266,817,1623073248453,-1,-1,-1
267,818,1623073249350,-1,-1,-1
268,791,1623073250451,-1,-1,-1
269,774,1623073251302,-1,-1,-1
270,768,1623073252351,-1,-1,-1
271,777,1623073252351,-1,-1,-1
272,769,1623073253305,-1,-1,-1
273,885,1623073254253,-1,-1,-1
274,866,1623073255302,-1,-1,-1
275,814,1623073256201,-1,-1,-1
276,856,1623073257199,-1,-1,-1
277,790,1623073257199,-1,-1,-1
278,787,1623073258147,-1,-1,-1
279,737,1623073259151,-1,-1,-1
280,687,1623073260099,-1,-1,-1
281,708,1623073261102,-1,-1,-1
282,670,1623073261102,-1,-1,-1
283,690,1623073262105,-1,-1,-1
284,653,1623073263098,-1,-1,-1
285,650,1623073263098,-1,-1,-1
286,663,1623073264047,-1,-1,-1
287,673,1623073265000,-1,-1,-1
288,822,1623073265000,-1,-1,-1
289,873,1623073266003,-1,-1,-1
290,1092,1623073266998,-1,-1,-1
291,1008,1623073267948,-1,-1,-1
292,968,1623073268951,-1,-1,-1
293,951,1623073269905,-1,-1,-1
294,904,1623073270905,-1,-1,-1
295,875,1623073271852,-1,-1,-1
296,846,1623073272852,-1,-1,-1
297,827,1623073273853,-1,-1,-1
298,803,1623073274799,-1,-1,-1
299,795,1623073275804,-1,-1,-1
300,795,1623073275804,-1,-1,-1
301,792,1623073276752,-1,-1,-1
302,777,1623073277754,-1,-1,-1
303,767,1623073278754,-1,-1,-1
304,775,1623073279754,-1,-1,-1
305,760,1623073279754,-1,-1,-1
306,769,1623073280704,-1,-1,-1
307,781,1623073281653,-1,-1,-1
308,769,1623073282654,-1,-1,-1
309,763,1623073283603,-1,-1,-1
310,727,1623073283604,-1,-1,-1
311,725,1623073284604,-1,-1,-1
312,731,1623073285555,-1,-1,-1
313,741,1623073285555,-1,-1,-1
314,759,1623073286555,-1,-1,-1
315,773,1623073287554,-1,-1,-1
316,768,1623073288503,-1,-1,-1
317,752,1623073289499,-1,-1,-1
318,730,1623073289499,-1,-1,-1
319,700,1623073290448,-1,-1,-1
320,686,1623073291453,-1,-1,-1
321,658,1623073291453,-1,-1,-1
322,652,1623073292502,-1,-1,-1
323,640,1623073293403,-1,-1,-1
324,642,1623073293403,-1,-1,-1
325,681,1623073294398,-1,-1,-1
326,853,1623073295350,-1,-1,-1
327,988,1623073296354,-1,-1,-1
328,957,1623073297297,-1,-1,-1
329,969,1623073298301,-1,-1,-1
330,992,1623073299252,-1,-1,-1
331,934,1623073300254,-1,-1,-1
332,897,1623073301248,-1,-1,-1
333,884,1623073302204,-1,-1,-1
334,839,1623073303209,-1,-1,-1
335,822,1623073303209,-1,-1,-1
336,790,1623073304154,-1,-1,-1
337,795,1623073305151,-1,-1,-1
338,1164,1623073307100,-1,-1,-1
339,1188,1623073308104,-1,-1,-1
340,666,1623073308104,-1,-1,-1
341,804,1623073309154,-1,-1,-1
342,767,1623073310053,-1,-1,-1
343,751,1623073311052,-1,-1,-1
344,716,1623073311052,-1,-1,-1
345,383,1623073311997,-1,-1,-1
346,548,1623073311997,-1,-1,-1
347,952,1623073313949,-1,-1,-1
348,1528,1623073314903,-1,-1,-1
349,799,1623073315903,-1,-1,-1
350,783,1623073315903,-1,-1,-1
351,748,1623073316899,-1,-1,-1
352,739,1623073317854,-1,-1,-1
353,681,1623073318847,-1,-1,-1
354,678,1623073318847,-1,-1,-1
355,654,1623073319803,-1,-1,-1
356,671,1623073320803,-1,-1,-1
357,627,1623073320803,-1,-1,-1
358,631,1623073321803,-1,-1,-1
359,626,1623073321803,-1,-1,-1
360,875,1623073323754,-1,-1,-1
361,664,1623073323754,-1,-1,-1
362,1129,1623073324703,-1,-1,-1
363,918,1623073325704,-1,-1,-1
364,1284,1623073326653,-1,-1,-1
365,637,1623073327652,-1,-1,-1
366,756,1623073328649,-1,-1,-1
367,802,1623073329599,-1,-1,-1
368,512,1623073329599,-1,-1,-1
369,309,1623073330603,-1,-1,-1
370,718,1623073330603,-1,-1,-1
371,853,1623073331553,-1,-1,-1
372,677,1623073332553,-1,-1,-1
373,777,1623073333553,-1,-1,-1
374,662,1623073333553,-1,-1,-1
375,751,1623073334504,-1,-1,-1
376,607,1623073335504,-1,-1,-1
377,673,1623073335504,-1,-1,-1
378,579,1623073336461,-1,-1,-1
379,599,1623073337454,-1,-1,-1
380,648,1623073337454,-1,-1,-1
381,615,1623073338402,-1,-1,-1
382,628,1623073339403,-1,-1,-1
383,663,1623073339403,-1,-1,-1
384,609,1623073340405,-1,-1,-1
385,604,1623073340405,-1,-1,-1
386,582,1623073341353,-1,-1,-1
387,612,1623073342352,-1,-1,-1
388,558,1623073342352,-1,-1,-1
389,586,1623073343303,-1,-1,-1
390,1256,1623073344299,-1,-1,-1
391,438,1623073345251,-1,-1,-1
392,635,1623073345251,-1,-1,-1
393,728,1623073346248,-1,-1,-1
394,659,1623073347254,-1,-1,-1
395,678,1623073347254,-1,-1,-1
396,607,1623073348248,-1,-1,-1
397,643,1623073349201,-1,-1,-1
398,700,1623073349201,-1,-1,-1
399,664,1623073350148,-1,-1,-1
400,662,1623073351152,-1,-1,-1
401,707,1623073352101,-1,-1,-1
402,685,1623073352101,-1,-1,-1
403,711,1623073353097,-1,-1,-1
404,696,1623073354097,-1,-1,-1
405,691,1623073354097,-1,-1,-1
406,731,1623073355047,-1,-1,-1
407,761,1623073356048,-1,-1,-1
408,641,1623073356048,-1,-1,-1
409,709,1623073357003,-1,-1,-1
410,678,1623073358051,-1,-1,-1
411,675,1623073358948,-1,-1,-1
412,648,1623073358948,-1,-1,-1
413,1599,1623073360947,-1,-1,-1
414,1760,1623073362903,-1,-1,-1
415,649,1623073364098,-1,-1,-1
416,682,1623073364098,-1,-1,-1
417,710,1623073364849,-1,-1,-1
418,1443,1623073365907,-1,-1,-1
419,682,1623073367600,-1,-1,-1
420,704,1623073367802,-1,-1,-1
421,656,1623073367802,-1,-1,-1
422,594,1623073368754,-1,-1,-1
423,670,1623073369754,-1,-1,-1
424,820,1623073370705,-1,-1,-1
425,657,1623073370705,-1,-1,-1
426,791,1623073371754,-1,-1,-1
427,1001,1623073372652,-1,-1,-1
428,674,1623073373654,-1,-1,-1
429,646,1623073373654,-1,-1,-1
430,638,1623073374653,-1,-1,-1
431,650,1623073375703,-1,-1,-1
