,RR,Timestamp,SensorContact,errorEstimate,blockerBit
0,775,1623232083360,-1,-1,-1
1,783,1623232083360,-1,-1,-1
2,767,1623232083360,-1,-1,-1
3,775,1623232083360,-1,-1,-1
4,775,1623232083360,-1,-1,-1
5,767,1623232083360,-1,-1,-1
6,751,1623232083360,-1,-1,-1
7,751,1623232083360,-1,-1,-1
8,751,1623232083360,-1,-1,-1
9,679,1623232083862,-1,-1,-1
10,679,1623232083862,-1,-1,-1
11,719,1623232083862,-1,-1,-1
12,711,1623232083862,-1,-1,-1
13,703,1623232084914,-1,-1,-1
14,735,1623232085861,-1,-1,-1
15,727,1623232085861,-1,-1,-1
16,679,1623232086855,-1,-1,-1
17,759,1623232087860,-1,-1,-1
18,543,1623232089853,-1,-1,-1
19,735,1623232089853,-1,-1,-1
20,599,1623232090856,-1,-1,-1
21,639,1623232091859,-1,-1,-1
22,647,1623232093858,-1,-1,-1
23,751,1623232093858,-1,-1,-1
24,687,1623232094900,-1,-1,-1
25,727,1623232095862,-1,-1,-1
26,807,1623232096861,-1,-1,-1
27,727,1623232096861,-1,-1,-1
28,767,1623232097854,-1,-1,-1
29,471,1623232098859,-1,-1,-1
30,583,1623232099861,-1,-1,-1
31,775,1623232100860,-1,-1,-1
32,799,1623232101899,-1,-1,-1
33,671,1623232101899,-1,-1,-1
34,775,1623232102859,-1,-1,-1
35,655,1623232103860,-1,-1,-1
36,671,1623232104859,-1,-1,-1
37,607,1623232107857,-1,-1,-1
38,679,1623232108895,-1,-1,-1
39,767,1623232108895,-1,-1,-1
40,695,1623232111856,-1,-1,-1
41,575,1623232112860,-1,-1,-1
42,559,1623232114857,-1,-1,-1
43,727,1623232118860,-1,-1,-1
44,703,1623232120899,-1,-1,-1
45,615,1623232122858,-1,-1,-1
46,655,1623232123858,-1,-1,-1
47,623,1623232123858,-1,-1,-1
48,639,1623232124856,-1,-1,-1
49,591,1623232125894,-1,-1,-1
50,591,1623232125894,-1,-1,-1
51,583,1623232126854,-1,-1,-1
52,567,1623232126854,-1,-1,-1
53,719,1623232132854,-1,-1,-1
54,455,1623232134895,-1,-1,-1
55,831,1623232137859,-1,-1,-1
56,719,1623232142862,-1,-1,-1
57,807,1623232145855,-1,-1,-1
58,791,1623232146863,-1,-1,-1
59,727,1623232147938,-1,-1,-1
60,671,1623232149859,-1,-1,-1
61,663,1623232150899,-1,-1,-1
62,567,1623232156857,-1,-1,-1
63,575,1623232157859,-1,-1,-1
64,719,1623232161860,-1,-1,-1
65,727,1623232161860,-1,-1,-1
66,775,1623232162859,-1,-1,-1
67,791,1623232163855,-1,-1,-1
68,775,1623232164859,-1,-1,-1
69,735,1623232165861,-1,-1,-1
70,735,1623232165861,-1,-1,-1
71,703,1623232166860,-1,-1,-1
72,503,1623232166861,-1,-1,-1
73,615,1623232169859,-1,-1,-1
74,615,1623232169859,-1,-1,-1
75,791,1623232170858,-1,-1,-1
76,711,1623232172858,-1,-1,-1
77,751,1623232173899,-1,-1,-1
78,743,1623232174933,-1,-1,-1
79,783,1623232174933,-1,-1,-1
80,815,1623232175860,-1,-1,-1
81,783,1623232176859,-1,-1,-1
82,807,1623232177853,-1,-1,-1
83,775,1623232178860,-1,-1,-1
84,775,1623232178860,-1,-1,-1
85,687,1623232181859,-1,-1,-1
86,799,1623232181859,-1,-1,-1
87,751,1623232186854,-1,-1,-1
88,759,1623232187861,-1,-1,-1
89,743,1623232187861,-1,-1,-1
90,751,1623232188862,-1,-1,-1
91,743,1623232189859,-1,-1,-1
92,735,1623232190857,-1,-1,-1
93,727,1623232190857,-1,-1,-1
94,711,1623232191854,-1,-1,-1
95,791,1623232192854,-1,-1,-1
96,639,1623232194860,-1,-1,-1
97,631,1623232196858,-1,-1,-1
98,647,1623232197858,-1,-1,-1
99,663,1623232198859,-1,-1,-1
100,663,1623232198859,-1,-1,-1
101,639,1623232199860,-1,-1,-1
102,639,1623232200899,-1,-1,-1
103,447,1623232200899,-1,-1,-1
104,695,1623232204859,-1,-1,-1
105,679,1623232205900,-1,-1,-1
106,663,1623232205900,-1,-1,-1
107,903,1623232206858,-1,-1,-1
108,631,1623232208859,-1,-1,-1
109,671,1623232208859,-1,-1,-1
110,623,1623232209859,-1,-1,-1
111,647,1623232210859,-1,-1,-1
112,751,1623232210859,-1,-1,-1
113,591,1623232211854,-1,-1,-1
114,695,1623232212857,-1,-1,-1
115,735,1623232212857,-1,-1,-1
116,631,1623232213860,-1,-1,-1
117,703,1623232214858,-1,-1,-1
118,599,1623232214858,-1,-1,-1
119,719,1623232215859,-1,-1,-1
120,687,1623232216893,-1,-1,-1
121,727,1623232217859,-1,-1,-1
122,663,1623232217859,-1,-1,-1
123,711,1623232218859,-1,-1,-1
124,639,1623232219859,-1,-1,-1
125,655,1623232219859,-1,-1,-1
126,663,1623232220860,-1,-1,-1
127,679,1623232221853,-1,-1,-1
128,663,1623232221853,-1,-1,-1
129,671,1623232222862,-1,-1,-1
130,719,1623232223855,-1,-1,-1
131,671,1623232223855,-1,-1,-1
132,727,1623232224860,-1,-1,-1
133,695,1623232225860,-1,-1,-1
134,711,1623232225860,-1,-1,-1
135,695,1623232226855,-1,-1,-1
136,687,1623232229858,-1,-1,-1
137,727,1623232230854,-1,-1,-1
138,687,1623232230854,-1,-1,-1
139,647,1623232231859,-1,-1,-1
140,711,1623232232857,-1,-1,-1
141,703,1623232232857,-1,-1,-1
142,695,1623232233861,-1,-1,-1
143,695,1623232234860,-1,-1,-1
144,727,1623232234860,-1,-1,-1
145,703,1623232235857,-1,-1,-1
146,687,1623232236855,-1,-1,-1
147,695,1623232237899,-1,-1,-1
148,687,1623232237899,-1,-1,-1
149,671,1623232238859,-1,-1,-1
150,631,1623232239856,-1,-1,-1
151,639,1623232239856,-1,-1,-1
152,671,1623232240858,-1,-1,-1
153,631,1623232240858,-1,-1,-1
154,663,1623232241859,-1,-1,-1
155,655,1623232242859,-1,-1,-1
156,703,1623232242859,-1,-1,-1
157,687,1623232243860,-1,-1,-1
158,727,1623232244857,-1,-1,-1
159,759,1623232245853,-1,-1,-1
160,799,1623232245853,-1,-1,-1
161,823,1623232246858,-1,-1,-1
162,767,1623232247854,-1,-1,-1
163,799,1623232248858,-1,-1,-1
164,751,1623232249896,-1,-1,-1
165,751,1623232249896,-1,-1,-1
166,703,1623232250859,-1,-1,-1
167,727,1623232251855,-1,-1,-1
168,727,1623232252860,-1,-1,-1
169,743,1623232252860,-1,-1,-1
170,743,1623232253859,-1,-1,-1
171,719,1623232254859,-1,-1,-1
172,751,1623232254859,-1,-1,-1
173,719,1623232255853,-1,-1,-1
174,751,1623232256860,-1,-1,-1
175,767,1623232257856,-1,-1,-1
176,719,1623232257856,-1,-1,-1
177,751,1623232258854,-1,-1,-1
178,735,1623232259854,-1,-1,-1
179,719,1623232260853,-1,-1,-1
180,719,1623232260853,-1,-1,-1
181,703,1623232261936,-1,-1,-1
182,735,1623232262856,-1,-1,-1
183,703,1623232263858,-1,-1,-1
184,663,1623232263858,-1,-1,-1
185,735,1623232264859,-1,-1,-1
186,711,1623232265898,-1,-1,-1
187,703,1623232265898,-1,-1,-1
188,695,1623232266857,-1,-1,-1
189,727,1623232267853,-1,-1,-1
190,735,1623232267853,-1,-1,-1
191,703,1623232268896,-1,-1,-1
192,719,1623232269900,-1,-1,-1
193,695,1623232270859,-1,-1,-1
194,727,1623232270859,-1,-1,-1
195,775,1623232271859,-1,-1,-1
196,831,1623232272858,-1,-1,-1
197,663,1623232275859,-1,-1,-1
198,679,1623232276860,-1,-1,-1
199,615,1623232276860,-1,-1,-1
200,607,1623232277856,-1,-1,-1
201,567,1623232277856,-1,-1,-1
202,735,1623232278859,-1,-1,-1
203,631,1623232279860,-1,-1,-1
204,655,1623232279860,-1,-1,-1
205,647,1623232280859,-1,-1,-1
206,679,1623232281858,-1,-1,-1
207,767,1623232281858,-1,-1,-1
208,751,1623232282898,-1,-1,-1
209,711,1623232283858,-1,-1,-1
210,727,1623232284860,-1,-1,-1
211,711,1623232284860,-1,-1,-1
212,759,1623232285901,-1,-1,-1
213,703,1623232286861,-1,-1,-1
214,599,1623232286861,-1,-1,-1
215,687,1623232289861,-1,-1,-1
216,743,1623232289861,-1,-1,-1
217,767,1623232290862,-1,-1,-1
218,807,1623232291854,-1,-1,-1
219,695,1623232292862,-1,-1,-1
220,711,1623232292862,-1,-1,-1
221,703,1623232293900,-1,-1,-1
222,639,1623232294860,-1,-1,-1
223,671,1623232294860,-1,-1,-1
224,639,1623232295859,-1,-1,-1
225,671,1623232296936,-1,-1,-1
226,687,1623232296936,-1,-1,-1
227,711,1623232297860,-1,-1,-1
228,687,1623232298899,-1,-1,-1
229,759,1623232298899,-1,-1,-1
230,727,1623232299973,-1,-1,-1
231,751,1623232300860,-1,-1,-1
232,823,1623232301900,-1,-1,-1
233,767,1623232302859,-1,-1,-1
234,743,1623232302859,-1,-1,-1
235,767,1623232303857,-1,-1,-1
236,735,1623232304894,-1,-1,-1
237,719,1623232305859,-1,-1,-1
238,719,1623232305859,-1,-1,-1
239,751,1623232306895,-1,-1,-1
